"","date","X.3","X.2","X.1","X","age_days.x","age_weeks.x","val.humidity","val.temperature","val.pm25_r","val.pm25_p.y","flag","PM10","Ratio"
"1",2018-09-09 12:00:00,1,1,1,1,0,0,27.8,56.5,4.75,3.6,0,7,0.514285714285714
"2",2018-10-31 17:00:00,2,2,2,2,52,7,19.2,80.7,0,4.7,0,6,0.783333333333333
"3",2018-10-31 18:00:00,3,3,3,3,52,7,19.2,81.5,0,7.1,0,12,0.591666666666667
"4",2018-10-31 19:00:00,4,4,4,4,52,7,19.3,81.8,0,7.4,0,16,0.4625
"5",2018-10-31 20:00:00,5,5,5,5,52,7,19.3,82,0,6.9,0,11,0.627272727272727
"6",2018-10-31 21:00:00,6,6,6,6,52,7,19.3,82.2,0,9.8,0,11,0.890909090909091
"7",2018-10-31 22:00:00,7,7,7,7,52,7,19.3,82.2,0,8.3,0,64,0.1296875
"8",2018-10-31 23:00:00,8,8,8,8,52,7,19.3,82.2,0,7.3,0,24,0.304166666666667
"9",2018-11-01 00:00:00,9,9,9,9,53,7,19.3,82.1,0,7.3,0,11,0.663636363636364
"10",2018-11-01 01:00:00,10,10,10,10,53,7,19.3,82,0.0015,6.4,0,14,0.457142857142857
"11",2018-11-01 02:00:00,11,11,11,11,53,7,19.4,82,0.00117,5.5,0,14,0.392857142857143
"12",2018-11-01 03:00:00,12,12,12,12,53,7,19.3,82,0,4.9,0,9,0.544444444444445
"13",2018-11-01 04:00:00,13,13,13,13,53,7,18.9,81.3,0,4.9,0,10,0.49
"14",2018-11-01 05:00:00,14,14,14,14,53,7,19,80.7,0,5.2,0,18,0.288888888888889
"15",2018-11-01 06:00:00,15,15,15,15,53,7,19,80.6,0,4.8,0,24,0.2
"16",2018-11-01 07:00:00,16,16,16,16,53,7,18.8,80.9,0,5,0,16,0.3125
"17",2018-11-01 08:00:00,17,17,17,17,53,7,18.5,81,0.0203,7.2,0,20,0.36
"18",2018-11-01 09:00:00,18,18,18,18,53,7,18.4,81,0.005,7.6,0,35,0.217142857142857
"19",2018-11-01 10:00:00,19,19,19,19,53,7,17.8,81.1,0.044,6,0,28,0.214285714285714
"20",2018-11-01 11:00:00,20,20,20,20,53,7,16.7,81,0.109,3.9,0,17,0.229411764705882
