"","date","X.3","X.2","X.1","X","age_days.x","age_weeks.x","val.humidity","val.temperature","val.pm25_r","val.pm25_p.y","flag","PM10","Ratio"
"1",2019-06-30 17:00:00,1,1,1,1,0,0,41.5,78.3,5.2,7.25,0,25,0.29
"2",2019-06-30 18:00:00,2,2,2,2,0,0,41.9,77.2,6.46,6.2,0,43,0.144186046511628
"3",2019-06-30 19:00:00,3,3,3,3,0,0,42,76.9,7.74,6,0,12,0.5
"4",2019-06-30 20:00:00,4,4,4,4,0,0,39.1,77.7,6.86,6.5,0,12,0.541666666666667
"5",2019-06-30 21:00:00,5,5,5,5,0,0,42.1,77.2,8.8,7,0,14,0.5
"6",2019-06-30 22:00:00,6,6,6,6,0,0,44.8,76.1,9.48,6.8,0,13,0.523076923076923
"7",2019-06-30 23:00:00,7,7,7,7,0,0,44.1,75,7.21,5.9,0,15,0.393333333333333
"8",2019-07-01 00:00:00,8,8,8,8,1,0,43.7,73.9,4.16,5.5,0,10,0.55
"10",2019-07-01 02:00:00,10,10,10,10,1,0,50.9,71.9,7.03,9.8,0,25,0.392
"11",2019-07-01 03:00:00,11,11,11,11,1,0,59.8,68.8,9.71,9.9,0,15,0.66
"12",2019-07-01 04:00:00,12,12,12,12,1,0,60.4,67.6,8.76,10.3,0,17,0.605882352941177
"13",2019-07-01 05:00:00,13,13,13,13,1,0,59.2,68.4,9.14,10.55,0,22,0.479545454545455
"14",2019-07-01 06:00:00,14,14,14,14,1,0,47.9,74.9,9.66,10,0,27,0.37037037037037
"15",2019-07-01 07:00:00,15,15,15,15,1,0,37.7,80.6,7.87,8.55,0,35,0.244285714285714
"16",2019-07-01 08:00:00,16,16,16,16,1,0,30.4,85.6,7,7.7,0,26,0.296153846153846
"17",2019-07-01 09:00:00,17,17,17,17,1,0,22.6,93.1,6.71,7.8,0,17,0.458823529411765
"18",2019-07-01 10:00:00,18,18,18,18,1,0,21.3,95.1,12,8.05,0,19,0.423684210526316
"19",2019-07-01 11:00:00,19,19,19,19,1,0,21.2,94.1,7.13,7.5,0,36,0.208333333333333
"20",2019-07-01 12:00:00,20,20,20,20,1,0,19.2,95.3,4.52,6.75,0,34,0.198529411764706
"21",2019-07-01 13:00:00,21,21,21,21,1,0,18.3,97.2,5.24,6.9,0,32,0.215625
"22",2019-07-01 14:00:00,22,22,22,22,1,0,26,90.1,4.94,7.15,0,27,0.264814814814815
"23",2019-07-01 15:00:00,23,23,23,23,1,0,43.7,78.3,5.84,6.6,0,44,0.15
"24",2019-07-01 16:00:00,24,24,24,24,1,0,41.5,76.3,4.21,5.9,0,13,0.453846153846154
"25",2019-07-01 17:00:00,25,25,25,25,1,0,37.9,77.1,3.34,5.4,0,18,0.3
"26",2019-07-01 18:00:00,26,26,26,26,1,0,35.4,79.5,4.68,5.35,0,18,0.297222222222222
"27",2019-07-01 19:00:00,27,27,27,27,1,0,41.4,77.8,4.89,5.4,0,18,0.3
"28",2019-07-01 20:00:00,28,28,28,28,1,0,54.7,72.8,5.58,4.9,0,20,0.245
"29",2019-07-01 21:00:00,29,29,29,29,1,0,60.5,68.7,3.45,4.45,0,10,0.445
"30",2019-07-01 22:00:00,30,30,30,30,1,0,56.7,69.4,4.1,4.7,0,8,0.5875
"31",2019-07-01 23:00:00,31,31,31,31,1,0,55.5,70.3,4.85,5.1,0,9,0.566666666666667
"32",2019-07-02 00:00:00,32,32,32,32,2,0,57.9,69.5,4.37,5.2,0,23,0.226086956521739
"33",2019-07-02 01:00:00,33,33,33,33,2,0,63.1,67.3,5.03,5.7,0,8,0.7125
"34",2019-07-02 02:00:00,34,34,34,34,2,0,68.6,65.8,6.7,6.1,0,9,0.677777777777778
"35",2019-07-02 03:00:00,35,35,35,35,2,0,71.3,65,9.53,6.9,0,10,0.69
"36",2019-07-02 04:00:00,36,36,36,36,2,0,70.8,64.3,9.88,7.3,0,12,0.608333333333333
"37",2019-07-02 06:00:00,37,37,37,37,2,0,57.3,69.9,9.92,7.6,0,14,0.542857142857143
"38",2019-07-02 07:00:00,38,38,38,38,2,0,42.5,77.1,7.97,7.15,0,19,0.376315789473684
"39",2019-07-02 08:00:00,39,39,39,39,2,0,33.2,84.3,7.8,6.25,0,16,0.390625
"40",2019-07-02 09:00:00,40,40,40,40,2,0,24,91.6,4.91,5.65,0,14,0.403571428571429
"41",2019-07-02 10:00:00,41,41,41,41,2,0,19.2,96.1,5.1,5.35,0,16,0.334375
"42",2019-07-02 11:00:00,42,42,42,42,2,0,17.1,97.2,4.18,5.05,0,18,0.280555555555556
"43",2019-07-02 12:00:00,43,43,43,43,2,0,15,97.8,2.98,5.1,0,25,0.204
"44",2019-07-02 13:00:00,44,44,44,44,2,0,20.8,92.4,3.84,6.05,0,15,0.403333333333333
"45",2019-07-02 14:00:00,45,45,45,45,2,0,33.4,79.8,4.03,5.7,0,26,0.219230769230769
"46",2019-07-02 15:00:00,46,46,46,46,2,0,27.1,84,3.56,4.2,0,33,0.127272727272727
"47",2019-07-02 16:00:00,47,47,47,47,2,0,24.8,84.6,2.66,3.35,0,8,0.41875
"48",2019-07-02 17:00:00,48,48,48,48,2,0,22,86.3,2.79,2.8,0,7,0.4
"49",2019-07-02 18:00:00,49,49,49,49,2,0,19.6,85.5,1.54,2.35,0,9,0.261111111111111
"50",2019-07-02 19:00:00,50,50,50,50,2,0,21.1,82.6,1.21,2.2,0,7,0.314285714285714
