"","X.4","date","X.3","X.2","X.1","X","age_days.x","age_weeks.x","val.humidity","val.temperature","val.pm25_r","val.pm25_p.y","flag","PM10","Ratio"
"1",1,"2018-06-01 23:00:00",1,1,1,1,0,0,33.8,63.4,1.87,7.225,0,26,0.277884615384615
"2",2,"2018-06-02 00:00:00",2,2,2,2,1,0,37.8,61.1,2.17,6.805,0,13,0.523461538461538
"3",3,"2018-06-02 01:00:00",3,3,3,3,1,0,40.9,58.8,2.22,6.12833333333333,0,24,0.255347222222222
"4",4,"2018-06-02 02:00:00",4,4,4,4,1,0,41.8,56.5,1.92,5.27166666666667,0,19,0.277456140350877
"5",5,"2018-06-02 03:00:00",5,5,5,5,1,0,42.7,55.1,3.02,5.30333333333333,0,16,0.331458333333333
"6",6,"2018-06-02 04:00:00",6,6,6,6,1,0,44.1,54,1.92,4.86833333333333,0,14,0.347738095238095
"7",7,"2018-06-02 05:00:00",7,7,7,7,1,0,38.6,56,2.02,4.6,0,14,0.328571428571429
"8",8,"2018-06-02 06:00:00",8,8,8,8,1,0,32.1,61.8,0.967,3.45333333333333,0,14,0.246666666666666
"9",9,"2018-06-02 07:00:00",9,9,9,9,1,0,27.3,67.5,0.95,3.24333333333333,0,11,0.294848484848485
"10",10,"2018-06-02 08:00:00",10,10,10,10,1,0,24.7,71.4,1.12,4.50333333333333,0,12,0.375277777777778
"11",11,"2018-06-02 09:00:00",11,11,11,11,1,0,22.5,74.8,1.43,3.93333333333333,0,28,0.14047619047619
"12",12,"2018-06-02 20:00:00",12,12,12,12,1,0,22.2,69.7,2.35,4.43166666666667,0,16,0.276979166666667
"13",13,"2018-06-02 21:00:00",13,13,13,13,1,0,26.1,65.9,2.02,4.71333333333333,0,15,0.314222222222222
"14",14,"2018-06-02 22:00:00",14,14,14,14,1,0,29.9,63.3,1.78,4.31833333333333,0,15,0.287888888888889
"15",15,"2018-06-02 23:00:00",15,15,15,15,1,0,34.3,62.2,2.42,4.72166666666667,0,13,0.363205128205128
"16",16,"2018-06-03 00:00:00",16,16,16,16,2,0,36.7,61.3,4.15,5.67666666666667,0,20,0.283833333333333
"17",17,"2018-06-03 01:00:00",17,17,17,17,2,0,37.1,60.5,4.28,5.92666666666667,0,13,0.455897435897436
"18",18,"2018-06-03 02:00:00",18,18,18,18,2,0,41.3,58.3,4.5,5.90833333333333,0,15,0.393888888888889
"19",19,"2018-06-03 03:00:00",19,19,19,19,2,0,48.2,55.9,4.57,7.29,0,15,0.486
"20",20,"2018-06-03 04:00:00",20,20,20,20,2,0,53.6,54.6,4.03,6.93333333333333,0,22,0.315151515151515
"21",21,"2018-06-03 05:00:00",21,21,21,21,2,0,49.4,57.9,4.13,6.73333333333333,0,21,0.32063492063492
"22",22,"2018-06-03 06:00:00",22,22,22,22,2,0,46.8,60,4.8,7.55,0,19,0.397368421052632
"23",23,"2018-06-03 07:00:00",23,23,23,23,2,0,39.1,65.7,3.98,7.38166666666667,0,23,0.320942028985507
"24",24,"2018-06-03 08:00:00",24,24,24,24,2,0,36.3,67.2,3.53,6.76833333333333,0,24,0.282013888888889
"25",25,"2018-06-03 09:00:00",25,25,25,25,2,0,35.9,67.8,3.48,6.39833333333333,0,20,0.319916666666667
"26",26,"2018-06-03 10:00:00",26,26,26,26,2,0,29.9,73.3,3.15,6.02333333333333,0,20,0.301166666666666
"27",27,"2018-06-03 21:00:00",27,27,27,27,2,0,37.8,66.6,7.18,11.0433333333333,0,32,0.345104166666666
"28",28,"2018-06-03 22:00:00",28,28,28,28,2,0,45.4,63.4,9.08,11.2733333333333,0,30,0.375777777777777
