"","X.3","X.2","X.1","X","date","age_days.x","age_weeks.x","val.humidity","val.temperature","val.pm25_r","val.pm25_p.y","flag"
"1",1,1,1,1,2018-05-25 08:00:00,0,0,22.2,82.9,3.42,8.9,0
"2",2,2,2,2,2018-05-25 09:00:00,0,0,17.9,90.4,3,7.3,0
"3",3,3,3,3,2018-05-25 10:00:00,0,0,13.7,94.2,2.37,5.7,0
"4",4,4,4,4,2018-05-25 11:00:00,0,0,10.3,96.9,1.98,4.6,0
"5",5,5,5,5,2018-05-25 12:00:00,0,0,9.66,98.2,1.23,3.6,0
"6",6,6,6,6,2018-05-25 13:00:00,0,0,8.9,101,1.77,3.6,0
"7",7,7,7,7,2018-05-25 14:00:00,0,0,8.21,103,1.33,3.4,0
"8",8,8,8,8,2018-05-25 15:00:00,0,0,8.23,103,1.43,3,0
"9",9,9,9,9,2018-05-27 09:00:00,2,0,24.9,75.8,1.68,8.1,0
"10",10,10,10,10,2018-05-27 10:00:00,2,0,23.8,78.7,1.73,7.4,0
"11",11,11,11,11,2018-05-27 11:00:00,2,0,24.4,79.6,2.52,6.3,0
"12",12,12,12,12,2018-05-27 12:00:00,2,0,24.7,80.1,1.62,5.6,0
"13",13,13,13,13,2018-05-27 13:00:00,2,0,24.5,80.4,1.12,5.5,0
"14",14,14,14,14,2018-05-27 14:00:00,2,0,25,80.9,1.98,5.3,0
"15",15,15,15,15,2018-05-27 15:00:00,2,0,24.4,80.2,1.28,5.1,0
"16",16,16,16,16,2018-05-27 16:00:00,2,0,24.4,79.6,0.967,5,0
"17",17,17,17,17,2018-05-27 17:00:00,2,0,25.4,78.5,0.983,5.8,0
"18",18,18,18,18,2018-05-27 18:00:00,2,0,26.1,78.2,1,11.4,0
"19",19,19,19,19,2018-05-27 19:00:00,2,0,27.1,77.8,1.45,7.9,0
"20",20,20,20,20,2018-05-27 20:00:00,2,0,26.9,77.6,0.733,6,0
"21",21,21,21,21,2018-05-27 21:00:00,2,0,27.7,76.4,0.75,4.9,0
"22",22,22,22,22,2018-05-27 22:00:00,2,0,28.3,75.7,0.2,4.3,0
"23",23,23,23,23,2018-05-27 23:00:00,2,0,28.3,75.8,0.1,3.7,0
"24",24,24,24,24,2018-05-28 00:00:00,3,0,28.4,75.6,0.05,3.3,0
"25",25,25,25,25,2018-05-28 01:00:00,3,0,28.6,75.3,0.0833,3.2,0
"26",26,26,26,26,2018-05-28 02:00:00,3,0,28.8,75,0.05,3,0
"27",27,27,27,27,2018-05-28 03:00:00,3,0,29,74.7,0,2.9,0
"28",28,28,28,28,2018-05-28 04:00:00,3,0,29.4,74.4,0,2.8,0
"29",29,29,29,29,2018-05-28 05:00:00,3,0,29.8,74.1,0.5,3,0
"30",30,30,30,30,2018-05-28 06:00:00,3,0,30.2,73.8,0.933,3.1,0
"31",31,31,31,31,2018-05-28 07:00:00,3,0,32,74,1.1,3.3,0
"32",32,32,32,32,2018-05-28 08:00:00,3,0,35.4,74.1,1.92,3.5,0
"33",33,33,33,33,2018-05-28 09:00:00,3,0,34.4,74.7,2.29,3.5,0
"34",34,34,34,34,2018-05-28 10:00:00,3,0,34.7,74.6,3,3.8,0
"35",35,35,35,35,2018-06-02 16:00:00,8,1,22.6,81.6,0.15,2.4,0
"36",36,36,36,36,2018-06-02 17:00:00,8,1,23.1,80.3,0,2.4,0
"37",37,37,37,37,2018-06-02 18:00:00,8,1,23.9,78.8,0.533,2.4,0
"38",38,38,38,38,2018-06-02 19:00:00,8,1,25.1,77.4,0.233,2.4,0
"39",39,39,39,39,2018-06-02 20:00:00,8,1,24.9,77.3,0,2.5,0
"40",40,40,40,40,2018-06-02 21:00:00,8,1,23.7,76.7,0.0167,2.6,0
"41",41,41,41,41,2018-06-02 22:00:00,8,1,23.8,75.6,0.0333,2.7,0
"42",42,42,42,42,2018-06-02 23:00:00,8,1,24.5,75.4,0,2.9,0
"43",43,43,43,43,2018-06-03 00:00:00,9,1,24.8,75.2,0.0167,3.9,0
"44",44,44,44,44,2018-06-03 01:00:00,9,1,24.9,74.8,0.0167,4.05,0
"45",45,45,45,45,2018-06-03 02:00:00,9,1,25.1,74.5,0.0167,4.4,0
"46",46,46,46,46,2018-06-03 03:00:00,9,1,25.3,74.1,0.0667,4.6,0
"47",47,47,47,47,2018-06-03 04:00:00,9,1,25.4,73.7,0.65,4.6,0
"48",48,48,48,48,2018-06-03 05:00:00,9,1,25.6,73.4,0.783,4.6,0
"49",49,49,49,49,2018-06-03 06:00:00,9,1,25.7,73.3,0.667,4.5,0
"50",50,50,50,50,2018-06-03 07:00:00,9,1,25.6,73.4,0.467,4.7,0
"51",51,51,51,51,2018-06-03 08:00:00,9,1,26,73.4,0.833,5,0
"52",52,52,52,52,2018-06-03 09:00:00,9,1,26.7,73.7,1.02,5.1,0
"53",53,53,53,53,2018-06-03 10:00:00,9,1,27,74.7,0.183,4.8,0
"54",54,54,54,54,2018-06-03 11:00:00,9,1,25.4,80.5,2.52,4.7,0
"55",55,55,55,55,2018-06-03 12:00:00,9,1,23.8,84.3,3.17,4.6,0
"56",56,56,56,56,2018-06-03 13:00:00,9,1,25.1,83.5,3.87,4.6,0
"57",57,57,57,57,2018-06-03 14:00:00,9,1,26.4,82.4,6.15,4.6,0
"58",58,58,58,58,2018-06-03 15:00:00,9,1,28.1,80.2,4.68,4.5,0
"59",59,59,59,59,2018-06-03 16:00:00,9,1,27.7,79.7,3.58,4.4,0
"60",60,60,60,60,2018-06-03 17:00:00,9,1,31.5,75.7,3.93,4.6,0
"61",61,61,61,61,2018-06-03 18:00:00,9,1,39.4,71.5,4.32,4.9,0
"62",62,62,62,62,2018-06-03 19:00:00,9,1,43.2,67.7,4.88,5.1,0
"63",63,63,63,63,2018-06-03 20:00:00,9,1,39,66.7,5.45,5.8,0
"64",64,64,64,64,2018-06-03 21:00:00,9,1,37.4,65.4,7.37,5.7,0
"65",65,65,65,65,2018-06-03 22:00:00,9,1,38.1,64.3,7.48,5.9,0
"66",66,66,66,66,2018-06-03 23:00:00,9,1,39.9,62.9,6.63,7,0
"67",67,67,67,67,2018-06-04 00:00:00,10,1,44,60.7,4.52,8.2,0
"68",68,68,68,68,2018-06-04 01:00:00,10,1,45.6,59.3,4.28,8.1,0
"69",69,69,69,69,2018-06-04 02:00:00,10,1,46,58.8,4.4,8.6,0
"70",70,70,70,70,2018-06-04 03:00:00,10,1,47.5,57.5,4.98,8.5,0
"71",71,71,71,71,2018-06-04 04:00:00,10,1,48.7,56.4,4.92,8.7,0
"72",72,72,72,72,2018-06-04 05:00:00,10,1,48.1,56.3,5.12,8.7,0
"73",73,73,73,73,2018-06-04 06:00:00,10,1,43.9,58.9,5.18,8.8,0
"74",74,74,74,74,2018-06-04 07:00:00,10,1,37.7,63.3,4.53,9.1,0
"75",75,75,75,75,2018-06-04 08:00:00,10,1,27.5,73.2,3.83,8.2,0
"76",76,76,76,76,2018-06-04 09:00:00,10,1,16.2,91.8,2.47,6.3,0
"77",77,77,77,77,2018-06-04 10:00:00,10,1,10.7,107,2.37,5.6,0
"78",78,78,78,78,2018-06-04 11:00:00,10,1,8.64,113,2.82,5.8,0
"79",79,79,79,79,2018-06-04 12:00:00,10,1,8.48,109,2.42,5.4,0
"80",80,80,80,80,2018-06-04 13:00:00,10,1,7.56,104,1.35,4.7,0
"81",81,81,81,81,2018-06-04 14:00:00,10,1,6.87,105,0.817,5,0
"82",82,82,82,82,2018-06-04 15:00:00,10,1,10.7,95,1.27,3.9,0
"83",83,83,83,83,2018-06-04 16:00:00,10,1,14.2,89.6,1.87,3.3,0
"84",84,84,84,84,2018-06-04 17:00:00,10,1,13.3,87,1.17,3.5,0
"85",85,85,85,85,2018-06-04 18:00:00,10,1,16.6,84.3,1.23,3,0
"86",86,86,86,86,2018-06-04 19:00:00,10,1,19.4,78.1,1.75,3.6,0
"87",87,87,87,87,2018-06-04 20:00:00,10,1,22.1,72.6,1.65,3.4,0
"88",88,88,88,88,2018-06-04 21:00:00,10,1,25,69.6,2.28,4.3,0
"89",89,89,89,89,2018-06-04 22:00:00,10,1,24.3,69.5,3.03,5.2,0
"90",90,90,90,90,2018-06-04 23:00:00,10,1,23.5,69.5,3.48,5.8,0
"91",91,91,91,91,2018-06-05 00:00:00,11,1,24.4,67.9,3.6,5.4,0
"92",92,92,92,92,2018-06-05 01:00:00,11,1,25,66.5,3.43,5.25,0
"93",93,93,93,93,2018-06-05 02:00:00,11,1,25.4,65.5,3.33,5,0
"94",94,94,94,94,2018-06-05 03:00:00,11,1,26.8,64.7,3.73,5.2,0
"95",95,95,95,95,2018-06-05 04:00:00,11,1,27.7,63.4,3.88,5.7,0
"96",96,96,96,96,2018-06-05 05:00:00,11,1,29.9,62.3,3.8,6.5,0
"97",97,97,97,97,2018-06-05 06:00:00,11,1,30.6,64.2,3.97,7.3,0
"98",98,98,98,98,2018-06-05 07:00:00,11,1,29,68.1,3.88,8.1,0
"99",99,99,99,99,2018-06-05 08:00:00,11,1,24.2,76.3,3.35,10.1,0
"100",100,100,100,100,2018-06-05 09:00:00,11,1,15.7,91.2,2.7,8.1,0
"101",101,101,101,101,2018-06-05 10:00:00,11,1,8.69,103,2.08,6.3,0
"102",102,102,102,102,2018-06-05 11:00:00,11,1,8.85,105,2.4,5,0
"103",103,103,103,103,2018-06-06 22:00:00,12,1,29.8,74.7,3.02,4.5,0
"104",104,104,104,104,2018-06-06 23:00:00,12,1,27.4,76.9,1.92,5.1,0
"105",105,105,105,105,2018-06-07 00:00:00,13,1,26.8,77.4,1.95,5.7,0
"106",106,106,106,106,2018-06-07 01:00:00,13,1,26.7,77.4,2.05,5.6,0
