"","X.2","X.1","X","date","age_days.x","age_weeks.x","val.humidity","val.temperature","val.pm25_r","val.pm25_p.y","flag"
"1",1,1,1,2018-07-13 06:00:00,0,0,45.3,71.2,4.05,4.9,0
"2",2,2,2,2018-07-14 20:00:00,1,0,35.4,84,4.25,3.8,0
"3",3,3,3,2018-07-14 21:00:00,1,0,39,82,4.8,4.1,0
"4",4,4,4,2018-07-14 22:00:00,1,0,37.1,81,4.24,4,0
"5",5,5,5,2018-07-14 23:00:00,1,0,36.9,80.1,4.01,3.8,0
"6",6,6,6,2018-07-15 00:00:00,2,0,37.4,79.4,3.95,3.8,0
"7",7,7,7,2018-07-15 01:00:00,2,0,39.9,78.1,4.28,3.9,0
"8",8,8,8,2018-07-15 02:00:00,2,0,44.3,75.3,4.72,4.1,0
"9",9,9,9,2018-07-15 03:00:00,2,0,48.3,72.8,4.58,4.4,0
"10",10,10,10,2018-07-15 04:00:00,2,0,59.6,69.9,6.4,5.8,0
"11",11,11,11,2018-07-15 05:00:00,2,0,62.3,69.3,5.45,6.4,0
"12",12,12,12,2018-07-20 09:00:00,7,1,33.2,88.9,13.2,10.8,0
"13",13,13,13,2018-07-20 10:00:00,7,1,23.5,98.7,12.5,10.2,0
"14",14,14,14,2018-07-20 11:00:00,7,1,16.4,105,8.41,8.4,0
"15",15,15,15,2018-07-20 12:00:00,7,1,11.8,103,5.54,6.5,0
"16",16,16,16,2018-07-20 13:00:00,7,1,13,104,7.98,6.1,0
"17",17,17,17,2018-07-20 14:00:00,7,1,14.4,100,8.55,6,0
"18",18,18,18,2018-07-20 15:00:00,7,1,14.9,98.4,11.3,6.3,0
"19",19,19,19,2018-07-20 16:00:00,7,1,18.1,95.8,8.47,6.2,0
"20",20,20,20,2018-07-20 17:00:00,7,1,19.1,93.1,8.55,6,0
"21",21,21,21,2018-07-21 08:00:00,8,1,37.3,89.9,11.4,11.9,0
"22",22,22,22,2018-07-21 09:00:00,8,1,31.6,92.4,13.2,11.3,0
"23",23,23,23,2018-07-21 10:00:00,8,1,26.1,97.9,15.6,11.1,0
"24",24,24,24,2018-07-21 11:00:00,8,1,21.7,103,16.1,10.4,0
"25",25,25,25,2018-07-21 12:00:00,8,1,19.9,105,17.2,9.9,0
"26",26,26,26,2018-07-21 13:00:00,8,1,24.2,97.3,16.1,9.2,0
"27",27,27,27,2018-07-21 14:00:00,8,1,27.4,91.2,15.4,8.8,0
"28",28,28,28,2018-07-21 15:00:00,8,1,38.4,82,14.8,8.5,0
"29",29,29,29,2018-07-21 16:00:00,8,1,41.8,80.8,14.2,8.1,0
"30",30,30,30,2018-07-21 17:00:00,8,1,41.5,80.8,23.9,9.4,0
"31",31,31,31,2018-07-21 18:00:00,8,1,39.3,81.8,33,12.1,0
"32",32,32,32,2018-07-21 19:00:00,8,1,39.5,81.6,31.5,13.9,0
"33",33,33,33,2018-07-21 20:00:00,8,1,43.9,79.4,26.2,14.2,0
"34",34,34,34,2018-07-21 21:00:00,8,1,48.5,77.5,9.7,11.6,0
"35",35,35,35,2018-07-21 22:00:00,8,1,48.1,77,9,9.3,0
"36",36,36,36,2018-07-21 23:00:00,8,1,50.5,76.1,9.77,8.8,0
"37",37,37,37,2018-07-22 00:00:00,9,1,56.2,73.8,15,9.5,0
"38",38,38,38,2018-07-22 01:00:00,9,1,54.4,73.8,15.1,9.85,0
"39",39,39,39,2018-07-22 02:00:00,9,1,57.5,72.1,16.4,10.7,0
"40",40,40,40,2018-07-22 03:00:00,9,1,63.3,70.3,19.4,11.9,0
"41",41,41,41,2018-07-22 04:00:00,9,1,67,68.9,23.5,13.6,0
"42",42,42,42,2018-07-22 05:00:00,9,1,61.8,71,23.4,14.3,0
"43",43,43,43,2018-07-22 06:00:00,9,1,55,74.6,23.7,13.6,0
"44",44,44,44,2018-07-22 07:00:00,9,1,44.7,79.2,23.5,12.2,0
"45",45,45,45,2018-07-22 08:00:00,9,1,34.9,87.3,27.7,12.2,0
"46",46,46,46,2018-07-22 09:00:00,9,1,23.1,99.4,24.8,11,0
"47",47,47,47,2018-07-22 10:00:00,9,1,19.8,103,15.8,8.9,0
"48",48,48,48,2018-07-22 11:00:00,9,1,21.6,98.4,13.8,7.5,0
"49",49,49,49,2018-07-22 12:00:00,9,1,20,103,11.6,6.5,0
"50",50,50,50,2018-07-22 13:00:00,9,1,25.1,94.3,9,5.9,0
"51",51,51,51,2018-07-22 14:00:00,9,1,34.1,87.3,6.55,6.9,0
"52",52,52,52,2018-07-22 15:00:00,9,1,39.4,85.6,6.42,6.7,0
"53",53,53,53,2018-07-22 16:00:00,9,1,48.7,79.5,6.24,6.1,0
"54",54,54,54,2018-07-22 17:00:00,9,1,50.9,78.9,5.98,5.3,0
"55",55,55,55,2018-07-22 18:00:00,9,1,51.1,78.4,6.61,5.2,0
"56",56,56,56,2018-07-22 19:00:00,9,1,76,72.2,9.04,6.5,0
"57",57,57,57,2018-07-22 20:00:00,9,1,86.5,68.7,9.03,6.9,0
"58",58,58,58,2018-07-22 21:00:00,9,1,76.9,70.3,8.6,6.4,0
"59",59,59,59,2018-07-22 22:00:00,9,1,83.8,68.9,10.8,7.3,0
"60",60,60,60,2018-07-22 23:00:00,9,1,92.3,66,13.5,8.8,0
"61",61,61,61,2018-07-23 00:00:00,10,1,93.4,66.2,14.1,9.4,0
"62",62,62,62,2018-07-23 01:00:00,10,1,93.2,66.5,14,9.65,0
"63",63,63,63,2018-07-23 02:00:00,10,1,93.3,67,14.2,10.2,0
"64",64,64,64,2018-07-23 03:00:00,10,1,92.8,67.2,15.1,10.6,0
"65",65,65,65,2018-07-23 04:00:00,10,1,88.7,66.6,13.2,10.8,0
"66",66,66,66,2018-07-23 05:00:00,10,1,81.3,67.9,14.3,11.2,0
"67",67,67,67,2018-07-23 06:00:00,10,1,73,70.8,13.1,11,0
"68",68,68,68,2018-07-23 07:00:00,10,1,60.9,76.1,13.2,10.7,0
"69",69,69,69,2018-07-23 08:00:00,10,1,50.5,81.8,15.1,11.2,0
"70",70,70,70,2018-07-23 09:00:00,10,1,43.5,86.9,17.5,11.7,0
"71",71,71,71,2018-07-23 10:00:00,10,1,39.8,90.1,17.8,11.6,0
"72",72,72,72,2018-07-23 11:00:00,10,1,48.9,84.3,17.7,11.7,0
"73",73,73,73,2018-07-23 12:00:00,10,1,57.9,80.7,18.3,11.6,0
"74",74,74,74,2018-07-23 13:00:00,10,1,65.2,77.1,16.7,11.4,0
"75",75,75,75,2018-07-23 14:00:00,10,1,71.7,76.2,16.3,10.9,0
"76",76,76,76,2018-07-23 15:00:00,10,1,85.3,72,6.56,7.9,0
"77",77,77,77,2018-07-23 16:00:00,10,1,88.2,68.2,3.74,5.7,0
"78",78,78,78,2018-07-23 17:00:00,10,1,89.8,68.1,5.84,5.3,0
"79",79,79,79,2018-07-23 18:00:00,10,1,94.4,66.8,8.48,6.6,0
"80",80,80,80,2018-07-23 19:00:00,10,1,92.1,67.4,5.2,5.6,0
"81",81,81,81,2018-07-23 20:00:00,10,1,95.8,65,3.56,4.5,0
"82",82,82,82,2018-07-23 21:00:00,10,1,95.9,65.4,6.59,5.3,0
"83",83,83,83,2018-07-23 22:00:00,10,1,96.3,65.4,10.5,6.6,0
"84",84,84,84,2018-07-23 23:00:00,10,1,97.3,66.2,28.5,11.9,0
"85",85,85,85,2018-07-24 00:00:00,11,1,98.1,65.5,28.3,14.7,0
"86",86,86,86,2018-07-24 01:00:00,11,1,99.5,65,30.6,15.6,0
"87",87,87,87,2018-07-24 02:00:00,11,1,98.8,65.1,29,18.3,0
"88",88,88,88,2018-07-24 03:00:00,11,1,99,64.8,29.9,18.3,0
"89",89,89,89,2018-07-24 04:00:00,11,1,97.8,65.5,19.7,15.7,0
"90",90,90,90,2018-07-24 05:00:00,11,1,96.7,65.5,19.9,14.2,0
"91",91,91,91,2018-07-24 06:00:00,11,1,92.9,67.3,13.9,12,0
"92",92,92,92,2018-07-24 07:00:00,11,1,84.9,72.3,20.8,12.2,0
"93",93,93,93,2018-07-24 08:00:00,11,1,65.1,80.1,22.5,12.6,0
"94",94,94,94,2018-07-24 09:00:00,11,1,52.5,87.3,24.9,13.1,0
"95",95,95,95,2018-07-24 10:00:00,11,1,50.2,87.5,26.4,14,0
"96",96,96,96,2018-07-24 11:00:00,11,1,45.1,90.9,23.2,13.4,0
"97",97,97,97,2018-07-24 12:00:00,11,1,38.7,96,22.9,13.3,0
"98",98,98,98,2018-07-24 13:00:00,11,1,34.2,98.6,18.6,12.1,0
"99",99,99,99,2018-07-24 14:00:00,11,1,34.8,96.6,15.4,10.3,0
"100",100,100,100,2018-07-24 15:00:00,11,1,38.3,93.9,14.9,9.4,0
"101",101,101,101,2018-07-24 16:00:00,11,1,33.1,92.9,9.54,7.3,0
"102",102,102,102,2018-07-24 17:00:00,11,1,54.6,78.6,5.97,6.2,0
"103",103,103,103,2018-07-24 18:00:00,11,1,67,73,8.27,5.7,0
"104",104,104,104,2018-07-24 19:00:00,11,1,76.9,72,12.5,6.7,0
"105",105,105,105,2018-07-24 20:00:00,11,1,79.4,71.6,12.3,7.3,0
"106",106,106,106,2018-07-24 21:00:00,11,1,63.9,73.5,9.69,6.6,0
"107",107,107,107,2018-07-24 22:00:00,11,1,60.7,73.5,9.45,6.3,0
"108",108,108,108,2018-07-24 23:00:00,11,1,60.6,72.4,8.14,6,0
"109",109,109,109,2018-07-25 00:00:00,12,1,66.3,69.8,8.18,5.8,0
"110",110,110,110,2018-07-25 01:00:00,12,1,84.7,67.4,14.9,6.9,0
