,*Hour (MST),,ADM,**ASPN2,CAMP,CASA,CCOL,CHAT,FTCF,GJPB,GREH,I25DEN,I25GLO,**SWAN,WBY,Date
1,1:00 AM,1hr,20,82,23,19,12,31,20,41,18,20,17,21,8,2018-01-01
2,2:00 AM,1hr,19,103,26,24,16,33,22,37,19,27,20,25,11,2018-01-01
3,3:00 AM,1hr,21,107,37,28,18,21,20,25,20,29,24,30,13,2018-01-01
4,4:00 AM,1hr,23,53,34,29,14,22,18,24,22,28,24,32,16,2018-01-01
5,5:00 AM,1hr,24,23,32,30,10,22,19,17,21,27,25,32,15,2018-01-01
6,6:00 AM,1hr,27,21,30,29,11,23,21,13,23,28,25,32,15,2018-01-01
7,7:00 AM,1hr,28,37,30,29,13,23,22,18,23,28,24,32,17,2018-01-01
8,8:00 AM,1hr,25,42,31,34,15,24,23,11,24,28,23,33,17,2018-01-01
9,9:00 AM,1hr,26,59,33,31,20,,25,9,25,30,26,33,16,2018-01-01
10,10:00 AM,1hr,26,16,39,31,24,,26,23,25,34,25,35,17,2018-01-01
11,11:00 AM,1hr,26,21,38,34,26,,26,22,27,35,28,34,18,2018-01-01
12,12:00 PM,1hr,26,14,39,34,24,,26,22,29,36,29,33,17,2018-01-01
13,1:00 PM,1hr,27,11,38,34,26,,25,9,40,35,31,35,18,2018-01-01
14,2:00 PM,1hr,27,11,36,34,19,,27,9,35,35,32,37,18,2018-01-01
15,3:00 PM,1hr,29,3,42,36,18,,28,9,37,38,33,38,20,2018-01-01
16,4:00 PM,1hr,28,9,42,40,20,,27,11,32,41,34,39,21,2018-01-01
17,5:00 PM,1hr,25,25,37,35,22,,28,,31,33,26,37,19,2018-01-01
18,6:00 PM,1hr,25,17,34,31,21,,29,15,33,30,25,34,16,2018-01-01
19,7:00 PM,1hr,27,33,33,30,17,,32,23,31,30,26,32,11,2018-01-01
20,8:00 PM,1hr,28,32,33,32,19,,35,22,31,32,28,33,12,2018-01-01
21,9:00 PM,1hr,31,33,36,35,21,,35,21,26,33,28,34,15,2018-01-01
22,10:00 PM,1hr,31,35,37,35,28,,37,23,28,34,30,36,18,2018-01-01
23,11:00 PM,1hr,32,27,38,38,30,,39,18,23,35,30,39,22,2018-01-01
24,12:00 AM,1hr,33,25,37,38,33,,42,32,22,39,34,39,23,2018-01-01
1,1:00 AM,1hr,31,23,37,38,31,,38,36,23,38,36,44,19,2018-01-02
2,2:00 AM,1hr,30,16,34,34,27,,40,31,23,32,29,36,16,2018-01-02
3,3:00 AM,1hr,33,14,32,33,20,,40,32,22,31,30,38,14,2018-01-02
4,4:00 AM,1hr,34,6,34,35,15,,43,15,23,37,31,39,14,2018-01-02
5,5:00 AM,1hr,33,3,37,35,14,,39,16,24,37,34,38,14,2018-01-02
6,6:00 AM,1hr,41,4,34,38,10,,40,25,25,34,33,37,18,2018-01-02
7,7:00 AM,1hr,42,12,33,38,11,,29,22,28,34,33,36,26,2018-01-02
8,8:00 AM,1hr,33,15,37,35,10,,23,24,31,34,30,34,27,2018-01-02
9,9:00 AM,1hr,40,22,29,32,5,,29,43,36,29,54,47,31,2018-01-02
10,10:00 AM,1hr,44,30,52,26,5,,33,23,33,39,97,42,20,2018-01-02
11,11:00 AM,1hr,49,35,37,23,9,17,24,11,45,38,80,35,13,2018-01-02
12,12:00 PM,1hr,31,7,30,18,10,14,16,5,45,29,96,24,6,2018-01-02
13,1:00 PM,1hr,48,11,30,21,12,12,12,6,51,25,68,18,12,2018-01-02
14,2:00 PM,1hr,61,17,25,25,22,16,13,9,46,34,53,16,20,2018-01-02
15,3:00 PM,1hr,60,18,24,28,31,13,13,10,62,40,52,16,19,2018-01-02
16,4:00 PM,1hr,47,104,28,31,35,14,16,11,71,52,36,22,10,2018-01-02
17,5:00 PM,1hr,45,67,53,45,64,23,24,21,81,41,63,36,21,2018-01-02
18,6:00 PM,1hr,46,42,62,67,73,58,40,41,106,50,72,43,27,2018-01-02
19,7:00 PM,1hr,59,45,38,54,44,149,41,19,99,50,57,41,30,2018-01-02
20,8:00 PM,1hr,49,93,49,66,39,332,28,21,121,57,77,43,34,2018-01-02
21,9:00 PM,1hr,49,102,30,46,33,582,23,17,82,40,67,29,50,2018-01-02
22,10:00 PM,1hr,57,104,18,36,28,176,20,14,57,34,37,32,40,2018-01-02
23,11:00 PM,1hr,44,99,19,34,22,150,23,16,48,32,41,27,31,2018-01-02
24,12:00 AM,1hr,58,84,21,34,17,65,22,16,39,28,31,25,30,2018-01-02
1,1:00 AM,1hr,57,78,16,26,12,96,27,11,28,20,27,18,25,2018-01-03
2,2:00 AM,1hr,44,74,15,20,10,61,20,15,25,18,21,13,21,2018-01-03
3,3:00 AM,1hr,27,48,11,15,8,51,11,12,27,33,16,24,18,2018-01-03
4,4:00 AM,1hr,29,13,16,19,10,78,11,11,22,22,19,32,15,2018-01-03
5,5:00 AM,1hr,32,11,7,20,5,61,11,8,17,27,28,18,10,2018-01-03
6,6:00 AM,1hr,81,8,7,20,10,22,14,8,22,35,37,15,12,2018-01-03
7,7:00 AM,1hr,120,9,8,23,21,14,15,7,30,52,47,18,26,2018-01-03
8,8:00 AM,1hr,137,28,11,41,31,13,30,11,29,58,50,24,30,2018-01-03
9,9:00 AM,1hr,52,209,20,27,39,17,74,19,35,24,58,29,36,2018-01-03
10,10:00 AM,1hr,56,86,37,22,23,43,70,28,67,25,59,30,27,2018-01-03
11,11:00 AM,1hr,40,42,23,35,32,34,22,25,138,30,60,20,18,2018-01-03
12,12:00 PM,1hr,36,29,30,24,44,30,29,11,161,26,35,19,20,2018-01-03
13,1:00 PM,1hr,11,24,28,27,17,25,24,14,127,33,61,23,11,2018-01-03
14,2:00 PM,1hr,30,27,38,36,16,12,27,16,261,44,105,26,10,2018-01-03
15,3:00 PM,1hr,66,69,41,38,18,11,31,10,22,42,97,72,29,2018-01-03
16,4:00 PM,1hr,72,162,53,51,21,29,37,27,18,43,90,49,29,2018-01-03
17,5:00 PM,1hr,85,190,49,49,19,41,53,25,45,50,78,63,27,2018-01-03
18,6:00 PM,1hr,65,109,49,48,51,33,55,22,71,53,72,84,23,2018-01-03
19,7:00 PM,1hr,53,121,48,46,38,42,47,27,44,50,71,79,24,2018-01-03
20,8:00 PM,1hr,38,78,44,40,39,160,35,27,35,53,58,73,17,2018-01-03
21,9:00 PM,1hr,37,91,25,40,33,213,31,20,32,46,43,66,14,2018-01-03
22,10:00 PM,1hr,37,109,23,31,27,199,26,28,30,48,36,56,15,2018-01-03
23,11:00 PM,1hr,41,82,39,31,24,67,32,28,28,51,38,50,21,2018-01-03
24,12:00 AM,1hr,48,31,54,25,19,47,26,27,22,40,41,44,19,2018-01-03
1,1:00 AM,1hr,41,38,52,27,17,31,23,39,19,43,39,39,16,2018-01-04
2,2:00 AM,1hr,35,113,36,35,14,39,22,27,17,32,41,32,19,2018-01-04
