,*Hour (MST),NO,NO2,PM10,PM2.5,RD,RH,RS,TEMP,WD,WS,Date
1,1:00 AM,5,10,2,1,336.7,84.0,1.0,42,334,2,2022-06-01
2,2:00 AM,8,15,2,1,210.9,85.0,1.0,41,215,1,2022-06-01
3,3:00 AM,7,10,3,2,239.8,87.0,2.0,41,239,2,2022-06-01
4,4:00 AM,11,11,3,2,204.2,87.0,4.0,41,204,4,2022-06-01
5,5:00 AM,16,19,4,3,189.7,89.0,4.0,41,186,4,2022-06-01
6,6:00 AM,17,17,5,3,168.9,91.0,0.0,41,158,0,2022-06-01
7,7:00 AM,35,28,7,5,59.6,91.0,0.0,41,52,1,2022-06-01
8,8:00 AM,27,25,8,6,48.2,91.0,0.0,41,90,0,2022-06-01
9,9:00 AM,24,21,10,7,141.3,86.0,1.0,43,129,1,2022-06-01
10,10:00 AM,31,18,5,3,160.3,75.0,1.0,45,142,2,2022-06-01
11,11:00 AM,27,19,11,4,135.3,68.0,1.0,48,122,2,2022-06-01
12,12:00 PM,27,16,13,5,63.2,63.0,0.0,50,43,2,2022-06-01
13,1:00 PM,15,15,11,5,90.7,62.0,1.0,51,94,2,2022-06-01
14,2:00 PM,11,12,11,6,107.9,61.0,1.0,53,111,3,2022-06-01
15,3:00 PM,20,18,18,5,4.7,61.0,3.0,55,359,4,2022-06-01
16,4:00 PM,9,12,7,3,12.4,61.0,4.0,55,8,4,2022-06-01
17,5:00 PM,1,4,3,2,37.0,65.0,6.0,55,38,6,2022-06-01
18,6:00 PM,7,10,6,3,15.4,64.0,6.0,55,12,6,2022-06-01
19,7:00 PM,17,22,8,4,4.9,63.0,4.0,55,3,5,2022-06-01
20,8:00 PM,17,22,11,5,349.4,64.0,4.0,55,348,4,2022-06-01
21,9:00 PM,17,23,16,8,310.2,63.0,2.0,55,303,2,2022-06-01
22,10:00 PM,,,18,11,249.7,65.0,2.0,55,248,2,2022-06-01
1,1:00 AM,2,26,19,13,105.8,72.0,0.0,52,96,0,2022-06-02
2,2:00 AM,27,29,19,13,343.5,79.0,1.0,51,356,1,2022-06-02
3,3:00 AM,35,29,20,13,355.4,84.0,1.0,49,345,1,2022-06-02
4,4:00 AM,50,28,20,14,305.2,83.0,1.0,48,314,1,2022-06-02
5,5:00 AM,85,26,19,13,312.5,80.0,2.0,48,308,2,2022-06-02
6,6:00 AM,115,27,28,14,299.3,76.0,1.0,49,293,2,2022-06-02
7,7:00 AM,50,25,33,16,70.5,72.0,0.0,52,69,1,2022-06-02
8,8:00 AM,35,23,37,18,100.5,70.0,1.0,53,95,1,2022-06-02
9,9:00 AM,29,21,39,18,63.1,64.0,1.0,56,63,2,2022-06-02
10,10:00 AM,14,13,31,17,88.5,59.0,2.0,59,94,3,2022-06-02
11,11:00 AM,23,18,34,17,93.1,54.0,1.0,62,100,3,2022-06-02
12,12:00 PM,14,15,31,17,49.8,51.0,2.0,63,47,3,2022-06-02
13,1:00 PM,12,16,27,14,29.0,46.0,4.0,65,29,5,2022-06-02
14,2:00 PM,8,13,25,12,28.4,44.0,4.0,67,28,5,2022-06-02
15,3:00 PM,6,12,21,9,22.5,42.0,6.0,68,21,7,2022-06-02
16,4:00 PM,11,17,20,7,14.3,39.0,4.0,69,11,5,2022-06-02
17,5:00 PM,9,12,11,4,16.1,37.0,5.0,69,16,5,2022-06-02
18,6:00 PM,4,9,9,3,24.6,39.0,5.0,69,23,5,2022-06-02
19,7:00 PM,8,12,10,4,16.8,43.0,5.0,68,14,6,2022-06-02
20,8:00 PM,1,7,9,4,28.0,48.0,5.0,66,27,6,2022-06-02
21,9:00 PM,4,12,12,5,12.1,54.0,4.0,64,12,4,2022-06-02
22,10:00 PM,,,20,6,339.0,56.0,1.0,64,348,2,2022-06-02
1,1:00 AM,8,20,12,6,208.4,58.0,4.0,60,208,5,2022-06-03
2,2:00 AM,8,16,14,6,197.9,62.0,5.0,59,197,5,2022-06-03
3,3:00 AM,6,14,9,4,206.9,64.0,3.0,57,210,3,2022-06-03
4,4:00 AM,18,24,12,5,193.4,66.0,2.0,56,197,2,2022-06-03
5,5:00 AM,51,28,21,9,242.8,68.0,1.0,55,248,2,2022-06-03
6,6:00 AM,80,28,30,12,224.0,65.0,2.0,56,229,2,2022-06-03
7,7:00 AM,70,28,34,13,237.2,59.0,2.0,58,241,2,2022-06-03
8,8:00 AM,50,28,38,16,305.1,55.0,1.0,61,313,1,2022-06-03
9,9:00 AM,46,30,47,15,315.9,51.0,0.0,64,297,1,2022-06-03
10,10:00 AM,21,24,37,16,41.3,51.0,2.0,65,43,2,2022-06-03
11,11:00 AM,22,27,40,15,21.7,48.0,1.0,67,32,2,2022-06-03
12,12:00 PM,22,30,44,14,32.4,42.0,1.0,70,28,2,2022-06-03
13,1:00 PM,20,29,40,13,7.3,39.0,4.0,72,11,5,2022-06-03
14,2:00 PM,23,29,36,11,320.2,40.0,6.0,72,324,7,2022-06-03
15,3:00 PM,9,16,10,4,151.3,26.0,4.0,74,148,5,2022-06-03
16,4:00 PM,21,27,19,5,193.2,28.0,7.0,74,195,8,2022-06-03
17,5:00 PM,14,19,16,4,191.0,31.0,3.0,70,181,6,2022-06-03
18,6:00 PM,38,36,23,5,340.7,30.0,3.0,72,334,4,2022-06-03
19,7:00 PM,9,16,14,4,67.1,32.0,1.0,72,83,1,2022-06-03
20,8:00 PM,2,12,13,4,117.3,40.0,4.0,69,122,4,2022-06-03
21,9:00 PM,4,22,14,5,181.3,43.0,3.0,67,179,3,2022-06-03
22,10:00 PM,,,20,7,198.3,47.0,1.0,66,158,1,2022-06-03
1,1:00 AM,13,25,15,8,231.1,60.0,2.0,59,236,3,2022-06-04
2,2:00 AM,19,26,13,7,208.6,59.0,2.0,58,212,2,2022-06-04
3,3:00 AM,5,26,11,7,143.7,63.0,0.0,56,149,0,2022-06-04
4,4:00 AM,24,28,15,7,311.6,66.0,2.0,55,309,2,2022-06-04
5,5:00 AM,32,27,23,9,291.1,68.0,1.0,54,274,2,2022-06-04
6,6:00 AM,57,27,21,8,204.6,66.0,2.0,55,212,2,2022-06-04
7,7:00 AM,62,27,33,10,208.2,58.0,3.0,59,211,3,2022-06-04
8,8:00 AM,50,26,26,7,194.8,43.0,5.0,63,194,5,2022-06-04
9,9:00 AM,39,27,20,6,194.8,38.0,3.0,68,194,4,2022-06-04
10,10:00 AM,22,22,23,4,179.7,28.0,1.0,73,162,1,2022-06-04
11,11:00 AM,13,19,18,4,128.1,22.0,1.0,77,110,1,2022-06-04
12,12:00 PM,6,11,13,3,112.0,15.0,1.0,80,123,2,2022-06-04
13,1:00 PM,7,12,20,3,9.7,12.0,2.0,82,67,4,2022-06-04
14,2:00 PM,7,11,39,4,2.2,12.0,3.0,82,80,4,2022-06-04
15,3:00 PM,11,17,13,3,333.4,11.0,0.0,84,46,2,2022-06-04
16,4:00 PM,20,22,18,3,309.5,12.0,7.0,83,307,8,2022-06-04
17,5:00 PM,5,12,16,3,18.1,18.0,9.0,79,14,10,2022-06-04
18,6:00 PM,0,4,9,3,46.2,28.0,9.0,74,46,9,2022-06-04
19,7:00 PM,0,6,10,3,98.8,33.0,2.0,73,109,3,2022-06-04
20,8:00 PM,1,8,11,3,157.8,38.0,2.0,72,157,2,2022-06-04
21,9:00 PM,1,,11,4,156.1,37.0,3.0,71,155,3,2022-06-04
22,10:00 PM,,,13,4,200.1,39.0,1.0,71,197,3,2022-06-04
1,1:00 AM,18,33,19,7,274.7,42.0,1.0,65,268,2,2022-06-05
2,2:00 AM,17,34,22,8,216.8,46.0,0.0,64,207,1,2022-06-05
3,3:00 AM,5,21,17,6,208.3,45.0,0.0,64,183,0,2022-06-05
4,4:00 AM,6,25,16,6,240.0,51.0,1.0,63,220,1,2022-06-05
5,5:00 AM,7,20,16,6,333.6,50.0,3.0,62,329,4,2022-06-05
6,6:00 AM,10,19,18,5,316.6,46.0,1.0,63,321,1,2022-06-05
7,7:00 AM,13,18,14,5,201.3,46.0,0.0,64,149,0,2022-06-05
8,8:00 AM,20,23,16,5,231.7,40.0,0.0,67,224,1,2022-06-05
9,9:00 AM,13,18,13,4,160.7,36.0,0.0,70,149,1,2022-06-05
10,10:00 AM,5,13,15,4,119.8,30.0,1.0,73,112,1,2022-06-05
11,11:00 AM,4,9,12,3,160.9,25.0,2.0,76,153,3,2022-06-05
12,12:00 PM,2,5,11,3,130.6,22.0,2.0,77,134,3,2022-06-05
13,1:00 PM,8,13,12,3,240.2,16.0,1.0,82,236,3,2022-06-05
14,2:00 PM,12,15,17,3,262.8,15.0,4.0,82,268,6,2022-06-05
15,3:00 PM,12,14,11,3,310.4,15.0,4.0,82,301,5,2022-06-05
16,4:00 PM,13,13,13,3,329.3,18.0,11.0,81,329,11,2022-06-05
17,5:00 PM,14,17,12,3,342.8,20.0,8.0,80,341,8,2022-06-05
18,6:00 PM,15,20,10,3,315.2,20.0,3.0,80,325,4,2022-06-05
19,7:00 PM,5,9,21,4,15.9,32.0,9.0,74,17,10,2022-06-05
20,8:00 PM,3,8,9,3,13.7,38.0,6.0,70,11,7,2022-06-05
21,9:00 PM,,16,11,4,339.2,41.0,2.0,69,342,3,2022-06-05
22,10:00 PM,,,20,5,316.0,51.0,3.0,68,300,3,2022-06-05
1,1:00 AM,6,19,13,4,198.3,46.0,5.0,67,191,5,2022-06-06
2,2:00 AM,4,15,12,4,205.2,50.0,5.0,65,205,5,2022-06-06
3,3:00 AM,4,12,10,4,215.0,53.0,6.0,63,215,6,2022-06-06
4,4:00 AM,10,18,12,5,207.9,54.0,4.0,61,205,4,2022-06-06
5,5:00 AM,44,29,25,6,208.4,54.0,2.0,61,210,2,2022-06-06
6,6:00 AM,53,29,38,9,270.4,55.0,0.0,61,223,1,2022-06-06
7,7:00 AM,46,27,52,9,11.0,59.0,1.0,61,47,1,2022-06-06
8,8:00 AM,27,20,33,8,52.0,59.0,0.0,63,58,1,2022-06-06
9,9:00 AM,22,20,39,10,60.2,52.0,1.0,67,67,2,2022-06-06
10,10:00 AM,30,24,37,9,80.9,44.0,0.0,69,88,1,2022-06-06
11,11:00 AM,30,26,32,8,128.5,37.0,0.0,73,131,1,2022-06-06
12,12:00 PM,,,23,5,162.5,32.0,1.0,75,152,2,2022-06-06
13,1:00 PM,,,20,4,118.2,28.0,0.0,77,106,2,2022-06-06
14,2:00 PM,10,17,27,5,358.4,28.0,2.0,76,41,3,2022-06-06
15,3:00 PM,30,32,48,11,298.4,47.0,4.0,72,293,6,2022-06-06
16,4:00 PM,34,29,26,7,309.3,48.0,5.0,70,314,6,2022-06-06
17,5:00 PM,31,24,16,4,312.0,44.0,8.0,69,310,9,2022-06-06
18,6:00 PM,34,29,13,4,228.2,42.0,1.0,69,223,3,2022-06-06
19,7:00 PM,28,28,9,3,213.7,33.0,6.0,70,215,6,2022-06-06
20,8:00 PM,19,29,10,3,202.1,31.0,2.0,71,196,3,2022-06-06
21,9:00 PM,16,28,15,4,220.0,35.0,3.0,69,218,3,2022-06-06
22,10:00 PM,,,9,4,204.2,45.0,2.0,67,219,2,2022-06-06
1,1:00 AM,11,22,13,4,337.1,54.0,2.0,62,256,4,2022-06-07
2,2:00 AM,3,10,10,3,347.5,69.0,8.0,58,345,9,2022-06-07
3,3:00 AM,4,8,5,2,343.6,74.0,9.0,57,343,10,2022-06-07
4,4:00 AM,11,13,7,3,345.2,73.0,6.0,57,344,6,2022-06-07
5,5:00 AM,21,20,11,4,348.6,73.0,2.0,57,351,2,2022-06-07
6,6:00 AM,58,29,22,6,300.2,71.0,0.0,58,299,1,2022-06-07
7,7:00 AM,54,32,23,7,203.4,67.0,1.0,59,212,2,2022-06-07
8,8:00 AM,26,19,20,5,173.6,61.0,2.0,61,163,2,2022-06-07
9,9:00 AM,23,19,22,6,118.0,58.0,0.0,62,97,1,2022-06-07
10,10:00 AM,16,16,21,9,53.0,54.0,1.0,64,58,2,2022-06-07
11,11:00 AM,15,15,29,11,77.1,49.0,1.0,67,84,2,2022-06-07
12,12:00 PM,16,18,22,9,103.3,44.0,1.0,70,106,3,2022-06-07
13,1:00 PM,19,22,30,8,21.2,39.0,2.0,74,12,3,2022-06-07
14,2:00 PM,9,16,25,5,46.7,38.0,3.0,76,47,4,2022-06-07
15,3:00 PM,3,9,26,4,59.6,35.0,2.0,78,61,3,2022-06-07
16,4:00 PM,4,10,19,4,70.8,29.0,1.0,79,87,2,2022-06-07
17,5:00 PM,11,18,21,5,23.3,24.0,3.0,81,16,4,2022-06-07
18,6:00 PM,0,4,16,3,32.9,28.0,9.0,79,33,10,2022-06-07
19,7:00 PM,0,4,15,4,51.0,29.0,8.0,78,52,8,2022-06-07
20,8:00 PM,0,4,35,6,36.6,33.0,8.0,73,51,9,2022-06-07
21,9:00 PM,0,3,21,5,18.9,51.0,13.0,64,18,14,2022-06-07
22,10:00 PM,,,8,3,31.4,56.0,8.0,61,34,9,2022-06-07
1,1:00 AM,0,2,3,1,75.7,57.0,5.0,57,75,5,2022-06-08
2,2:00 AM,0,3,3,1,88.7,54.0,5.0,57,88,5,2022-06-08
3,3:00 AM,0,3,3,1,112.6,51.0,1.0,57,117,1,2022-06-08
4,4:00 AM,6,17,12,5,300.2,55.0,1.0,56,299,2,2022-06-08
5,5:00 AM,29,35,12,4,295.3,56.0,2.0,57,294,2,2022-06-08
6,6:00 AM,65,42,21,5,242.0,55.0,1.0,58,248,2,2022-06-08
7,7:00 AM,12,19,17,4,135.9,49.0,1.0,59,126,1,2022-06-08
8,8:00 AM,7,11,9,3,156.4,39.0,3.0,61,156,4,2022-06-08
9,9:00 AM,7,10,10,3,143.2,34.0,4.0,63,135,4,2022-06-08
10,10:00 AM,4,7,13,3,132.5,31.0,4.0,66,130,4,2022-06-08
11,11:00 AM,5,8,17,3,129.1,29.0,4.0,69,123,5,2022-06-08
12,12:00 PM,7,9,20,3,77.8,26.0,2.0,73,85,3,2022-06-08
13,1:00 PM,8,9,15,3,69.2,23.0,3.0,75,67,4,2022-06-08
14,2:00 PM,12,18,24,4,88.7,21.0,1.0,77,82,2,2022-06-08
15,3:00 PM,11,17,19,4,150.3,19.0,0.0,79,149,3,2022-06-08
16,4:00 PM,14,22,27,5,3.7,19.0,2.0,80,13,3,2022-06-08
17,5:00 PM,20,33,25,5,329.1,19.0,3.0,81,328,4,2022-06-08
18,6:00 PM,24,32,32,5,310.9,20.0,7.0,80,312,7,2022-06-08
19,7:00 PM,16,26,23,4,313.5,24.0,11.0,77,313,11,2022-06-08
20,8:00 PM,15,25,22,5,314.1,27.0,6.0,75,309,6,2022-06-08
21,9:00 PM,14,26,21,4,236.2,29.0,1.0,73,237,2,2022-06-08
22,10:00 PM,,,18,4,187.3,30.0,0.0,72,185,1,2022-06-08
1,1:00 AM,3,14,7,3,193.7,48.0,6.0,66,194,6,2022-06-09
2,2:00 AM,3,10,9,3,195.1,50.0,6.0,64,194,6,2022-06-09
