"","model_name","EVAL_SITE","CORR_SITE","MAX","MIN","MEDIAN","AVG","STDEV","NROWS"
"1","wide_Bruce Randolph (CS19) CAMP State Site lm smoke","wide_Bruce Randolph (CS19).csv","CAMP State Site lm smoke",118.598235218666,1.66783213511339,8.56619478541392,11.2726735697768,6.76114936364698,79716
"2","wide_CEC Early College (CS31) CAMP State Site lm smoke","wide_CEC Early College (CS31).csv","CAMP State Site lm smoke",44.9559939740985,3.55327583643532,8.60059296955052,10.6449682645182,5.45784424193933,31035
"3","wide_Centennial (CS12) CAMP State Site lm smoke","wide_Centennial (CS12).csv","CAMP State Site lm smoke",54.5861742992332,2.39636235913876,8.19347285359073,10.0419635462707,5.07543544664469,55698
"4","wide_College View Elem (A2JCKC55_2.3) CAMP State Site lm smoke","wide_College View Elem (A2JCKC55_2.3).csv","CAMP State Site lm smoke",111.409803432503,2.07508662038615,7.89005219593889,10.730284549543,7.52299506532747,62312
"5","wide_Collegiate Prep (CS33) CAMP State Site lm smoke","wide_Collegiate Prep (CS33).csv","CAMP State Site lm smoke",41.8522583866094,3.04094089841984,7.91046186399691,9.70164970797686,4.97397722467403,30385
"6","wide_Columbian Elem (CS23) CAMP State Site lm smoke","wide_Columbian Elem (CS23).csv","CAMP State Site lm smoke",119.248875224396,2.91338034827873,9.2097226270657,11.7453977599169,6.88992219840183,110010
"7","wide_Columbine Elem (CS22) CAMP State Site lm smoke","wide_Columbine Elem (CS22).csv","CAMP State Site lm smoke",110.519748378639,2.89748643424021,8.04815196550669,10.3498144717124,6.02083774166253,118224
"8","wide_Denver Montessori High (CS27) CAMP State Site lm smoke","wide_Denver Montessori High (CS27).csv","CAMP State Site lm smoke",104.256148829811,2.41836354071741,8.33705993667012,10.4773524363179,5.92833580785064,116358
"9","wide_Emily Griffith HS (CS28) CAMP State Site lm smoke","wide_Emily Griffith HS (CS28).csv","CAMP State Site lm smoke",35.8652981817269,3.60427704344797,7.99870180482751,9.60461345552519,4.65098203968994,39636
"10","wide_Farrell B Howell (CS25) CAMP State Site lm smoke","wide_Farrell B Howell (CS25).csv","CAMP State Site lm smoke",130.016276130177,2.3309562083379,8.04532031215481,10.4008812070179,6.28112186829194,120534
"11","wide_Garden Place (CS8) CAMP State Site lm smoke","wide_Garden Place (CS8).csv","CAMP State Site lm smoke",113.196835265084,1.09532058246173,8.10132305875063,10.1979616018929,6.2320742559729,134472
"12","wide_Gust (CS15) CAMP State Site lm smoke","wide_Gust (CS15).csv","CAMP State Site lm smoke",102.374172898709,2.59548253022984,7.79811341742915,9.7902142831411,5.4563129920057,135468
"13","wide_JFK High School (AKLZ678D_3.2) CAMP State Site lm smoke","wide_JFK High School (AKLZ678D_3.2).csv","CAMP State Site lm smoke",111.359414442031,1.14762323343524,8.31449094702567,11.0746479448249,7.29788671977905,29880
"14","wide_Joe Shoemaker (CS21) CAMP State Site lm smoke","wide_Joe Shoemaker (CS21).csv","CAMP State Site lm smoke",107.159300845899,2.13709134702668,7.56804635545814,9.86611742611703,5.97130094707564,120588
"15","wide_Manual HS (CS9) CAMP State Site lm smoke","wide_Manual HS (CS9).csv","CAMP State Site lm smoke",101.892973253771,0.70707514640239,7.24060081122068,9.16503463236229,6.16858457967082,115344
"16","wide_Merrill Middle School (CJ_002) CAMP State Site lm smoke","wide_Merrill Middle School (CJ_002).csv","CAMP State Site lm smoke",38.3049238182825,2.12453424831174,7.49700856014501,8.94106935409055,4.49198189893621,18085
"17","wide_MLK HS (CS32) CAMP State Site lm smoke","wide_MLK HS (CS32).csv","CAMP State Site lm smoke",48.2043588839764,2.76852307011585,7.66178835058023,9.48415479222046,5.0808680417903,30955
"18","wide_MSLA (CS34) CAMP State Site lm smoke","wide_MSLA (CS34).csv","CAMP State Site lm smoke",37.268040144385,3.64955025030048,8.56530319071488,10.5950805244526,5.44575306564536,18055
"19","wide_Newlon Elementary (CJ_001) CAMP State Site lm smoke","wide_Newlon Elementary (CJ_001).csv","CAMP State Site lm smoke",44.1580092488305,2.54178988281601,7.76694105457136,9.59676060815003,4.90977616924098,17725
"20","wide_Northeast Early (CS10) CAMP State Site lm smoke","wide_Northeast Early (CS10).csv","CAMP State Site lm smoke",116.871410001098,1.07089690330087,8.31213829585531,10.2178258375285,5.83283180876122,133878
