"","model_name","EVAL_SITE","CORR_SITE","MAX","MIN","MEDIAN","AVG","STDEV","NROWS"
"1","wide_Bruce Randolph (CS19) CAMP State Site rft smoke","wide_Bruce Randolph (CS19).csv","CAMP State Site rft smoke",68.7007833333334,1.22583333333333,7.95755,10.0804401735983,7.28671191147535,79716
"2","wide_CEC Early College (CS31) CAMP State Site rft smoke","wide_CEC Early College (CS31).csv","CAMP State Site rft smoke",45.0186333333333,1.21966666666667,8.04872916666666,9.66181174054392,6.1063825532396,31035
"3","wide_Centennial (CS12) CAMP State Site rft smoke","wide_Centennial (CS12).csv","CAMP State Site rft smoke",48.6993361111111,0.924783333333334,7.5567,8.99073292098342,5.77535865599815,55698
"4","wide_College View Elem (A2JCKC55_2.3) CAMP State Site rft smoke","wide_College View Elem (A2JCKC55_2.3).csv","CAMP State Site rft smoke",71.9566333333333,1.05107936507936,7.39824166666667,9.92183714774311,8.19076317314019,62312
"5","wide_Collegiate Prep (CS33) CAMP State Site rft smoke","wide_Collegiate Prep (CS33).csv","CAMP State Site rft smoke",42.75455,0.815066666666667,6.95576666666667,8.4692850600939,5.61787799017663,30385
"6","wide_Columbian Elem (CS23) CAMP State Site rft smoke","wide_Columbian Elem (CS23).csv","CAMP State Site rft smoke",69.8575,1.02464502164502,8.65796666666667,10.5639210962135,7.24034470667927,110010
"7","wide_Columbine Elem (CS22) CAMP State Site rft smoke","wide_Columbine Elem (CS22).csv","CAMP State Site rft smoke",69.1589833333334,0.828261688311688,7.34473333333333,9.20011472502295,6.78767036395611,118224
"8","wide_Denver Montessori High (CS27) CAMP State Site rft smoke","wide_Denver Montessori High (CS27).csv","CAMP State Site rft smoke",68.0386333333334,0.925733333333334,7.67668333333333,9.40371249531424,6.65753766069371,116358
"9","wide_Emily Griffith HS (CS28) CAMP State Site rft smoke","wide_Emily Griffith HS (CS28).csv","CAMP State Site rft smoke",44.7538833333333,1.19698333333333,6.79054166666666,8.28347559645619,5.8022545522751,39636
"10","wide_Farrell B Howell (CS25) CAMP State Site rft smoke","wide_Farrell B Howell (CS25).csv","CAMP State Site rft smoke",69.6546333333334,0.854877777777778,7.17413333333333,9.17550697574331,6.90521844409488,120534
"11","wide_Garden Place (CS8) CAMP State Site rft smoke","wide_Garden Place (CS8).csv","CAMP State Site rft smoke",71.36985,1.04568333333333,7.73108333333334,9.64329267410953,6.92698720967668,134472
"12","wide_Gust (CS15) CAMP State Site rft smoke","wide_Gust (CS15).csv","CAMP State Site rft smoke",69.2344833333334,0.976316666666667,6.884625,8.51588874832297,6.18929035598066,135468
"13","wide_JFK High School (AKLZ678D_3.2) CAMP State Site rft smoke","wide_JFK High School (AKLZ678D_3.2).csv","CAMP State Site rft smoke",70.06245,1.4984,7.51065833333334,10.0752839483481,8.38491570178426,29880
