,*Hour (MST),,ADM,**ASPN2,CAMP,CASA,CCOL,CHAT,FTCF,GJPB,GREH,I25DEN,I25GLO,LNGM,NJH,**SWAN,WBY,Date
1,1:00 AM,1hr,,6,8,14,9,12,9,,6,0,12,10,13,6,4,2019-01-01
2,2:00 AM,1hr,,7,8,13,12,14,8,,8,0,7,10,13,4,8,2019-01-01
3,3:00 AM,1hr,,7,11,14,20,12,8,,7,0,10,10,11,5,5,2019-01-01
4,4:00 AM,1hr,,9,7,12,13,13,9,,7,0,7,11,10,4,3,2019-01-01
5,5:00 AM,1hr,,8,6,10,13,13,8,,5,0,6,9,7,2,0,2019-01-01
6,6:00 AM,1hr,,7,6,9,14,14,8,,3,0,4,8,7,2,4,2019-01-01
7,7:00 AM,1hr,,8,7,10,12,14,9,,3,0,5,7,10,3,2,2019-01-01
8,8:00 AM,1hr,,9,8,11,10,16,7,,8,0,7,6,12,4,7,2019-01-01
9,9:00 AM,1hr,,9,11,13,10,16,3,,5,0,10,6,14,6,5,2019-01-01
10,10:00 AM,1hr,,10,11,15,14,17,5,,5,0,10,6,16,7,6,2019-01-01
11,11:00 AM,1hr,,9,11,16,11,17,5,,3,9,15,10,16,7,14,2019-01-01
12,12:00 PM,1hr,,8,14,20,7,19,7,,4,1,20,13,15,7,14,2019-01-01
13,1:00 PM,1hr,,7,14,20,9,19,8,,8,1,24,14,15,8,7,2019-01-01
14,2:00 PM,1hr,,6,14,20,13,21,9,,10,0,22,14,15,7,12,2019-01-01
15,3:00 PM,1hr,,7,16,22,18,22,11,,12,0,17,16,15,8,17,2019-01-01
16,4:00 PM,1hr,,16,17,23,9,23,14,,12,0,20,17,17,7,19,2019-01-01
17,5:00 PM,1hr,,18,16,24,16,25,15,,15,1,18,18,17,8,8,2019-01-01
18,6:00 PM,1hr,,11,18,26,8,24,19,,17,1,18,23,23,9,16,2019-01-01
19,7:00 PM,1hr,,17,21,24,11,21,19,,18,1,23,26,19,12,8,2019-01-01
20,8:00 PM,1hr,,20,24,33,17,21,27,,15,1,33,29,28,15,15,2019-01-01
21,9:00 PM,1hr,,23,23,38,19,21,26,,18,1,35,30,30,15,18,2019-01-01
22,10:00 PM,1hr,,19,22,32,20,21,23,,23,1,34,28,36,16,16,2019-01-01
23,11:00 PM,1hr,,24,21,31,21,20,22,,26,0,26,28,27,17,18,2019-01-01
24,12:00 AM,1hr,,19,19,28,18,18,21,,22,1,23,30,30,16,18,2019-01-01
1,1:00 AM,1hr,,17,13,22,14,19,19,,28,1,21,32,24,15,16,2019-01-02
2,2:00 AM,1hr,,17,17,27,10,17,20,,26,0,31,29,18,15,17,2019-01-02
3,3:00 AM,1hr,,12,22,36,7,14,20,,27,1,35,24,21,17,18,2019-01-02
4,4:00 AM,1hr,,8,19,39,6,11,21,,28,1,33,27,16,15,26,2019-01-02
5,5:00 AM,1hr,,7,18,31,5,10,21,,29,1,29,22,16,12,23,2019-01-02
6,6:00 AM,1hr,,5,12,25,5,10,20,,36,0,23,23,13,9,17,2019-01-02
7,7:00 AM,1hr,,3,6,15,6,9,24,,33,0,17,26,10,5,24,2019-01-02
8,8:00 AM,1hr,,7,6,17,8,8,31,,31,0,20,30,11,5,15,2019-01-02
9,9:00 AM,1hr,,11,9,24,7,10,28,,26,0,45,25,11,5,19,2019-01-02
10,10:00 AM,1hr,,12,12,20,8,11,17,,36,0,109,24,11,5,26,2019-01-02
11,11:00 AM,1hr,,11,16,19,12,9,12,,42,,113,27,12,5,36,2019-01-02
12,12:00 PM,1hr,,6,18,23,16,6,12,,31,,120,35,18,6,22,2019-01-02
13,1:00 PM,1hr,,6,23,25,17,6,12,,35,34,146,20,42,8,21,2019-01-02
14,2:00 PM,1hr,,5,18,25,23,8,16,,44,33,148,20,14,8,26,2019-01-02
15,3:00 PM,1hr,,4,20,29,20,8,15,,47,73,122,20,24,6,35,2019-01-02
16,4:00 PM,1hr,,4,30,33,27,10,15,,44,87,301,22,24,6,35,2019-01-02
17,5:00 PM,1hr,,10,51,55,48,15,22,,70,,308,32,43,9,195,2019-01-02
18,6:00 PM,1hr,,19,73,51,55,13,42,,96,36,149,41,47,15,42,2019-01-02
19,7:00 PM,1hr,,24,58,46,51,7,18,,100,28,60,31,40,16,26,2019-01-02
20,8:00 PM,1hr,,25,30,37,36,8,13,,89,24,41,31,31,12,26,2019-01-02
21,9:00 PM,1hr,,26,11,33,27,6,15,,90,14,24,28,17,7,20,2019-01-02
22,10:00 PM,1hr,,43,7,18,21,7,22,,77,7,13,33,17,4,24,2019-01-02
23,11:00 PM,1hr,,44,8,19,20,7,21,,52,9,14,26,22,4,10,2019-01-02
24,12:00 AM,1hr,,44,8,15,13,7,29,,58,9,12,33,22,3,16,2019-01-02
1,1:00 AM,1hr,,22,10,16,8,7,27,,59,18,12,27,24,3,15,2019-01-03
2,2:00 AM,1hr,,6,5,16,5,7,32,,34,23,9,33,20,2,21,2019-01-03
3,3:00 AM,1hr,,6,7,18,4,6,25,,30,19,8,37,15,2,11,2019-01-03
4,4:00 AM,1hr,,5,3,11,3,6,16,,28,16,6,24,25,2,3,2019-01-03
5,5:00 AM,1hr,,5,7,11,3,5,11,,27,11,11,19,24,2,2,2019-01-03
6,6:00 AM,1hr,,4,11,11,5,8,9,,24,9,17,17,47,3,8,2019-01-03
7,7:00 AM,1hr,,2,10,12,9,9,12,,23,12,27,20,42,3,13,2019-01-03
8,8:00 AM,1hr,,3,15,16,18,18,19,,26,16,29,23,28,4,18,2019-01-03
9,9:00 AM,1hr,,7,17,18,26,12,20,,31,13,49,25,30,3,25,2019-01-03
10,10:00 AM,1hr,,7,25,30,47,14,33,,37,20,71,88,33,5,41,2019-01-03
11,11:00 AM,1hr,,2,36,33,33,15,28,,37,23,102,91,37,6,42,2019-01-03
12,12:00 PM,1hr,,2,20,27,27,10,16,,49,30,109,47,41,8,43,2019-01-03
13,1:00 PM,1hr,,2,41,27,36,10,20,,31,27,92,36,43,12,27,2019-01-03
14,2:00 PM,1hr,,2,33,22,3,10,21,,57,33,88,24,45,9,58,2019-01-03
15,3:00 PM,1hr,,2,62,24,4,9,20,,55,30,69,26,25,7,38,2019-01-03
16,4:00 PM,1hr,,5,150,19,14,13,21,,66,29,125,36,28,3,19,2019-01-03
17,5:00 PM,1hr,,6,236,38,42,28,39,,74,43,170,78,101,13,42,2019-01-03
18,6:00 PM,1hr,,16,119,63,46,17,42,,94,83,192,70,176,14,72,2019-01-03
19,7:00 PM,1hr,,21,73,67,44,7,48,,93,53,157,57,62,11,93,2019-01-03
20,8:00 PM,1hr,,30,23,51,24,4,41,,161,24,62,62,35,8,60,2019-01-03
21,9:00 PM,1hr,,45,11,25,9,5,38,,132,13,25,47,27,4,47,2019-01-03
22,10:00 PM,1hr,,30,11,24,9,5,32,,106,12,21,36,22,5,40,2019-01-03
23,11:00 PM,1hr,,32,5,17,11,7,41,,105,14,13,23,23,4,22,2019-01-03
24,12:00 AM,1hr,,33,5,16,9,7,36,,111,14,10,29,18,3,22,2019-01-03
1,1:00 AM,1hr,,24,3,13,8,7,26,,113,18,7,30,12,3,10,2019-01-04
2,2:00 AM,1hr,,23,2,10,6,6,18,,87,14,5,28,8,2,8,2019-01-04
3,3:00 AM,1hr,,18,3,9,5,5,17,,72,12,5,21,7,1,7,2019-01-04
4,4:00 AM,1hr,,11,2,8,4,4,14,,55,10,5,18,5,1,4,2019-01-04
5,5:00 AM,1hr,,9,2,6,5,4,11,,44,8,9,24,5,4,5,2019-01-04
6,6:00 AM,1hr,,9,5,5,3,6,10,,25,9,10,24,7,2,9,2019-01-04
7,7:00 AM,1hr,,6,22,10,5,11,12,,45,14,22,20,9,2,15,2019-01-04
8,8:00 AM,1hr,,6,15,14,8,17,13,,28,16,31,23,13,3,24,2019-01-04
9,9:00 AM,1hr,,10,14,20,19,14,15,,51,29,46,27,20,3,22,2019-01-04
10,10:00 AM,1hr,,10,30,28,29,12,20,,58,30,92,57,41,4,65,2019-01-04
11,11:00 AM,1hr,,3,39,40,43,21,35,,69,34,113,110,56,6,111,2019-01-04
12,12:00 PM,1hr,,3,48,39,23,14,33,,147,39,100,63,37,6,61,2019-01-04
13,1:00 PM,1hr,,3,60,37,23,16,27,,110,34,80,35,28,5,61,2019-01-04
14,2:00 PM,1hr,,5,43,27,15,11,36,22,59,25,56,34,24,4,55,2019-01-04
15,3:00 PM,1hr,,5,41,35,26,27,25,22,100,30,56,44,17,3,33,2019-01-04
16,4:00 PM,1hr,,10,60,38,21,22,34,20,79,41,49,43,21,6,19,2019-01-04
17,5:00 PM,1hr,,16,209,97,53,29,57,19,78,89,109,71,36,4,39,2019-01-04
18,6:00 PM,1hr,,21,305,134,52,67,52,17,129,133,136,78,109,13,71,2019-01-04
19,7:00 PM,1hr,,39,262,91,44,12,40,19,147,112,131,78,102,17,63,2019-01-04
20,8:00 PM,1hr,,67,200,54,47,11,32,19,162,32,78,65,80,18,88,2019-01-04
21,9:00 PM,1hr,,62,99,64,32,10,41,18,158,44,83,57,61,13,66,2019-01-04
22,10:00 PM,1hr,,47,24,70,17,9,36,19,148,31,47,54,37,7,34,2019-01-04
23,11:00 PM,1hr,,34,42,46,13,11,36,29,84,35,30,47,31,4,30,2019-01-04
24,12:00 AM,1hr,,23,18,28,9,14,32,25,93,29,29,56,27,4,30,2019-01-04
1,1:00 AM,1hr,,13,15,23,7,8,29,24,82,25,18,44,22,3,24,2019-01-05
2,2:00 AM,1hr,,9,11,17,5,7,26,29,61,24,11,33,17,3,19,2019-01-05
3,3:00 AM,1hr,,7,9,17,4,8,23,24,51,18,14,30,11,2,12,2019-01-05
4,4:00 AM,1hr,,5,7,14,3,9,24,22,66,14,12,21,11,2,10,2019-01-05
5,5:00 AM,1hr,,3,11,14,3,3,21,22,58,13,14,20,10,1,9,2019-01-05
6,6:00 AM,1hr,,2,7,12,4,4,18,23,44,11,18,17,12,1,12,2019-01-05
7,7:00 AM,1hr,,8,24,13,5,6,11,22,41,11,22,21,15,4,18,2019-01-05
8,8:00 AM,1hr,,4,32,13,14,14,11,25,39,11,23,28,17,5,22,2019-01-05
9,9:00 AM,1hr,,7,41,22,41,33,9,25,58,20,60,38,26,8,42,2019-01-05
10,10:00 AM,1hr,,7,50,30,47,18,11,23,48,20,65,45,26,7,46,2019-01-05
11,11:00 AM,1hr,,1,50,38,32,12,16,24,65,47,66,61,23,5,15,2019-01-05
12,12:00 PM,1hr,,1,49,47,32,8,15,25,70,47,76,39,19,7,24,2019-01-05
13,1:00 PM,1hr,,4,59,48,23,6,13,34,59,49,59,33,34,8,47,2019-01-05
14,2:00 PM,1hr,,2,67,48,47,11,12,34,46,42,61,30,26,7,42,2019-01-05
15,3:00 PM,1hr,,2,51,41,47,16,17,29,39,44,56,33,32,8,19,2019-01-05
16,4:00 PM,1hr,,3,61,49,32,28,29,30,34,50,82,31,54,10,26,2019-01-05
17,5:00 PM,1hr,,6,84,70,44,48,33,29,61,37,85,44,55,9,31,2019-01-05
18,6:00 PM,1hr,,7,89,78,43,42,45,28,69,32,90,76,67,11,34,2019-01-05
19,7:00 PM,1hr,,11,99,80,45,36,48,29,81,91,86,72,72,13,30,2019-01-05
20,8:00 PM,1hr,,18,79,76,29,29,56,32,126,68,68,68,84,13,28,2019-01-05
21,9:00 PM,1hr,,14,78,66,27,23,61,35,101,58,67,64,89,14,36,2019-01-05
22,10:00 PM,1hr,,14,70,62,25,25,59,36,96,48,68,61,78,13,25,2019-01-05
23,11:00 PM,1hr,,10,66,58,24,25,50,36,88,48,64,49,50,7,22,2019-01-05
24,12:00 AM,1hr,,13,57,57,24,27,38,37,85,51,62,47,46,8,31,2019-01-05
1,1:00 AM,1hr,,11,74,55,25,28,32,35,56,46,69,44,49,9,26,2019-01-06
2,2:00 AM,1hr,,10,70,49,26,22,32,34,42,45,70,34,39,10,34,2019-01-06
3,3:00 AM,1hr,,8,65,63,27,23,29,28,34,41,61,34,38,10,37,2019-01-06
4,4:00 AM,1hr,,5,54,49,29,22,28,26,32,32,50,31,38,12,29,2019-01-06
5,5:00 AM,1hr,,4,44,45,30,21,24,35,27,29,46,31,34,11,20,2019-01-06
6,6:00 AM,1hr,,2,31,39,,21,23,27,34,28,40,29,31,10,14,2019-01-06
7,7:00 AM,1hr,,3,29,37,,22,21,25,32,25,34,27,32,8,10,2019-01-06
8,8:00 AM,1hr,,4,19,36,11,20,21,25,59,25,31,27,28,9,13,2019-01-06
9,9:00 AM,1hr,,4,25,35,15,20,25,27,49,22,28,30,34,8,17,2019-01-06
