"date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
2018-06-02 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",28.3,"",""
2018-06-02 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.75,"","ug/m3"
2018-06-02 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.625,"","ug/m3"
2018-06-02 08:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",71.3,"","F"
2018-06-02 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25.7,"",""
2018-06-02 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.25,"","ug/m3"
2018-06-02 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.1,"","ug/m3"
2018-06-02 09:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",73.8,"","F"
2018-06-02 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",25,"",""
2018-06-02 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.267,"","ug/m3"
2018-06-02 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.2,"","ug/m3"
2018-06-02 10:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",74.8,"","F"
2018-06-02 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.9,"",""
2018-06-02 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.133,"","ug/m3"
2018-06-02 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0333,"","ug/m3"
2018-06-02 11:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",75.4,"","F"
2018-06-02 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.8,"",""
2018-06-02 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0833,"","ug/m3"
2018-06-02 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0,"","ug/m3"
2018-06-02 12:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",76,"","F"
2018-06-02 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",24.5,"",""
2018-06-02 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.183,"","ug/m3"
2018-06-02 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.15,"","ug/m3"
2018-06-02 13:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",77.1,"","F"
2018-06-02 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.9,"",""
2018-06-02 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.2,"","ug/m3"
2018-06-02 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.117,"","ug/m3"
2018-06-02 14:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",78.8,"","F"
2018-06-02 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.2,"",""
2018-06-02 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.117,"","ug/m3"
2018-06-02 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.0667,"","ug/m3"
2018-06-02 15:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",80.5,"","F"
2018-06-02 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",22.6,"",""
2018-06-02 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.167,"","ug/m3"
2018-06-02 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.15,"","ug/m3"
2018-06-02 16:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",81.6,"","F"
2018-06-02 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.1,"",""
2018-06-02 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.0333,"","ug/m3"
2018-06-02 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0,"","ug/m3"
2018-06-02 17:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"temperature",80.3,"","F"
2018-06-02 18:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"humidity",23.9,"",""
2018-06-02 18:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm10",0.533,"","ug/m3"
2018-06-02 18:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_p",NA,"missing","ug/m3"
2018-06-02 18:00:00,"I-25 Glo Collo (CS2)","I-25 Globeville State Site","Lunar",39.7859,-104.98887,"pm25_r",0.533,"","ug/m3"
