"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2017-12-31 18:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",19.63,"","ug/m3"
"2","2017-12-31 19:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"3","2017-12-31 20:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"4","2017-12-31 21:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",19.71,"","ug/m3"
"5","2017-12-31 22:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",20.016,"","ug/m3"
"6","2017-12-31 23:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"7","2018-01-01 00:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",23.8,"","ug/m3"
"8","2018-01-01 01:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",25.8793333333333,"","ug/m3"
"9","2018-01-01 02:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",34.1936666666667,"","ug/m3"
"10","2018-01-01 03:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",38.22,"","ug/m3"
"11","2018-01-01 04:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",40.902,"","ug/m3"
"12","2018-01-01 05:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",40.0356666666667,"","ug/m3"
"13","2018-01-01 06:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",41.0333333333333,"","ug/m3"
"14","2018-01-01 07:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",42.6546666666667,"","ug/m3"
"15","2018-01-01 08:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",40.4406666666667,"","ug/m3"
"16","2018-01-01 09:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",43.18,"","ug/m3"
"17","2018-01-01 10:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",43.6206666666667,"","ug/m3"
"18","2018-01-01 11:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",44.218275862069,"","ug/m3"
"19","2018-01-01 12:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",44.2836666666667,"","ug/m3"
"20","2018-01-01 13:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",43.0593333333333,"","ug/m3"
"21","2018-01-01 14:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",40.6896551724138,"","ug/m3"
"22","2018-01-01 15:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",40.6663333333333,"","ug/m3"
"23","2018-01-01 16:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",40.402,"","ug/m3"
"24","2018-01-01 17:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",39.022,"","ug/m3"
"25","2018-01-01 18:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",37.6243333333333,"","ug/m3"
"26","2018-01-01 19:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",37.8116666666667,"","ug/m3"
"27","2018-01-01 20:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",38.6933333333333,"","ug/m3"
"28","2018-01-01 21:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",41.163,"","ug/m3"
"29","2018-01-01 22:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",41.475,"","ug/m3"
"30","2018-01-01 23:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",43.8613333333333,"","ug/m3"
"31","2018-01-02 00:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",45.8753333333333,"","ug/m3"
"32","2018-01-02 01:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",48.4443333333333,"","ug/m3"
"33","2018-01-02 02:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",46.2036666666667,"","ug/m3"
"34","2018-01-02 03:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",44.5853333333333,"","ug/m3"
"35","2018-01-02 04:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",46.2143333333333,"","ug/m3"
"36","2018-01-02 05:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",45.062,"","ug/m3"
"37","2018-01-02 06:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",44.2146666666667,"","ug/m3"
"38","2018-01-02 07:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",39.9436666666667,"","ug/m3"
"39","2018-01-02 08:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",32.903,"","ug/m3"
"40","2018-01-02 09:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",20.798,"","ug/m3"
"41","2018-01-02 10:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",8.858,"","ug/m3"
"42","2018-01-02 11:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",2.83633333333333,"","ug/m3"
"43","2018-01-02 12:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",1.91966666666667,"","ug/m3"
"44","2018-01-02 13:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",2.32666666666667,"","ug/m3"
"45","2018-01-02 14:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",1.40833333333333,"","ug/m3"
"46","2018-01-02 15:00:00","26th and Williams B",NA,NA,NA,NA,"pm25_p",2.39833333333333,"","ug/m3"
