"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2019-08-14 12:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",14.4,"",NA
"2","2019-08-14 12:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",5.73,"","ug/m3"
"3","2019-08-14 12:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",4.72,"","ug/m3"
"4","2019-08-14 12:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",106,"high","F"
"5","2019-08-14 13:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",8.06,"",NA
"6","2019-08-14 13:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",2.67,"","ug/m3"
"7","2019-08-14 13:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",1.91,"","ug/m3"
"8","2019-08-14 13:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",114,"high","F"
"9","2019-08-14 14:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",7.53,"",NA
"10","2019-08-14 14:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",2.6,"","ug/m3"
"11","2019-08-14 14:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.03,"","ug/m3"
"12","2019-08-14 14:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",116,"high","F"
"13","2019-08-14 15:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",7.59,"",NA
"14","2019-08-14 15:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",2.97,"","ug/m3"
"15","2019-08-14 15:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.2,"","ug/m3"
"16","2019-08-14 15:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"temperature",116,"high","F"
"17","2019-08-14 16:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"humidity",7.74,"",NA
"18","2019-08-14 16:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm10",3.34,"","ug/m3"
"19","2019-08-14 16:00:00","Clarity-5 (CN A7J1SWYY) INACTIVE",NA,NA,NA,NA,"pm25_p",2.55,"","ug/m3"
