"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2019-08-14 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",18.1,"",NA
"2","2019-08-14 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",9.71,"","ug/m3"
"3","2019-08-14 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",9.03,"","ug/m3"
"4","2019-08-14 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",104,"high","F"
"5","2019-08-14 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",11.8,"",NA
"6","2019-08-14 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",4.56,"","ug/m3"
"7","2019-08-14 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",4.02,"","ug/m3"
"8","2019-08-14 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",109,"high","F"
"9","2019-08-14 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",7.82,"",NA
"10","2019-08-14 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",2.61,"","ug/m3"
"11","2019-08-14 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",2.38,"","ug/m3"
"12","2019-08-14 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",115,"high","F"
"13","2019-08-14 14:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",7.44,"",NA
"14","2019-08-14 14:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",2.73,"","ug/m3"
"15","2019-08-14 14:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",2.44,"","ug/m3"
"16","2019-08-14 14:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",116,"high","F"
"17","2019-08-14 15:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",7.59,"",NA
"18","2019-08-14 15:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",2.83,"","ug/m3"
"19","2019-08-14 15:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",2.61,"","ug/m3"
"20","2019-08-14 15:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",116,"high","F"
"21","2019-08-14 16:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",8.3,"",NA
"22","2019-08-14 16:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.6,"","ug/m3"
"23","2019-08-14 16:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.32,"","ug/m3"
"24","2019-08-14 16:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",114,"high","F"
"25","2019-08-14 17:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",9.71,"",NA
"26","2019-08-14 17:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.5,"","ug/m3"
"27","2019-08-14 17:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.03,"","ug/m3"
"28","2019-08-14 17:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",109,"high","F"
"29","2019-08-14 18:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",12.8,"",NA
"30","2019-08-14 18:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.94,"","ug/m3"
"31","2019-08-14 18:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.44,"","ug/m3"
"32","2019-08-14 18:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",101,"high","F"
"33","2019-08-14 19:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",15.7,"",NA
"34","2019-08-14 19:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",4.7,"","ug/m3"
"35","2019-08-14 19:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.92,"","ug/m3"
"36","2019-08-14 19:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",95.9,"","F"
"37","2019-08-14 20:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",20,"",NA
"38","2019-08-14 20:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",4.04,"","ug/m3"
"39","2019-08-14 20:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.45,"","ug/m3"
"40","2019-08-14 20:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",92.3,"","F"
"41","2019-08-14 21:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",22.3,"",NA
"42","2019-08-14 21:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",2.96,"","ug/m3"
"43","2019-08-14 21:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",2.54,"","ug/m3"
"44","2019-08-14 21:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",89.8,"","F"
"45","2019-08-14 22:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",24.3,"",NA
"46","2019-08-14 22:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.94,"","ug/m3"
"47","2019-08-14 22:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.42,"","ug/m3"
"48","2019-08-14 22:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",87.5,"","F"
"49","2019-08-14 23:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",38,"",NA
"50","2019-08-14 23:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.41,"","ug/m3"
"51","2019-08-14 23:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.01,"","ug/m3"
"52","2019-08-14 23:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",82.7,"","F"
"53","2019-08-15 00:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",40.1,"",NA
"54","2019-08-15 00:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.75,"","ug/m3"
"55","2019-08-15 00:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.41,"","ug/m3"
"56","2019-08-15 00:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",80.7,"","F"
"57","2019-08-15 01:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",35.4,"",NA
"58","2019-08-15 01:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.65,"","ug/m3"
"59","2019-08-15 01:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.34,"","ug/m3"
"60","2019-08-15 01:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",79.8,"","F"
"61","2019-08-15 02:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",32.1,"",NA
"62","2019-08-15 02:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",4.11,"","ug/m3"
"63","2019-08-15 02:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.63,"","ug/m3"
"64","2019-08-15 02:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",79.1,"","F"
"65","2019-08-15 03:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",26.6,"",NA
"66","2019-08-15 03:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.71,"","ug/m3"
"67","2019-08-15 03:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.17,"","ug/m3"
"68","2019-08-15 03:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",78.6,"","F"
"69","2019-08-15 04:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",29.2,"",NA
"70","2019-08-15 04:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.65,"","ug/m3"
"71","2019-08-15 04:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",3.19,"","ug/m3"
"72","2019-08-15 04:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",78.6,"","F"
"73","2019-08-15 05:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",31.7,"",NA
"74","2019-08-15 05:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",5.39,"","ug/m3"
"75","2019-08-15 05:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",4.52,"","ug/m3"
"76","2019-08-15 05:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",78.8,"","F"
"77","2019-08-15 06:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",30,"",NA
"78","2019-08-15 06:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",5.13,"","ug/m3"
"79","2019-08-15 06:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",4.53,"","ug/m3"
"80","2019-08-15 06:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",79.7,"","F"
"81","2019-08-15 07:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",26,"",NA
"82","2019-08-15 07:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",4.83,"","ug/m3"
"83","2019-08-15 07:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",4.09,"","ug/m3"
"84","2019-08-15 07:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",82.3,"","F"
"85","2019-08-15 08:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",22.1,"",NA
"86","2019-08-15 08:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",5.74,"","ug/m3"
"87","2019-08-15 08:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",4.94,"","ug/m3"
"88","2019-08-15 08:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",86.5,"","F"
"89","2019-08-15 09:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",13.7,"",NA
"90","2019-08-15 09:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",3.38,"","ug/m3"
"91","2019-08-15 09:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",2.89,"","ug/m3"
"92","2019-08-15 09:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",92.4,"","F"
"93","2019-08-15 10:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",10.2,"",NA
"94","2019-08-15 10:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",2.39,"","ug/m3"
"95","2019-08-15 10:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",2.03,"","ug/m3"
"96","2019-08-15 10:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",97.8,"high","F"
"97","2019-08-15 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",7.09,"",NA
"98","2019-08-15 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",2.21,"","ug/m3"
"99","2019-08-15 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",1.83,"","ug/m3"
"100","2019-08-15 11:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",106,"high","F"
"101","2019-08-15 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",5.34,"",NA
"102","2019-08-15 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",1.49,"","ug/m3"
"103","2019-08-15 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",1.28,"","ug/m3"
"104","2019-08-15 12:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",111,"high","F"
"105","2019-08-15 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",5.23,"",NA
"106","2019-08-15 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",1.67,"","ug/m3"
"107","2019-08-15 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm25_p",1.54,"","ug/m3"
"108","2019-08-15 13:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"temperature",114,"high","F"
"109","2019-08-15 14:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"humidity",5.35,"",NA
"110","2019-08-15 14:00:00","Clarity-7 INACTIVE",NA,NA,NA,NA,"pm10",1.69,"","ug/m3"
