"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2018-03-01 11:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",7.064,"","ug/m3"
"2","2018-03-01 12:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",10.0058333333333,"","ug/m3"
"3","2018-03-01 13:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",8.00714285714286,"","ug/m3"
"4","2018-03-01 14:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",3.06285714285714,"","ug/m3"
"5","2018-03-01 15:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",2.604375,"","ug/m3"
"6","2018-03-01 16:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",1.90333333333333,"","ug/m3"
"7","2018-03-01 17:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"8","2018-03-01 18:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"9","2018-03-01 19:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"10","2018-03-01 20:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"11","2018-03-01 21:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"12","2018-03-01 22:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"13","2018-03-01 23:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"14","2018-03-02 00:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"15","2018-03-02 01:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"16","2018-03-02 02:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"17","2018-03-02 03:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"18","2018-03-02 04:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"19","2018-03-02 05:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"20","2018-03-02 06:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"21","2018-03-02 07:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"22","2018-03-02 08:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"23","2018-03-02 09:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"24","2018-03-02 10:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",0.600909090909091,"","ug/m3"
"25","2018-03-02 11:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",0.598461538461538,"","ug/m3"
"26","2018-03-02 12:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",0.34,"","ug/m3"
"27","2018-03-02 13:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",0.776153846153846,"","ug/m3"
"28","2018-03-02 14:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",0.6925,"","ug/m3"
"29","2018-03-02 15:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",0.535714285714286,"","ug/m3"
"30","2018-03-02 16:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"31","2018-03-02 17:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"32","2018-03-02 18:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"33","2018-03-02 19:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"34","2018-03-02 20:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"35","2018-03-02 21:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"36","2018-03-02 22:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"37","2018-03-02 23:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"38","2018-03-03 00:00:00","Construction Dust Monitor (A) [Sensor B]",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
