"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2017-12-31 18:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",39.3,"","ug/m3"
"2","2017-12-31 19:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",NA,"missing","ug/m3"
"3","2017-12-31 20:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",NA,"missing","ug/m3"
"4","2017-12-31 21:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",39.27,"","ug/m3"
"5","2017-12-31 22:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",39.27,"","ug/m3"
"6","2017-12-31 23:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",NA,"missing","ug/m3"
"7","2018-01-01 00:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",41.68,"","ug/m3"
"8","2018-01-01 01:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",39.1316666666667,"","ug/m3"
"9","2018-01-01 02:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",33.397,"","ug/m3"
"10","2018-01-01 03:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",37.3393333333333,"","ug/m3"
"11","2018-01-01 04:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",40.6503333333333,"","ug/m3"
"12","2018-01-01 05:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",41.2446666666667,"","ug/m3"
"13","2018-01-01 06:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",43.825,"","ug/m3"
"14","2018-01-01 07:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",44.2713333333333,"","ug/m3"
"15","2018-01-01 08:00:00","Melody-Catalpa B","Melody Catalpa","PurpleAir",NA,NA,"pm25_p",45.8483333333333,"","ug/m3"
