"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2022-03-25 07:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"humidity",19.2,"",""
"2","2022-03-25 07:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm10",0.057,"","ug/m3"
"3","2022-03-25 07:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_p",5.49,"","ug/m3"
"4","2022-03-25 07:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_r",0.011,"","ug/m3"
"5","2022-03-25 07:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"temperature",68.8,"","F"
"6","2022-03-25 08:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"humidity",17.3,"",""
"7","2022-03-25 08:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm10",0.282,"","ug/m3"
"8","2022-03-25 08:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_p",5.75,"","ug/m3"
"9","2022-03-25 08:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_r",0.2,"","ug/m3"
"10","2022-03-25 08:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"temperature",69,"","F"
"11","2022-03-25 09:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"humidity",25.7,"",""
"12","2022-03-25 09:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm10",1.37,"","ug/m3"
"13","2022-03-25 09:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_p",5.35,"","ug/m3"
"14","2022-03-25 09:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_r",1.14,"","ug/m3"
"15","2022-03-25 09:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"temperature",59.2,"","F"
"16","2022-03-25 10:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"humidity",34.4,"",""
"17","2022-03-25 10:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm10",2.56,"","ug/m3"
"18","2022-03-25 10:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_p",4.96,"","ug/m3"
"19","2022-03-25 10:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_r",2.35,"","ug/m3"
"20","2022-03-25 10:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"temperature",52.5,"","F"
"21","2022-03-25 11:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"humidity",31.3,"",""
"22","2022-03-25 11:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm10",2.73,"","ug/m3"
"23","2022-03-25 11:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_p",5.22,"","ug/m3"
"24","2022-03-25 11:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"pm25_r",2.38,"","ug/m3"
"25","2022-03-25 11:00:00","Sandra Todd-Williams Academy (CJ_004)",NA,NA,NA,NA,"temperature",56,"","F"
