"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2020-12-31 17:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"2","2020-12-31 18:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"3","2020-12-31 19:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"4","2020-12-31 20:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"5","2020-12-31 21:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"6","2020-12-31 22:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"7","2020-12-31 23:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"8","2021-01-01 00:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"9","2021-01-01 01:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"10","2021-01-01 02:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"11","2021-01-01 03:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"12","2021-01-01 04:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"13","2021-01-01 05:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"14","2021-01-01 06:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"15","2021-01-01 07:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"16","2021-01-01 08:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"17","2021-01-01 09:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"18","2021-01-01 10:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"19","2021-01-01 11:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"20","2021-01-01 12:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"21","2021-01-01 13:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"22","2021-01-01 14:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"23","2021-01-01 15:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"24","2021-01-01 16:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"25","2021-01-01 17:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"26","2021-01-01 18:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"27","2021-01-01 19:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
"28","2021-01-01 20:00:00","Welch airnow","Welch","Airnow",NA,NA,"pm25_p",NA,"missing","ug/m3"
