"","date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
"1","2017-12-31 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.88,"","ug/m3"
"2","2017-12-31 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"3","2017-12-31 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"4","2017-12-31 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.98125,"","ug/m3"
"5","2017-12-31 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.69,"","ug/m3"
"6","2017-12-31 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"7","2018-01-01 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",35.53,"","ug/m3"
"8","2018-01-01 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",36.6806666666667,"","ug/m3"
"9","2018-01-01 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",41.9266666666667,"","ug/m3"
"10","2018-01-01 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",40.9923333333333,"","ug/m3"
"11","2018-01-01 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",40.9593333333333,"","ug/m3"
"12","2018-01-01 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",42.9593333333333,"","ug/m3"
"13","2018-01-01 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",42.367,"","ug/m3"
"14","2018-01-01 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",43.174,"","ug/m3"
"15","2018-01-01 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",43.6863333333333,"","ug/m3"
"16","2018-01-01 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",44.1786666666667,"","ug/m3"
"17","2018-01-01 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",44.633,"","ug/m3"
"18","2018-01-01 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",44.0734482758621,"","ug/m3"
"19","2018-01-01 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",43.876,"","ug/m3"
"20","2018-01-01 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",43.975,"","ug/m3"
"21","2018-01-01 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",43.2420689655172,"","ug/m3"
"22","2018-01-01 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",43.8523333333333,"","ug/m3"
"23","2018-01-01 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",42.0483333333333,"","ug/m3"
"24","2018-01-01 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",41.323,"","ug/m3"
"25","2018-01-01 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",41.456,"","ug/m3"
"26","2018-01-01 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",40.7613333333333,"","ug/m3"
"27","2018-01-01 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",41.3196666666667,"","ug/m3"
"28","2018-01-01 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",46.597,"","ug/m3"
"29","2018-01-01 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",48.244,"","ug/m3"
"30","2018-01-01 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",51.7783333333333,"","ug/m3"
"31","2018-01-02 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",53.124,"","ug/m3"
"32","2018-01-02 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",50.512,"","ug/m3"
"33","2018-01-02 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",45.2096666666667,"","ug/m3"
"34","2018-01-02 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",47.175,"","ug/m3"
"35","2018-01-02 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",50.0066666666667,"","ug/m3"
"36","2018-01-02 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",51.2966666666667,"","ug/m3"
"37","2018-01-02 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",51.8673333333333,"","ug/m3"
"38","2018-01-02 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",50.223,"","ug/m3"
"39","2018-01-02 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",32.1066666666667,"","ug/m3"
"40","2018-01-02 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",11.446,"","ug/m3"
"41","2018-01-02 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.49666666666667,"","ug/m3"
"42","2018-01-02 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",3.58666666666667,"","ug/m3"
"43","2018-01-02 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",3.447,"","ug/m3"
"44","2018-01-02 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",4.09133333333333,"","ug/m3"
"45","2018-01-02 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.25666666666667,"","ug/m3"
"46","2018-01-02 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.982,"","ug/m3"
"47","2018-01-02 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.64766666666667,"","ug/m3"
"48","2018-01-02 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.96733333333333,"","ug/m3"
"49","2018-01-02 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",11.138,"","ug/m3"
"50","2018-01-02 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.876,"","ug/m3"
"51","2018-01-02 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",28.3816666666667,"","ug/m3"
"52","2018-01-02 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",18.6266666666667,"","ug/m3"
"53","2018-01-02 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",13.9586666666667,"","ug/m3"
"54","2018-01-02 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",16.5596666666667,"","ug/m3"
"55","2018-01-03 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",23.0256666666667,"","ug/m3"
"56","2018-01-03 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",24.5026666666667,"","ug/m3"
"57","2018-01-03 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",20.211,"","ug/m3"
"58","2018-01-03 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.832,"","ug/m3"
"59","2018-01-03 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.531,"","ug/m3"
"60","2018-01-03 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.1176666666667,"","ug/m3"
"61","2018-01-03 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.2106666666667,"","ug/m3"
"62","2018-01-03 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",13.4576666666667,"","ug/m3"
"63","2018-01-03 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",7.22066666666667,"","ug/m3"
"64","2018-01-03 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.02666666666667,"","ug/m3"
"65","2018-01-03 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.03266666666667,"","ug/m3"
"66","2018-01-03 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",0.576,"","ug/m3"
"67","2018-01-03 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.09833333333333,"","ug/m3"
"68","2018-01-03 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.992,"","ug/m3"
"69","2018-01-03 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.62666666666667,"","ug/m3"
"70","2018-01-03 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.834,"","ug/m3"
"71","2018-01-03 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",6.99433333333333,"","ug/m3"
"72","2018-01-03 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",8.89833333333333,"","ug/m3"
"73","2018-01-03 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",9.849,"","ug/m3"
"74","2018-01-03 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.0128571428571,"","ug/m3"
"75","2018-01-03 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",22.4623333333333,"","ug/m3"
"76","2018-01-03 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",20.8306666666667,"","ug/m3"
"77","2018-01-03 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.6906666666667,"","ug/m3"
"78","2018-01-03 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",16.914,"","ug/m3"
"79","2018-01-04 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",19.1143333333333,"","ug/m3"
"80","2018-01-04 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",19.9863333333333,"","ug/m3"
"81","2018-01-04 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.6373333333333,"","ug/m3"
"82","2018-01-04 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.032,"","ug/m3"
"83","2018-01-04 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",10.9196666666667,"","ug/m3"
"84","2018-01-04 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",7.96766666666667,"","ug/m3"
"85","2018-01-04 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",7.05966666666667,"","ug/m3"
"86","2018-01-04 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",9.27166666666667,"","ug/m3"
"87","2018-01-04 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",8.87366666666667,"","ug/m3"
"88","2018-01-04 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",4.871,"","ug/m3"
"89","2018-01-04 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.534,"","ug/m3"
"90","2018-01-04 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.12533333333333,"","ug/m3"
"91","2018-01-04 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.31366666666667,"","ug/m3"
"92","2018-01-04 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.66566666666667,"","ug/m3"
"93","2018-01-04 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.58466666666667,"","ug/m3"
"94","2018-01-04 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.649,"","ug/m3"
"95","2018-01-04 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.56533333333333,"","ug/m3"
"96","2018-01-04 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",3.89066666666667,"","ug/m3"
"97","2018-01-04 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.26766666666667,"","ug/m3"
"98","2018-01-04 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",9.40933333333333,"","ug/m3"
"99","2018-01-04 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.543,"","ug/m3"
"100","2018-01-04 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",19.7773333333333,"","ug/m3"
"101","2018-01-04 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",20.51,"","ug/m3"
"102","2018-01-04 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",22.0046666666667,"","ug/m3"
"103","2018-01-05 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",24.303,"","ug/m3"
"104","2018-01-05 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.739,"","ug/m3"
"105","2018-01-05 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",19.9846666666667,"","ug/m3"
"106","2018-01-05 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",19.8116666666667,"","ug/m3"
"107","2018-01-05 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",16.5493333333333,"","ug/m3"
"108","2018-01-05 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",15.7166666666667,"","ug/m3"
"109","2018-01-05 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.2396666666667,"","ug/m3"
"110","2018-01-05 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.8863333333333,"","ug/m3"
"111","2018-01-05 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",15.0863333333333,"","ug/m3"
"112","2018-01-05 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",10.3753333333333,"","ug/m3"
"113","2018-01-05 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",10.213,"","ug/m3"
"114","2018-01-05 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.94133333333333,"","ug/m3"
"115","2018-01-05 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.73666666666667,"","ug/m3"
"116","2018-01-05 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",5.57366666666667,"","ug/m3"
"117","2018-01-05 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",10.6513333333333,"","ug/m3"
"118","2018-01-05 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.8016666666667,"","ug/m3"
"119","2018-01-05 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",11.1683333333333,"","ug/m3"
"120","2018-01-05 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",10.851,"","ug/m3"
"121","2018-01-05 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.849,"","ug/m3"
"122","2018-01-05 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",23.6746666666667,"","ug/m3"
"123","2018-01-05 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",31.1496666666667,"","ug/m3"
"124","2018-01-05 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",32.5353333333333,"","ug/m3"
"125","2018-01-05 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",25.9806666666667,"","ug/m3"
"126","2018-01-05 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",18.295,"","ug/m3"
"127","2018-01-06 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",16.9056666666667,"","ug/m3"
"128","2018-01-06 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.543,"","ug/m3"
"129","2018-01-06 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",22.055,"","ug/m3"
"130","2018-01-06 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.1196666666667,"","ug/m3"
"131","2018-01-06 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",18.4576666666667,"","ug/m3"
"132","2018-01-06 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",11.3266666666667,"","ug/m3"
"133","2018-01-06 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",12.532,"","ug/m3"
"134","2018-01-06 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.003,"","ug/m3"
"135","2018-01-06 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.75,"","ug/m3"
"136","2018-01-06 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",20.4136666666667,"","ug/m3"
"137","2018-01-06 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.4796666666667,"","ug/m3"
"138","2018-01-06 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",18.3483333333333,"","ug/m3"
"139","2018-01-06 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",15.8276666666667,"","ug/m3"
"140","2018-01-06 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.4113333333333,"","ug/m3"
"141","2018-01-06 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",27.381,"","ug/m3"
"142","2018-01-06 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",13.344,"","ug/m3"
"143","2018-01-06 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.567,"","ug/m3"
"144","2018-01-06 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.4966666666667,"","ug/m3"
"145","2018-01-06 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",23.684,"","ug/m3"
"146","2018-01-06 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",31.3883333333333,"","ug/m3"
"147","2018-01-06 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",31.8293333333333,"","ug/m3"
"148","2018-01-06 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",31.2643333333333,"","ug/m3"
"149","2018-01-06 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",31.95,"","ug/m3"
"150","2018-01-06 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",32.7183333333333,"","ug/m3"
"151","2018-01-07 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",32.152,"","ug/m3"
"152","2018-01-07 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",32.7253333333333,"","ug/m3"
"153","2018-01-07 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",35.3453333333333,"","ug/m3"
"154","2018-01-07 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",33.7703333333333,"","ug/m3"
"155","2018-01-07 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",35.167,"","ug/m3"
"156","2018-01-07 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",33.699,"","ug/m3"
"157","2018-01-07 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",16.4936666666667,"","ug/m3"
"158","2018-01-07 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",15.4573333333333,"","ug/m3"
"159","2018-01-07 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.5196666666667,"","ug/m3"
"160","2018-01-07 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",4.75933333333333,"","ug/m3"
"161","2018-01-07 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",3.96266666666667,"","ug/m3"
"162","2018-01-07 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",4.93966666666667,"","ug/m3"
"163","2018-01-07 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",4.64833333333333,"","ug/m3"
"164","2018-01-07 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",4.29533333333333,"","ug/m3"
"165","2018-01-07 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",3.48866666666667,"","ug/m3"
"166","2018-01-07 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",3.25566666666667,"","ug/m3"
"167","2018-01-07 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",1.53966666666667,"","ug/m3"
"168","2018-01-07 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",0.694827586206897,"","ug/m3"
"169","2018-01-07 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",2.18766666666667,"","ug/m3"
"170","2018-01-07 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",9.72033333333333,"","ug/m3"
"171","2018-01-07 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.1566666666667,"","ug/m3"
"172","2018-01-07 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",14.5964285714286,"","ug/m3"
"173","2018-01-07 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",17.5006666666667,"","ug/m3"
"174","2018-01-07 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",25.7613333333333,"","ug/m3"
"175","2018-01-08 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",10.8293103448276,"","ug/m3"
"176","2018-01-08 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",11.5193333333333,"","ug/m3"
"177","2018-01-08 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",11.3256666666667,"","ug/m3"
"178","2018-01-08 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",9.23233333333333,"","ug/m3"
"179","2018-01-08 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",8.436,"","ug/m3"
"180","2018-01-08 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",7.97366666666667,"","ug/m3"
"181","2018-01-08 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",8.97733333333333,"","ug/m3"
"182","2018-01-08 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",13.6672,"","ug/m3"
"183","2018-01-08 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",16.3803448275862,"","ug/m3"
"184","2018-01-08 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",26.5406666666667,"","ug/m3"
"185","2018-01-08 10:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",27.3996428571429,"","ug/m3"
"186","2018-01-08 11:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",26.187,"","ug/m3"
"187","2018-01-08 12:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",24.7536666666667,"","ug/m3"
"188","2018-01-08 13:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",21.982,"","ug/m3"
"189","2018-01-08 14:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",27.4706666666667,"","ug/m3"
"190","2018-01-08 15:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",30.8723076923077,"","ug/m3"
"191","2018-01-08 16:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"192","2018-01-08 17:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"193","2018-01-08 18:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"194","2018-01-08 19:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"195","2018-01-08 20:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"196","2018-01-08 21:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"197","2018-01-08 22:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"198","2018-01-08 23:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"199","2018-01-09 00:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"200","2018-01-09 01:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"201","2018-01-09 02:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"202","2018-01-09 03:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"203","2018-01-09 04:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"204","2018-01-09 05:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"205","2018-01-09 06:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"206","2018-01-09 07:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"207","2018-01-09 08:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
"208","2018-01-09 09:00:00","West Denver PA-II",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
