"","date","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks","val.pm25_p"
"1","2017-12-31 18:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2017-12-31,0,0,19.63
"2","2017-12-31 19:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"3","2017-12-31 20:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"4","2017-12-31 21:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2017-12-31,0,0,19.71
"5","2017-12-31 22:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2017-12-31,0,0,20.016
"6","2017-12-31 23:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"7","2018-01-01 00:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,23.8
"8","2018-01-01 01:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,25.8793333333333
"9","2018-01-01 02:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,34.1936666666667
"10","2018-01-01 03:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,38.22
"11","2018-01-01 04:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.902
"12","2018-01-01 05:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.0356666666667
"13","2018-01-01 06:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.0333333333333
"14","2018-01-01 07:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,42.6546666666667
"15","2018-01-01 08:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.4406666666667
"16","2018-01-01 09:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,43.18
"17","2018-01-01 10:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,43.6206666666667
"18","2018-01-01 11:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,44.218275862069
"19","2018-01-01 12:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,44.2836666666667
"20","2018-01-01 13:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,43.0593333333333
"21","2018-01-01 14:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.6896551724138
"22","2018-01-01 15:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.6663333333333
"23","2018-01-01 16:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.402
"24","2018-01-01 17:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,39.022
"25","2018-01-01 18:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,37.6243333333333
"26","2018-01-01 19:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,37.8116666666667
"27","2018-01-01 20:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,38.6933333333333
"28","2018-01-01 21:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.163
"29","2018-01-01 22:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.475
"30","2018-01-01 23:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-01,1,0,43.8613333333333
"31","2018-01-02 00:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,45.8753333333333
"32","2018-01-02 01:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,48.4443333333333
"33","2018-01-02 02:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,46.2036666666667
"34","2018-01-02 03:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,44.5853333333333
"35","2018-01-02 04:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,46.2143333333333
"36","2018-01-02 05:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,45.062
"37","2018-01-02 06:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,44.2146666666667
"38","2018-01-02 07:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,39.9436666666667
"39","2018-01-02 08:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,32.903
"40","2018-01-02 09:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,20.798
"41","2018-01-02 10:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,8.858
"42","2018-01-02 11:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,2.83633333333333
"43","2018-01-02 12:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,1.91966666666667
"44","2018-01-02 13:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,2.32666666666667
"45","2018-01-02 14:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,1.40833333333333
"46","2018-01-02 15:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,2.39833333333333
"47","2018-01-02 16:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,1.79933333333333
"48","2018-01-02 17:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,4.52266666666667
"49","2018-01-02 18:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,7.28633333333333
"50","2018-01-02 19:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,8.461
"51","2018-01-02 20:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,7.10733333333333
"52","2018-01-02 21:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,7.245
"53","2018-01-02 22:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,5.80133333333333
"54","2018-01-02 23:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-02,2,0,5.45333333333333
"55","2018-01-03 00:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,5.91
"56","2018-01-03 01:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,4.03266666666667
"57","2018-01-03 02:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,2.64333333333333
"58","2018-01-03 03:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,28.2903333333333
"59","2018-01-03 04:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,8.62066666666667
"60","2018-01-03 05:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,2.47166666666667
"61","2018-01-03 06:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,1.496
"62","2018-01-03 07:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,2.45033333333333
"63","2018-01-03 08:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,3.04333333333333
"64","2018-01-03 09:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,2.265
"65","2018-01-03 10:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,0.857
"66","2018-01-03 11:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,0.794333333333333
"67","2018-01-03 12:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,0.628
"68","2018-01-03 13:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,1.05166666666667
"69","2018-01-03 14:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,3.30666666666667
"70","2018-01-03 15:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,7.621
"71","2018-01-03 16:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,7.62133333333333
"72","2018-01-03 17:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,9.26466666666667
"73","2018-01-03 18:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,13.0086666666667
"74","2018-01-03 19:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,13.6128571428571
"75","2018-01-03 20:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,10.5066666666667
"76","2018-01-03 21:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,8.78833333333333
"77","2018-01-03 22:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,10.3686666666667
"78","2018-01-03 23:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-03,3,0,13.547
"79","2018-01-04 00:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,15.1803333333333
"80","2018-01-04 01:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,10.875
"81","2018-01-04 02:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,6.34266666666667
"82","2018-01-04 03:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,4.554
"83","2018-01-04 04:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,3.79166666666667
"84","2018-01-04 05:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,4.356
"85","2018-01-04 06:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,2.884
"86","2018-01-04 07:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,2.77866666666667
"87","2018-01-04 08:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,2.849
"88","2018-01-04 09:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,3.2148275862069
"89","2018-01-04 10:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,4.13766666666667
"90","2018-01-04 11:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,2.41066666666667
"91","2018-01-04 12:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,1.031
"92","2018-01-04 13:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,0.832666666666667
"93","2018-01-04 14:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,0.534333333333333
"94","2018-01-04 15:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,0.482
"95","2018-01-04 16:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,0.713666666666667
"96","2018-01-04 17:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,2.20466666666667
"97","2018-01-04 18:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,4.03866666666667
"98","2018-01-04 19:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,5.547
"99","2018-01-04 20:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,12.1586666666667
"100","2018-01-04 21:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,13.0906666666667
"101","2018-01-04 22:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,9.6675
"102","2018-01-04 23:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-04,4,0,8.5
"103","2018-01-05 00:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,6.85666666666667
"104","2018-01-05 01:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,5.02166666666667
"105","2018-01-05 02:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,4.709
"106","2018-01-05 03:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,5.12
"107","2018-01-05 04:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,4.38666666666667
"108","2018-01-05 05:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,3.91133333333333
"109","2018-01-05 06:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,4.333
"110","2018-01-05 07:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,3.25666666666667
"111","2018-01-05 08:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,4.245
"112","2018-01-05 09:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,4.03566666666667
"113","2018-01-05 10:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,3.84766666666667
"114","2018-01-05 11:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,5.70033333333333
"115","2018-01-05 12:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,5.34533333333333
"116","2018-01-05 13:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,7.359
"117","2018-01-05 14:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,11.266
"118","2018-01-05 15:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,10.4703333333333
"119","2018-01-05 16:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,14.7636666666667
"120","2018-01-05 17:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,25.0313333333333
"121","2018-01-05 18:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,34.4753333333333
"122","2018-01-05 19:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,32.2703333333333
"123","2018-01-05 20:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,29.2963333333333
"124","2018-01-05 21:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,27.7510344827586
"125","2018-01-05 22:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,6.932
"126","2018-01-05 23:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-05,5,0,16.5796666666667
"127","2018-01-06 00:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,22.9136666666667
"128","2018-01-06 01:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,7.657
"129","2018-01-06 02:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,4.84133333333333
"130","2018-01-06 03:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,4.01966666666667
"131","2018-01-06 04:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,4.023
"132","2018-01-06 05:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,3.857
"133","2018-01-06 06:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,17.3676666666667
"134","2018-01-06 07:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,16.0096666666667
"135","2018-01-06 08:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,9.657
"136","2018-01-06 09:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,17.1956666666667
"137","2018-01-06 10:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,19.78
"138","2018-01-06 11:00:00","26th and Williams B",NA,NA,NA,2017-12-31,2018-01-06,6,0,24.4703333333333
