"","date","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks","val.pm25_p"
"1","2017-12-31 18:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2017-12-31,0,0,19.49
"2","2017-12-31 19:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"3","2017-12-31 20:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"4","2017-12-31 21:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2017-12-31,0,0,17.5457142857143
"5","2017-12-31 22:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2017-12-31,0,0,17.368
"6","2017-12-31 23:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"7","2018-01-01 00:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,19.4825
"8","2018-01-01 01:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,26.542
"9","2018-01-01 02:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.996
"10","2018-01-01 03:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.478
"11","2018-01-01 04:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,39.201
"12","2018-01-01 05:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,39.3026666666667
"13","2018-01-01 06:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,38.4196666666667
"14","2018-01-01 07:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.6113333333333
"15","2018-01-01 08:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,38.0406666666667
"16","2018-01-01 09:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,43.9403333333333
"17","2018-01-01 10:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,47.4043333333333
"18","2018-01-01 11:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,50.5027586206897
"19","2018-01-01 12:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,46.1143333333333
"20","2018-01-01 13:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.697
"21","2018-01-01 14:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.1889655172414
"22","2018-01-01 15:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,41.3996153846154
"23","2018-01-01 16:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,42.122
"24","2018-01-01 17:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,39.73
"25","2018-01-01 18:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,37.7543333333333
"26","2018-01-01 19:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,37.559
"27","2018-01-01 20:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,37.9686666666667
"28","2018-01-01 21:00:00","Swansea (DEH)",NA,NA,NA,2017-12-31,2018-01-01,1,0,40.3156666666667
