"","date","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks","val.pm25_p"
"1","2017-12-31 18:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2017-12-31,0,0,19.54
"2","2017-12-31 19:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2017-12-31,0,0,NA
"3","2017-12-31 20:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2017-12-31,0,0,NA
"4","2017-12-31 21:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2017-12-31,0,0,20.81
"5","2017-12-31 22:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2017-12-31,0,0,20.993
"6","2017-12-31 23:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2017-12-31,0,0,NA
"7","2018-01-01 00:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,24.385
"8","2018-01-01 01:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,27.7783333333333
"9","2018-01-01 02:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,36.6926666666667
"10","2018-01-01 03:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,40.5983333333333
"11","2018-01-01 04:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,43.0673333333333
"12","2018-01-01 05:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,42.8676666666667
"13","2018-01-01 06:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,43.7533333333333
"14","2018-01-01 07:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,45.5883333333333
"15","2018-01-01 08:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,43.0883333333333
"16","2018-01-01 09:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,46.9543333333333
"17","2018-01-01 10:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,47.5556666666667
"18","2018-01-01 11:00:00","The GrowHaus","PurpleAir",39.77121,-104.9592,2017-12-31,2018-01-01,1,0,48.3010344827586
