"","date","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks","val.pm25_p"
"1","2017-12-31 18:00:00","Thornton B",NA,NA,NA,2017-12-31,2017-12-31,0,0,42.76
"2","2017-12-31 19:00:00","Thornton B",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"3","2017-12-31 20:00:00","Thornton B",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"4","2017-12-31 21:00:00","Thornton B",NA,NA,NA,2017-12-31,2017-12-31,0,0,69.86125
"5","2017-12-31 22:00:00","Thornton B",NA,NA,NA,2017-12-31,2017-12-31,0,0,90.588
"6","2017-12-31 23:00:00","Thornton B",NA,NA,NA,2017-12-31,2017-12-31,0,0,NA
"7","2018-01-01 00:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,69.4475
"8","2018-01-01 01:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,74.3586666666667
"9","2018-01-01 02:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,65.677
"10","2018-01-01 03:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,67.9266666666667
"11","2018-01-01 04:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,56.6783333333333
"12","2018-01-01 05:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,73.3416666666667
"13","2018-01-01 06:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,63.0893333333333
"14","2018-01-01 07:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,61.6583333333333
"15","2018-01-01 08:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,58.8003333333333
"16","2018-01-01 09:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,72.268
"17","2018-01-01 10:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,75.9543333333333
"18","2018-01-01 11:00:00","Thornton B",NA,NA,NA,2017-12-31,2018-01-01,1,0,58.7944827586207
