"","date","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks","val.pm25_p"
"1","2018-03-01 23:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-01,0,0,3.74944444444444
"2","2018-03-02 00:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.908
"3","2018-03-02 01:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,1.292
"4","2018-03-02 02:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,39.343
"5","2018-03-02 03:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,2.954
"6","2018-03-02 04:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,1.033
"7","2018-03-02 05:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.3675
"8","2018-03-02 06:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.212
"9","2018-03-02 07:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.2935
"10","2018-03-02 08:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.436
"11","2018-03-02 09:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.7615
"12","2018-03-02 10:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.282
"13","2018-03-02 11:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.4365
"14","2018-03-02 12:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.2405
"15","2018-03-02 13:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.47
"16","2018-03-02 14:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.285
"17","2018-03-02 15:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.2865
"18","2018-03-02 16:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,1.639
"19","2018-03-02 17:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.137
"20","2018-03-02 18:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.28
"21","2018-03-02 19:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,0.5765
"22","2018-03-02 20:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,3.0945
"23","2018-03-02 21:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,2.437
"24","2018-03-02 22:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,5.053
"25","2018-03-02 23:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-02,1,0,5.421
"26","2018-03-03 00:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,6.057
"27","2018-03-03 01:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,10.1375
"28","2018-03-03 02:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,7.1365
"29","2018-03-03 03:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,5.3805
"30","2018-03-03 04:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,5.938
"31","2018-03-03 05:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,3.85210526315789
"32","2018-03-03 06:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,6.6155
"33","2018-03-03 07:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,8.991
"34","2018-03-03 08:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,19.0455
"35","2018-03-03 09:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,14.596
"36","2018-03-03 10:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,4.4185
"37","2018-03-03 11:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,4.668
"38","2018-03-03 12:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,5.2815
"39","2018-03-03 13:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,3.145
"40","2018-03-03 14:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,0.443
"41","2018-03-03 15:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,4.495
"42","2018-03-03 16:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,2.1635
"43","2018-03-03 17:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,2.385
"44","2018-03-03 18:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,5.129
"45","2018-03-03 19:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,3.4635
"46","2018-03-03 20:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,3.915
"47","2018-03-03 21:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,2.626
"48","2018-03-03 22:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,3.4695
"49","2018-03-03 23:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-03,2,0,4.4585
"50","2018-03-04 00:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,5.88
"51","2018-03-04 01:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,7.14
"52","2018-03-04 02:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,10.792
"53","2018-03-04 03:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,17.597
"54","2018-03-04 04:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,9.6965
"55","2018-03-04 05:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,10.2945
"56","2018-03-04 06:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,11.3095
"57","2018-03-04 07:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,10.1915
"58","2018-03-04 08:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,11.8335
"59","2018-03-04 09:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,12.761
"60","2018-03-04 10:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,10.3195
"61","2018-03-04 11:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,7.3525
"62","2018-03-04 12:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,3.0605
"63","2018-03-04 13:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,7.2425
"64","2018-03-04 14:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,5.6905
"65","2018-03-04 15:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.8785
"66","2018-03-04 16:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.714
"67","2018-03-04 17:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.155
"68","2018-03-04 18:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.3765
"69","2018-03-04 19:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,4.042
"70","2018-03-04 20:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,3.3985
"71","2018-03-04 21:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.4885
"72","2018-03-04 22:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.5015
"73","2018-03-04 23:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-04,3,0,2.5885
"74","2018-03-05 00:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,2.3425
"75","2018-03-05 01:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,2.1955
"76","2018-03-05 02:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,3.4165
"77","2018-03-05 03:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,6.379
"78","2018-03-05 04:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,5.5885
"79","2018-03-05 05:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,4.4875
"80","2018-03-05 06:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,5.01578947368421
"81","2018-03-05 07:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,6.31055555555556
"82","2018-03-05 08:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,8.47421052631579
"83","2018-03-05 09:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,13.179
"84","2018-03-05 10:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,14.4225
"85","2018-03-05 11:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,10.1455
"86","2018-03-05 12:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,6.282
"87","2018-03-05 13:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,5.17421052631579
"88","2018-03-05 14:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,4.3285
"89","2018-03-05 15:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,1.6215
"90","2018-03-05 16:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,1.1325
"91","2018-03-05 17:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,2.7695
"92","2018-03-05 18:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,1.8915
"93","2018-03-05 19:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,3.1085
"94","2018-03-05 20:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,3.32384615384615
"95","2018-03-05 21:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,4.193
"96","2018-03-05 22:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,5.40736842105263
"97","2018-03-05 23:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-05,4,0,10.7515
"98","2018-03-06 00:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-06,5,0,7.7115
"99","2018-03-06 01:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-06,5,0,6.3945
"100","2018-03-06 02:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-06,5,0,9.522
"101","2018-03-06 03:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-06,5,0,10.2285
"102","2018-03-06 04:00:00","Woods Park","PurpleAir",NA,NA,2018-03-01,2018-03-06,5,0,9.843
