"","X.1","date","X","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks.x","val.humidity","val.pm10","val.pm25_p","val.pm25_r","val.temperature","flag"
"1",1,"2021-12-31 17:00:00",1001,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.4,7.52,6.79,6.39,27.7,0
"2",2,"2021-12-31 17:00:00",1002,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.4,7.52,6.79,6.39,27.7,0
"3",3,"2021-12-31 17:00:00",1003,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.4,7.52,6.79,6.39,27.7,0
"4",4,"2021-12-31 17:00:00",1004,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.4,7.52,6.79,6.39,27.7,0
"5",5,"2021-12-31 17:00:00",1005,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.4,7.52,6.79,6.39,27.7,0
"6",6,"2021-12-31 18:00:00",1006,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77.2,17.6,12.8,15,23.1,0
"7",7,"2021-12-31 18:00:00",1007,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77.2,17.6,12.8,15,23.1,0
"8",8,"2021-12-31 18:00:00",1008,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77.2,17.6,12.8,15,23.1,0
"9",9,"2021-12-31 18:00:00",1009,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77.2,17.6,12.8,15,23.1,0
"10",10,"2021-12-31 18:00:00",1010,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77.2,17.6,12.8,15,23.1,0
"11",11,"2021-12-31 19:00:00",1011,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.5,19.9,14.3,17,20.4,0
"12",12,"2021-12-31 19:00:00",1012,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.5,19.9,14.3,17,20.4,0
"13",13,"2021-12-31 19:00:00",1013,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.5,19.9,14.3,17,20.4,0
"14",14,"2021-12-31 19:00:00",1014,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.5,19.9,14.3,17,20.4,0
"15",15,"2021-12-31 19:00:00",1015,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,80.5,19.9,14.3,17,20.4,0
"16",16,"2021-12-31 20:00:00",1016,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,78.5,20.8,15.1,18.1,20.1,0
"17",17,"2021-12-31 20:00:00",1017,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,78.5,20.8,15.1,18.1,20.1,0
"18",18,"2021-12-31 20:00:00",1018,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,78.5,20.8,15.1,18.1,20.1,0
"19",19,"2021-12-31 20:00:00",1019,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,78.5,20.8,15.1,18.1,20.1,0
"20",20,"2021-12-31 20:00:00",1020,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,78.5,20.8,15.1,18.1,20.1,0
"21",21,"2021-12-31 21:00:00",1021,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77,18.9,13.8,16.4,19.6,0
"22",22,"2021-12-31 21:00:00",1022,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77,18.9,13.8,16.4,19.6,0
"23",23,"2021-12-31 21:00:00",1023,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77,18.9,13.8,16.4,19.6,0
"24",24,"2021-12-31 21:00:00",1024,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77,18.9,13.8,16.4,19.6,0
"25",25,"2021-12-31 21:00:00",1025,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,77,18.9,13.8,16.4,19.6,0
"26",26,"2021-12-31 22:00:00",1026,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,75.8,18.1,13.3,15.6,19.2,0
"27",27,"2021-12-31 22:00:00",1027,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,75.8,18.1,13.3,15.6,19.2,0
"28",28,"2021-12-31 22:00:00",1028,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,75.8,18.1,13.3,15.6,19.2,0
"29",29,"2021-12-31 22:00:00",1029,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,75.8,18.1,13.3,15.6,19.2,0
"30",30,"2021-12-31 22:00:00",1030,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,75.8,18.1,13.3,15.6,19.2,0
"31",31,"2021-12-31 23:00:00",1031,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,76.6,14.9,11.2,12.7,18.1,0
"32",32,"2021-12-31 23:00:00",1032,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,76.6,14.9,11.2,12.7,18.1,0
"33",33,"2021-12-31 23:00:00",1033,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,76.6,14.9,11.2,12.7,18.1,0
"34",34,"2021-12-31 23:00:00",1034,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,76.6,14.9,11.2,12.7,18.1,0
"35",35,"2021-12-31 23:00:00",1035,"Merrill Middle School (CJ_002)","Lunar",39.68838,-104.9468,"2021-12-23","2021-12-31",8,1,76.6,14.9,11.2,12.7,18.1,0
