"","X.1","date","X","ID","SensorType","Lat","Long","start_date","date_days","age_days","age_weeks.x","val.humidity","val.pm10","val.pm25_p","val.pm25_r","val.temperature","flag"
"1",1,"2021-12-31 17:00:00",2896,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,79,7.12,6.64,6.14,28.9,0
"2",2,"2021-12-31 17:00:00",2897,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,79,7.12,6.64,6.14,28.9,0
"3",3,"2021-12-31 17:00:00",2898,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,79,7.12,6.64,6.14,28.9,0
"4",4,"2021-12-31 17:00:00",2899,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,79,7.12,6.64,6.14,28.9,0
"5",5,"2021-12-31 17:00:00",2900,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,79,7.12,6.64,6.14,28.9,0
"6",6,"2021-12-31 18:00:00",2901,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,75.8,17.9,13.3,15.5,24.9,0
"7",7,"2021-12-31 18:00:00",2902,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,75.8,17.9,13.3,15.5,24.9,0
"8",8,"2021-12-31 18:00:00",2903,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,75.8,17.9,13.3,15.5,24.9,0
"9",9,"2021-12-31 18:00:00",2904,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,75.8,17.9,13.3,15.5,24.9,0
"10",10,"2021-12-31 18:00:00",2905,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,75.8,17.9,13.3,15.5,24.9,0
"11",11,"2021-12-31 19:00:00",2906,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,76.8,19.6,14.2,16.8,22.9,0
"12",12,"2021-12-31 19:00:00",2907,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,76.8,19.6,14.2,16.8,22.9,0
"13",13,"2021-12-31 19:00:00",2908,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,76.8,19.6,14.2,16.8,22.9,0
"14",14,"2021-12-31 19:00:00",2909,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,76.8,19.6,14.2,16.8,22.9,0
"15",15,"2021-12-31 19:00:00",2910,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,76.8,19.6,14.2,16.8,22.9,0
"16",16,"2021-12-31 20:00:00",2911,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.9,19.4,14.1,16.7,22.6,0
"17",17,"2021-12-31 20:00:00",2912,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.9,19.4,14.1,16.7,22.6,0
"18",18,"2021-12-31 20:00:00",2913,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.9,19.4,14.1,16.7,22.6,0
"19",19,"2021-12-31 20:00:00",2914,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.9,19.4,14.1,16.7,22.6,0
"20",20,"2021-12-31 20:00:00",2915,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.9,19.4,14.1,16.7,22.6,0
"21",21,"2021-12-31 21:00:00",2916,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,72.6,20.4,14.8,17.6,22.3,0
"22",22,"2021-12-31 21:00:00",2917,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,72.6,20.4,14.8,17.6,22.3,0
"23",23,"2021-12-31 21:00:00",2918,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,72.6,20.4,14.8,17.6,22.3,0
"24",24,"2021-12-31 21:00:00",2919,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,72.6,20.4,14.8,17.6,22.3,0
"25",25,"2021-12-31 21:00:00",2920,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,72.6,20.4,14.8,17.6,22.3,0
"26",26,"2021-12-31 22:00:00",2921,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.1,18.6,13.5,16,20.4,0
"27",27,"2021-12-31 22:00:00",2922,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.1,18.6,13.5,16,20.4,0
"28",28,"2021-12-31 22:00:00",2923,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.1,18.6,13.5,16,20.4,0
"29",29,"2021-12-31 22:00:00",2924,"Newlon Elementary (CJ_001)","Lunar",39.7219,-105.04654,"2021-12-07","2021-12-31",24,3,74.1,18.6,13.5,16,20.4,0
