InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 01:16:07.830000,29.29,37.0,28.0
01/01/2018 04:48:07.976666,23.46,38.0,26.0
01/01/2018 04:49:27.933333,23.88,38.0,26.0
01/01/2018 04:50:47.916666,23.78,38.0,26.0
01/01/2018 04:53:27.870000,23.51,38.0,26.0
01/01/2018 04:54:47.946666,23.5,38.0,26.0
01/01/2018 04:57:28.120000,24.85,39.0,26.0
01/01/2018 04:58:48.376666,22.95,39.0,25.0
01/01/2018 05:01:27.886666,23.81,39.0,26.0
01/01/2018 05:02:48.466666,22.93,39.0,25.0
01/01/2018 05:05:27.890000,24.79,39.0,25.0
01/01/2018 05:06:47.940000,24.62,39.0,25.0
01/01/2018 05:09:27.906666,25.81,39.0,25.0
01/01/2018 05:10:48.073333,23.95,39.0,25.0
01/01/2018 05:13:28.236666,24.29,39.0,25.0
01/01/2018 05:14:47.936666,26.14,39.0,25.0
01/01/2018 05:17:27.973333,24.33,39.0,25.0
01/01/2018 05:18:48.200000,23.8,39.0,25.0
01/01/2018 07:54:47.993333,31.43,40.0,25.0
01/01/2018 07:57:28.100000,29.15,40.0,25.0
01/01/2018 07:58:48.280000,27.12,40.0,25.0
01/01/2018 08:01:28.053333,26.12,40.0,25.0
01/01/2018 08:02:48.010000,26.93,40.0,25.0
01/01/2018 08:05:28.146666,25.93,40.0,25.0
01/01/2018 08:06:48.443333,25.62,40.0,25.0
01/01/2018 08:09:28.073333,26.29,40.0,25.0
01/01/2018 08:10:48.043333,25.85,40.0,25.0
01/01/2018 08:13:28.046666,26.54,40.0,25.0
01/01/2018 08:14:48.066666,25.92,40.0,25.0
01/01/2018 08:17:28.123333,27.25,40.0,25.0
01/01/2018 08:18:48.196666,27.68,40.0,25.0
01/01/2018 08:21:29.140000,26.03,40.0,25.0
01/01/2018 08:22:48.073333,28.2,40.0,25.0
01/01/2018 08:25:28.093333,28.95,40.0,25.0
01/01/2018 08:26:48.036666,28.1,40.0,25.0
01/01/2018 08:29:28.053333,30.21,40.0,25.0
01/01/2018 08:30:48.120000,28.88,40.0,25.0
01/01/2018 08:33:28.080000,30.0,40.0,25.0
01/01/2018 08:34:48.076666,31.55,40.0,25.0
01/01/2018 08:37:28.053333,29.95,40.0,25.0
01/01/2018 08:38:48.100000,33.61,40.0,25.0
01/01/2018 08:41:28.096666,30.07,40.0,25.0
01/01/2018 08:42:48.100000,31.39,40.0,25.0
01/01/2018 08:45:28.046666,32.91,40.0,25.0
01/01/2018 08:46:48.206666,32.12,40.0,26.0
01/01/2018 08:49:28.116666,33.8,40.0,26.0
01/01/2018 08:50:48.160000,33.44,40.0,26.0
01/01/2018 08:53:28.170000,31.66,40.0,26.0
01/01/2018 08:54:48.143333,30.15,40.0,26.0
01/01/2018 08:57:28.130000,31.9,40.0,26.0
01/01/2018 08:58:48.226666,34.68,40.0,26.0
01/01/2018 09:01:28.140000,32.49,40.0,26.0
01/01/2018 09:02:48.396666,33.47,40.0,26.0
01/01/2018 09:05:28.140000,33.71,40.0,26.0
01/01/2018 09:06:48.616666,36.39,40.0,26.0
01/01/2018 09:09:28.353333,35.63,40.0,26.0
01/01/2018 09:10:48.110000,35.02,40.0,26.0
01/01/2018 09:13:28.196666,36.92,40.0,26.0
01/01/2018 09:14:48.226666,36.73,40.0,26.0
01/01/2018 09:17:28.080000,35.61,41.0,26.0
01/01/2018 09:18:48.060000,35.88,41.0,26.0
01/01/2018 09:21:28.393333,34.76,41.0,26.0
01/01/2018 09:22:48.096666,34.38,41.0,26.0
01/01/2018 09:25:28.130000,34.73,41.0,26.0
01/01/2018 09:26:48.080000,35.37,41.0,26.0
01/01/2018 09:29:28.246666,35.33,41.0,26.0
01/01/2018 09:30:48.120000,33.93,41.0,26.0
01/01/2018 09:33:28.146666,36.98,41.0,26.0
01/01/2018 09:34:48.150000,35.76,41.0,26.0
01/01/2018 09:37:28.120000,36.85,41.0,26.0
01/01/2018 09:38:48.170000,37.75,41.0,27.0
01/01/2018 09:41:28.146666,37.42,41.0,27.0
01/01/2018 09:42:48.183333,37.22,41.0,27.0
01/01/2018 09:45:28.240000,37.86,41.0,27.0
01/01/2018 09:46:48.153333,37.85,41.0,27.0
01/01/2018 09:49:28.296666,37.27,41.0,27.0
01/01/2018 09:50:48.596666,38.13,41.0,27.0
01/01/2018 09:53:28.080000,36.48,41.0,27.0
01/01/2018 09:54:48.096666,37.29,41.0,27.0
01/01/2018 09:57:28.496666,37.56,41.0,27.0
01/01/2018 09:58:48.426666,38.38,41.0,27.0
01/01/2018 10:01:28.223333,36.55,41.0,27.0
01/01/2018 10:02:48.220000,37.22,41.0,27.0
01/01/2018 10:05:28.150000,37.34,41.0,27.0
01/01/2018 10:06:48.106666,38.76,41.0,27.0
01/01/2018 10:09:28.173333,38.83,40.0,27.0
01/01/2018 10:10:48.143333,38.73,40.0,27.0
01/01/2018 10:13:28.206666,39.29,40.0,27.0
01/01/2018 10:14:48.153333,38.07,41.0,27.0
01/01/2018 10:17:28.100000,37.88,41.0,28.0
01/01/2018 10:18:48.146666,39.76,40.0,27.0
01/01/2018 10:21:28.173333,38.12,40.0,28.0
01/01/2018 10:22:48.163333,37.45,40.0,28.0
01/01/2018 10:25:28.170000,39.46,40.0,28.0
01/01/2018 10:26:48.296666,37.73,40.0,28.0
01/01/2018 10:29:28.256666,39.29,40.0,28.0
01/01/2018 10:30:48.166666,39.1,40.0,28.0
01/01/2018 10:33:28.396666,40.76,40.0,28.0
01/01/2018 10:34:48.323333,40.58,40.0,28.0
01/01/2018 10:37:28.363333,39.12,40.0,28.0
01/01/2018 10:38:48.463333,39.95,40.0,28.0
01/01/2018 10:41:28.200000,39.9,40.0,28.0
01/01/2018 10:42:48.416666,39.32,40.0,28.0
01/01/2018 10:45:28.296666,40.12,40.0,28.0
01/01/2018 10:46:48.276666,38.88,40.0,27.0
01/01/2018 10:49:28.960000,39.14,40.0,27.0
01/01/2018 10:50:48.246666,39.12,40.0,27.0
01/01/2018 10:53:28.336666,39.24,40.0,27.0
01/01/2018 10:54:48.163333,39.63,40.0,27.0
01/01/2018 10:57:28.193333,37.87,40.0,27.0
01/01/2018 10:58:48.166666,39.6,40.0,27.0
01/01/2018 11:01:28.266666,38.95,40.0,27.0
01/01/2018 11:02:48.440000,39.48,40.0,27.0
01/01/2018 11:05:28.420000,38.52,40.0,27.0
01/01/2018 11:06:48.153333,39.27,40.0,27.0
01/01/2018 11:09:28.163333,38.63,40.0,27.0
01/01/2018 11:10:48.170000,39.77,40.0,27.0
01/01/2018 11:13:28.463333,38.05,40.0,27.0
01/01/2018 11:14:48.153333,39.0,40.0,27.0
01/01/2018 11:17:28.156666,39.98,40.0,27.0
01/01/2018 11:18:48.143333,39.57,40.0,27.0
01/01/2018 11:21:28.153333,38.15,40.0,27.0
01/01/2018 11:22:48.176666,39.73,40.0,26.0
01/01/2018 11:25:28.330000,41.0,40.0,26.0
01/01/2018 11:26:48.186666,38.78,40.0,26.0
01/01/2018 11:29:28.376666,40.67,40.0,26.0
01/01/2018 11:30:48.200000,40.0,40.0,26.0
01/01/2018 11:33:28.213333,38.17,40.0,27.0
01/01/2018 11:34:48.926666,37.41,40.0,27.0
01/01/2018 11:37:28.166666,38.51,40.0,26.0
01/01/2018 11:38:48.233333,40.0,40.0,26.0
01/01/2018 11:41:28.293333,38.67,40.0,26.0
01/01/2018 11:42:48.166666,38.29,40.0,26.0
01/01/2018 11:45:28.326666,38.33,41.0,26.0
01/01/2018 11:46:48.460000,39.12,41.0,26.0
01/01/2018 11:49:28.360000,39.95,41.0,26.0
01/01/2018 11:50:48.266666,40.1,41.0,26.0
01/01/2018 11:53:28.470000,41.13,41.0,26.0
01/01/2018 11:54:48.376666,40.47,41.0,25.0
01/01/2018 11:57:28.336666,40.59,41.0,26.0
01/01/2018 11:58:48.293333,40.57,41.0,25.0
01/01/2018 12:01:28.646666,40.88,41.0,25.0
01/01/2018 12:02:49.470000,39.85,41.0,26.0
01/01/2018 12:05:28.216666,40.91,41.0,25.0
01/01/2018 12:06:48.220000,39.57,41.0,25.0
01/01/2018 12:09:28.213333,40.79,41.0,25.0
01/01/2018 12:10:48.196666,38.74,41.0,25.0
01/01/2018 12:13:28.516666,39.59,41.0,25.0
01/01/2018 12:14:48.293333,39.95,41.0,25.0
01/01/2018 12:17:28.290000,37.79,41.0,25.0
01/01/2018 12:18:48.190000,38.86,41.0,25.0
01/01/2018 12:21:28.273333,37.37,41.0,25.0
01/01/2018 12:22:48.230000,40.25,41.0,25.0
01/01/2018 12:25:28.266666,38.93,41.0,25.0
01/01/2018 12:26:48.420000,37.15,41.0,25.0
01/01/2018 12:29:28.236666,39.51,42.0,25.0
01/01/2018 12:30:48.360000,39.34,42.0,25.0
01/01/2018 12:33:28.250000,39.61,42.0,25.0
01/01/2018 12:34:49.220000,37.59,42.0,25.0
01/01/2018 12:37:28.396666,40.49,42.0,25.0
01/01/2018 12:38:48.393333,39.9,42.0,25.0
01/01/2018 12:41:28.860000,40.0,42.0,25.0
01/01/2018 12:42:48.226666,40.33,42.0,25.0
01/01/2018 12:45:28.276666,39.08,42.0,25.0
01/01/2018 12:46:48.460000,40.31,42.0,25.0
01/01/2018 12:49:28.350000,39.69,42.0,25.0
01/01/2018 12:50:48.346666,38.46,42.0,25.0
01/01/2018 12:53:28.336666,39.88,42.0,25.0
01/01/2018 12:54:48.686666,39.43,42.0,25.0
01/01/2018 12:57:28.393333,39.73,42.0,25.0
01/01/2018 12:58:48.270000,38.5,42.0,25.0
01/01/2018 13:01:28.256666,39.37,42.0,25.0
01/01/2018 13:02:48.336666,37.85,42.0,25.0
01/01/2018 13:05:28.270000,38.74,42.0,25.0
01/01/2018 13:06:48.473333,38.26,42.0,25.0
01/01/2018 13:09:28.293333,39.61,42.0,25.0
01/01/2018 13:10:48.416666,40.0,42.0,26.0
01/01/2018 13:13:28.370000,38.93,42.0,26.0
01/01/2018 13:14:48.340000,39.66,42.0,26.0
01/01/2018 13:17:28.473333,39.5,42.0,25.0
01/01/2018 13:18:48.270000,40.02,42.0,26.0
01/01/2018 13:21:28.576666,39.9,41.0,26.0
01/01/2018 13:22:48.316666,40.05,41.0,26.0
01/01/2018 13:25:28.263333,39.41,41.0,25.0
01/01/2018 13:26:48.396666,38.13,41.0,25.0
01/01/2018 13:29:28.346666,39.1,41.0,26.0
01/01/2018 13:30:48.256666,40.47,41.0,26.0
01/01/2018 13:33:28.523333,40.71,41.0,26.0
01/01/2018 13:34:48.326666,37.83,41.0,25.0
01/01/2018 13:37:28.320000,39.74,41.0,26.0
01/01/2018 13:38:48.280000,39.98,42.0,26.0
01/01/2018 13:41:28.413333,39.02,42.0,26.0
01/01/2018 13:42:48.520000,38.25,41.0,26.0
01/01/2018 13:45:28.343333,39.78,42.0,26.0
01/01/2018 13:46:48.313333,39.25,42.0,26.0
01/01/2018 13:49:28.270000,39.69,42.0,26.0
01/01/2018 13:50:48.410000,41.97,42.0,26.0
