InstrumentName, Melody-Catalpa,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 01:16:09.490000,40.54,49.0,24.0
01/01/2018 04:48:19.720000,41.24,49.0,26.0
01/01/2018 04:49:39.796666,41.68,49.0,26.0
01/01/2018 04:50:59.940000,39.55,49.0,26.0
01/01/2018 04:53:39.923333,41.45,48.0,26.0
01/01/2018 04:54:59.726666,40.2,48.0,26.0
01/01/2018 04:57:39.990000,43.0,48.0,27.0
01/01/2018 04:58:59.756666,41.95,48.0,27.0
01/01/2018 05:01:39.736666,43.17,48.0,27.0
01/01/2018 05:03:00.936666,41.17,48.0,27.0
01/01/2018 05:05:39.923333,41.93,47.0,26.0
01/01/2018 05:07:00.060000,38.31,48.0,26.0
01/01/2018 05:09:39.856666,42.34,48.0,26.0
01/01/2018 05:10:59.716666,41.98,48.0,27.0
01/01/2018 05:13:39.766666,41.07,48.0,27.0
01/01/2018 05:14:59.733333,41.08,48.0,26.0
01/01/2018 05:17:57.573333,40.6,48.0,26.0
01/01/2018 05:18:59.706666,42.75,48.0,26.0
01/01/2018 07:53:40.050000,40.78,50.0,25.0
01/01/2018 07:55:00.053333,43.98,50.0,26.0
01/01/2018 07:57:40.090000,42.17,50.0,26.0
01/01/2018 07:58:59.846666,42.1,49.0,26.0
01/01/2018 08:01:39.836666,43.24,50.0,26.0
01/01/2018 08:02:59.870000,44.21,50.0,26.0
01/01/2018 08:05:39.893333,41.72,49.0,26.0
01/01/2018 08:06:59.913333,44.49,50.0,26.0
01/01/2018 08:09:39.996666,42.07,49.0,25.0
01/01/2018 08:11:00.203333,42.19,50.0,26.0
01/01/2018 08:13:40.040000,44.8,49.0,26.0
01/01/2018 08:14:59.996666,38.5,49.0,26.0
01/01/2018 08:17:39.860000,43.12,49.0,26.0
01/01/2018 08:18:59.860000,42.0,49.0,26.0
01/01/2018 08:21:40.040000,42.39,49.0,26.0
01/01/2018 08:22:59.923333,44.88,49.0,26.0
01/01/2018 08:25:39.946666,41.98,49.0,26.0
01/01/2018 08:27:00.260000,43.63,49.0,26.0
01/01/2018 08:29:39.893333,41.83,49.0,26.0
01/01/2018 08:30:59.873333,43.61,49.0,26.0
01/01/2018 08:33:39.863333,46.17,49.0,26.0
01/01/2018 08:35:00.000000,39.71,49.0,26.0
01/01/2018 08:37:40.106666,45.12,49.0,26.0
01/01/2018 08:39:00.046666,43.85,49.0,26.0
01/01/2018 08:41:39.896666,43.66,49.0,26.0
01/01/2018 08:42:59.920000,45.1,49.0,26.0
01/01/2018 08:45:40.066666,40.1,48.0,26.0
01/01/2018 08:47:00.086666,35.41,49.0,26.0
01/01/2018 08:49:39.943333,35.55,49.0,25.0
01/01/2018 08:50:59.906666,35.76,49.0,26.0
01/01/2018 08:53:39.896666,34.55,49.0,25.0
01/01/2018 08:55:03.020000,36.31,49.0,25.0
01/01/2018 08:57:39.930000,32.88,49.0,25.0
01/01/2018 08:59:00.010000,34.59,49.0,25.0
01/01/2018 09:01:39.910000,37.35,50.0,25.0
01/01/2018 09:03:00.136666,34.66,50.0,25.0
01/01/2018 09:05:39.903333,35.08,50.0,25.0
01/01/2018 09:07:00.030000,35.67,50.0,25.0
01/01/2018 09:09:39.956666,34.0,50.0,25.0
01/01/2018 09:10:59.946666,34.12,50.0,25.0
01/01/2018 09:13:39.986666,32.85,50.0,24.0
01/01/2018 09:15:00.446666,36.15,50.0,25.0
01/01/2018 09:17:40.026666,37.54,50.0,25.0
01/01/2018 09:19:00.096666,36.21,51.0,25.0
01/01/2018 09:21:39.940000,36.36,50.0,25.0
01/01/2018 09:22:59.956666,32.19,50.0,25.0
01/01/2018 09:25:39.930000,32.64,50.0,25.0
01/01/2018 09:26:59.896666,32.61,50.0,25.0
01/01/2018 09:29:40.053333,34.41,50.0,25.0
01/01/2018 09:30:59.940000,38.28,50.0,25.0
01/01/2018 09:33:40.626666,37.17,49.0,25.0
01/01/2018 09:34:59.950000,35.02,50.0,25.0
01/01/2018 09:37:40.196666,35.77,49.0,25.0
01/01/2018 09:39:00.326666,39.05,50.0,25.0
01/01/2018 09:41:39.956666,38.71,49.0,25.0
01/01/2018 09:42:59.913333,38.4,49.0,25.0
01/01/2018 09:45:39.906666,42.27,49.0,25.0
01/01/2018 09:46:59.946666,41.0,49.0,25.0
01/01/2018 09:49:39.906666,34.63,49.0,25.0
01/01/2018 09:50:59.936666,32.8,49.0,25.0
01/01/2018 09:53:39.956666,31.85,50.0,25.0
01/01/2018 09:54:59.970000,35.49,50.0,25.0
01/01/2018 09:57:40.263333,35.79,50.0,25.0
01/01/2018 09:58:59.930000,37.19,50.0,25.0
01/01/2018 10:01:40.056666,37.2,50.0,25.0
01/01/2018 10:02:59.956666,34.56,50.0,25.0
01/01/2018 10:05:39.983333,35.15,50.0,25.0
01/01/2018 10:06:59.946666,39.33,50.0,25.0
01/01/2018 10:09:40.073333,37.83,50.0,25.0
01/01/2018 10:11:00.013333,39.88,50.0,25.0
01/01/2018 10:13:39.963333,37.45,50.0,25.0
01/01/2018 10:15:00.026666,40.52,50.0,25.0
01/01/2018 10:17:40.166666,39.25,50.0,25.0
01/01/2018 10:18:59.943333,41.29,50.0,25.0
01/01/2018 10:21:39.946666,39.37,50.0,25.0
01/01/2018 10:22:59.920000,42.76,50.0,25.0
01/01/2018 10:25:40.193333,40.85,50.0,25.0
01/01/2018 10:27:00.303333,40.88,50.0,25.0
01/01/2018 10:29:40.196666,42.98,50.0,25.0
01/01/2018 10:31:00.046666,41.8,50.0,25.0
01/01/2018 10:33:40.120000,43.41,50.0,25.0
01/01/2018 10:35:00.216666,42.24,49.0,25.0
01/01/2018 10:37:40.166666,41.52,49.0,26.0
01/01/2018 10:39:00.340000,43.43,49.0,26.0
01/01/2018 10:41:39.966666,39.1,49.0,25.0
01/01/2018 10:42:59.990000,43.72,49.0,26.0
01/01/2018 10:45:40.286666,43.4,49.0,26.0
01/01/2018 10:47:00.676666,43.39,49.0,26.0
01/01/2018 10:49:40.126666,42.67,49.0,25.0
01/01/2018 10:51:00.070000,39.66,49.0,25.0
01/01/2018 10:53:40.013333,42.61,49.0,25.0
01/01/2018 10:54:59.996666,44.4,49.0,25.0
01/01/2018 10:57:39.990000,43.37,50.0,25.0
01/01/2018 10:59:00.423333,42.71,49.0,25.0
01/01/2018 11:01:40.156666,45.4,49.0,25.0
01/01/2018 11:02:59.966666,42.33,49.0,25.0
01/01/2018 11:05:39.990000,44.77,48.0,25.0
01/01/2018 11:07:00.090000,41.83,48.0,25.0
01/01/2018 11:09:40.060000,44.2,48.0,25.0
01/01/2018 11:11:00.096666,42.81,48.0,25.0
01/01/2018 11:13:40.320000,44.4,48.0,25.0
01/01/2018 11:15:00.083333,43.9,48.0,25.0
01/01/2018 11:17:40.026666,44.54,48.0,24.0
01/01/2018 11:19:00.183333,43.05,47.0,24.0
01/01/2018 11:21:40.013333,41.67,47.0,24.0
01/01/2018 11:23:00.060000,44.54,47.0,24.0
01/01/2018 11:25:39.963333,44.27,47.0,24.0
01/01/2018 11:27:00.066666,39.12,47.0,24.0
01/01/2018 11:29:40.126666,44.0,47.0,24.0
01/01/2018 11:31:00.560000,44.97,47.0,24.0
01/01/2018 11:33:39.973333,41.0,47.0,24.0
01/01/2018 11:35:00.196666,41.2,47.0,24.0
01/01/2018 11:37:40.080000,44.5,47.0,24.0
01/01/2018 11:39:00.050000,45.37,47.0,24.0
01/01/2018 11:41:40.646666,43.8,47.0,23.0
01/01/2018 11:43:00.033333,42.26,47.0,23.0
01/01/2018 11:45:40.476666,45.4,47.0,23.0
01/01/2018 11:47:00.080000,44.03,48.0,23.0
01/01/2018 11:49:40.040000,43.71,48.0,23.0
01/01/2018 11:51:00.033333,45.07,48.0,23.0
01/01/2018 11:53:40.016666,42.86,48.0,24.0
01/01/2018 11:55:00.056666,43.24,48.0,23.0
01/01/2018 11:57:40.116666,44.07,48.0,23.0
01/01/2018 11:59:00.023333,43.22,48.0,23.0
01/01/2018 12:01:40.166666,43.48,48.0,23.0
01/01/2018 12:03:00.033333,43.19,48.0,23.0
01/01/2018 12:05:40.406666,40.95,48.0,23.0
01/01/2018 12:07:00.103333,42.66,49.0,23.0
01/01/2018 12:09:40.096666,42.95,49.0,23.0
01/01/2018 12:11:00.050000,43.52,49.0,23.0
01/01/2018 12:13:40.296666,44.22,50.0,23.0
01/01/2018 12:15:00.156666,43.81,50.0,23.0
01/01/2018 12:17:40.043333,45.71,50.0,23.0
01/01/2018 12:19:00.086666,44.14,50.0,23.0
01/01/2018 12:21:40.266666,46.64,50.0,23.0
01/01/2018 12:23:00.070000,43.17,50.0,23.0
01/01/2018 12:25:40.096666,43.15,50.0,23.0
01/01/2018 12:27:00.346666,45.34,50.0,23.0
01/01/2018 12:29:40.030000,43.48,51.0,23.0
01/01/2018 12:31:00.023333,44.65,50.0,23.0
01/01/2018 12:33:40.060000,44.34,51.0,23.0
01/01/2018 12:35:00.200000,46.14,50.0,23.0
01/01/2018 12:37:40.086666,44.93,51.0,23.0
01/01/2018 12:39:00.486666,45.88,51.0,23.0
01/01/2018 12:41:43.246666,45.08,51.0,23.0
01/01/2018 12:43:00.880000,43.03,50.0,23.0
01/01/2018 12:45:40.053333,46.22,50.0,23.0
01/01/2018 12:47:00.463333,44.29,50.0,23.0
01/01/2018 12:49:40.123333,44.52,50.0,23.0
01/01/2018 12:51:00.103333,43.46,50.0,23.0
01/01/2018 12:53:40.170000,44.95,50.0,23.0
01/01/2018 12:55:00.106666,44.93,50.0,23.0
01/01/2018 12:57:40.046666,43.07,50.0,23.0
01/01/2018 12:59:00.396666,44.47,50.0,23.0
01/01/2018 13:01:40.203333,45.41,50.0,23.0
01/01/2018 13:03:00.496666,44.79,50.0,23.0
01/01/2018 13:05:40.196666,43.78,51.0,23.0
01/01/2018 13:07:00.090000,42.98,50.0,23.0
01/01/2018 13:09:40.033333,47.93,51.0,23.0
01/01/2018 13:11:00.080000,43.71,51.0,23.0
01/01/2018 13:13:40.080000,48.25,52.0,23.0
01/01/2018 13:15:00.113333,45.7,52.0,23.0
01/01/2018 13:17:40.050000,46.42,51.0,23.0
01/01/2018 13:19:00.053333,45.64,51.0,23.0
01/01/2018 13:20:35.440000,46.0,51.0,23.0
01/01/2018 13:23:15.580000,44.6,51.0,23.0
01/01/2018 13:24:35.673333,41.0,51.0,23.0
01/01/2018 13:27:15.726666,46.25,50.0,23.0
01/01/2018 13:28:35.560000,46.58,50.0,23.0
01/01/2018 13:31:15.530000,46.42,51.0,23.0
01/01/2018 13:32:35.696666,46.05,51.0,23.0
01/01/2018 13:35:15.516666,43.48,51.0,24.0
01/01/2018 13:36:35.513333,45.69,51.0,24.0
01/01/2018 13:39:15.566666,44.76,51.0,23.0
01/01/2018 13:40:35.796666,44.46,51.0,23.0
01/01/2018 13:43:15.583333,47.83,51.0,23.0
01/01/2018 13:44:35.593333,47.1,51.0,23.0
01/01/2018 13:47:15.510000,46.9,51.0,23.0
01/01/2018 13:48:35.553333,45.52,51.0,23.0
