InstrumentName, Thornton B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:36.236666,46.86,54.0,34.0
02/10/2018 23:26:14.120000,47.31,62.0,20.0
02/10/2018 23:28:53.960000,46.23,61.0,20.0
02/10/2018 23:31:33.916666,48.57,62.0,20.0
02/10/2018 23:35:33.926666,44.72,61.0,21.0
02/10/2018 23:38:14.150000,46.63,59.0,21.0
02/10/2018 23:40:54.016666,45.27,60.0,20.0
02/10/2018 23:43:33.963333,45.91,60.0,20.0
02/10/2018 23:47:33.890000,44.29,60.0,21.0
02/10/2018 23:50:14.870000,43.1,61.0,23.0
02/10/2018 23:52:53.980000,43.74,59.0,22.0
02/10/2018 23:55:33.926666,44.95,58.0,22.0
02/10/2018 23:59:33.936666,44.14,58.0,20.0
02/11/2018 00:02:14.083333,47.65,59.0,20.0
02/11/2018 00:04:53.946666,45.71,59.0,20.0
02/11/2018 00:07:33.950000,45.74,60.0,20.0
02/11/2018 00:11:33.926666,45.93,60.0,20.0
02/11/2018 00:14:14.106666,45.26,60.0,20.0
02/11/2018 00:16:53.933333,45.05,60.0,20.0
02/11/2018 00:19:34.006666,45.7,60.0,19.0
02/11/2018 00:23:33.906666,45.09,61.0,20.0
02/11/2018 00:26:14.216666,46.84,60.0,20.0
02/11/2018 00:28:53.943333,43.56,60.0,20.0
02/11/2018 00:31:33.923333,47.65,60.0,19.0
02/11/2018 00:35:33.920000,47.9,61.0,19.0
02/11/2018 00:38:13.996666,54.21,61.0,19.0
02/11/2018 00:40:53.990000,60.95,62.0,19.0
02/11/2018 00:43:34.266666,60.28,61.0,19.0
02/11/2018 00:47:34.156666,62.02,62.0,19.0
02/11/2018 00:50:14.180000,64.9,63.0,19.0
02/11/2018 00:52:54.073333,65.05,62.0,19.0
02/11/2018 00:55:33.960000,59.57,62.0,19.0
02/11/2018 00:59:20.760000,63.8,61.0,20.0
02/11/2018 01:02:00.696666,58.81,61.0,19.0
02/11/2018 01:04:40.733333,60.38,61.0,20.0
02/11/2018 01:08:42.250000,54.75,61.0,19.0
02/11/2018 01:11:21.140000,50.6,62.0,20.0
02/11/2018 01:14:01.346666,57.33,61.0,19.0
02/11/2018 01:16:41.230000,63.75,61.0,19.0
02/11/2018 01:20:41.396666,73.12,62.0,19.0
02/11/2018 01:23:20.796666,72.19,62.0,19.0
02/11/2018 01:26:00.723333,69.39,63.0,18.0
02/11/2018 01:28:40.873333,71.28,63.0,18.0
02/11/2018 01:32:40.743333,64.37,63.0,19.0
02/11/2018 01:35:20.753333,67.23,63.0,19.0
02/11/2018 01:38:00.793333,61.63,63.0,20.0
02/11/2018 01:40:40.686666,66.05,62.0,20.0
02/11/2018 01:44:40.760000,69.0,62.0,20.0
02/11/2018 01:47:20.743333,66.74,62.0,20.0
02/11/2018 01:50:00.743333,55.29,62.0,20.0
02/11/2018 01:52:40.840000,47.57,61.0,21.0
02/11/2018 01:56:40.700000,46.02,60.0,22.0
02/11/2018 01:59:20.703333,48.07,59.0,22.0
02/11/2018 02:02:00.796666,45.79,59.0,21.0
02/11/2018 02:04:41.590000,45.55,60.0,23.0
02/11/2018 02:08:40.833333,43.14,59.0,23.0
02/11/2018 02:11:20.830000,44.49,59.0,24.0
02/11/2018 02:14:00.830000,47.44,58.0,24.0
02/11/2018 02:16:40.780000,62.02,58.0,24.0
02/11/2018 02:20:41.413333,95.93,57.0,24.0
02/11/2018 02:23:20.783333,84.6,56.0,24.0
02/11/2018 02:26:00.826666,75.74,57.0,24.0
02/11/2018 02:28:40.716666,66.55,56.0,24.0
02/11/2018 02:32:40.766666,59.95,56.0,25.0
02/11/2018 02:35:20.750000,64.86,56.0,24.0
02/11/2018 02:38:00.850000,62.23,56.0,25.0
02/11/2018 02:40:40.723333,56.14,56.0,25.0
02/11/2018 02:44:40.860000,57.58,55.0,24.0
02/11/2018 02:47:20.840000,55.37,55.0,25.0
02/11/2018 02:50:00.780000,56.07,55.0,25.0
02/11/2018 02:52:40.766666,56.55,55.0,25.0
02/11/2018 02:56:40.740000,51.76,55.0,25.0
02/11/2018 02:59:20.760000,54.42,55.0,25.0
02/11/2018 03:02:00.806666,51.7,55.0,25.0
02/11/2018 03:04:40.866666,53.52,55.0,25.0
02/11/2018 03:08:40.756666,55.27,55.0,25.0
02/11/2018 03:11:20.856666,52.2,54.0,24.0
02/11/2018 03:14:00.763333,54.37,55.0,24.0
02/11/2018 03:16:40.876666,55.55,55.0,24.0
02/11/2018 03:20:40.750000,54.48,55.0,24.0
02/11/2018 03:23:20.796666,53.19,55.0,24.0
02/11/2018 03:26:00.816666,62.67,55.0,24.0
02/11/2018 03:28:40.763333,54.07,55.0,24.0
02/11/2018 03:32:40.903333,62.1,55.0,24.0
02/11/2018 03:35:20.846666,62.0,55.0,24.0
02/11/2018 03:38:00.770000,62.76,55.0,24.0
02/11/2018 03:40:40.786666,64.6,55.0,24.0
02/11/2018 03:44:40.963333,56.23,55.0,24.0
02/11/2018 03:47:20.806666,65.63,55.0,23.0
02/11/2018 03:50:00.783333,67.76,56.0,24.0
02/11/2018 03:52:40.753333,68.28,55.0,24.0
02/11/2018 03:56:40.730000,62.36,55.0,23.0
02/11/2018 03:59:20.886666,61.26,55.0,23.0
02/11/2018 04:02:00.806666,59.11,55.0,24.0
02/11/2018 04:04:40.910000,61.44,55.0,23.0
02/11/2018 04:08:40.796666,82.2,55.0,23.0
02/11/2018 04:11:20.833333,86.02,55.0,23.0
02/11/2018 04:14:01.030000,67.59,55.0,23.0
02/11/2018 04:16:40.906666,85.05,55.0,24.0
02/11/2018 04:20:40.846666,111.57,56.0,24.0
02/11/2018 04:23:20.926666,98.56,55.0,24.0
02/11/2018 04:26:00.816666,94.17,56.0,23.0
02/11/2018 04:28:40.863333,87.9,55.0,23.0
02/11/2018 04:32:40.833333,86.38,56.0,23.0
02/11/2018 04:35:21.013333,57.77,56.0,23.0
02/11/2018 04:38:00.903333,57.58,56.0,23.0
02/11/2018 04:40:40.886666,59.28,56.0,23.0
02/11/2018 04:44:40.966666,57.86,57.0,23.0
02/11/2018 04:47:20.850000,57.5,57.0,23.0
02/11/2018 04:50:00.963333,58.32,57.0,22.0
02/11/2018 04:52:40.906666,59.07,57.0,23.0
02/11/2018 04:56:40.836666,57.86,57.0,23.0
02/11/2018 04:59:20.930000,65.17,57.0,23.0
02/11/2018 05:02:00.930000,81.72,57.0,22.0
02/11/2018 05:04:40.863333,90.12,57.0,23.0
02/11/2018 05:08:40.806666,77.27,58.0,23.0
02/11/2018 05:11:20.846666,103.0,57.0,23.0
02/11/2018 05:16:40.970000,89.56,57.0,23.0
02/11/2018 05:20:40.873333,74.07,57.0,23.0
02/11/2018 05:23:20.930000,75.71,58.0,23.0
02/11/2018 05:26:01.023333,87.14,58.0,23.0
02/11/2018 05:28:40.926666,81.98,58.0,23.0
02/11/2018 05:32:40.966666,84.58,58.0,23.0
02/11/2018 05:35:20.813333,89.48,58.0,23.0
02/11/2018 05:38:00.960000,83.57,58.0,23.0
02/11/2018 05:40:40.880000,94.86,58.0,24.0
02/11/2018 05:44:40.876666,68.53,58.0,24.0
02/11/2018 05:47:20.873333,96.57,58.0,24.0
02/11/2018 05:50:00.820000,80.53,56.0,22.0
02/11/2018 05:52:40.913333,89.72,58.0,23.0
02/11/2018 05:56:40.846666,97.21,58.0,23.0
02/11/2018 05:59:21.003333,86.17,57.0,23.0
02/11/2018 06:02:01.036666,86.38,56.0,22.0
02/11/2018 06:04:40.956666,85.05,57.0,23.0
02/11/2018 06:08:41.010000,73.26,55.0,21.0
02/11/2018 06:11:21.936666,61.19,57.0,20.0
02/11/2018 06:14:00.926666,60.53,57.0,19.0
02/11/2018 06:16:40.963333,62.52,58.0,20.0
02/11/2018 06:20:40.876666,63.05,58.0,21.0
02/11/2018 06:23:22.186666,61.93,57.0,21.0
02/11/2018 06:26:01.156666,63.57,57.0,20.0
02/11/2018 06:28:41.260000,61.52,58.0,20.0
02/11/2018 06:32:40.870000,63.56,58.0,20.0
02/11/2018 06:35:20.870000,65.81,58.0,19.0
02/11/2018 06:38:00.960000,65.38,59.0,19.0
02/11/2018 06:40:40.930000,63.7,59.0,19.0
02/11/2018 06:44:41.566666,65.6,60.0,20.0
02/11/2018 06:47:21.010000,68.79,60.0,21.0
02/11/2018 06:50:00.866666,96.88,59.0,20.0
02/11/2018 06:52:40.966666,71.98,59.0,21.0
02/11/2018 06:56:41.086666,62.14,58.0,20.0
02/11/2018 06:59:20.900000,65.76,59.0,20.0
02/11/2018 07:02:00.960000,64.55,59.0,22.0
02/11/2018 07:04:40.963333,66.16,58.0,22.0
02/11/2018 07:08:40.870000,66.59,57.0,19.0
02/11/2018 07:11:21.026666,67.77,57.0,19.0
02/11/2018 07:14:01.866666,70.58,58.0,20.0
02/11/2018 07:16:40.963333,89.56,57.0,20.0
02/11/2018 07:20:41.816666,80.81,56.0,18.0
02/11/2018 07:23:20.993333,68.23,58.0,18.0
02/11/2018 07:26:00.896666,66.79,59.0,19.0
02/11/2018 07:28:41.166666,64.83,58.0,19.0
02/11/2018 07:32:40.970000,63.09,58.0,20.0
02/11/2018 07:35:20.973333,65.6,56.0,19.0
02/11/2018 07:38:00.863333,67.79,56.0,18.0
02/11/2018 07:40:40.883333,69.6,57.0,17.0
02/11/2018 07:44:40.890000,65.12,58.0,19.0
02/11/2018 07:47:20.876666,64.19,56.0,19.0
02/11/2018 07:50:00.936666,67.05,56.0,18.0
02/11/2018 07:52:40.996666,66.28,57.0,18.0
02/11/2018 07:56:41.120000,66.24,58.0,18.0
02/11/2018 07:59:21.016666,64.09,59.0,18.0
02/11/2018 08:02:01.790000,65.95,60.0,18.0
02/11/2018 08:04:40.910000,63.88,59.0,19.0
02/11/2018 08:08:41.453333,68.49,60.0,18.0
02/11/2018 08:11:20.920000,65.02,60.0,18.0
02/11/2018 08:14:00.956666,65.66,59.0,19.0
02/11/2018 08:16:41.383333,65.52,58.0,18.0
02/11/2018 08:20:41.273333,66.18,59.0,18.0
02/11/2018 08:23:21.006666,66.11,58.0,18.0
02/11/2018 08:26:04.070000,65.6,57.0,17.0
02/11/2018 08:28:41.246666,64.5,58.0,16.0
02/11/2018 08:32:41.006666,67.74,59.0,18.0
02/11/2018 08:35:20.980000,66.52,58.0,18.0
02/11/2018 08:38:01.000000,69.57,57.0,18.0
02/11/2018 08:40:41.036666,68.16,57.0,18.0
02/11/2018 08:44:40.953333,65.05,57.0,18.0
02/11/2018 08:47:21.146666,65.89,56.0,17.0
02/11/2018 08:50:01.060000,69.91,57.0,17.0
02/11/2018 08:52:40.993333,66.3,59.0,17.0
02/11/2018 08:56:40.963333,64.5,57.0,18.0
02/11/2018 08:59:21.063333,66.1,57.0,17.0
02/11/2018 09:02:01.060000,66.66,57.0,17.0
02/11/2018 09:04:40.956666,66.91,56.0,17.0
02/11/2018 09:08:40.930000,71.12,57.0,17.0
02/11/2018 09:11:21.083333,66.8,57.0,18.0
02/11/2018 09:14:01.156666,67.42,57.0,18.0
02/11/2018 09:16:41.040000,70.95,56.0,18.0
02/11/2018 09:20:41.013333,66.33,56.0,18.0
02/11/2018 09:23:20.996666,68.14,57.0,19.0
02/11/2018 09:26:01.090000,67.84,58.0,18.0
02/11/2018 09:28:40.980000,69.88,58.0,18.0
02/11/2018 09:32:41.030000,64.5,59.0,19.0
02/11/2018 09:35:20.926666,62.4,58.0,19.0
02/11/2018 09:38:00.953333,64.5,58.0,18.0
02/11/2018 09:40:41.040000,65.8,59.0,19.0
02/11/2018 09:44:40.936666,60.91,59.0,19.0
02/11/2018 09:47:20.923333,63.37,58.0,18.0
02/11/2018 09:50:00.933333,61.55,59.0,19.0
02/11/2018 09:52:40.930000,62.74,58.0,19.0
02/11/2018 09:56:40.923333,64.26,57.0,19.0
02/11/2018 09:59:21.086666,64.71,57.0,19.0
02/11/2018 10:02:00.963333,62.49,57.0,19.0
02/11/2018 10:04:41.050000,60.62,57.0,19.0
02/11/2018 10:08:40.946666,55.25,58.0,19.0
02/11/2018 10:11:20.990000,56.82,58.0,19.0
02/11/2018 10:14:00.950000,54.98,58.0,19.0
02/11/2018 10:16:40.973333,56.81,59.0,19.0
02/11/2018 10:20:40.950000,62.15,59.0,20.0
02/11/2018 10:23:20.953333,51.23,59.0,20.0
02/11/2018 10:26:00.960000,52.55,59.0,20.0
02/11/2018 10:28:40.976666,82.36,59.0,20.0
02/11/2018 10:32:41.166666,77.88,59.0,21.0
02/11/2018 10:35:20.943333,65.6,58.0,20.0
02/11/2018 10:38:01.413333,66.12,58.0,20.0
02/11/2018 10:40:40.933333,65.84,58.0,21.0
02/11/2018 10:44:40.946666,65.37,58.0,21.0
02/11/2018 10:47:21.116666,67.64,58.0,21.0
02/11/2018 10:50:01.030000,64.48,59.0,21.0
02/11/2018 10:52:40.960000,63.95,58.0,21.0
02/11/2018 10:56:41.023333,59.95,58.0,21.0
