InstrumentName, Lake Arbot B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:30.700000,0.86,38.0,41.0
02/10/2018 23:26:34.573333,21.47,45.0,28.0
02/10/2018 23:29:14.520000,19.0,45.0,28.0
02/10/2018 23:31:54.600000,19.91,45.0,28.0
02/10/2018 23:34:34.683333,23.79,45.0,28.0
02/10/2018 23:38:34.476666,19.62,45.0,28.0
02/10/2018 23:41:14.556666,19.21,44.0,28.0
02/10/2018 23:43:54.516666,21.78,44.0,28.0
02/10/2018 23:46:34.723333,21.69,44.0,28.0
02/10/2018 23:50:34.486666,22.61,44.0,28.0
02/10/2018 23:53:14.753333,23.36,44.0,28.0
02/10/2018 23:55:54.643333,20.23,44.0,28.0
02/10/2018 23:58:34.610000,25.12,44.0,28.0
02/11/2018 00:02:34.546666,31.79,44.0,28.0
02/11/2018 00:05:14.660000,42.92,44.0,27.0
02/11/2018 00:07:54.676666,45.32,44.0,28.0
02/11/2018 00:10:34.773333,29.76,44.0,28.0
02/11/2018 00:14:34.540000,28.23,44.0,28.0
02/11/2018 00:17:14.496666,28.07,44.0,27.0
02/11/2018 00:19:54.476666,24.9,44.0,27.0
02/11/2018 00:22:34.970000,23.28,44.0,27.0
02/11/2018 00:26:34.653333,63.62,44.0,27.0
02/11/2018 00:29:14.750000,138.61,44.0,27.0
02/11/2018 00:31:54.496666,73.5,44.0,27.0
02/11/2018 00:34:35.073333,50.13,44.0,28.0
02/11/2018 00:38:34.520000,49.52,44.0,27.0
02/11/2018 00:41:14.633333,30.91,44.0,27.0
02/11/2018 00:43:54.713333,23.0,44.0,27.0
02/11/2018 00:46:34.816666,22.33,44.0,27.0
02/11/2018 00:50:34.796666,29.27,45.0,27.0
02/11/2018 00:53:14.593333,32.36,45.0,27.0
02/11/2018 00:55:54.630000,25.17,45.0,27.0
02/11/2018 00:58:34.533333,29.12,45.0,27.0
02/11/2018 01:02:34.656666,27.51,45.0,27.0
02/11/2018 01:05:14.450000,26.35,45.0,27.0
02/11/2018 01:07:54.526666,24.95,45.0,27.0
02/11/2018 01:10:34.593333,23.55,45.0,27.0
02/11/2018 01:14:34.760000,24.19,45.0,27.0
02/11/2018 01:17:14.633333,30.1,45.0,27.0
02/11/2018 01:19:54.503333,31.12,45.0,27.0
02/11/2018 01:22:34.513333,40.26,45.0,26.0
02/11/2018 01:26:34.523333,32.8,46.0,27.0
02/11/2018 01:29:14.553333,34.67,46.0,27.0
02/11/2018 01:31:54.666666,41.73,46.0,27.0
02/11/2018 01:34:34.586666,65.4,46.0,27.0
02/11/2018 01:38:34.576666,37.32,45.0,27.0
02/11/2018 01:41:14.593333,28.39,45.0,27.0
02/11/2018 01:43:54.566666,29.57,46.0,27.0
02/11/2018 01:46:34.603333,33.66,45.0,26.0
02/11/2018 01:50:34.660000,25.53,46.0,27.0
02/11/2018 01:53:14.500000,20.45,46.0,27.0
02/11/2018 01:55:54.586666,21.02,46.0,27.0
02/11/2018 01:58:34.536666,20.86,46.0,27.0
02/11/2018 02:02:34.473333,20.9,47.0,27.0
02/11/2018 02:05:14.466666,25.6,46.0,27.0
02/11/2018 02:07:54.603333,25.17,47.0,27.0
02/11/2018 02:10:34.460000,28.02,46.0,27.0
02/11/2018 02:14:34.576666,42.78,46.0,27.0
02/11/2018 02:17:14.566666,37.42,47.0,27.0
02/11/2018 02:19:54.710000,28.56,47.0,27.0
02/11/2018 02:22:34.586666,30.42,47.0,27.0
02/11/2018 02:26:34.670000,27.58,47.0,27.0
02/11/2018 02:29:14.490000,29.0,47.0,27.0
02/11/2018 02:31:54.656666,29.08,47.0,27.0
02/11/2018 02:34:34.583333,29.74,47.0,27.0
02/11/2018 02:38:34.606666,28.95,47.0,27.0
02/11/2018 02:41:14.576666,22.1,48.0,27.0
02/11/2018 02:43:54.616666,22.02,48.0,27.0
02/11/2018 02:46:35.273333,24.4,48.0,27.0
02/11/2018 02:50:34.666666,22.86,48.0,27.0
02/11/2018 02:53:14.850000,25.33,48.0,27.0
02/11/2018 02:55:55.386666,24.65,48.0,27.0
02/11/2018 02:58:34.553333,25.81,48.0,27.0
02/11/2018 03:02:34.596666,26.16,48.0,27.0
02/11/2018 03:05:14.653333,26.69,48.0,27.0
02/11/2018 03:07:54.580000,24.98,48.0,27.0
02/11/2018 03:10:34.676666,28.59,48.0,27.0
02/11/2018 03:14:34.573333,31.66,48.0,27.0
02/11/2018 03:17:14.576666,33.74,48.0,27.0
02/11/2018 03:19:54.643333,31.88,49.0,27.0
02/11/2018 03:22:34.593333,34.51,49.0,27.0
02/11/2018 03:26:35.846666,35.86,49.0,27.0
02/11/2018 03:29:14.583333,35.62,48.0,27.0
02/11/2018 03:31:54.753333,37.29,48.0,27.0
02/11/2018 03:34:34.550000,36.23,48.0,27.0
02/11/2018 03:38:34.573333,35.15,48.0,27.0
02/11/2018 03:41:15.080000,38.1,48.0,28.0
02/11/2018 03:43:54.640000,35.66,48.0,28.0
02/11/2018 03:46:34.680000,37.7,48.0,27.0
02/11/2018 03:50:34.606666,38.26,48.0,28.0
02/11/2018 03:53:14.610000,40.35,48.0,27.0
02/11/2018 03:55:54.626666,40.33,48.0,27.0
02/11/2018 03:58:34.563333,41.12,48.0,27.0
02/11/2018 04:02:34.856666,37.49,48.0,27.0
02/11/2018 04:05:14.706666,38.22,48.0,27.0
02/11/2018 04:07:54.546666,37.2,49.0,27.0
02/11/2018 04:10:34.660000,39.51,49.0,27.0
02/11/2018 04:14:34.760000,34.81,49.0,27.0
02/11/2018 04:17:14.760000,35.76,49.0,27.0
02/11/2018 04:19:54.866666,37.16,49.0,27.0
02/11/2018 04:22:34.816666,38.93,48.0,27.0
02/11/2018 04:26:34.643333,37.8,48.0,27.0
02/11/2018 04:29:14.556666,39.7,48.0,27.0
02/11/2018 04:31:54.586666,38.77,48.0,27.0
02/11/2018 04:34:34.570000,39.0,48.0,27.0
02/11/2018 04:38:34.550000,39.0,48.0,27.0
02/11/2018 04:41:14.733333,38.23,48.0,27.0
02/11/2018 04:43:54.570000,39.2,48.0,27.0
02/11/2018 04:46:34.590000,41.1,48.0,26.0
02/11/2018 04:50:34.563333,40.45,48.0,26.0
02/11/2018 04:53:14.566666,41.37,48.0,26.0
02/11/2018 04:55:54.606666,41.39,48.0,26.0
02/11/2018 04:58:34.603333,41.93,48.0,26.0
02/11/2018 05:02:34.746666,43.52,48.0,26.0
02/11/2018 05:05:14.730000,44.38,48.0,26.0
02/11/2018 05:07:54.666666,45.26,48.0,26.0
02/11/2018 05:10:34.900000,46.58,48.0,26.0
02/11/2018 05:17:14.760000,48.08,48.0,26.0
02/11/2018 05:19:54.706666,48.0,48.0,26.0
02/11/2018 05:22:34.670000,48.05,47.0,26.0
02/11/2018 05:26:34.626666,47.35,47.0,26.0
02/11/2018 05:29:14.870000,50.48,47.0,26.0
02/11/2018 05:31:54.626666,51.37,47.0,25.0
02/11/2018 05:34:34.806666,54.39,47.0,25.0
02/11/2018 05:38:34.666666,52.6,47.0,25.0
02/11/2018 05:41:14.676666,51.95,47.0,25.0
02/11/2018 05:43:54.680000,51.37,47.0,25.0
02/11/2018 05:46:34.666666,49.83,47.0,25.0
02/11/2018 05:50:34.726666,52.67,46.0,25.0
02/11/2018 05:53:14.776666,56.24,46.0,25.0
02/11/2018 05:55:54.613333,61.31,46.0,25.0
02/11/2018 05:58:34.766666,55.05,46.0,24.0
02/11/2018 06:02:34.610000,50.45,46.0,25.0
02/11/2018 06:05:14.590000,51.24,47.0,25.0
02/11/2018 06:07:54.670000,50.88,46.0,24.0
02/11/2018 06:10:34.646666,56.26,46.0,25.0
02/11/2018 06:14:34.780000,58.49,46.0,24.0
02/11/2018 06:17:14.616666,57.07,46.0,24.0
02/11/2018 06:19:54.626666,57.22,46.0,24.0
02/11/2018 06:22:34.810000,55.55,46.0,24.0
02/11/2018 06:26:34.676666,56.45,46.0,24.0
02/11/2018 06:29:14.610000,53.07,46.0,24.0
02/11/2018 06:31:54.810000,53.5,46.0,24.0
02/11/2018 06:34:34.656666,52.24,46.0,24.0
02/11/2018 06:38:34.713333,51.8,46.0,24.0
02/11/2018 06:41:14.813333,51.69,46.0,24.0
02/11/2018 06:43:54.593333,52.2,46.0,24.0
02/11/2018 06:46:34.660000,53.3,46.0,24.0
02/11/2018 06:50:34.763333,53.07,46.0,24.0
02/11/2018 06:53:14.653333,52.29,46.0,24.0
02/11/2018 06:55:54.660000,52.7,46.0,24.0
02/11/2018 06:58:34.683333,53.1,46.0,24.0
02/11/2018 07:02:34.746666,53.43,46.0,24.0
02/11/2018 07:05:14.610000,53.56,46.0,24.0
02/11/2018 07:07:54.603333,52.58,46.0,24.0
02/11/2018 07:10:34.603333,53.95,46.0,24.0
02/11/2018 07:14:34.723333,54.19,46.0,24.0
02/11/2018 07:17:14.630000,53.24,46.0,24.0
02/11/2018 07:19:54.840000,51.91,46.0,24.0
02/11/2018 07:22:34.746666,52.83,46.0,24.0
02/11/2018 07:26:34.616666,51.83,46.0,24.0
02/11/2018 07:29:14.656666,51.86,46.0,24.0
02/11/2018 07:31:54.623333,52.33,46.0,23.0
02/11/2018 07:34:34.670000,52.71,46.0,23.0
02/11/2018 07:38:34.840000,50.56,45.0,23.0
02/11/2018 07:41:14.710000,50.83,45.0,23.0
02/11/2018 07:43:54.763333,51.17,45.0,23.0
02/11/2018 07:46:34.776666,52.49,45.0,23.0
02/11/2018 07:50:34.870000,51.05,45.0,23.0
02/11/2018 07:53:14.926666,51.24,45.0,23.0
02/11/2018 07:55:54.663333,51.98,45.0,23.0
02/11/2018 07:58:34.780000,53.43,45.0,23.0
02/11/2018 08:02:34.723333,50.29,46.0,23.0
02/11/2018 08:05:14.673333,51.12,46.0,23.0
02/11/2018 08:07:54.676666,51.61,46.0,23.0
02/11/2018 08:10:34.836666,48.76,47.0,23.0
02/11/2018 08:14:34.776666,49.71,46.0,23.0
02/11/2018 08:17:14.713333,50.22,46.0,23.0
02/11/2018 08:19:54.746666,48.62,46.0,23.0
02/11/2018 08:22:34.680000,51.88,46.0,23.0
02/11/2018 08:26:35.006666,48.76,45.0,23.0
02/11/2018 08:29:14.773333,49.69,45.0,22.0
02/11/2018 08:31:54.660000,51.31,46.0,22.0
02/11/2018 08:34:34.760000,49.15,46.0,22.0
02/11/2018 08:38:34.750000,48.44,45.0,22.0
02/11/2018 08:41:14.806666,47.2,45.0,22.0
02/11/2018 08:43:54.896666,48.12,45.0,22.0
02/11/2018 08:46:34.653333,47.24,45.0,22.0
02/11/2018 08:50:34.683333,51.29,45.0,22.0
02/11/2018 08:53:15.453333,49.75,45.0,22.0
02/11/2018 08:55:55.353333,48.29,45.0,22.0
02/11/2018 08:58:34.980000,49.81,45.0,22.0
02/11/2018 09:02:34.730000,50.66,45.0,22.0
02/11/2018 09:05:14.646666,48.0,45.0,22.0
02/11/2018 09:07:54.750000,48.36,45.0,22.0
02/11/2018 09:10:35.030000,48.05,44.0,22.0
02/11/2018 09:14:35.003333,47.49,44.0,21.0
02/11/2018 09:17:14.786666,44.83,45.0,21.0
02/11/2018 09:19:54.726666,44.42,44.0,21.0
02/11/2018 09:22:35.216666,41.2,44.0,21.0
02/11/2018 09:26:34.880000,42.98,45.0,21.0
02/11/2018 09:29:14.763333,42.6,45.0,21.0
02/11/2018 09:31:54.640000,45.9,45.0,21.0
02/11/2018 09:34:34.873333,43.05,45.0,21.0
02/11/2018 09:38:34.663333,43.26,44.0,21.0
02/11/2018 09:41:14.680000,44.66,44.0,21.0
02/11/2018 09:43:54.690000,44.4,45.0,21.0
02/11/2018 09:46:34.800000,43.95,45.0,21.0
02/11/2018 09:50:34.720000,42.89,44.0,21.0
02/11/2018 09:53:14.676666,42.68,44.0,21.0
02/11/2018 09:55:54.776666,45.85,44.0,21.0
02/11/2018 09:58:34.763333,45.76,44.0,21.0
02/11/2018 10:02:35.003333,45.76,44.0,21.0
02/11/2018 10:05:14.670000,42.13,44.0,21.0
02/11/2018 10:07:55.000000,43.27,44.0,21.0
02/11/2018 10:10:34.680000,43.08,44.0,21.0
02/11/2018 10:14:34.926666,42.35,44.0,21.0
02/11/2018 10:17:14.886666,42.72,44.0,21.0
02/11/2018 10:19:54.736666,45.12,45.0,21.0
02/11/2018 10:22:34.646666,44.29,45.0,21.0
02/11/2018 10:26:34.826666,47.29,45.0,21.0
02/11/2018 10:29:15.506666,45.12,45.0,21.0
02/11/2018 10:31:54.723333,46.51,45.0,21.0
02/11/2018 10:34:34.710000,43.55,45.0,20.0
02/11/2018 10:38:34.630000,44.2,45.0,21.0
02/11/2018 10:41:14.656666,41.0,45.0,21.0
02/11/2018 10:43:54.700000,42.09,45.0,21.0
02/11/2018 10:46:34.676666,42.59,44.0,20.0
02/11/2018 10:50:34.753333,40.98,44.0,20.0
02/11/2018 10:53:14.746666,40.83,44.0,20.0
02/11/2018 10:55:54.806666,37.68,44.0,20.0
