InstrumentName, Swansea (DEH) B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:57.710000,0.3,100.0,-221.0
02/10/2018 23:26:47.613333,7.53,100.0,-221.0
02/10/2018 23:29:27.573333,7.77,100.0,-221.0
02/10/2018 23:32:07.620000,8.1,100.0,-221.0
02/10/2018 23:34:47.556666,9.14,100.0,-221.0
02/10/2018 23:38:47.656666,7.97,100.0,-221.0
02/10/2018 23:41:27.576666,7.47,100.0,-221.0
02/10/2018 23:44:07.496666,8.26,100.0,-221.0
02/10/2018 23:46:47.640000,15.53,100.0,-221.0
02/10/2018 23:50:47.616666,7.59,100.0,-221.0
02/10/2018 23:53:27.683333,8.36,100.0,-221.0
02/10/2018 23:56:07.643333,9.1,100.0,-221.0
02/10/2018 23:58:47.560000,24.32,100.0,-221.0
02/11/2018 00:02:47.643333,7.0,100.0,-221.0
02/11/2018 00:05:27.633333,7.74,100.0,-221.0
02/11/2018 00:08:07.800000,8.16,100.0,-221.0
02/11/2018 00:10:47.630000,6.74,100.0,-221.0
02/11/2018 00:14:47.630000,5.35,100.0,-221.0
02/11/2018 00:17:27.876666,10.05,100.0,-221.0
02/11/2018 00:20:07.560000,7.0,100.0,-221.0
02/11/2018 00:22:48.556666,6.89,100.0,-221.0
02/11/2018 00:26:47.576666,5.83,100.0,-221.0
02/11/2018 00:29:27.626666,7.22,100.0,-221.0
02/11/2018 00:32:07.586666,5.82,100.0,-221.0
02/11/2018 00:34:47.560000,5.05,100.0,-221.0
02/11/2018 00:38:47.626666,6.0,100.0,-221.0
02/11/2018 00:41:27.620000,9.38,100.0,-221.0
02/11/2018 00:44:07.550000,20.79,100.0,-221.0
02/11/2018 00:46:47.626666,16.61,100.0,-221.0
02/11/2018 00:50:47.760000,13.62,100.0,-221.0
02/11/2018 00:53:27.513333,6.35,100.0,-221.0
02/11/2018 00:56:07.653333,6.78,100.0,-221.0
02/11/2018 00:58:47.660000,7.91,100.0,-221.0
02/11/2018 01:02:47.666666,5.53,100.0,-221.0
02/11/2018 01:05:27.856666,6.63,100.0,-221.0
02/11/2018 01:08:07.603333,10.08,100.0,-221.0
02/11/2018 01:10:47.596666,6.65,100.0,-221.0
02/11/2018 01:14:47.666666,8.73,100.0,-221.0
02/11/2018 01:17:27.613333,9.37,100.0,-221.0
02/11/2018 01:20:07.570000,8.47,100.0,-221.0
02/11/2018 01:22:47.960000,10.46,100.0,-221.0
02/11/2018 01:26:47.816666,8.46,100.0,-221.0
02/11/2018 01:29:28.083333,6.95,100.0,-221.0
02/11/2018 01:32:07.606666,7.59,100.0,-221.0
02/11/2018 01:34:47.570000,7.24,100.0,-221.0
02/11/2018 01:38:47.643333,6.21,100.0,-221.0
02/11/2018 01:41:27.633333,6.95,100.0,-221.0
02/11/2018 01:44:08.183333,8.05,100.0,-221.0
02/11/2018 01:46:47.610000,6.71,100.0,-221.0
02/11/2018 01:50:47.686666,8.7,100.0,-221.0
02/11/2018 01:53:28.023333,9.29,100.0,-221.0
02/11/2018 01:56:08.633333,7.21,100.0,-221.0
02/11/2018 01:58:47.630000,7.44,100.0,-221.0
02/11/2018 02:02:47.520000,7.49,100.0,-221.0
02/11/2018 02:05:27.556666,7.42,100.0,-221.0
02/11/2018 02:08:07.566666,7.89,100.0,-221.0
02/11/2018 02:10:47.533333,6.42,100.0,-221.0
02/11/2018 02:14:47.673333,6.81,100.0,-221.0
02/11/2018 02:17:28.083333,8.05,100.0,-221.0
02/11/2018 02:20:07.583333,7.2,100.0,-221.0
02/11/2018 02:22:47.603333,9.11,100.0,-221.0
02/11/2018 02:26:47.666666,10.27,100.0,-221.0
02/11/2018 02:29:27.656666,10.68,100.0,-221.0
02/11/2018 02:32:07.600000,9.69,100.0,-221.0
02/11/2018 02:34:48.263333,9.78,100.0,-221.0
02/11/2018 02:37:27.923333,9.95,100.0,-221.0
02/11/2018 02:41:27.716666,8.11,100.0,-221.0
02/11/2018 02:44:07.626666,9.41,100.0,-221.0
02/11/2018 02:46:48.280000,9.62,100.0,-221.0
02/11/2018 02:50:47.876666,9.26,100.0,-221.0
02/11/2018 02:53:27.736666,10.47,100.0,-221.0
02/11/2018 02:56:07.580000,7.6,100.0,-221.0
02/11/2018 02:58:47.766666,14.44,100.0,-221.0
02/11/2018 03:02:47.696666,9.46,100.0,-221.0
02/11/2018 03:05:27.663333,7.68,100.0,-221.0
02/11/2018 03:08:08.073333,9.21,100.0,-221.0
02/11/2018 03:10:47.653333,10.18,100.0,-221.0
02/11/2018 03:14:47.683333,9.43,100.0,-221.0
02/11/2018 03:17:28.346666,12.26,100.0,-221.0
02/11/2018 03:20:07.980000,12.26,100.0,-221.0
02/11/2018 03:22:47.776666,13.74,100.0,-221.0
02/11/2018 03:26:47.616666,12.88,100.0,-221.0
02/11/2018 03:29:28.103333,12.32,100.0,-221.0
02/11/2018 03:32:07.990000,12.81,100.0,-221.0
02/11/2018 03:34:47.640000,13.86,100.0,-221.0
02/11/2018 03:38:47.750000,15.22,100.0,-221.0
02/11/2018 03:41:27.783333,14.32,100.0,-221.0
02/11/2018 03:44:07.616666,19.06,100.0,-221.0
02/11/2018 03:46:47.556666,14.66,100.0,-221.0
02/11/2018 03:50:47.823333,15.66,100.0,-221.0
02/11/2018 03:53:27.826666,16.29,100.0,-221.0
02/11/2018 03:56:07.910000,17.94,100.0,-221.0
02/11/2018 03:58:47.906666,15.54,100.0,-221.0
02/11/2018 04:02:47.643333,16.5,100.0,-221.0
02/11/2018 04:05:28.330000,15.87,100.0,-221.0
02/11/2018 04:08:07.743333,14.0,100.0,-221.0
02/11/2018 04:10:47.790000,13.24,100.0,-221.0
02/11/2018 04:13:27.830000,15.78,100.0,-221.0
02/11/2018 04:17:28.133333,18.47,100.0,-221.0
02/11/2018 04:20:07.636666,22.0,100.0,-221.0
02/11/2018 04:22:47.910000,15.76,100.0,-221.0
02/11/2018 04:26:47.760000,10.77,100.0,-221.0
02/11/2018 04:29:27.750000,14.3,100.0,-221.0
02/11/2018 04:32:08.246666,14.05,100.0,-221.0
02/11/2018 04:34:48.010000,16.32,100.0,-221.0
02/11/2018 04:38:48.193333,14.08,100.0,-221.0
02/11/2018 04:41:28.073333,13.18,100.0,-221.0
02/11/2018 04:44:07.836666,11.63,100.0,-221.0
02/11/2018 04:46:47.863333,12.65,100.0,-221.0
02/11/2018 04:50:47.713333,19.58,100.0,-221.0
02/11/2018 04:53:27.583333,16.0,100.0,-221.0
02/11/2018 04:56:07.890000,17.65,100.0,-221.0
02/11/2018 04:58:47.810000,14.24,100.0,-221.0
02/11/2018 05:02:47.646666,19.18,100.0,-221.0
02/11/2018 05:05:27.730000,16.92,100.0,-221.0
02/11/2018 05:08:07.576666,20.31,100.0,-221.0
02/11/2018 05:10:47.760000,20.66,100.0,-221.0
02/11/2018 05:17:27.956666,26.29,100.0,-221.0
02/11/2018 05:20:07.626666,23.43,100.0,-221.0
02/11/2018 05:22:47.866666,26.51,100.0,-221.0
02/11/2018 05:26:48.160000,24.71,100.0,-221.0
02/11/2018 05:29:27.763333,24.5,100.0,-221.0
02/11/2018 05:32:07.753333,25.27,100.0,-221.0
02/11/2018 05:34:47.706666,23.37,100.0,-221.0
02/11/2018 05:38:47.856666,27.21,100.0,-221.0
02/11/2018 05:41:27.986666,26.61,100.0,-221.0
02/11/2018 05:44:07.633333,26.33,100.0,-221.0
02/11/2018 05:46:47.826666,23.87,100.0,-221.0
02/11/2018 05:50:47.666666,21.29,100.0,-221.0
02/11/2018 05:53:27.676666,24.46,100.0,-221.0
02/11/2018 05:56:07.746666,22.26,100.0,-221.0
02/11/2018 05:58:47.703333,24.24,100.0,-221.0
02/11/2018 06:02:47.706666,24.36,100.0,-221.0
02/11/2018 06:05:27.576666,25.53,100.0,-221.0
02/11/2018 06:08:07.583333,25.23,100.0,-221.0
02/11/2018 06:10:47.643333,21.71,100.0,-221.0
02/11/2018 06:14:47.643333,25.41,100.0,-221.0
02/11/2018 06:17:27.720000,23.79,100.0,-221.0
02/11/2018 06:20:08.030000,17.68,100.0,-221.0
02/11/2018 06:22:47.703333,19.03,100.0,-221.0
02/11/2018 06:26:47.950000,18.39,100.0,-221.0
02/11/2018 06:29:27.686666,16.44,100.0,-221.0
02/11/2018 06:32:07.670000,18.81,100.0,-221.0
02/11/2018 06:34:47.710000,22.0,100.0,-221.0
02/11/2018 06:37:28.050000,22.08,100.0,-221.0
02/11/2018 06:41:27.656666,21.63,100.0,-221.0
02/11/2018 06:44:07.790000,22.92,100.0,-221.0
02/11/2018 06:46:47.640000,23.06,100.0,-221.0
02/11/2018 06:50:47.680000,24.12,100.0,-221.0
02/11/2018 06:53:27.620000,23.0,100.0,-221.0
02/11/2018 06:56:07.623333,23.72,100.0,-221.0
02/11/2018 06:58:47.973333,21.63,100.0,-221.0
02/11/2018 07:02:47.566666,21.35,100.0,-221.0
02/11/2018 07:05:27.786666,23.19,100.0,-221.0
02/11/2018 07:08:07.730000,25.64,100.0,-221.0
02/11/2018 07:10:47.743333,24.27,100.0,-221.0
02/11/2018 07:14:47.616666,24.0,100.0,-221.0
02/11/2018 07:17:27.656666,21.42,100.0,-221.0
02/11/2018 07:20:07.580000,22.08,100.0,-221.0
02/11/2018 07:22:47.646666,23.42,100.0,-221.0
02/11/2018 07:25:27.586666,21.28,100.0,-221.0
02/11/2018 07:29:27.633333,22.97,100.0,-221.0
02/11/2018 07:32:07.876666,23.68,100.0,-221.0
02/11/2018 07:34:47.676666,19.0,100.0,-221.0
02/11/2018 07:38:47.733333,24.81,100.0,-221.0
02/11/2018 07:41:27.590000,22.95,100.0,-221.0
02/11/2018 07:44:07.616666,21.69,100.0,-221.0
02/11/2018 07:46:47.876666,24.03,100.0,-221.0
02/11/2018 07:50:47.663333,23.74,100.0,-221.0
02/11/2018 07:53:28.690000,25.63,100.0,-221.0
02/11/2018 07:56:07.756666,20.5,100.0,-221.0
02/11/2018 07:58:48.006666,24.05,100.0,-221.0
02/11/2018 08:02:47.856666,21.05,100.0,-221.0
02/11/2018 08:05:27.810000,18.87,100.0,-221.0
02/11/2018 08:08:07.820000,21.13,100.0,-221.0
02/11/2018 08:10:47.623333,19.5,100.0,-221.0
02/11/2018 08:14:47.720000,16.28,100.0,-221.0
02/11/2018 08:17:27.626666,18.05,100.0,-221.0
02/11/2018 08:20:08.073333,17.94,100.0,-221.0
02/11/2018 08:22:47.770000,18.37,100.0,-221.0
02/11/2018 08:26:47.680000,17.19,100.0,-221.0
02/11/2018 08:29:27.830000,14.32,100.0,-221.0
02/11/2018 08:32:07.820000,13.3,100.0,-221.0
02/11/2018 08:34:47.730000,14.87,100.0,-221.0
02/11/2018 08:38:47.770000,14.22,100.0,-221.0
02/11/2018 08:41:27.873333,12.81,100.0,-221.0
02/11/2018 08:44:07.830000,10.71,100.0,-221.0
02/11/2018 08:46:47.766666,15.79,100.0,-221.0
02/11/2018 08:50:47.730000,13.58,100.0,-221.0
02/11/2018 08:53:27.753333,8.28,100.0,-221.0
02/11/2018 08:56:07.803333,12.42,100.0,-221.0
02/11/2018 08:58:48.463333,13.6,100.0,-221.0
02/11/2018 09:01:27.670000,14.56,100.0,-221.0
02/11/2018 09:05:27.800000,15.49,100.0,-221.0
02/11/2018 09:08:08.150000,14.54,100.0,-221.0
02/11/2018 09:10:47.776666,15.81,100.0,-221.0
02/11/2018 09:14:47.873333,17.85,100.0,-221.0
02/11/2018 09:17:27.726666,24.79,100.0,-221.0
02/11/2018 09:20:07.723333,20.31,100.0,-221.0
02/11/2018 09:22:48.870000,15.84,100.0,-221.0
02/11/2018 09:26:47.796666,13.88,100.0,-221.0
02/11/2018 09:29:27.743333,12.32,100.0,-221.0
02/11/2018 09:32:07.816666,17.66,100.0,-221.0
02/11/2018 09:34:48.406666,12.41,100.0,-221.0
02/11/2018 09:38:47.996666,12.14,100.0,-221.0
02/11/2018 09:41:27.863333,13.32,100.0,-221.0
02/11/2018 09:44:08.256666,15.42,100.0,-221.0
02/11/2018 09:46:47.746666,12.68,100.0,-221.0
02/11/2018 09:50:47.756666,12.11,100.0,-221.0
02/11/2018 09:53:27.896666,14.38,100.0,-221.0
02/11/2018 09:56:07.776666,13.16,100.0,-221.0
02/11/2018 09:58:47.756666,12.26,100.0,-221.0
02/11/2018 10:01:28.056666,9.43,100.0,-221.0
02/11/2018 10:05:27.800000,13.26,100.0,-221.0
02/11/2018 10:08:07.820000,11.0,100.0,-221.0
02/11/2018 10:10:47.940000,10.0,100.0,-221.0
02/11/2018 10:14:47.780000,8.75,100.0,-221.0
02/11/2018 10:17:27.736666,10.89,100.0,-221.0
02/11/2018 10:20:07.830000,9.83,100.0,-221.0
02/11/2018 10:22:47.750000,8.94,100.0,-221.0
02/11/2018 10:26:47.850000,9.06,100.0,-221.0
02/11/2018 10:29:27.816666,11.46,100.0,-221.0
02/11/2018 10:32:08.083333,8.59,100.0,-221.0
