InstrumentName, West Denver PA-II,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:48.600000,0.02,40.0,44.0
02/10/2018 23:26:41.480000,15.43,43.0,33.0
02/10/2018 23:29:21.976666,18.08,43.0,33.0
02/10/2018 23:32:01.696666,16.28,43.0,33.0
02/10/2018 23:34:41.476666,18.83,43.0,33.0
02/10/2018 23:38:41.810000,17.35,43.0,33.0
02/10/2018 23:41:23.610000,18.22,43.0,33.0
02/10/2018 23:44:01.633333,17.62,43.0,33.0
02/10/2018 23:46:41.816666,17.92,43.0,33.0
02/10/2018 23:50:41.526666,17.32,43.0,33.0
02/10/2018 23:53:21.580000,19.77,43.0,33.0
02/10/2018 23:56:01.466666,19.35,43.0,33.0
02/10/2018 23:58:41.873333,19.17,43.0,33.0
02/11/2018 00:02:41.570000,18.83,43.0,32.0
02/11/2018 00:05:21.466666,20.9,43.0,32.0
02/11/2018 00:08:01.540000,17.8,43.0,32.0
02/11/2018 00:10:41.900000,17.52,43.0,32.0
02/11/2018 00:14:41.683333,18.81,43.0,32.0
02/11/2018 00:17:21.666666,18.87,43.0,32.0
02/11/2018 00:20:01.566666,18.22,43.0,32.0
02/11/2018 00:22:41.740000,18.28,43.0,32.0
02/11/2018 00:26:42.950000,17.13,43.0,32.0
02/11/2018 00:29:21.670000,17.41,43.0,32.0
02/11/2018 00:32:02.190000,17.78,43.0,32.0
02/11/2018 00:34:42.256666,16.0,43.0,32.0
02/11/2018 00:38:42.136666,18.62,43.0,32.0
02/11/2018 00:41:21.600000,18.24,43.0,32.0
02/11/2018 00:44:02.103333,17.76,43.0,32.0
02/11/2018 00:46:41.503333,19.03,43.0,32.0
02/11/2018 00:50:43.570000,19.03,43.0,32.0
02/11/2018 00:53:21.653333,18.05,43.0,32.0
02/11/2018 00:56:02.456666,19.33,43.0,32.0
02/11/2018 00:58:41.923333,17.41,43.0,32.0
02/11/2018 01:02:41.620000,18.36,43.0,32.0
02/11/2018 01:05:21.770000,17.93,43.0,32.0
02/11/2018 01:08:01.686666,16.85,43.0,32.0
02/11/2018 01:10:41.776666,20.49,43.0,32.0
02/11/2018 01:14:42.703333,19.45,43.0,32.0
02/11/2018 01:17:21.576666,16.2,43.0,32.0
02/11/2018 01:20:01.683333,16.29,43.0,32.0
02/11/2018 01:22:42.733333,17.7,43.0,32.0
02/11/2018 01:26:41.663333,16.85,43.0,32.0
02/11/2018 01:29:21.620000,19.25,43.0,32.0
02/11/2018 01:32:01.580000,16.49,43.0,32.0
02/11/2018 01:34:42.146666,17.26,44.0,32.0
02/11/2018 01:38:42.806666,19.07,44.0,32.0
02/11/2018 01:41:21.623333,17.74,44.0,32.0
02/11/2018 01:44:01.790000,16.42,44.0,32.0
02/11/2018 01:46:41.703333,17.69,44.0,31.0
02/11/2018 01:50:41.530000,18.55,44.0,31.0
02/11/2018 01:53:21.556666,16.12,44.0,31.0
02/11/2018 01:56:01.506666,17.02,44.0,32.0
02/11/2018 01:58:41.653333,17.75,44.0,31.0
02/11/2018 02:02:41.486666,17.14,44.0,32.0
02/11/2018 02:05:22.020000,17.92,44.0,32.0
02/11/2018 02:08:01.626666,18.8,44.0,32.0
02/11/2018 02:10:41.530000,16.6,44.0,32.0
02/11/2018 02:14:41.503333,19.15,44.0,32.0
02/11/2018 02:17:21.626666,19.05,44.0,32.0
02/11/2018 02:20:01.550000,18.8,44.0,32.0
02/11/2018 02:22:41.526666,19.7,44.0,32.0
02/11/2018 02:26:41.506666,19.69,44.0,32.0
02/11/2018 02:29:21.670000,19.9,44.0,32.0
02/11/2018 02:32:01.546666,21.48,44.0,32.0
02/11/2018 02:34:41.560000,19.56,45.0,32.0
02/11/2018 02:38:41.996666,19.55,45.0,32.0
02/11/2018 02:41:21.516666,19.51,45.0,32.0
02/11/2018 02:44:01.630000,18.4,45.0,32.0
02/11/2018 02:46:41.566666,18.6,45.0,32.0
02/11/2018 02:50:41.656666,24.37,45.0,32.0
02/11/2018 02:53:21.820000,24.76,45.0,32.0
02/11/2018 02:56:01.573333,23.08,45.0,32.0
02/11/2018 02:58:41.663333,22.71,45.0,32.0
02/11/2018 03:02:41.716666,25.22,45.0,32.0
02/11/2018 03:05:21.726666,22.7,46.0,32.0
02/11/2018 03:08:02.080000,23.82,46.0,31.0
02/11/2018 03:10:41.536666,22.22,46.0,31.0
02/11/2018 03:14:41.646666,25.88,47.0,31.0
02/11/2018 03:17:21.540000,25.0,47.0,31.0
02/11/2018 03:20:01.683333,26.79,47.0,31.0
02/11/2018 03:22:41.803333,28.8,47.0,31.0
02/11/2018 03:26:41.856666,27.52,47.0,31.0
02/11/2018 03:29:21.623333,29.44,47.0,31.0
02/11/2018 03:32:01.660000,30.46,47.0,31.0
02/11/2018 03:34:41.693333,30.35,47.0,31.0
02/11/2018 03:38:41.693333,31.41,47.0,31.0
02/11/2018 03:41:21.610000,32.51,47.0,31.0
02/11/2018 03:44:01.723333,34.58,47.0,31.0
02/11/2018 03:46:41.570000,34.54,47.0,31.0
02/11/2018 03:50:41.773333,34.5,47.0,32.0
02/11/2018 03:53:21.700000,34.49,47.0,32.0
02/11/2018 03:56:01.726666,35.24,47.0,32.0
02/11/2018 03:58:41.693333,36.4,47.0,32.0
02/11/2018 04:02:41.666666,36.37,47.0,32.0
02/11/2018 04:05:21.623333,36.31,47.0,32.0
02/11/2018 04:08:01.776666,39.22,47.0,31.0
02/11/2018 04:10:42.156666,38.37,47.0,32.0
02/11/2018 04:14:41.690000,39.97,47.0,32.0
02/11/2018 04:17:21.583333,37.02,46.0,32.0
02/11/2018 04:20:01.710000,39.19,47.0,32.0
02/11/2018 04:22:41.763333,40.43,46.0,32.0
02/11/2018 04:26:41.600000,39.07,46.0,32.0
02/11/2018 04:29:21.626666,39.24,46.0,32.0
02/11/2018 04:32:01.610000,40.73,46.0,32.0
02/11/2018 04:34:41.666666,40.3,46.0,32.0
02/11/2018 04:38:41.716666,40.36,46.0,31.0
02/11/2018 04:41:21.723333,41.71,47.0,31.0
02/11/2018 04:44:01.743333,40.69,46.0,31.0
02/11/2018 04:46:41.673333,40.65,46.0,31.0
02/11/2018 04:50:41.736666,41.19,46.0,31.0
02/11/2018 04:53:21.636666,42.78,45.0,31.0
02/11/2018 04:56:02.156666,41.07,46.0,31.0
02/11/2018 04:58:41.663333,41.31,46.0,31.0
02/11/2018 05:02:43.036666,43.13,46.0,31.0
02/11/2018 05:05:23.030000,43.52,46.0,31.0
02/11/2018 05:08:02.966666,46.25,46.0,31.0
02/11/2018 05:10:43.090000,45.35,46.0,31.0
02/11/2018 05:17:23.156666,42.7,46.0,31.0
02/11/2018 05:20:02.896666,44.03,46.0,31.0
02/11/2018 05:22:42.990000,44.82,45.0,31.0
02/11/2018 05:26:43.606666,43.38,45.0,31.0
02/11/2018 05:29:22.973333,45.27,45.0,31.0
02/11/2018 05:32:02.930000,44.8,45.0,31.0
02/11/2018 05:34:42.893333,42.81,45.0,31.0
02/11/2018 05:38:43.146666,43.55,44.0,31.0
02/11/2018 05:41:22.960000,43.24,45.0,31.0
02/11/2018 05:44:02.963333,42.56,44.0,31.0
02/11/2018 05:46:42.966666,44.97,44.0,31.0
02/11/2018 05:50:42.906666,42.55,43.0,31.0
02/11/2018 05:53:23.060000,42.58,43.0,31.0
02/11/2018 05:56:02.910000,42.65,43.0,30.0
02/11/2018 05:58:43.053333,42.85,43.0,30.0
02/11/2018 06:02:42.976666,43.02,43.0,30.0
02/11/2018 06:05:22.900000,42.98,43.0,30.0
02/11/2018 06:08:02.900000,44.02,43.0,30.0
02/11/2018 06:10:42.923333,42.3,43.0,30.0
02/11/2018 06:14:42.943333,41.63,44.0,30.0
02/11/2018 06:17:23.126666,40.91,44.0,30.0
02/11/2018 06:20:02.953333,43.0,44.0,30.0
02/11/2018 06:22:42.993333,42.67,44.0,30.0
02/11/2018 06:26:42.996666,43.22,44.0,30.0
02/11/2018 06:29:22.970000,44.26,44.0,30.0
02/11/2018 06:32:02.900000,44.1,44.0,30.0
02/11/2018 06:34:42.993333,41.52,44.0,30.0
02/11/2018 06:38:42.970000,43.41,44.0,30.0
02/11/2018 06:41:23.083333,42.43,44.0,30.0
02/11/2018 06:44:02.906666,42.12,44.0,30.0
02/11/2018 06:46:43.243333,41.57,44.0,30.0
02/11/2018 06:50:42.966666,40.95,44.0,30.0
02/11/2018 06:53:22.946666,41.22,44.0,30.0
02/11/2018 06:56:03.050000,42.25,44.0,29.0
02/11/2018 06:58:43.103333,42.73,44.0,29.0
02/11/2018 07:02:43.016666,41.0,44.0,29.0
02/11/2018 07:05:22.970000,41.56,44.0,29.0
02/11/2018 07:08:02.930000,45.0,44.0,29.0
02/11/2018 07:10:43.170000,42.97,43.0,29.0
02/11/2018 07:14:42.973333,44.0,43.0,29.0
02/11/2018 07:17:22.963333,45.33,43.0,29.0
02/11/2018 07:20:02.990000,43.4,43.0,29.0
02/11/2018 07:22:43.036666,42.05,43.0,29.0
02/11/2018 07:26:42.973333,41.87,43.0,29.0
02/11/2018 07:29:23.030000,41.15,43.0,29.0
02/11/2018 07:32:02.953333,41.71,43.0,29.0
02/11/2018 07:34:43.013333,40.07,43.0,29.0
02/11/2018 07:38:43.033333,41.63,43.0,29.0
02/11/2018 07:41:23.010000,39.88,43.0,29.0
02/11/2018 07:44:02.996666,40.74,43.0,29.0
02/11/2018 07:46:43.163333,39.08,43.0,28.0
02/11/2018 07:50:42.963333,39.63,42.0,28.0
02/11/2018 07:53:23.006666,40.83,42.0,28.0
02/11/2018 07:56:03.156666,39.95,43.0,28.0
02/11/2018 07:58:43.493333,38.97,43.0,28.0
02/11/2018 08:02:43.156666,40.0,43.0,28.0
02/11/2018 08:05:23.076666,37.56,43.0,28.0
02/11/2018 08:08:03.070000,37.02,43.0,28.0
02/11/2018 08:10:43.006666,38.63,43.0,28.0
02/11/2018 08:14:43.050000,36.29,44.0,28.0
02/11/2018 08:17:23.096666,34.86,44.0,28.0
02/11/2018 08:20:03.066666,32.07,45.0,28.0
02/11/2018 08:22:42.993333,31.33,45.0,28.0
02/11/2018 08:26:43.013333,26.54,45.0,28.0
02/11/2018 08:29:23.096666,31.46,44.0,28.0
02/11/2018 08:32:03.066666,29.93,44.0,28.0
02/11/2018 08:34:43.000000,29.98,45.0,28.0
02/11/2018 08:38:43.236666,28.45,45.0,28.0
02/11/2018 08:41:23.013333,30.67,44.0,28.0
02/11/2018 08:44:03.046666,30.64,44.0,28.0
02/11/2018 08:46:43.010000,31.55,44.0,28.0
02/11/2018 08:50:43.020000,30.8,43.0,28.0
02/11/2018 08:53:23.656666,29.78,43.0,28.0
02/11/2018 08:56:03.073333,30.23,43.0,28.0
02/11/2018 08:58:43.026666,27.33,43.0,28.0
02/11/2018 09:01:23.026666,28.23,43.0,28.0
02/11/2018 09:05:23.030000,29.44,43.0,28.0
02/11/2018 09:08:03.083333,29.34,42.0,28.0
02/11/2018 09:10:43.073333,27.56,42.0,28.0
02/11/2018 09:14:43.156666,28.34,42.0,28.0
02/11/2018 09:17:23.180000,29.05,42.0,28.0
02/11/2018 09:20:03.746666,27.38,42.0,28.0
02/11/2018 09:22:43.053333,29.93,42.0,28.0
02/11/2018 09:26:43.126666,27.45,42.0,27.0
02/11/2018 09:29:23.683333,26.88,42.0,27.0
02/11/2018 09:32:03.140000,27.09,42.0,27.0
02/11/2018 09:34:43.210000,28.25,42.0,27.0
02/11/2018 09:38:43.316666,28.17,43.0,27.0
02/11/2018 09:41:23.066666,27.98,42.0,27.0
02/11/2018 09:44:03.083333,28.54,43.0,27.0
02/11/2018 09:46:43.140000,25.75,43.0,27.0
02/11/2018 09:49:23.136666,27.98,42.0,27.0
02/11/2018 09:52:27.850000,28.69,42.0,27.0
02/11/2018 09:56:27.856666,27.83,42.0,27.0
02/11/2018 09:59:07.856666,27.05,42.0,27.0
02/11/2018 10:01:47.816666,26.47,42.0,27.0
02/11/2018 10:04:27.926666,28.73,42.0,27.0
02/11/2018 10:08:27.766666,25.8,42.0,27.0
02/11/2018 10:11:07.776666,23.84,42.0,27.0
02/11/2018 10:13:47.900000,24.0,42.0,27.0
02/11/2018 10:16:27.850000,23.79,42.0,26.0
02/11/2018 10:20:27.863333,25.61,42.0,26.0
02/11/2018 10:23:07.846666,20.85,42.0,26.0
02/11/2018 10:25:47.770000,21.12,42.0,26.0
02/11/2018 10:28:27.866666,18.46,42.0,26.0
02/11/2018 10:32:27.786666,17.21,42.0,26.0
02/11/2018 10:35:07.846666,19.45,42.0,26.0
02/11/2018 10:37:47.980000,16.12,42.0,26.0
02/11/2018 10:40:28.163333,16.95,42.0,26.0
02/11/2018 10:44:28.433333,17.95,42.0,26.0
02/11/2018 10:47:08.063333,18.8,42.0,26.0
02/11/2018 10:49:48.036666,16.98,43.0,26.0
02/11/2018 10:52:28.116666,17.98,43.0,26.0
02/11/2018 10:56:27.930000,16.48,43.0,26.0
