InstrumentName, Construction Dust Monitor (A) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/01/2018 18:05:54.870000,,,13.05,18.0,58.0
03/01/2018 18:12:31.716666,,,8.49,16.0,59.0
03/01/2018 18:19:08.526666,,,7.89,15.0,61.0
03/01/2018 18:25:45.510000,,,4.72,14.0,61.0
03/01/2018 18:32:21.993333,,,4.5,13.0,62.0
03/01/2018 18:33:42.033333,,,3.93,13.0,62.0
03/01/2018 18:41:38.843333,,,5.0,12.0,63.0
03/01/2018 18:44:19.126666,,,4.62,11.0,63.0
03/01/2018 18:52:15.603333,,,7.71,13.0,63.0
03/01/2018 18:58:52.593333,,,10.73,13.0,63.0
03/01/2018 19:01:32.610000,,,8.34,13.0,63.0
03/01/2018 19:08:09.413333,,,8.82,13.0,63.0
03/01/2018 19:09:29.226666,,,9.95,14.0,62.0
03/01/2018 19:17:22.543333,,,10.45,14.0,62.0
03/01/2018 19:21:19.393333,,,9.63,14.0,62.0
03/01/2018 19:29:16.626666,,,9.07,13.0,63.0
03/01/2018 19:31:57.550000,,,11.19,13.0,63.0
03/01/2018 19:33:16.596666,,,12.2,14.0,64.0
03/01/2018 19:41:13.416666,,,9.78,12.0,64.0
03/01/2018 19:43:53.333333,,,9.55,13.0,64.0
03/01/2018 19:50:30.010000,,,11.33,13.0,65.0
03/01/2018 19:57:06.953333,,,9.76,12.0,65.0
03/01/2018 20:05:03.310000,,,10.78,12.0,65.0
03/01/2018 20:07:43.256666,,,7.83,12.0,65.0
03/01/2018 20:10:24.010000,,,11.33,13.0,65.0
03/01/2018 20:14:23.163333,,,10.0,12.0,65.0
03/01/2018 20:17:03.333333,,,5.51,12.0,64.0
03/01/2018 20:23:40.266666,,,10.51,12.0,64.0
03/01/2018 20:26:20.316666,,,10.23,13.0,64.0
03/01/2018 20:27:40.256666,,,10.36,13.0,64.0
03/01/2018 20:34:17.326666,,,6.8,12.0,64.0
03/01/2018 20:40:54.436666,,,6.78,13.0,66.0
03/01/2018 20:43:34.380000,,,6.15,12.0,66.0
03/01/2018 20:44:54.506666,,,5.73,11.0,65.0
03/01/2018 20:51:31.020000,,,2.97,12.0,67.0
03/01/2018 20:59:28.353333,,,7.12,11.0,66.0
03/01/2018 21:02:08.120000,,,4.29,12.0,66.0
03/01/2018 21:11:24.616666,,,4.95,12.0,66.0
03/01/2018 21:14:05.520000,,,2.34,12.0,66.0
03/01/2018 21:16:44.423333,,,4.46,12.0,67.0
03/01/2018 21:19:24.656666,,,5.31,12.0,67.0
03/01/2018 21:26:01.446666,,,2.5,12.0,66.0
03/01/2018 21:27:21.526666,,,2.2,12.0,66.0
03/01/2018 21:35:18.516666,,,3.12,11.0,67.0
03/01/2018 21:37:59.306666,,,2.16,11.0,67.0
03/01/2018 21:39:18.540000,,,2.05,10.0,67.0
