InstrumentName, Construction Dust Monitor (B) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/01/2018 21:56:21.660000,,,3.81,12.0,68.0
03/01/2018 21:59:01.623333,,,3.4,12.0,68.0
03/01/2018 22:01:41.563333,,,2.78,12.0,68.0
03/01/2018 22:05:41.710000,,,3.07,11.0,71.0
03/01/2018 22:08:21.726666,,,3.17,10.0,70.0
03/01/2018 22:11:01.713333,,,4.17,11.0,69.0
03/01/2018 22:13:41.640000,,,3.63,11.0,70.0
03/01/2018 22:17:42.003333,,,2.67,10.0,70.0
03/01/2018 22:20:21.676666,,,3.34,10.0,69.0
03/01/2018 22:23:01.540000,,,2.51,10.0,69.0
03/01/2018 22:25:41.903333,,,2.86,11.0,68.0
03/01/2018 22:29:41.766666,,,2.38,10.0,68.0
03/01/2018 22:32:21.693333,,,2.42,10.0,70.0
03/01/2018 22:35:01.796666,,,2.5,11.0,69.0
03/01/2018 22:37:41.586666,,,3.95,11.0,68.0
03/01/2018 22:41:41.723333,,,4.12,14.0,65.0
03/01/2018 22:44:21.766666,,,5.07,13.0,66.0
03/01/2018 22:47:01.716666,,,4.4,13.0,65.0
03/01/2018 22:49:41.663333,,,3.81,14.0,65.0
03/01/2018 22:53:41.696666,,,3.93,14.0,65.0
03/01/2018 22:56:22.263333,,,4.34,14.0,65.0
03/01/2018 22:59:01.756666,,,4.41,15.0,64.0
03/01/2018 23:01:41.763333,,,4.64,15.0,64.0
03/01/2018 23:05:41.823333,,,4.61,15.0,63.0
03/01/2018 23:05:52.000000,3.49,5.63,4.61,,
03/02/2018 19:47:46.000000,1.39,2.03,1.95,,
03/02/2018 19:50:26.000000,0.45,1.15,1.05,,
03/02/2018 19:53:06.000000,0.6,1.7,1.6,,
03/02/2018 19:55:46.000000,2.17,1.4,0.6,,
03/02/2018 19:59:46.000000,0.31,0.86,0.76,,
03/02/2018 20:02:26.000000,0.83,1.67,1.45,,
03/02/2018 20:05:07.000000,0.4,0.52,0.52,,
03/02/2018 20:07:46.000000,0.02,0.29,0.29,,
03/02/2018 20:11:46.000000,1.02,1.98,1.81,,
03/02/2018 20:14:26.000000,0.25,0.43,0.32,,
03/02/2018 20:17:06.000000,0.25,0.34,0.15,,
03/02/2018 20:19:47.000000,0.64,1.17,0.83,,
03/02/2018 20:23:47.000000,3.02,4.69,4.5,,
03/02/2018 20:26:26.000000,0.66,2.05,1.2,,
03/02/2018 20:29:06.000000,0.05,0.5,0.2,,
03/02/2018 20:31:46.000000,0.14,0.76,0.45,,
03/02/2018 20:35:46.000000,1.05,2.34,1.98,,
03/02/2018 20:38:26.000000,1.33,1.95,1.79,,
03/02/2018 20:41:07.000000,0.38,0.24,0.14,,
03/02/2018 20:43:46.000000,0.77,1.45,1.23,,
03/02/2018 20:47:46.000000,0.1,0.78,0.78,,
