InstrumentName, Thornton,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:02:42.850000,36.4,44.0,49.0
04/01/2018 00:05:22.920000,35.74,42.0,49.0
04/01/2018 00:08:02.913333,38.05,43.0,48.0
04/01/2018 00:10:42.910000,41.17,44.0,48.0
04/01/2018 00:14:42.940000,39.3,44.0,47.0
04/01/2018 00:17:22.860000,42.24,45.0,45.0
04/01/2018 00:20:02.890000,46.7,46.0,44.0
04/01/2018 00:22:42.896666,41.5,46.0,44.0
04/01/2018 00:26:42.876666,41.22,47.0,44.0
04/01/2018 00:29:22.970000,44.14,48.0,43.0
04/01/2018 00:32:03.150000,44.35,49.0,43.0
04/01/2018 00:34:43.000000,40.34,48.0,43.0
04/01/2018 00:38:42.906666,37.6,49.0,43.0
04/01/2018 00:41:23.046666,37.9,49.0,43.0
04/01/2018 00:44:02.906666,39.95,49.0,42.0
04/01/2018 00:46:43.000000,43.71,50.0,41.0
04/01/2018 00:50:42.996666,42.88,51.0,41.0
04/01/2018 00:53:23.580000,38.1,51.0,41.0
04/01/2018 00:56:03.000000,36.98,51.0,41.0
04/01/2018 00:58:42.970000,40.19,51.0,40.0
04/01/2018 01:02:42.950000,37.65,52.0,40.0
04/01/2018 01:05:23.166666,37.27,52.0,40.0
04/01/2018 01:08:03.020000,39.37,52.0,39.0
04/01/2018 01:10:43.230000,36.29,52.0,39.0
04/01/2018 01:14:43.203333,38.0,52.0,39.0
04/01/2018 01:17:22.936666,38.54,53.0,38.0
04/01/2018 01:20:03.513333,36.29,53.0,39.0
04/01/2018 01:22:42.906666,33.54,53.0,39.0
04/01/2018 01:26:43.073333,37.25,53.0,38.0
04/01/2018 01:29:22.916666,35.59,53.0,38.0
04/01/2018 01:32:03.033333,30.93,53.0,38.0
04/01/2018 01:34:42.910000,38.45,53.0,38.0
04/01/2018 01:38:42.923333,38.2,54.0,37.0
04/01/2018 01:41:23.006666,35.66,54.0,37.0
04/01/2018 01:44:02.913333,41.6,55.0,36.0
04/01/2018 01:46:43.036666,35.85,55.0,37.0
04/01/2018 01:50:43.570000,32.8,55.0,37.0
04/01/2018 01:53:22.916666,35.29,55.0,37.0
04/01/2018 01:56:02.966666,35.44,55.0,37.0
04/01/2018 01:58:42.933333,37.45,55.0,37.0
04/01/2018 02:02:42.970000,34.05,55.0,38.0
04/01/2018 02:05:22.946666,34.59,54.0,38.0
04/01/2018 02:08:03.033333,34.25,54.0,38.0
04/01/2018 02:10:42.983333,33.56,54.0,38.0
