InstrumentName, Swansea (DEH),,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2018 00:02:07.460000,6.21,47.0,50.0
04/01/2018 00:04:47.403333,6.9,48.0,49.0
04/01/2018 00:07:27.383333,7.44,48.0,49.0
04/01/2018 00:11:27.586666,7.05,49.0,49.0
04/01/2018 00:14:07.486666,7.34,49.0,49.0
04/01/2018 00:16:47.316666,7.77,49.0,48.0
04/01/2018 00:19:27.836666,7.97,50.0,48.0
04/01/2018 00:23:27.426666,6.97,49.0,49.0
04/01/2018 00:26:07.213333,6.41,49.0,49.0
04/01/2018 00:28:47.380000,7.49,50.0,47.0
04/01/2018 00:32:47.140000,6.73,51.0,47.0
04/01/2018 00:35:27.450000,7.39,52.0,46.0
04/01/2018 00:38:07.083333,7.13,52.0,46.0
04/01/2018 00:40:47.543333,7.63,52.0,46.0
04/01/2018 00:43:27.086666,7.64,53.0,46.0
04/01/2018 00:47:27.713333,7.54,52.0,46.0
04/01/2018 00:50:07.210000,7.34,53.0,46.0
04/01/2018 00:52:47.526666,9.65,52.0,45.0
04/01/2018 00:55:27.523333,10.08,53.0,44.0
04/01/2018 00:59:27.410000,11.48,53.0,43.0
04/01/2018 01:02:07.303333,11.47,54.0,44.0
04/01/2018 01:04:47.206666,12.92,54.0,44.0
04/01/2018 01:07:27.076666,10.73,54.0,43.0
04/01/2018 01:11:27.246666,10.15,54.0,42.0
04/01/2018 01:14:07.543333,12.08,54.0,42.0
04/01/2018 01:16:47.700000,15.45,55.0,41.0
04/01/2018 01:20:47.833333,11.44,55.0,41.0
04/01/2018 01:23:27.333333,12.03,55.0,40.0
04/01/2018 01:26:07.666666,11.95,55.0,39.0
04/01/2018 01:28:48.236666,11.26,56.0,39.0
04/01/2018 01:31:28.030000,10.27,56.0,39.0
04/01/2018 01:35:27.276666,9.63,56.0,39.0
04/01/2018 01:38:07.323333,9.64,56.0,39.0
04/01/2018 01:40:47.250000,9.88,57.0,38.0
04/01/2018 01:43:27.670000,12.05,57.0,38.0
04/01/2018 01:47:27.783333,9.85,57.0,38.0
04/01/2018 01:50:07.216666,10.49,57.0,38.0
04/01/2018 01:52:47.613333,10.42,57.0,38.0
04/01/2018 01:55:27.486666,9.97,58.0,38.0
04/01/2018 01:59:27.323333,9.46,58.0,38.0
04/01/2018 02:02:07.296666,10.81,58.0,38.0
04/01/2018 02:04:47.483333,9.51,58.0,38.0
04/01/2018 02:08:47.243333,10.03,58.0,38.0
