InstrumentName, 26th and Williams B,,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/16/2018 22:32:35.506666,2.2,17.0,73.0
04/16/2018 22:35:15.510000,0.79,17.0,74.0
04/16/2018 22:37:55.510000,0.38,16.0,75.0
04/16/2018 22:40:35.573333,0.49,16.0,75.0
04/16/2018 22:43:15.536666,0.47,15.0,76.0
04/16/2018 22:47:15.516666,1.24,15.0,77.0
04/16/2018 22:49:56.086666,1.07,14.0,78.0
04/16/2018 22:52:35.673333,1.52,14.0,78.0
04/16/2018 22:56:35.660000,1.69,14.0,78.0
04/16/2018 22:59:15.540000,0.7,14.0,79.0
04/16/2018 23:01:55.913333,1.11,14.0,79.0
04/16/2018 23:04:35.580000,1.5,14.0,79.0
04/16/2018 23:07:15.543333,1.4,14.0,79.0
04/16/2018 23:11:15.550000,1.51,13.0,79.0
04/16/2018 23:13:55.646666,1.38,13.0,79.0
04/16/2018 23:16:36.023333,1.37,13.0,79.0
04/16/2018 23:20:35.606666,1.2,13.0,79.0
04/16/2018 23:23:15.670000,1.35,13.0,80.0
04/16/2018 23:25:56.456666,1.76,13.0,79.0
04/16/2018 23:28:35.576666,1.1,13.0,79.0
04/16/2018 23:31:15.576666,1.82,13.0,79.0
04/16/2018 23:35:15.696666,1.32,13.0,79.0
04/16/2018 23:37:55.610000,1.15,13.0,79.0
04/16/2018 23:40:35.590000,2.35,13.0,79.0
04/16/2018 23:43:15.596666,2.37,13.0,79.0
04/16/2018 23:47:15.616666,1.95,13.0,79.0
04/16/2018 23:49:55.710000,1.36,13.0,79.0
04/16/2018 23:52:35.630000,1.11,12.0,79.0
04/16/2018 23:56:35.616666,1.7,12.0,79.0
04/16/2018 23:59:15.636666,1.2,12.0,79.0
04/17/2018 00:01:55.653333,2.43,13.0,79.0
04/17/2018 00:04:35.656666,2.14,13.0,79.0
04/17/2018 00:08:35.693333,2.95,15.0,79.0
04/17/2018 00:11:15.636666,9.37,17.0,78.0
04/17/2018 00:13:55.650000,9.79,18.0,77.0
04/17/2018 00:16:35.633333,12.02,19.0,76.0
04/17/2018 00:20:35.646666,13.83,19.0,77.0
04/17/2018 00:23:15.676666,12.24,21.0,75.0
04/17/2018 00:25:55.660000,14.12,22.0,74.0
04/17/2018 00:28:35.793333,13.81,22.0,74.0
04/17/2018 00:32:35.653333,13.98,22.0,74.0
04/17/2018 00:35:15.713333,16.95,23.0,73.0
04/17/2018 00:37:55.656666,14.74,23.0,73.0
