InstrumentName, Construction Dust Monitor (A),,
StartTime, 2018-04-01 00:00:00,,
EndTime, 2018-04-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
04/03/2018 17:14:05.000000,0.0,1.0,1.0
04/03/2018 17:16:44.000000,0.0,0.26,0.26
04/03/2018 17:20:44.000000,0.0,0.12,0.26
04/03/2018 17:23:24.000000,0.0,0.02,0.02
04/03/2018 17:26:04.000000,0.0,0.59,0.24
04/03/2018 17:28:44.000000,0.0,0.12,0.12
04/03/2018 17:32:44.000000,0.0,0.1,0.12
04/03/2018 17:35:24.000000,0.0,0.15,0.15
04/03/2018 17:38:04.000000,0.0,0.15,0.15
04/03/2018 17:40:44.000000,0.0,0.31,0.15
04/03/2018 17:44:44.000000,0.0,0.13,0.08
04/03/2018 17:47:24.000000,0.29,0.29,0.29
04/03/2018 17:50:04.000000,0.29,0.26,0.26
04/03/2018 17:52:44.000000,0.29,0.15,0.15
04/03/2018 17:56:44.000000,0.29,0.05,0.15
04/03/2018 17:59:24.000000,0.29,0.05,0.05
04/03/2018 18:02:04.000000,0.29,0.15,0.03
04/03/2018 18:04:45.000000,0.29,0.17,0.17
04/03/2018 18:08:44.000000,0.29,0.24,0.24
04/03/2018 18:11:24.000000,0.29,0.34,0.02
04/03/2018 18:14:04.000000,0.29,0.34,0.02
04/03/2018 18:16:44.000000,0.29,0.31,0.02
04/03/2018 18:20:44.000000,0.29,0.26,0.26
04/03/2018 18:23:24.000000,0.25,0.13,0.13
04/03/2018 18:26:04.000000,0.25,0.34,0.34
04/03/2018 18:28:44.000000,0.25,0.54,0.22
04/03/2018 18:32:44.000000,0.07,0.59,0.34
04/03/2018 18:35:24.000000,0.32,0.66,0.34
04/03/2018 18:38:05.000000,0.32,0.07,0.15
04/03/2018 18:40:44.000000,0.32,0.37,0.37
04/03/2018 18:44:44.000000,0.07,0.27,0.27
04/03/2018 18:46:04.000000,0.07,0.4,0.24
                
