InstrumentName, I-25 Glo Collo (CS4),,,,,,,,,,,,,,,,,,
StartTime, 2018-05-01 00:00:00,,,,,,,,,,,,,,,,,,
EndTime, 2018-05-31 23:59:59,,,,,,,,,,,,,,,,,,
Date,Latitude,Longitude,PM10,PM1_0,RPM10,RPM102,RPM1_0,RPM1_02,RPM2_5,RPM2_52,Uncertainty,flag1,flag3,flag4,flag5,humidity,pm25_r,sig,tempf
05/25/2018 15:14:05.406666,39.782898,-104.972982,5.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,490.0,0.0,0.0,0.0,0.0,23.5,4.0,18.0,80.6
05/25/2018 15:15:08.836666,39.782898,-104.972982,4.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,490.0,0.0,0.0,0.0,0.0,23.2,3.0,18.0,80.96
05/25/2018 15:16:05.990000,39.782898,-104.972982,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,490.0,0.0,0.0,0.0,0.0,23.3,2.0,18.0,80.96
05/25/2018 15:17:09.676666,39.782898,-104.972982,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,490.0,0.0,0.0,0.0,0.0,22.8,3.0,18.0,80.96
05/25/2018 15:18:05.353333,39.782898,-104.972982,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,490.0,0.0,0.0,0.0,0.0,22.7,3.0,18.0,80.6
05/25/2018 15:19:06.440000,39.789388,-104.966735,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,399.0,0.0,0.0,0.0,0.0,23.3,2.0,18.0,80.06
05/25/2018 15:20:05.930000,39.789388,-104.966735,6.0,4.0,5.0,6.0,4.0,4.0,5.0,6.0,399.0,0.0,0.0,0.0,0.0,24.0,6.0,18.0,79.7
05/25/2018 15:21:06.283333,39.789388,-104.966735,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,399.0,0.0,0.0,0.0,0.0,24.0,4.0,18.0,80.06
05/25/2018 15:22:06.046666,39.789388,-104.966735,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,399.0,0.0,0.0,0.0,0.0,23.6,3.0,18.0,80.06
05/25/2018 15:23:06.756666,39.789388,-104.966735,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,399.0,0.0,0.0,0.0,0.0,23.4,3.0,18.0,80.06
05/25/2018 15:24:06.486666,39.789388,-104.966735,3.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,399.0,0.0,0.0,0.0,0.0,23.2,3.0,18.0,80.24
05/25/2018 15:25:06.406666,39.789388,-104.966735,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,399.0,0.0,0.0,0.0,0.0,23.0,4.0,18.0,80.42
05/25/2018 15:26:06.566666,39.789388,-104.966735,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,399.0,0.0,0.0,0.0,0.0,22.5,3.0,18.0,80.78
05/25/2018 15:27:10.596666,39.789388,-104.966735,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,399.0,0.0,0.0,0.0,0.0,22.6,3.0,18.0,81.14
05/25/2018 15:28:06.323333,39.789388,-104.966735,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,399.0,0.0,0.0,0.0,0.0,22.7,2.0,18.0,81.32
05/25/2018 15:29:06.136666,39.789388,-104.966735,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,399.0,0.0,0.0,0.0,0.0,23.2,2.0,18.0,81.68
05/25/2018 15:30:06.170000,39.789388,-104.966735,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,399.0,0.0,0.0,0.0,0.0,22.5,3.0,18.0,82.04
05/25/2018 15:31:05.936666,39.789388,-104.966735,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,399.0,0.0,0.0,0.0,0.0,22.0,4.0,18.0,82.4
05/25/2018 15:32:07.480000,39.789388,-104.966735,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,399.0,0.0,0.0,0.0,0.0,22.1,3.0,18.0,82.58
05/25/2018 15:33:07.250000,39.789388,-104.966735,4.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,399.0,0.0,0.0,0.0,0.0,21.5,4.0,18.0,82.76
05/25/2018 15:34:05.970000,39.789388,-104.966735,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,399.0,0.0,0.0,0.0,0.0,21.7,3.0,18.0,82.94
