InstrumentName, Wash Park West B,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM2.5,humidity,temp_f
05/01/2018 00:01:54.563333,13.45,15.0,81.0
05/01/2018 00:04:34.700000,11.02,16.0,80.0
05/01/2018 00:08:34.570000,9.93,18.0,80.0
05/01/2018 00:11:14.923333,9.12,18.0,79.0
05/01/2018 00:13:54.556666,8.98,18.0,79.0
05/01/2018 00:16:34.770000,9.1,19.0,79.0
05/01/2018 00:20:34.566666,9.44,19.0,78.0
05/01/2018 00:23:14.563333,8.57,20.0,78.0
05/01/2018 00:25:54.690000,8.91,20.0,78.0
05/01/2018 00:28:34.653333,8.67,20.0,78.0
05/01/2018 00:32:34.636666,9.63,20.0,77.0
05/01/2018 00:35:14.573333,8.7,20.0,77.0
05/01/2018 00:37:54.673333,9.23,21.0,77.0
05/01/2018 00:40:34.576666,10.1,21.0,77.0
05/01/2018 00:44:34.693333,8.63,21.0,77.0
05/01/2018 00:47:14.640000,9.16,21.0,77.0
05/01/2018 00:49:54.606666,9.67,21.0,77.0
05/01/2018 00:52:34.633333,9.05,21.0,77.0
05/01/2018 00:56:34.613333,8.21,21.0,77.0
05/01/2018 00:59:14.740000,8.93,22.0,76.0
05/01/2018 01:01:54.613333,8.3,22.0,76.0
05/01/2018 01:04:34.650000,9.09,22.0,76.0
05/01/2018 01:08:34.613333,8.29,23.0,76.0
05/01/2018 01:11:14.636666,8.83,23.0,76.0
05/01/2018 01:13:54.606666,9.25,23.0,76.0
05/01/2018 01:16:35.106666,8.84,24.0,75.0
05/01/2018 01:20:35.076666,8.0,24.0,75.0
05/01/2018 01:23:14.620000,7.21,24.0,75.0
05/01/2018 01:25:54.626666,7.47,25.0,75.0
05/01/2018 01:28:34.626666,6.93,25.0,75.0
05/01/2018 01:32:34.746666,7.98,25.0,74.0
05/01/2018 01:35:14.643333,7.7,25.0,74.0
05/01/2018 01:37:54.683333,7.55,25.0,74.0
05/01/2018 01:40:34.630000,7.86,26.0,74.0
05/01/2018 01:44:34.646666,7.26,26.0,74.0
05/01/2018 01:47:14.650000,6.64,26.0,74.0
05/01/2018 01:49:54.686666,8.0,26.0,74.0
05/01/2018 01:52:34.640000,7.7,26.0,74.0
05/01/2018 01:56:34.670000,7.79,27.0,73.0
05/01/2018 01:59:14.656666,6.57,27.0,73.0
05/01/2018 02:01:55.863333,6.19,27.0,73.0
05/01/2018 02:04:34.936666,6.3,27.0,73.0
05/01/2018 02:08:34.676666,6.51,28.0,73.0
05/01/2018 02:11:14.716666,7.35,28.0,72.0
05/01/2018 02:13:54.663333,6.4,28.0,72.0
05/01/2018 02:16:34.646666,6.31,28.0,72.0
05/01/2018 02:20:34.663333,6.84,29.0,72.0
05/01/2018 02:23:14.666666,5.9,29.0,72.0
05/01/2018 02:25:54.676666,6.11,29.0,72.0
05/01/2018 02:28:34.803333,8.91,30.0,71.0
05/01/2018 02:32:34.666666,9.14,30.0,71.0
05/01/2018 02:35:14.690000,8.85,31.0,71.0
05/01/2018 02:37:54.760000,13.09,31.0,71.0
05/01/2018 02:41:01.753333,8.09,31.0,70.0
05/01/2018 02:43:41.806666,5.74,32.0,70.0
05/01/2018 02:47:41.750000,5.64,32.0,70.0
05/01/2018 02:50:21.876666,5.24,32.0,70.0
05/01/2018 02:53:01.890000,5.63,32.0,69.0
05/01/2018 02:55:41.763333,3.93,33.0,69.0
05/01/2018 02:59:41.760000,4.73,33.0,69.0
05/01/2018 03:02:21.803333,4.44,34.0,69.0
05/01/2018 03:05:01.773333,4.7,34.0,69.0
05/01/2018 03:07:41.820000,3.93,34.0,69.0
05/01/2018 03:11:41.856666,4.62,34.0,69.0
05/01/2018 03:14:21.776666,4.21,34.0,69.0
05/01/2018 03:17:01.810000,4.71,35.0,69.0
05/01/2018 03:19:41.786666,4.5,35.0,69.0
05/01/2018 03:23:41.920000,5.26,35.0,68.0
05/01/2018 03:26:21.776666,5.91,35.0,68.0
05/01/2018 03:29:01.803333,5.1,35.0,68.0
05/01/2018 03:31:41.826666,5.41,36.0,68.0
05/01/2018 03:35:41.956666,4.12,36.0,68.0
05/01/2018 03:38:21.813333,4.62,36.0,68.0
05/01/2018 03:41:01.803333,4.38,36.0,68.0
05/01/2018 03:43:42.000000,4.21,36.0,68.0
05/01/2018 03:47:41.810000,4.98,36.0,68.0
05/01/2018 03:50:21.840000,4.41,36.0,68.0
05/01/2018 03:53:01.810000,4.02,36.0,68.0
05/01/2018 03:55:41.793333,4.26,36.0,67.0
05/01/2018 03:59:41.813333,4.74,37.0,67.0
05/01/2018 04:02:21.930000,4.88,37.0,67.0
05/01/2018 04:05:01.933333,4.29,37.0,67.0
05/01/2018 04:07:41.826666,4.26,37.0,67.0
05/01/2018 04:11:41.860000,4.35,37.0,67.0
05/01/2018 04:14:21.846666,4.14,37.0,67.0
05/01/2018 04:17:01.823333,3.9,37.0,67.0
05/01/2018 04:19:41.840000,4.0,37.0,67.0
05/01/2018 04:23:41.833333,4.67,37.0,67.0
05/01/2018 04:26:21.856666,5.12,37.0,67.0
05/01/2018 04:29:01.856666,5.36,37.0,67.0
05/01/2018 04:31:41.873333,4.37,37.0,67.0
05/01/2018 04:35:41.840000,4.79,37.0,67.0
05/01/2018 04:38:21.880000,4.35,38.0,67.0
05/01/2018 04:41:01.876666,4.83,38.0,67.0
05/01/2018 04:43:41.920000,5.02,38.0,67.0
05/01/2018 04:47:41.853333,4.29,37.0,66.0
05/01/2018 04:50:21.823333,5.12,37.0,66.0
05/01/2018 04:53:01.863333,4.61,37.0,66.0
05/01/2018 04:55:42.130000,4.36,38.0,66.0
05/01/2018 04:59:41.930000,4.21,38.0,66.0
05/01/2018 05:02:21.850000,4.74,38.0,66.0
05/01/2018 05:05:01.860000,4.81,38.0,66.0
05/01/2018 05:07:41.846666,4.42,38.0,66.0
05/01/2018 05:11:41.836666,4.56,38.0,65.0
05/01/2018 05:14:21.856666,4.63,38.0,65.0
05/01/2018 05:17:01.930000,4.75,39.0,65.0
05/01/2018 05:19:41.923333,5.02,39.0,65.0
05/01/2018 05:23:41.906666,4.52,39.0,65.0
05/01/2018 05:26:21.913333,4.65,39.0,65.0
05/01/2018 05:29:01.856666,5.09,39.0,65.0
