InstrumentName, Woods Park B,,
StartTime, 2018-05-01 00:00:00,,
EndTime, 2018-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2018 00:01:32.000000,4.11,6.08,5.66
05/01/2018 00:05:32.000000,3.93,5.9,5.48
05/01/2018 00:08:12.000000,4.28,5.93,5.28
05/01/2018 00:10:52.000000,3.62,5.38,4.81
05/01/2018 00:13:32.000000,3.67,5.71,5.33
05/01/2018 00:17:32.000000,3.3,4.79,4.53
05/01/2018 00:20:14.000000,3.84,5.91,5.49
05/01/2018 00:22:52.000000,3.28,5.65,4.74
05/01/2018 00:25:32.000000,3.09,5.02,4.84
05/01/2018 00:29:32.000000,3.63,5.67,5.35
05/01/2018 00:32:12.000000,3.12,5.5,4.79
05/01/2018 00:34:52.000000,2.98,4.47,4.12
05/01/2018 00:37:32.000000,3.25,5.09,4.57
05/01/2018 00:41:32.000000,3.4,5.12,4.81
05/01/2018 00:44:12.000000,2.95,3.81,3.67
05/01/2018 00:46:52.000000,3.63,5.19,5.12
05/01/2018 00:49:32.000000,3.6,5.09,5.09
05/01/2018 00:53:32.000000,3.29,5.02,4.57
05/01/2018 00:56:12.000000,3.41,5.39,5.22
05/01/2018 00:58:52.000000,3.23,4.51,4.19
05/01/2018 01:01:32.000000,3.46,4.89,4.38
05/01/2018 01:05:32.000000,3.6,4.86,4.43
05/01/2018 01:08:12.000000,2.81,4.07,4.07
05/01/2018 01:10:52.000000,3.21,4.12,4.12
05/01/2018 01:13:32.000000,3.02,4.48,4.4
05/01/2018 01:17:32.000000,3.8,5.32,4.7
05/01/2018 01:20:12.000000,2.84,4.37,4.0
05/01/2018 01:22:52.000000,3.74,4.93,4.53
05/01/2018 01:25:32.000000,3.56,4.58,4.35
05/01/2018 01:29:32.000000,2.77,3.86,3.58
05/01/2018 01:32:12.000000,2.51,4.09,3.33
05/01/2018 01:34:52.000000,2.61,5.02,4.2
05/01/2018 01:37:32.000000,3.0,4.33,4.09
05/01/2018 01:41:32.000000,2.19,4.3,3.6
05/01/2018 01:44:13.000000,1.9,3.69,3.26
05/01/2018 01:46:52.000000,1.67,2.67,2.4
05/01/2018 01:49:32.000000,2.62,3.93,3.71
05/01/2018 01:53:32.000000,2.29,3.64,3.17
05/01/2018 01:56:14.000000,2.52,3.17,3.17
05/01/2018 01:58:52.000000,2.21,4.19,3.45
05/01/2018 02:01:32.000000,2.33,4.12,3.49
05/01/2018 02:05:32.000000,2.51,3.78,3.34
05/01/2018 02:08:12.000000,2.21,2.95,2.9
05/01/2018 02:10:52.000000,2.65,3.63,3.42
05/01/2018 02:13:32.000000,1.63,2.63,2.14
05/01/2018 02:17:32.000000,2.0,2.95,2.95
05/01/2018 02:20:12.000000,1.49,2.67,2.44
05/01/2018 02:22:52.000000,2.07,3.65,3.09
05/01/2018 02:25:32.000000,2.51,3.41,3.41
05/01/2018 02:29:32.000000,1.63,2.63,2.63
05/01/2018 02:32:12.000000,1.81,2.56,2.33
05/01/2018 02:34:52.000000,2.14,3.72,3.14
05/01/2018 02:37:32.000000,2.16,3.91,3.7
05/01/2018 02:41:32.000000,2.63,3.93,3.53
05/01/2018 02:44:12.000000,2.33,3.19,3.05
05/01/2018 02:46:52.000000,1.64,3.12,3.0
05/01/2018 02:49:32.000000,2.42,2.98,2.98
05/01/2018 02:53:32.000000,2.09,2.84,2.77
05/01/2018 02:56:12.000000,2.0,3.38,3.0
05/01/2018 02:58:52.000000,2.44,3.98,3.63
05/01/2018 03:01:32.000000,2.23,2.77,2.77
05/01/2018 03:05:32.000000,2.31,3.24,2.93
05/01/2018 03:08:12.000000,1.95,3.28,2.88
05/01/2018 03:10:52.000000,2.66,3.16,3.16
05/01/2018 03:13:32.000000,1.57,2.81,2.55
05/01/2018 03:17:32.000000,2.0,2.83,2.76
05/01/2018 03:20:12.000000,3.17,4.59,4.39
05/01/2018 03:22:52.000000,3.0,4.49,3.91
05/01/2018 03:25:32.000000,3.79,4.86,4.71
05/01/2018 03:29:32.000000,5.43,6.69,6.5
05/01/2018 03:32:12.000000,4.91,6.67,6.28
05/01/2018 03:34:52.000000,4.95,6.33,6.16
05/01/2018 03:37:32.000000,6.0,9.1,8.12
05/01/2018 03:41:32.000000,6.21,7.3,7.0
05/01/2018 03:44:12.000000,6.05,7.49,7.49
05/01/2018 03:46:52.000000,6.15,8.15,7.71
05/01/2018 03:49:32.000000,6.26,7.31,7.1
05/01/2018 03:53:32.000000,5.74,6.93,6.81
05/01/2018 03:56:12.000000,5.67,7.42,7.07
05/01/2018 03:58:52.000000,5.98,7.63,7.44
05/01/2018 04:01:32.000000,7.12,9.49,9.23
05/01/2018 04:05:32.000000,6.55,8.24,7.81
05/01/2018 04:08:12.000000,7.02,8.42,8.12
05/01/2018 04:10:52.000000,7.19,8.65,8.56
05/01/2018 04:13:32.000000,8.77,10.0,9.72
05/01/2018 04:17:32.000000,15.7,16.95,16.91
05/01/2018 04:20:12.000000,13.79,15.09,14.88
05/01/2018 04:22:52.000000,11.67,14.28,14.14
05/01/2018 04:25:32.000000,21.07,22.35,22.28
05/01/2018 04:29:32.000000,14.19,15.84,15.33
05/01/2018 04:32:12.000000,7.07,8.36,8.0
05/01/2018 04:34:52.000000,6.28,8.19,7.79
05/01/2018 04:37:32.000000,6.24,7.86,7.62
05/01/2018 04:41:32.000000,7.14,9.24,8.62
05/01/2018 04:44:12.000000,7.35,9.09,8.84
05/01/2018 04:46:52.000000,7.23,9.77,9.09
05/01/2018 04:49:32.000000,7.26,9.07,8.79
05/01/2018 04:53:32.000000,7.88,10.19,9.65
05/01/2018 04:56:12.000000,6.91,8.05,7.84
05/01/2018 04:58:52.000000,7.12,9.98,9.26
05/01/2018 05:01:32.000000,7.65,9.35,9.05
05/01/2018 05:05:32.000000,8.58,11.02,10.3
05/01/2018 05:08:12.000000,8.05,10.53,9.93
05/01/2018 05:10:52.000000,6.76,9.19,8.6
05/01/2018 05:13:32.000000,6.93,9.52,8.76
05/01/2018 05:17:32.000000,8.14,10.09,9.56
05/01/2018 05:20:12.000000,7.19,9.35,8.88
05/01/2018 05:22:52.000000,7.49,9.4,8.84
05/01/2018 05:25:32.000000,7.74,9.86,9.07
05/01/2018 05:29:32.000000,8.9,11.68,11.54
