InstrumentName, Construction Dust Monitor (A) [Sensor B],,
StartTime, 2018-06-01 00:00:00,,
EndTime, 2018-06-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
06/01/2018 13:14:05.000000,5.25,6.5,6.5
06/01/2018 13:16:44.000000,3.58,5.39,4.61
06/01/2018 13:20:46.000000,4.24,5.57,5.14
06/01/2018 13:23:24.000000,4.05,5.48,5.4
06/01/2018 13:26:05.000000,3.17,4.26,3.86
06/01/2018 13:28:44.000000,3.36,6.07,4.29
06/01/2018 13:32:44.000000,3.98,5.41,5.15
06/01/2018 13:35:24.000000,3.43,4.67,4.52
06/01/2018 13:38:05.000000,4.23,5.74,5.26
06/01/2018 13:40:47.000000,4.88,6.95,6.45
06/01/2018 13:44:44.000000,4.1,5.61,5.17
06/01/2018 13:47:24.000000,3.53,5.05,4.74
06/01/2018 13:50:05.000000,4.85,6.22,5.76
06/01/2018 13:52:44.000000,5.22,7.0,6.29
06/01/2018 13:56:45.000000,3.29,4.38,4.19
06/01/2018 13:59:24.000000,4.0,5.93,4.85
06/01/2018 14:02:06.000000,5.18,6.55,6.55
06/01/2018 14:04:45.000000,3.52,4.6,4.36
06/01/2018 14:08:44.000000,3.0,4.29,3.93
06/01/2018 14:11:24.000000,2.58,3.7,3.47
06/01/2018 14:14:05.000000,3.2,3.95,3.95
06/01/2018 14:16:44.000000,2.98,3.24,3.24
06/01/2018 14:20:44.000000,2.65,3.65,3.44
06/01/2018 14:23:24.000000,2.79,3.62,3.62
06/01/2018 14:26:05.000000,2.15,3.22,2.88
06/01/2018 14:28:45.000000,2.05,2.8,2.34
06/01/2018 14:32:44.000000,1.5,2.17,1.92
06/01/2018 14:35:24.000000,2.34,2.98,2.83
06/01/2018 14:38:06.000000,2.0,2.73,2.46
06/01/2018 14:40:47.000000,1.36,2.26,2.02
06/01/2018 14:44:44.000000,1.85,2.12,2.03
06/01/2018 14:47:24.000000,1.92,2.8,2.37
06/01/2018 14:50:05.000000,2.56,3.68,3.34
06/01/2018 14:52:44.000000,2.29,2.76,2.56
06/01/2018 14:56:44.000000,0.33,1.55,1.12
06/01/2018 14:59:25.000000,0.73,1.05,0.9
06/01/2018 15:02:06.000000,0.46,1.85,1.27
06/01/2018 15:04:44.000000,1.44,2.17,1.95
06/01/2018 15:08:44.000000,0.66,0.9,0.66
06/01/2018 15:11:24.000000,0.74,1.74,1.55
06/01/2018 15:14:04.000000,1.47,2.03,2.03
06/01/2018 15:16:44.000000,0.61,0.61,0.61
06/01/2018 15:20:44.000000,1.0,1.45,1.0
06/01/2018 15:23:24.000000,0.51,1.29,1.24
06/01/2018 15:26:05.000000,1.77,3.38,3.08
06/01/2018 15:28:44.000000,5.37,13.98,11.29
06/01/2018 15:32:44.000000,0.85,3.12,2.12
06/01/2018 15:35:24.000000,0.74,2.36,1.79
06/01/2018 15:38:05.000000,2.12,6.07,4.29
06/01/2018 15:40:44.000000,6.98,12.59,11.37
06/01/2018 15:44:44.000000,4.95,8.33,7.57
06/01/2018 15:47:24.000000,47.22,74.49,66.63
06/01/2018 15:50:05.000000,2.38,4.05,3.83
06/01/2018 15:52:44.000000,25.9,45.12,39.03
06/01/2018 15:56:44.000000,1.23,1.91,1.91
06/01/2018 15:59:29.000000,54.41,90.67,81.41
06/01/2018 16:02:05.000000,4.0,9.08,7.65
06/01/2018 16:04:44.000000,1.5,5.65,3.78
06/01/2018 16:08:44.000000,2.0,5.74,4.67
06/01/2018 16:11:24.000000,0.97,3.43,2.05
06/01/2018 16:14:06.000000,0.72,1.79,1.33
06/01/2018 16:16:46.000000,0.6,1.79,1.14
06/01/2018 16:20:44.000000,5.74,15.14,11.71
06/01/2018 16:23:24.000000,2.05,5.9,4.44
06/01/2018 16:26:04.000000,1.05,2.48,1.81
06/01/2018 16:28:44.000000,2.15,5.39,4.07
06/01/2018 16:32:44.000000,4.51,7.1,6.2
06/01/2018 16:35:24.000000,18.84,30.11,27.05
06/01/2018 16:38:04.000000,0.55,1.0,0.62
06/01/2018 16:40:46.000000,1.52,1.93,1.74
06/01/2018 16:44:44.000000,1.69,3.64,2.71
06/01/2018 16:47:26.000000,0.83,1.14,1.0
06/01/2018 16:50:06.000000,0.44,1.0,0.63
06/01/2018 16:52:44.000000,4.88,7.58,6.93
06/01/2018 16:56:44.000000,0.76,0.78,0.78
06/01/2018 16:59:24.000000,57.1,95.49,83.49
06/01/2018 17:02:04.000000,49.3,90.94,75.0
06/01/2018 17:04:44.000000,3.02,6.61,5.34
06/01/2018 17:08:44.000000,1.28,1.93,1.93
06/01/2018 17:11:24.000000,1.37,1.66,1.66
06/01/2018 17:14:04.000000,0.5,1.0,1.0
06/01/2018 17:16:44.000000,1.37,2.5,1.95
06/01/2018 17:20:44.000000,0.83,1.21,1.21
06/01/2018 17:23:26.000000,1.49,2.85,2.39
06/01/2018 17:26:04.000000,1.17,1.49,1.49
06/01/2018 17:28:44.000000,0.44,0.56,0.56
06/01/2018 17:32:44.000000,0.68,0.88,0.76
06/01/2018 17:35:29.000000,2.74,3.26,3.21
06/01/2018 17:38:04.000000,0.85,1.71,1.49
06/01/2018 17:40:44.000000,0.34,0.46,0.46
06/01/2018 17:44:45.000000,0.21,0.6,0.42
06/01/2018 17:47:24.000000,0.71,1.07,0.98
06/01/2018 17:50:05.000000,0.24,0.8,0.71
06/01/2018 17:52:44.000000,0.37,0.7,0.7
06/01/2018 17:56:44.000000,0.93,1.57,1.1
06/01/2018 17:59:24.000000,0.37,0.93,0.93
06/01/2018 18:02:05.000000,0.56,1.1,1.1
06/01/2018 18:04:44.000000,0.24,0.95,0.45
06/01/2018 18:08:44.000000,0.31,0.95,0.41
06/01/2018 18:11:24.000000,1.05,0.43,1.79
06/01/2018 18:14:05.000000,1.05,0.02,0.36
06/01/2018 18:16:44.000000,1.05,0.77,0.47
06/01/2018 18:20:44.000000,0.02,0.67,0.17
06/01/2018 18:23:24.000000,0.28,0.54,0.07
06/01/2018 18:26:04.000000,0.1,0.61,0.61
06/01/2018 18:28:44.000000,0.1,0.52,0.3
06/01/2018 18:32:44.000000,1.29,3.17,2.29
06/01/2018 18:35:24.000000,1.29,0.26,2.29
06/01/2018 18:38:05.000000,1.29,0.15,0.15
06/01/2018 18:40:44.000000,1.29,0.15,0.15
06/01/2018 18:44:44.000000,1.29,0.15,0.15
06/01/2018 18:47:24.000000,1.29,0.32,0.15
06/01/2018 18:50:08.000000,1.29,0.32,0.15
06/01/2018 18:52:44.000000,1.29,0.14,0.15
06/01/2018 18:56:44.000000,1.29,0.02,0.02
06/01/2018 18:59:27.000000,0.51,1.32,1.05
06/01/2018 19:02:04.000000,0.05,0.27,0.27
06/01/2018 19:04:44.000000,0.05,0.13,0.27
06/01/2018 19:08:44.000000,0.65,1.87,1.67
06/01/2018 19:11:24.000000,0.65,0.32,1.67
06/01/2018 19:14:04.000000,0.22,0.88,0.8
06/01/2018 19:16:44.000000,0.22,0.51,0.26
06/01/2018 19:20:44.000000,2.18,4.82,4.13
06/01/2018 19:23:24.000000,10.12,30.68,19.66
06/01/2018 19:26:04.000000,3.93,7.67,6.45
06/01/2018 19:28:45.000000,3.93,7.67,6.45
06/01/2018 19:32:45.000000,3.93,1.06,0.33
06/01/2018 19:35:24.000000,3.93,0.2,0.33
06/01/2018 19:38:04.000000,3.93,0.2,0.33
06/01/2018 19:40:44.000000,3.93,0.24,0.17
06/01/2018 19:44:44.000000,0.81,2.19,1.6
06/01/2018 19:47:24.000000,0.81,0.16,0.16
06/01/2018 19:50:05.000000,0.81,0.12,0.07
06/01/2018 19:52:44.000000,0.81,0.12,0.07
06/01/2018 19:56:44.000000,0.02,0.24,0.24
06/01/2018 19:59:24.000000,0.02,0.24,0.24
06/01/2018 20:02:04.000000,0.02,0.24,0.24
06/01/2018 20:04:45.000000,0.05,0.42,0.42
06/01/2018 20:08:44.000000,0.05,0.07,0.42
06/01/2018 20:11:24.000000,0.05,0.07,0.42
06/01/2018 20:14:05.000000,0.05,0.07,0.42
06/01/2018 20:16:44.000000,0.05,0.07,0.42
06/01/2018 20:20:47.000000,0.05,0.07,0.42
06/01/2018 20:23:25.000000,0.05,0.07,0.42
06/01/2018 20:26:05.000000,0.05,0.42,0.37
06/01/2018 20:28:44.000000,0.05,0.21,0.37
06/01/2018 20:32:45.000000,0.05,0.21,0.37
06/01/2018 20:35:24.000000,3.54,4.15,3.92
06/01/2018 20:38:06.000000,0.55,0.76,0.76
06/01/2018 20:40:44.000000,0.55,0.76,0.76
06/01/2018 20:44:45.000000,0.55,0.22,0.76
06/01/2018 20:47:24.000000,0.55,0.53,0.34
06/01/2018 20:50:04.000000,0.55,0.24,0.34
06/01/2018 20:52:44.000000,0.55,0.29,0.21
06/01/2018 20:56:44.000000,0.55,0.29,0.21
06/01/2018 20:59:24.000000,0.55,0.29,0.21
06/01/2018 21:02:04.000000,0.55,0.29,0.21
06/01/2018 21:04:44.000000,0.55,0.05,0.21
06/01/2018 21:08:44.000000,0.55,0.05,0.21
06/01/2018 21:11:25.000000,0.55,1.24,0.95
06/01/2018 21:14:04.000000,0.55,1.24,0.95
06/01/2018 21:16:44.000000,0.45,1.24,0.81
06/01/2018 21:20:44.000000,0.78,1.22,1.02
06/01/2018 21:23:24.000000,0.78,1.22,1.02
06/01/2018 21:26:05.000000,0.78,0.2,1.02
06/01/2018 21:28:45.000000,0.78,0.2,1.02
06/01/2018 21:32:44.000000,1.65,2.09,1.93
06/01/2018 21:35:24.000000,1.65,2.09,1.93
06/01/2018 21:38:05.000000,1.65,2.09,1.93
06/01/2018 21:40:44.000000,1.65,0.62,1.93
06/01/2018 21:44:44.000000,1.65,0.62,1.93
06/01/2018 21:47:24.000000,1.65,0.62,1.93
06/01/2018 21:50:05.000000,0.39,0.22,0.22
06/01/2018 21:52:44.000000,0.39,0.22,0.22
06/01/2018 21:56:45.000000,0.39,0.1,0.1
06/01/2018 21:59:24.000000,0.93,1.39,1.39
06/01/2018 22:02:06.000000,0.93,1.39,1.39
06/01/2018 22:04:45.000000,0.93,0.17,1.39
06/01/2018 22:08:44.000000,0.93,0.29,1.39
06/01/2018 22:11:25.000000,0.88,1.69,1.69
06/01/2018 22:14:04.000000,0.75,1.0,0.75
06/01/2018 22:16:44.000000,0.75,0.1,0.75
06/01/2018 22:20:44.000000,0.75,0.02,0.75
06/01/2018 22:23:24.000000,0.75,0.1,0.75
06/01/2018 22:26:05.000000,0.07,0.57,0.36
06/01/2018 22:28:44.000000,0.02,0.66,0.66
06/01/2018 22:32:44.000000,0.02,0.24,0.24
06/01/2018 22:35:24.000000,0.02,0.24,0.24
06/01/2018 22:38:04.000000,0.02,0.24,0.24
06/01/2018 22:40:45.000000,0.02,0.05,0.24
06/01/2018 22:44:44.000000,0.02,0.08,0.24
06/01/2018 22:47:24.000000,0.29,0.8,0.46
06/01/2018 22:50:05.000000,0.36,0.52,0.5
06/01/2018 22:52:44.000000,0.36,0.15,0.22
06/01/2018 22:56:45.000000,2.14,2.88,2.88
06/01/2018 22:59:24.000000,17.63,20.05,19.76
06/01/2018 23:02:04.000000,0.79,0.83,0.49
06/01/2018 23:04:44.000000,0.26,0.24,0.26
06/01/2018 23:08:44.000000,0.05,0.27,0.33
06/01/2018 23:11:24.000000,0.05,0.17,0.14
06/01/2018 23:14:05.000000,0.05,0.17,0.14
06/01/2018 23:16:44.000000,0.05,0.21,0.14
06/01/2018 23:20:44.000000,0.05,0.37,0.14
06/01/2018 23:23:24.000000,0.05,0.37,0.14
06/17/2018 15:47:51.000000,8.25,14.25,13.25
06/17/2018 15:50:31.000000,11.15,15.37,14.93
06/17/2018 15:53:11.000000,11.51,14.85,14.71
06/17/2018 15:55:51.000000,11.88,16.31,15.67
06/17/2018 15:59:51.000000,10.55,14.48,13.95
06/17/2018 16:02:31.000000,10.9,15.41,15.07
06/17/2018 16:05:11.000000,10.88,13.93,13.66
06/17/2018 16:07:51.000000,10.77,14.84,13.7
06/17/2018 16:11:51.000000,9.55,14.05,13.21
06/17/2018 16:14:31.000000,11.38,15.52,14.85
06/17/2018 16:17:11.000000,10.73,13.73,13.44
06/17/2018 16:19:50.000000,9.54,13.37,12.63
06/17/2018 16:23:51.000000,9.15,12.8,12.25
06/17/2018 16:26:32.000000,9.07,12.58,11.72
06/17/2018 16:29:11.000000,9.37,12.81,12.49
06/17/2018 16:31:51.000000,11.1,15.66,14.76
06/17/2018 16:35:50.000000,11.2,15.44,14.88
06/17/2018 16:38:31.000000,11.12,15.56,15.05
06/18/2018 12:37:41.000000,0.75,2.75,2.25
06/18/2018 12:41:40.000000,1.0,4.12,2.95
06/18/2018 12:44:21.000000,1.24,3.19,2.43
06/18/2018 12:47:00.000000,1.87,4.55,3.55
06/18/2018 12:49:40.000000,1.34,3.51,2.59
06/18/2018 12:53:41.000000,1.23,3.14,2.4
06/18/2018 12:56:21.000000,1.25,3.12,2.28
06/18/2018 12:59:01.000000,1.07,3.78,2.46
06/18/2018 13:01:41.000000,1.41,3.15,2.54
06/18/2018 13:05:41.000000,1.02,3.14,2.74
06/18/2018 13:08:21.000000,1.0,4.02,2.39
06/18/2018 13:11:00.000000,1.07,3.98,3.07
06/18/2018 13:13:41.000000,1.36,3.17,2.52
06/18/2018 13:17:41.000000,1.59,3.98,3.05
06/18/2018 13:20:20.000000,2.02,4.56,3.77
06/18/2018 13:23:00.000000,2.72,5.9,4.5
06/18/2018 13:25:40.000000,1.56,4.29,3.24
06/18/2018 13:29:40.000000,1.24,3.54,2.49
06/18/2018 13:32:21.000000,0.77,1.97,1.82
06/18/2018 13:35:01.000000,1.1,1.67,1.52
06/18/2018 13:37:41.000000,1.3,2.75,2.33
06/18/2018 13:41:41.000000,2.37,4.35,3.93
06/18/2018 13:44:20.000000,1.07,3.02,2.33
06/18/2018 13:47:00.000000,1.53,2.71,2.63
06/18/2018 13:49:41.000000,1.64,3.17,2.88
06/18/2018 13:53:41.000000,1.54,3.93,3.2
06/18/2018 13:56:21.000000,1.07,2.8,2.39
06/18/2018 13:59:01.000000,1.48,4.52,2.98
06/18/2018 14:01:40.000000,1.38,3.41,2.92
06/18/2018 14:05:40.000000,3.81,6.62,6.12
06/18/2018 14:08:21.000000,1.77,4.68,3.5
06/18/2018 14:11:01.000000,1.54,3.2,2.9
06/18/2018 14:13:40.000000,2.1,3.62,3.55
06/18/2018 14:17:41.000000,2.34,4.2,3.54
06/18/2018 14:20:22.000000,2.57,4.76,4.57
06/18/2018 14:23:00.000000,2.0,3.79,3.51
06/18/2018 14:25:40.000000,1.1,2.5,1.98
06/18/2018 14:29:41.000000,1.88,3.17,3.07
06/18/2018 14:32:21.000000,1.14,2.28,1.67
06/18/2018 14:35:01.000000,1.86,3.74,3.43
06/18/2018 14:37:43.000000,2.0,3.12,2.78
06/18/2018 14:41:40.000000,2.02,4.0,3.32
06/18/2018 14:44:21.000000,2.55,4.5,4.03
06/18/2018 14:47:01.000000,9.69,15.38,13.74
06/18/2018 14:49:41.000000,4.38,8.05,6.52
06/18/2018 14:53:41.000000,2.68,4.17,4.17
06/18/2018 14:56:20.000000,2.62,4.98,4.12
06/18/2018 14:59:01.000000,1.46,3.0,2.24
06/18/2018 15:01:41.000000,1.0,2.44,1.59
06/18/2018 15:05:41.000000,1.37,2.39,2.02
06/18/2018 15:08:21.000000,1.61,3.41,2.66
06/18/2018 15:11:00.000000,1.66,3.1,2.61
06/18/2018 15:13:41.000000,2.1,3.76,3.32
06/18/2018 15:17:41.000000,2.0,3.95,3.05
06/18/2018 15:21:40.000000,1.95,3.22,3.0
06/18/2018 15:23:01.000000,1.33,3.45,2.52
06/18/2018 15:25:41.000000,2.33,3.21,2.95
06/18/2018 15:29:41.000000,2.46,5.24,4.34
06/18/2018 15:32:20.000000,2.0,3.76,2.9
06/18/2018 15:35:01.000000,2.44,3.53,3.21
06/18/2018 15:37:41.000000,2.7,4.62,3.9
06/18/2018 15:41:41.000000,1.61,2.85,2.39
06/18/2018 15:44:21.000000,2.33,3.93,3.76
06/18/2018 15:47:00.000000,4.92,7.18,7.1
