InstrumentName, APCD,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 00:02:34.043333,0.68,41.0,68.0
07/01/2018 00:05:14.103333,1.73,42.0,67.0
07/01/2018 00:07:54.156666,1.61,42.0,67.0
07/01/2018 00:10:34.340000,1.97,42.0,67.0
07/01/2018 00:14:34.050000,1.63,42.0,67.0
07/01/2018 00:17:14.086666,2.15,42.0,67.0
07/01/2018 00:19:54.030000,1.92,43.0,67.0
07/01/2018 00:22:34.926666,1.53,43.0,67.0
07/01/2018 00:26:34.110000,1.9,43.0,67.0
07/01/2018 00:29:14.823333,1.33,43.0,67.0
07/01/2018 00:31:54.416666,2.23,43.0,67.0
07/01/2018 00:34:34.616666,1.61,43.0,67.0
07/01/2018 00:38:34.190000,1.31,44.0,67.0
07/01/2018 00:41:14.960000,1.23,44.0,68.0
07/01/2018 00:43:54.296666,1.84,43.0,68.0
07/01/2018 00:46:34.143333,1.81,44.0,67.0
07/01/2018 00:50:34.066666,3.22,43.0,68.0
07/01/2018 00:53:14.340000,2.51,43.0,69.0
07/01/2018 00:55:54.906666,1.79,42.0,69.0
07/01/2018 00:58:34.230000,4.57,41.0,70.0
07/01/2018 01:02:34.463333,1.95,43.0,68.0
07/01/2018 01:05:14.923333,2.0,43.0,68.0
07/01/2018 01:07:54.463333,1.76,44.0,67.0
07/01/2018 01:10:34.203333,3.37,45.0,66.0
07/01/2018 01:14:34.326666,3.26,45.0,66.0
07/01/2018 01:17:14.180000,3.56,45.0,67.0
07/01/2018 01:19:54.230000,3.47,45.0,67.0
07/01/2018 01:22:34.660000,5.0,47.0,66.0
07/01/2018 01:26:34.110000,3.92,49.0,65.0
07/01/2018 01:29:14.153333,2.65,49.0,65.0
07/01/2018 01:31:54.213333,4.33,49.0,65.0
07/01/2018 01:34:34.283333,2.12,48.0,66.0
07/01/2018 01:38:34.396666,5.56,49.0,65.0
07/01/2018 01:41:15.020000,3.92,49.0,65.0
07/01/2018 01:43:54.293333,2.86,49.0,65.0
07/01/2018 01:46:34.576666,3.78,49.0,64.0
07/01/2018 01:50:34.283333,4.15,49.0,65.0
07/01/2018 01:53:14.240000,5.1,49.0,64.0
07/01/2018 01:55:54.180000,4.1,49.0,64.0
07/01/2018 01:58:35.276666,5.38,49.0,65.0
07/01/2018 02:02:34.453333,3.46,49.0,65.0
07/01/2018 02:05:14.456666,3.46,48.0,65.0
07/01/2018 02:07:54.346666,4.16,48.0,64.0
07/01/2018 02:10:34.190000,4.39,48.0,64.0
07/01/2018 02:14:35.043333,4.18,48.0,65.0
07/01/2018 02:17:14.506666,3.82,48.0,65.0
07/01/2018 02:19:54.216666,5.54,48.0,64.0
07/01/2018 02:22:34.873333,3.57,48.0,65.0
07/01/2018 02:26:34.420000,4.49,48.0,64.0
07/01/2018 02:29:14.250000,4.79,49.0,64.0
07/01/2018 02:31:54.206666,3.95,49.0,64.0
07/01/2018 02:34:34.466666,3.9,49.0,64.0
07/01/2018 02:38:34.180000,4.19,49.0,64.0
07/01/2018 02:41:14.230000,4.69,49.0,64.0
07/01/2018 02:43:54.173333,3.92,49.0,64.0
07/01/2018 02:46:34.236666,4.24,49.0,64.0
07/01/2018 02:50:34.486666,4.05,50.0,64.0
07/01/2018 02:53:14.516666,4.74,50.0,64.0
07/01/2018 02:55:54.366666,3.95,50.0,64.0
07/01/2018 02:58:34.416666,4.0,50.0,64.0
07/01/2018 03:02:34.300000,4.38,50.0,64.0
07/01/2018 03:05:14.306666,5.05,50.0,64.0
07/01/2018 03:07:54.553333,4.56,50.0,64.0
07/01/2018 03:10:34.393333,4.69,50.0,64.0
07/01/2018 03:14:34.220000,4.47,50.0,64.0
07/01/2018 03:17:14.593333,4.82,50.0,64.0
07/01/2018 03:19:54.433333,5.11,50.0,64.0
07/01/2018 03:22:34.376666,4.77,50.0,64.0
07/01/2018 03:26:34.916666,4.89,50.0,64.0
07/01/2018 03:29:14.250000,5.6,50.0,64.0
07/01/2018 03:31:54.630000,6.21,50.0,64.0
07/01/2018 03:34:34.416666,5.49,50.0,64.0
07/01/2018 03:38:34.673333,6.22,50.0,65.0
07/01/2018 03:41:14.566666,6.81,49.0,65.0
07/01/2018 03:43:54.390000,5.06,49.0,65.0
07/01/2018 03:46:34.996666,6.06,49.0,65.0
07/01/2018 03:50:35.426666,6.11,50.0,65.0
07/01/2018 03:53:14.643333,6.25,50.0,64.0
07/01/2018 03:55:54.356666,8.03,50.0,65.0
07/01/2018 03:58:35.193333,8.05,50.0,64.0
07/01/2018 04:02:34.820000,8.0,51.0,64.0
07/01/2018 04:05:14.623333,8.74,51.0,64.0
07/01/2018 04:07:54.670000,8.34,52.0,64.0
07/01/2018 04:10:34.523333,8.86,52.0,64.0
07/01/2018 04:14:35.056666,7.87,52.0,64.0
07/01/2018 04:17:14.736666,7.53,52.0,64.0
07/01/2018 04:19:54.640000,10.0,52.0,64.0
07/01/2018 04:22:34.466666,9.24,52.0,64.0
07/01/2018 04:26:35.810000,9.77,52.0,64.0
07/01/2018 04:29:14.946666,10.88,53.0,64.0
07/01/2018 04:31:57.633333,11.44,53.0,64.0
07/01/2018 04:34:36.050000,10.19,52.0,64.0
07/01/2018 04:38:35.056666,7.38,52.0,64.0
07/01/2018 04:41:14.646666,9.11,52.0,64.0
07/01/2018 04:43:54.746666,9.0,53.0,64.0
07/01/2018 04:46:35.206666,10.44,53.0,64.0
07/01/2018 04:50:34.586666,10.74,53.0,64.0
07/01/2018 04:53:15.120000,9.92,53.0,64.0
07/01/2018 04:55:54.456666,10.18,54.0,63.0
07/01/2018 04:58:34.510000,8.97,54.0,64.0
07/01/2018 05:02:34.513333,7.1,54.0,63.0
07/01/2018 05:05:14.596666,7.65,54.0,64.0
07/01/2018 05:07:54.546666,6.57,54.0,63.0
07/01/2018 05:10:34.646666,6.47,54.0,63.0
07/01/2018 05:14:34.526666,6.82,54.0,64.0
07/01/2018 05:17:14.463333,5.61,53.0,64.0
07/01/2018 05:19:54.713333,7.0,52.0,65.0
07/01/2018 05:22:34.603333,8.41,52.0,65.0
07/01/2018 05:26:34.800000,9.13,52.0,65.0
07/01/2018 05:29:15.296666,9.72,52.0,65.0
07/01/2018 05:31:54.596666,9.66,51.0,65.0
07/01/2018 05:34:34.666666,9.95,51.0,65.0
07/01/2018 05:38:34.480000,10.28,51.0,65.0
07/01/2018 05:41:14.716666,9.79,51.0,65.0
07/01/2018 05:43:54.696666,9.55,51.0,65.0
07/01/2018 05:46:34.656666,9.0,51.0,65.0
07/01/2018 05:50:34.450000,8.79,51.0,64.0
07/01/2018 05:53:14.496666,8.13,52.0,64.0
07/01/2018 05:55:54.753333,8.92,52.0,64.0
07/01/2018 05:58:34.656666,9.7,52.0,64.0
07/01/2018 06:02:34.546666,8.73,53.0,64.0
07/01/2018 06:05:14.573333,7.82,53.0,63.0
07/01/2018 06:07:54.546666,7.47,53.0,63.0
07/01/2018 06:10:34.680000,7.0,53.0,63.0
07/01/2018 06:14:34.973333,9.57,54.0,63.0
07/01/2018 06:17:34.883333,8.92,54.0,63.0
07/01/2018 06:19:54.526666,7.62,54.0,63.0
07/01/2018 06:22:34.553333,7.35,55.0,63.0
07/01/2018 06:26:34.843333,7.82,55.0,63.0
07/01/2018 06:29:14.540000,8.58,55.0,63.0
