InstrumentName, Melody-Catalpa B,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 00:02:30.520000,3.37,55.0,69.0
07/01/2018 00:05:10.523333,4.02,54.0,69.0
07/01/2018 00:07:50.530000,3.2,55.0,70.0
07/01/2018 00:10:30.526666,4.45,54.0,70.0
07/01/2018 00:14:30.516666,4.16,55.0,70.0
07/01/2018 00:17:10.526666,4.35,55.0,70.0
07/01/2018 00:19:50.516666,3.82,54.0,71.0
07/01/2018 00:22:30.590000,3.86,52.0,71.0
07/01/2018 00:26:30.526666,3.14,52.0,71.0
07/01/2018 00:29:10.606666,3.4,51.0,71.0
07/01/2018 00:31:50.526666,4.19,50.0,71.0
07/01/2018 00:34:30.523333,3.74,51.0,71.0
07/01/2018 00:38:30.530000,4.24,51.0,71.0
07/01/2018 00:41:10.530000,4.26,50.0,72.0
07/01/2018 00:43:50.536666,4.52,50.0,72.0
07/01/2018 00:46:30.526666,3.68,49.0,71.0
07/01/2018 00:50:30.543333,4.6,51.0,72.0
07/01/2018 00:53:10.530000,4.71,50.0,72.0
07/01/2018 00:55:50.536666,4.07,50.0,71.0
07/01/2018 00:58:30.526666,4.4,49.0,71.0
07/01/2018 01:02:30.540000,5.09,49.0,72.0
07/01/2018 01:05:10.526666,4.14,49.0,72.0
07/01/2018 01:07:50.536666,4.98,49.0,72.0
07/01/2018 01:10:30.533333,4.3,48.0,72.0
07/01/2018 01:14:30.606666,5.23,48.0,72.0
07/01/2018 01:17:10.553333,4.23,49.0,72.0
07/01/2018 01:19:50.536666,4.62,49.0,72.0
07/01/2018 01:22:32.366666,5.05,48.0,72.0
07/01/2018 01:26:30.533333,4.54,48.0,72.0
07/01/2018 01:29:10.536666,4.77,48.0,72.0
07/01/2018 01:31:50.666666,5.0,49.0,72.0
07/01/2018 01:34:30.540000,5.51,49.0,72.0
07/01/2018 01:38:30.536666,5.02,49.0,72.0
07/01/2018 01:41:10.550000,5.16,50.0,72.0
07/01/2018 01:43:50.660000,5.98,50.0,72.0
07/01/2018 01:46:30.536666,5.64,52.0,71.0
07/01/2018 01:50:30.543333,5.63,52.0,71.0
07/01/2018 01:53:10.540000,6.4,52.0,71.0
07/01/2018 01:55:50.540000,8.51,53.0,70.0
07/01/2018 01:58:30.536666,6.73,54.0,70.0
07/01/2018 02:02:30.540000,7.31,54.0,70.0
07/01/2018 02:05:10.563333,7.0,55.0,70.0
07/01/2018 02:07:50.546666,7.37,55.0,69.0
07/01/2018 02:10:30.540000,6.63,55.0,69.0
07/01/2018 02:14:30.543333,6.24,55.0,69.0
07/01/2018 02:17:10.540000,6.26,55.0,69.0
07/01/2018 02:19:50.546666,7.19,56.0,69.0
07/01/2018 02:22:30.546666,6.64,56.0,69.0
07/01/2018 02:26:30.560000,7.05,56.0,69.0
07/01/2018 02:29:10.543333,8.18,56.0,69.0
07/01/2018 02:31:50.550000,7.6,56.0,69.0
07/01/2018 02:34:30.546666,7.03,56.0,68.0
07/01/2018 02:38:30.553333,7.41,57.0,68.0
07/01/2018 02:41:10.600000,7.75,57.0,68.0
07/01/2018 02:43:50.540000,7.29,57.0,68.0
07/01/2018 02:46:30.546666,7.56,57.0,68.0
07/01/2018 02:50:30.566666,7.29,57.0,68.0
07/01/2018 02:53:10.593333,6.91,58.0,68.0
07/01/2018 02:55:50.550000,6.77,58.0,68.0
07/01/2018 02:58:30.593333,7.48,58.0,67.0
07/01/2018 03:02:30.553333,7.2,58.0,67.0
07/01/2018 03:05:10.580000,6.98,58.0,67.0
07/01/2018 03:07:50.553333,6.95,58.0,67.0
07/01/2018 03:10:30.550000,7.56,59.0,67.0
07/01/2018 03:14:30.556666,6.98,58.0,67.0
07/01/2018 03:17:10.593333,8.23,58.0,67.0
07/01/2018 03:19:50.550000,7.21,58.0,67.0
07/01/2018 03:22:30.546666,7.3,59.0,66.0
07/01/2018 03:26:30.553333,7.57,59.0,66.0
07/01/2018 03:29:10.603333,8.14,60.0,66.0
07/01/2018 03:31:50.613333,7.76,59.0,66.0
07/01/2018 03:34:30.560000,7.91,59.0,66.0
07/01/2018 03:38:30.556666,7.02,59.0,66.0
07/01/2018 03:41:10.723333,7.58,59.0,66.0
07/01/2018 03:43:50.550000,7.6,59.0,66.0
07/01/2018 03:46:30.560000,8.21,60.0,66.0
07/01/2018 03:50:30.546666,7.8,59.0,66.0
07/01/2018 03:53:10.556666,9.23,59.0,66.0
07/01/2018 03:55:50.560000,7.93,59.0,66.0
07/01/2018 03:58:30.586666,8.52,59.0,66.0
07/01/2018 04:02:30.556666,8.53,59.0,66.0
07/01/2018 04:05:10.556666,9.37,59.0,66.0
07/01/2018 04:07:50.593333,9.12,59.0,66.0
07/01/2018 04:10:30.593333,8.9,58.0,66.0
07/01/2018 04:14:30.553333,8.65,58.0,66.0
07/01/2018 04:17:10.556666,8.6,59.0,66.0
07/01/2018 04:19:50.746666,8.82,58.0,65.0
07/01/2018 04:22:30.556666,9.0,59.0,65.0
07/01/2018 04:26:30.640000,8.16,59.0,65.0
07/01/2018 04:29:10.583333,8.6,59.0,65.0
07/01/2018 04:31:50.556666,8.43,59.0,65.0
07/01/2018 04:34:30.603333,8.33,59.0,65.0
07/01/2018 04:38:30.556666,7.84,59.0,65.0
07/01/2018 04:41:10.570000,8.51,60.0,65.0
07/01/2018 04:43:50.566666,7.84,59.0,65.0
07/01/2018 04:46:30.576666,7.9,60.0,65.0
07/01/2018 04:50:30.570000,8.53,59.0,65.0
07/01/2018 04:53:10.563333,8.55,59.0,65.0
07/01/2018 04:55:50.556666,8.07,59.0,65.0
07/01/2018 04:58:30.573333,8.57,59.0,65.0
07/01/2018 05:02:30.560000,8.0,59.0,65.0
07/01/2018 05:05:10.610000,8.53,59.0,65.0
07/01/2018 05:07:50.570000,8.47,59.0,65.0
07/01/2018 05:10:30.576666,7.19,58.0,65.0
07/01/2018 05:14:30.573333,8.37,58.0,65.0
07/01/2018 05:17:10.560000,8.67,59.0,65.0
07/01/2018 05:19:50.566666,8.36,59.0,65.0
07/01/2018 05:22:30.626666,9.42,59.0,65.0
07/01/2018 05:26:30.566666,9.07,59.0,65.0
07/01/2018 05:29:10.566666,9.23,59.0,64.0
07/01/2018 05:31:50.566666,8.81,60.0,64.0
07/01/2018 05:34:30.563333,8.63,60.0,64.0
07/01/2018 05:38:30.566666,9.71,61.0,64.0
07/01/2018 05:41:10.566666,9.07,61.0,64.0
07/01/2018 05:43:50.570000,9.65,62.0,64.0
07/01/2018 05:46:30.566666,8.05,62.0,64.0
07/01/2018 05:50:30.690000,9.09,61.0,64.0
07/01/2018 05:53:10.616666,9.19,61.0,64.0
07/01/2018 05:54:30.630000,9.74,61.0,64.0
07/01/2018 05:58:30.566666,8.14,60.0,64.0
07/01/2018 06:02:30.570000,9.12,60.0,64.0
07/01/2018 06:05:10.590000,9.02,61.0,64.0
07/01/2018 06:07:50.566666,9.83,61.0,63.0
07/01/2018 06:10:30.563333,9.28,61.0,63.0
07/01/2018 06:14:30.573333,8.27,61.0,64.0
07/01/2018 06:17:10.576666,9.79,61.0,64.0
07/01/2018 06:20:20.176666,10.2,61.0,63.0
07/01/2018 06:23:00.146666,9.37,61.0,63.0
07/01/2018 06:25:40.160000,9.74,62.0,63.0
07/01/2018 06:29:40.150000,9.67,62.0,63.0
