InstrumentName, La Casa,,,,,
StartTime, 2018-07-01 00:00:00,,,,,
EndTime, 2018-07-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
07/01/2018 00:00:00.000000,0.1,5.0,46.0,19.0,4.8,0.0
07/01/2018 01:00:00.000000,0.1,5.0,45.0,15.0,4.3,0.0
07/01/2018 02:00:00.000000,0.1,6.0,45.0,13.0,4.4,0.0
07/01/2018 03:00:00.000000,0.2,7.0,42.0,12.0,4.7,0.0
07/01/2018 04:00:00.000000,0.2,,40.0,14.0,6.1,0.0
07/01/2018 05:00:00.000000,0.2,14.0,36.0,16.0,6.9,0.0
07/01/2018 06:00:00.000000,0.2,14.0,30.0,17.0,7.1,0.0
07/01/2018 07:00:00.000000,0.3,14.0,24.0,18.0,7.5,
07/01/2018 08:00:00.000000,0.2,10.0,25.0,16.0,8.0,0.0
07/01/2018 09:00:00.000000,0.1,8.0,21.0,15.0,8.5,0.0
07/01/2018 10:00:00.000000,0.1,8.0,20.0,15.0,9.0,0.0
07/01/2018 11:00:00.000000,0.1,8.0,20.0,14.0,9.1,0.0
07/01/2018 12:00:00.000000,0.1,7.0,19.0,14.0,8.6,0.0
07/01/2018 13:00:00.000000,0.2,17.0,20.0,18.0,9.8,0.0
07/01/2018 14:00:00.000000,0.1,11.0,22.0,19.0,9.8,0.0
07/01/2018 15:00:00.000000,0.1,10.0,30.0,18.0,9.7,0.0
07/01/2018 16:00:00.000000,0.1,5.0,41.0,19.0,9.8,0.0
07/01/2018 17:00:00.000000,0.2,8.0,48.0,19.0,9.9,0.0
07/01/2018 18:00:00.000000,0.1,8.0,59.0,20.0,9.4,1.0
07/01/2018 19:00:00.000000,0.1,7.0,62.0,16.0,6.7,1.0
07/01/2018 20:00:00.000000,0.1,5.0,58.0,13.0,5.1,0.0
07/01/2018 21:00:00.000000,0.1,4.0,63.0,12.0,4.7,0.0
07/01/2018 22:00:00.000000,0.2,4.0,63.0,12.0,4.5,0.0
07/01/2018 23:00:00.000000,0.2,3.0,62.0,11.0,4.2,0.0
07/02/2018 00:00:00.000000,0.1,3.0,63.0,12.0,4.4,0.0
07/02/2018 01:00:00.000000,0.2,4.0,60.0,13.0,4.6,0.0
07/02/2018 02:00:00.000000,0.2,15.0,57.0,16.0,4.3,0.0
07/02/2018 03:00:00.000000,0.2,14.0,53.0,20.0,5.2,1.0
07/02/2018 04:00:00.000000,0.2,,47.0,19.0,5.8,0.0
07/02/2018 05:00:00.000000,0.2,11.0,47.0,19.0,6.0,0.0
07/02/2018 06:00:00.000000,0.1,7.0,43.0,20.0,6.2,0.0
07/02/2018 07:00:00.000000,0.1,5.0,43.0,20.0,6.7,
07/02/2018 08:00:00.000000,0.1,4.0,41.0,20.0,6.6,0.0
07/02/2018 09:00:00.000000,0.1,5.0,38.0,18.0,7.7,0.0
07/02/2018 10:00:00.000000,0.2,13.0,35.0,18.0,8.2,0.0
07/02/2018 11:00:00.000000,0.2,14.0,31.0,18.0,7.6,0.0
07/02/2018 12:00:00.000000,0.3,19.0,28.0,18.0,7.0,0.0
07/02/2018 13:00:00.000000,0.3,18.0,22.0,18.0,6.5,0.0
07/02/2018 14:00:00.000000,0.2,14.0,25.0,18.0,5.4,0.0
07/02/2018 15:00:00.000000,0.2,26.0,27.0,22.0,5.2,1.0
07/02/2018 16:00:00.000000,0.2,18.0,31.0,27.0,4.8,0.0
07/02/2018 17:00:00.000000,0.2,18.0,35.0,31.0,4.8,1.0
07/02/2018 18:00:00.000000,0.1,11.0,39.0,27.0,4.2,0.0
07/02/2018 19:00:00.000000,0.1,9.0,47.0,25.0,4.3,0.0
07/02/2018 20:00:00.000000,0.1,9.0,50.0,24.0,5.1,0.0
07/02/2018 21:00:00.000000,0.1,10.0,52.0,24.0,6.9,0.0
07/02/2018 22:00:00.000000,0.2,11.0,53.0,27.0,7.9,0.0
07/02/2018 23:00:00.000000,0.2,13.0,52.0,27.0,8.4,0.0
07/03/2018 00:00:00.000000,0.2,12.0,53.0,25.0,7.8,0.0
07/03/2018 01:00:00.000000,0.2,17.0,52.0,27.0,7.0,0.0
07/03/2018 02:00:00.000000,0.2,16.0,52.0,26.0,6.5,0.0
07/03/2018 03:00:00.000000,0.1,5.0,51.0,40.0,8.6,0.0
07/03/2018 04:00:00.000000,0.1,,52.0,43.0,12.7,0.0
07/03/2018 05:00:00.000000,0.1,7.0,51.0,36.0,13.4,0.0
07/03/2018 06:00:00.000000,0.1,7.0,49.0,36.0,16.1,0.0
07/03/2018 07:00:00.000000,0.1,6.0,46.0,36.0,18.2,
07/03/2018 08:00:00.000000,0.1,6.0,46.0,37.0,18.2,1.0
07/03/2018 09:00:00.000000,0.1,12.0,37.0,39.0,21.9,0.0
07/03/2018 10:00:00.000000,0.2,13.0,31.0,40.0,22.4,0.0
07/03/2018 11:00:00.000000,0.2,22.0,24.0,42.0,23.0,0.0
07/03/2018 12:00:00.000000,0.4,27.0,20.0,45.0,23.0,1.0
07/03/2018 13:00:00.000000,0.4,27.0,17.0,45.0,20.3,1.0
07/03/2018 14:00:00.000000,0.4,29.0,19.0,45.0,17.4,1.0
07/03/2018 15:00:00.000000,0.3,23.0,32.0,43.0,14.6,0.0
07/03/2018 16:00:00.000000,0.3,26.0,41.0,42.0,12.4,0.0
07/03/2018 17:00:00.000000,0.2,14.0,36.0,36.0,9.6,0.0
07/03/2018 18:00:00.000000,0.1,8.0,44.0,26.0,6.8,0.0
07/03/2018 19:00:00.000000,0.1,5.0,49.0,24.0,5.1,0.0
07/03/2018 20:00:00.000000,0.1,4.0,54.0,22.0,5.6,0.0
07/03/2018 21:00:00.000000,0.2,11.0,50.0,20.0,5.1,0.0
07/03/2018 22:00:00.000000,0.1,5.0,52.0,19.0,6.4,0.0
07/03/2018 23:00:00.000000,0.2,8.0,52.0,20.0,6.4,0.0
07/04/2018 00:00:00.000000,0.2,13.0,48.0,19.0,5.7,0.0
07/04/2018 01:00:00.000000,0.3,15.0,46.0,18.0,5.0,0.0
07/04/2018 02:00:00.000000,0.2,20.0,44.0,24.0,5.5,0.0
07/04/2018 03:00:00.000000,0.2,16.0,40.0,32.0,7.4,0.0
07/04/2018 04:00:00.000000,0.2,,39.0,31.0,8.2,0.0
07/04/2018 05:00:00.000000,0.2,16.0,37.0,31.0,9.2,0.0
07/04/2018 06:00:00.000000,0.2,16.0,32.0,32.0,11.3,1.0
07/04/2018 07:00:00.000000,0.3,19.0,24.0,34.0,13.2,
07/04/2018 08:00:00.000000,0.3,25.0,25.0,34.0,13.2,1.0
07/04/2018 09:00:00.000000,0.2,17.0,22.0,34.0,13.8,0.0
07/04/2018 10:00:00.000000,0.2,15.0,18.0,31.0,13.1,0.0
07/04/2018 11:00:00.000000,0.2,19.0,15.0,36.0,13.1,0.0
07/04/2018 12:00:00.000000,0.3,18.0,12.0,31.0,13.0,0.0
07/04/2018 13:00:00.000000,0.3,18.0,14.0,30.0,12.6,1.0
07/04/2018 14:00:00.000000,0.2,12.0,24.0,28.0,11.4,0.0
07/04/2018 15:00:00.000000,0.2,18.0,32.0,30.0,10.2,0.0
07/04/2018 16:00:00.000000,0.2,13.0,47.0,28.0,9.1,1.0
07/04/2018 17:00:00.000000,0.2,8.0,44.0,29.0,9.2,0.0
07/04/2018 18:00:00.000000,0.2,11.0,54.0,31.0,9.3,0.0
