InstrumentName, Construction Dust Monitor (B),,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
07/23/2018 13:08:08.000000,12.33,19.15,18.23
07/23/2018 13:09:27.000000,12.93,19.98,18.25
07/23/2018 13:12:07.000000,13.32,19.73,18.46
07/23/2018 13:13:28.000000,12.63,18.73,17.61
07/23/2018 13:16:08.000000,19.03,25.56,24.61
07/23/2018 13:17:28.000000,12.61,18.29,17.46
07/23/2018 13:20:08.000000,12.15,18.08,16.85
07/23/2018 13:21:28.000000,12.16,20.26,18.37
07/23/2018 13:24:08.000000,13.05,18.68,17.71
07/23/2018 13:25:28.000000,13.1,19.1,18.1
07/23/2018 13:28:08.000000,13.8,20.52,18.92
07/23/2018 13:29:27.000000,13.29,19.73,18.05
07/23/2018 13:32:07.000000,13.62,20.23,18.4
07/23/2018 13:33:27.000000,14.71,22.16,20.45
07/23/2018 13:36:07.000000,12.9,19.59,18.23
07/23/2018 13:37:27.000000,12.82,18.67,17.4
07/23/2018 13:40:07.000000,14.0,19.27,18.48
07/23/2018 13:41:28.000000,13.1,19.08,18.2
07/23/2018 13:44:07.000000,11.7,18.25,16.4
07/23/2018 13:45:28.000000,12.81,18.52,17.76
07/23/2018 13:48:08.000000,12.63,19.1,17.22
07/23/2018 13:49:28.000000,15.0,20.56,19.64
07/23/2018 13:52:08.000000,13.95,18.15,17.59
07/23/2018 13:53:28.000000,12.49,17.49,16.44
07/23/2018 13:56:08.000000,13.27,18.73,17.85
07/23/2018 13:57:28.000000,12.55,18.58,17.1
07/23/2018 14:00:08.000000,13.62,19.0,17.97
07/23/2018 14:01:27.000000,12.85,19.46,17.9
07/23/2018 14:04:08.000000,12.24,18.0,16.83
07/23/2018 14:05:28.000000,13.41,19.51,18.1
07/23/2018 14:08:08.000000,13.54,19.54,18.15
07/23/2018 14:09:27.000000,12.43,18.08,16.65
07/23/2018 14:12:07.000000,12.54,18.07,17.27
07/23/2018 14:13:28.000000,12.8,20.45,17.58
07/23/2018 14:16:09.000000,12.41,18.51,16.0
07/23/2018 14:17:28.000000,13.33,19.1,17.95
07/23/2018 14:20:08.000000,14.1,19.67,18.8
07/23/2018 14:21:28.000000,13.9,19.85,18.58
07/23/2018 14:24:08.000000,12.3,17.25,16.45
07/23/2018 14:25:27.000000,11.73,16.8,16.08
07/23/2018 14:28:07.000000,12.55,18.83,17.75
07/23/2018 14:29:27.000000,13.18,17.62,17.38
07/23/2018 14:32:07.000000,13.07,17.66,16.95
07/23/2018 14:33:27.000000,12.08,17.74,15.87
07/23/2018 14:36:08.000000,13.23,19.2,17.7
07/23/2018 14:37:27.000000,12.48,18.3,16.8
07/23/2018 14:40:08.000000,13.2,18.77,17.12
07/23/2018 14:41:27.000000,12.55,18.02,17.2
07/23/2018 14:44:08.000000,12.34,18.05,16.98
07/23/2018 14:45:27.000000,12.9,18.29,16.71
07/23/2018 14:48:07.000000,13.95,20.61,19.17
07/23/2018 14:49:27.000000,13.25,19.15,18.08
07/23/2018 14:52:07.000000,14.07,19.33,18.27
07/23/2018 14:53:28.000000,13.1,18.22,17.73
07/23/2018 14:56:07.000000,13.3,18.58,17.08
07/23/2018 14:57:28.000000,12.95,20.2,17.95
07/23/2018 15:00:08.000000,13.51,19.34,17.68
07/23/2018 15:01:28.000000,14.0,19.15,18.02
07/23/2018 15:04:08.000000,12.77,18.45,17.3
07/23/2018 15:05:27.000000,13.31,18.18,16.79
07/23/2018 15:08:08.000000,14.1,21.17,19.65
07/23/2018 15:09:28.000000,13.82,19.95,18.15
07/23/2018 15:12:08.000000,13.24,19.92,18.29
07/23/2018 15:13:28.000000,17.31,27.23,25.15
07/23/2018 15:16:07.000000,13.55,19.62,18.45
07/23/2018 15:17:27.000000,12.29,17.51,16.76
07/23/2018 15:20:08.000000,14.49,20.64,19.62
07/23/2018 15:21:28.000000,13.56,20.85,18.69
07/23/2018 15:24:07.000000,14.85,19.65,18.77
07/23/2018 15:25:28.000000,14.62,22.1,20.17
07/23/2018 15:28:07.000000,15.37,24.76,21.51
07/23/2018 15:29:28.000000,15.1,22.12,21.27
07/23/2018 15:32:08.000000,14.0,21.0,19.55
07/23/2018 15:33:27.000000,14.12,21.98,20.17
07/23/2018 15:36:08.000000,15.07,19.87,19.33
07/23/2018 15:37:27.000000,13.47,19.82,18.68
07/23/2018 15:40:08.000000,15.05,21.51,20.22
07/23/2018 15:41:28.000000,13.85,19.46,18.41
07/23/2018 15:44:08.000000,15.23,23.62,22.1
07/23/2018 15:45:27.000000,16.0,22.98,21.3
07/23/2018 15:48:08.000000,14.9,22.42,20.27
07/23/2018 15:49:28.000000,15.39,21.49,19.83
07/23/2018 15:52:08.000000,13.73,20.8,19.02
07/23/2018 15:53:28.000000,14.98,19.92,19.08
07/23/2018 15:56:07.000000,15.18,22.45,21.45
07/23/2018 15:57:28.000000,15.2,23.83,21.67
07/23/2018 16:00:08.000000,14.27,21.0,20.07
07/23/2018 16:01:27.000000,29.13,38.71,35.97
07/23/2018 16:04:08.000000,13.83,19.56,19.05
07/23/2018 16:05:27.000000,13.36,19.07,18.02
07/23/2018 16:08:08.000000,14.29,20.11,18.87
07/23/2018 16:09:28.000000,13.85,19.2,18.3
07/23/2018 16:12:08.000000,13.75,19.2,18.67
07/23/2018 16:13:27.000000,14.05,18.78,18.32
07/23/2018 16:16:07.000000,13.57,18.25,17.75
07/23/2018 16:17:28.000000,14.93,20.9,20.1
07/23/2018 16:20:08.000000,12.83,19.07,17.88
07/23/2018 16:21:28.000000,12.48,18.02,17.24
07/23/2018 16:24:07.000000,13.59,20.17,18.63
07/23/2018 16:25:28.000000,14.9,20.85,19.85
07/23/2018 16:28:07.000000,15.71,20.88,19.71
07/23/2018 16:29:28.000000,15.39,21.42,20.18
07/23/2018 16:32:08.000000,12.88,17.83,17.0
07/23/2018 16:33:27.000000,13.0,18.49,18.08
07/23/2018 16:36:07.000000,12.78,18.59,17.49
07/23/2018 16:37:28.000000,14.1,18.9,18.27
07/23/2018 16:40:08.000000,14.35,21.42,19.15
07/23/2018 16:41:28.000000,13.49,19.56,18.05
07/23/2018 16:44:08.000000,13.15,17.48,16.55
07/23/2018 16:45:28.000000,14.4,20.52,19.1
07/23/2018 16:48:08.000000,16.02,25.12,21.37
07/23/2018 16:49:28.000000,13.95,20.32,19.0
07/23/2018 16:52:08.000000,14.31,21.49,20.38
07/23/2018 16:53:28.000000,14.03,20.72,19.31
07/23/2018 16:56:08.000000,14.65,21.15,19.6
07/23/2018 16:57:28.000000,13.71,20.15,19.12
07/23/2018 17:00:08.000000,13.9,19.24,18.12
07/23/2018 17:01:27.000000,13.95,20.11,19.24
07/23/2018 17:04:08.000000,13.82,19.83,18.65
07/23/2018 17:05:28.000000,13.82,19.92,19.1
07/23/2018 17:08:08.000000,14.88,22.02,20.44
07/23/2018 17:09:28.000000,16.43,22.64,22.29
07/23/2018 17:10:48.000000,14.49,21.41,20.02
07/23/2018 17:13:28.000000,15.95,22.74,21.08
07/23/2018 17:16:08.000000,18.73,27.05,25.35
07/23/2018 17:17:28.000000,18.02,25.34,24.24
07/23/2018 17:20:08.000000,15.97,23.74,22.51
07/23/2018 17:21:28.000000,15.83,22.78,21.54
07/23/2018 17:24:08.000000,14.61,21.12,19.93
07/23/2018 17:25:28.000000,16.23,22.64,22.0
