InstrumentName, West Denver PA-II B,,
StartTime, 2018-08-01 00:00:00,,
EndTime, 2018-08-31 23:59:59,,
Date,PM2.5,humidity,temp_f
08/01/2018 00:00:56.226666,6.55,11.0,100.0
08/01/2018 00:03:36.166666,7.77,10.0,100.0
08/01/2018 00:04:56.410000,8.16,10.0,100.0
08/01/2018 00:07:36.860000,7.31,11.0,100.0
08/01/2018 00:08:56.166666,7.34,11.0,100.0
08/01/2018 00:11:36.196666,7.07,11.0,100.0
08/01/2018 00:12:56.220000,7.7,10.0,100.0
08/01/2018 00:15:36.646666,9.4,11.0,100.0
08/01/2018 00:16:56.443333,7.95,11.0,100.0
08/01/2018 00:19:36.193333,7.72,11.0,100.0
08/01/2018 00:20:56.190000,7.27,11.0,100.0
08/01/2018 00:23:36.216666,8.34,10.0,100.0
08/01/2018 00:24:56.570000,6.89,10.0,100.0
08/01/2018 00:26:16.336666,7.05,10.0,100.0
08/01/2018 00:28:56.206666,8.05,10.0,99.0
08/01/2018 00:30:16.430000,7.6,10.0,99.0
08/01/2018 00:32:56.200000,5.95,10.0,99.0
08/01/2018 00:34:16.290000,6.88,11.0,99.0
08/01/2018 00:36:56.243333,8.26,11.0,99.0
08/01/2018 00:38:16.253333,8.45,11.0,99.0
08/01/2018 00:40:56.173333,6.49,11.0,99.0
08/01/2018 00:42:17.583333,6.74,11.0,99.0
08/01/2018 00:44:56.183333,7.33,11.0,98.0
08/01/2018 00:46:16.303333,7.23,11.0,99.0
08/01/2018 00:48:56.206666,7.63,11.0,98.0
08/01/2018 00:50:16.216666,6.42,11.0,98.0
08/01/2018 00:52:56.286666,6.86,11.0,98.0
08/01/2018 00:54:16.250000,6.91,11.0,98.0
08/01/2018 00:56:56.336666,6.4,12.0,98.0
08/01/2018 00:58:16.193333,6.98,12.0,98.0
08/01/2018 01:00:56.346666,6.09,11.0,98.0
08/01/2018 01:02:16.176666,7.02,11.0,98.0
08/01/2018 01:04:56.333333,6.77,11.0,98.0
08/01/2018 01:06:16.203333,7.21,11.0,98.0
08/01/2018 01:08:56.496666,8.05,12.0,98.0
08/01/2018 01:11:36.186666,7.21,12.0,98.0
08/01/2018 01:12:56.613333,7.35,12.0,98.0
08/01/2018 01:15:36.283333,7.93,12.0,98.0
08/01/2018 01:16:56.170000,8.26,12.0,98.0
08/01/2018 01:19:36.176666,8.68,12.0,97.0
08/01/2018 01:20:56.220000,8.83,12.0,97.0
08/01/2018 01:23:36.180000,7.6,13.0,97.0
08/01/2018 01:24:56.263333,6.55,13.0,97.0
08/01/2018 01:27:36.186666,8.0,14.0,97.0
08/01/2018 01:28:56.180000,7.74,14.0,97.0
08/01/2018 01:31:36.183333,6.65,14.0,96.0
08/01/2018 01:32:56.176666,7.47,14.0,96.0
08/01/2018 01:35:36.243333,7.5,15.0,96.0
08/01/2018 01:36:56.186666,7.09,15.0,96.0
08/01/2018 01:39:36.210000,6.7,15.0,96.0
08/01/2018 01:40:57.183333,6.58,15.0,96.0
08/01/2018 01:43:36.203333,6.81,14.0,96.0
08/01/2018 01:44:56.203333,7.07,14.0,96.0
08/01/2018 01:46:16.200000,7.38,14.0,96.0
08/01/2018 01:48:56.206666,7.36,14.0,95.0
08/01/2018 01:51:36.183333,6.44,14.0,95.0
08/01/2018 01:52:56.296666,7.79,14.0,95.0
08/01/2018 01:55:36.183333,6.98,13.0,95.0
08/01/2018 01:56:57.083333,7.14,13.0,95.0
08/01/2018 01:59:36.353333,6.86,14.0,94.0
08/01/2018 02:00:56.246666,7.33,14.0,94.0
08/01/2018 02:03:36.196666,6.63,12.0,94.0
08/01/2018 02:04:56.180000,5.73,12.0,94.0
08/01/2018 02:07:36.193333,5.62,12.0,94.0
08/01/2018 02:08:56.346666,5.6,13.0,94.0
08/01/2018 02:11:36.306666,6.4,13.0,94.0
08/01/2018 02:12:56.190000,5.74,13.0,94.0
08/01/2018 02:15:36.190000,6.49,13.0,93.0
08/01/2018 02:16:56.240000,6.79,13.0,93.0
08/01/2018 02:19:36.190000,5.88,13.0,93.0
08/01/2018 02:20:56.193333,6.55,13.0,93.0
08/01/2018 02:23:36.196666,6.16,13.0,93.0
08/01/2018 02:24:56.180000,6.3,13.0,93.0
08/01/2018 02:27:36.210000,5.74,13.0,93.0
08/01/2018 02:28:56.346666,5.24,13.0,93.0
08/01/2018 02:31:36.203333,5.81,13.0,92.0
08/01/2018 02:32:56.190000,6.81,13.0,92.0
08/01/2018 02:35:36.206666,6.19,13.0,92.0
08/01/2018 02:36:56.190000,6.21,14.0,92.0
08/01/2018 02:39:36.266666,5.4,14.0,92.0
08/01/2018 02:40:56.186666,5.23,14.0,92.0
08/01/2018 02:43:36.463333,6.14,13.0,92.0
08/01/2018 02:44:56.196666,6.33,13.0,91.0
08/01/2018 02:47:36.216666,5.69,13.0,91.0
08/01/2018 02:48:56.383333,5.79,13.0,91.0
08/01/2018 02:51:36.293333,5.86,13.0,91.0
08/01/2018 02:52:56.263333,5.29,13.0,91.0
08/01/2018 02:55:36.213333,5.35,13.0,90.0
08/01/2018 02:56:56.213333,5.47,13.0,90.0
08/01/2018 02:59:36.326666,4.95,14.0,90.0
08/01/2018 03:00:56.250000,6.2,14.0,90.0
08/01/2018 03:03:36.403333,6.28,15.0,90.0
08/01/2018 03:04:56.193333,5.76,14.0,90.0
08/01/2018 03:07:36.203333,6.29,15.0,90.0
08/01/2018 03:08:56.236666,6.02,14.0,90.0
08/01/2018 03:11:36.196666,5.67,14.0,90.0
08/01/2018 03:12:56.193333,5.91,14.0,90.0
08/01/2018 03:15:36.266666,5.73,14.0,89.0
08/01/2018 03:16:56.256666,5.7,14.0,89.0
08/01/2018 03:19:36.293333,5.23,15.0,89.0
08/01/2018 03:20:56.200000,6.07,15.0,89.0
08/01/2018 03:23:36.213333,6.14,15.0,89.0
08/01/2018 03:24:56.296666,5.38,15.0,89.0
08/01/2018 03:26:16.200000,5.69,14.0,89.0
08/01/2018 03:28:56.206666,5.07,14.0,89.0
08/01/2018 03:30:16.356666,5.07,15.0,89.0
08/01/2018 03:32:56.206666,6.3,15.0,89.0
08/01/2018 03:34:16.213333,5.88,15.0,89.0
08/01/2018 03:36:56.263333,6.0,16.0,89.0
08/01/2018 03:38:16.223333,6.1,16.0,88.0
08/01/2018 03:40:56.196666,5.33,16.0,88.0
08/01/2018 03:42:16.206666,6.02,16.0,88.0
08/01/2018 03:44:56.206666,5.86,17.0,88.0
08/01/2018 03:46:16.226666,6.07,17.0,88.0
08/01/2018 03:48:56.196666,6.57,17.0,88.0
08/01/2018 03:50:16.233333,6.14,17.0,88.0
08/01/2018 03:52:56.243333,6.4,18.0,88.0
08/01/2018 03:55:36.400000,5.37,18.0,87.0
08/01/2018 03:56:56.200000,6.28,17.0,87.0
08/01/2018 03:59:36.216666,5.88,18.0,87.0
08/01/2018 04:00:56.290000,6.02,18.0,87.0
08/01/2018 04:03:36.203333,6.65,18.0,87.0
08/01/2018 04:04:56.216666,5.79,18.0,87.0
08/01/2018 04:07:36.203333,6.07,18.0,87.0
08/01/2018 04:08:56.236666,6.76,18.0,87.0
08/01/2018 04:11:36.430000,8.58,18.0,87.0
08/01/2018 04:12:56.246666,12.47,18.0,87.0
08/01/2018 04:15:37.186666,20.77,19.0,86.0
08/01/2018 04:16:56.213333,21.32,19.0,86.0
08/01/2018 04:19:36.270000,17.0,19.0,86.0
08/01/2018 04:20:56.213333,15.42,19.0,86.0
08/01/2018 04:23:36.463333,9.26,19.0,86.0
08/01/2018 04:24:56.203333,7.82,19.0,86.0
08/01/2018 04:27:36.293333,6.72,19.0,86.0
08/01/2018 04:28:56.213333,7.33,19.0,86.0
08/01/2018 04:31:36.233333,6.74,20.0,86.0
08/01/2018 04:32:56.246666,6.57,20.0,85.0
08/01/2018 04:35:36.213333,6.59,20.0,85.0
08/01/2018 04:36:56.216666,7.46,20.0,85.0
08/01/2018 04:39:36.223333,6.98,20.0,85.0
08/01/2018 04:40:56.210000,7.14,20.0,85.0
08/01/2018 04:43:36.550000,8.67,20.0,85.0
08/01/2018 04:44:56.220000,6.91,20.0,85.0
08/01/2018 04:47:36.226666,7.23,21.0,85.0
08/01/2018 04:48:56.216666,7.28,21.0,85.0
08/01/2018 04:51:36.260000,7.83,21.0,84.0
08/01/2018 04:52:56.233333,6.4,21.0,84.0
08/01/2018 04:55:36.213333,6.26,21.0,84.0
08/01/2018 04:56:56.246666,7.9,21.0,84.0
08/01/2018 04:59:36.296666,7.44,22.0,84.0
08/01/2018 05:00:56.290000,7.5,22.0,84.0
08/01/2018 05:03:36.226666,7.05,23.0,84.0
08/01/2018 05:04:56.236666,6.47,23.0,83.0
08/01/2018 05:07:36.610000,7.9,24.0,83.0
08/01/2018 05:08:56.226666,8.48,24.0,83.0
08/01/2018 05:11:36.226666,8.02,24.0,83.0
08/01/2018 05:12:56.273333,9.17,25.0,83.0
08/01/2018 05:15:36.666666,7.56,25.0,83.0
08/01/2018 05:16:56.276666,8.74,25.0,83.0
08/01/2018 05:19:36.233333,8.57,25.0,83.0
08/01/2018 05:20:56.240000,7.89,25.0,83.0
