InstrumentName, APCD B,,
StartTime, 2018-09-01 00:00:00,,
EndTime, 2018-09-30 23:59:59,,
Date,PM2.5,humidity,temp_f
09/01/2018 00:01:42.646666,0.76,21.0,83.0
09/01/2018 00:03:02.776666,0.47,21.0,83.0
09/01/2018 00:05:42.673333,0.67,22.0,83.0
09/01/2018 00:07:02.680000,1.73,22.0,83.0
09/01/2018 00:09:43.403333,1.24,22.0,83.0
09/01/2018 00:11:02.716666,1.12,22.0,83.0
09/01/2018 00:13:42.616666,1.17,22.0,82.0
09/01/2018 00:15:02.843333,2.0,23.0,82.0
09/01/2018 00:17:42.886666,1.78,23.0,82.0
09/01/2018 00:19:02.790000,2.22,23.0,82.0
09/01/2018 00:21:42.713333,1.46,24.0,81.0
09/01/2018 00:23:02.836666,1.0,23.0,82.0
09/01/2018 00:25:43.130000,1.23,23.0,82.0
09/01/2018 00:27:02.666666,1.15,23.0,82.0
09/01/2018 00:29:42.736666,1.51,23.0,82.0
09/01/2018 00:31:02.803333,1.41,24.0,81.0
09/01/2018 00:33:42.833333,1.45,24.0,81.0
09/01/2018 00:35:02.623333,2.0,24.0,81.0
09/01/2018 00:37:42.900000,1.88,24.0,81.0
09/01/2018 00:39:02.650000,1.83,24.0,81.0
09/01/2018 00:41:42.603333,1.95,25.0,81.0
09/01/2018 00:43:03.126666,2.2,25.0,80.0
09/01/2018 00:45:47.310000,1.43,26.0,79.0
09/01/2018 00:47:02.863333,1.72,26.0,79.0
09/01/2018 00:49:42.643333,1.88,26.0,79.0
09/01/2018 00:51:02.896666,0.57,26.0,79.0
09/01/2018 00:53:42.756666,1.48,26.0,79.0
09/01/2018 00:55:03.060000,1.5,26.0,79.0
09/01/2018 00:57:42.890000,1.63,26.0,79.0
09/01/2018 00:59:02.710000,2.0,27.0,79.0
09/01/2018 01:01:42.653333,1.82,27.0,80.0
09/01/2018 01:03:02.836666,1.44,27.0,80.0
09/01/2018 01:05:42.693333,2.24,27.0,80.0
09/01/2018 01:07:02.826666,2.2,27.0,79.0
09/01/2018 01:09:42.716666,2.26,27.0,79.0
09/01/2018 01:11:02.680000,2.17,27.0,79.0
09/01/2018 01:13:42.613333,2.1,28.0,78.0
09/01/2018 01:15:02.666666,2.4,28.0,78.0
09/01/2018 01:17:42.876666,1.95,28.0,78.0
09/01/2018 01:19:02.610000,1.91,28.0,78.0
09/01/2018 01:21:42.673333,2.93,28.0,78.0
09/01/2018 01:23:02.676666,2.64,28.0,78.0
09/01/2018 01:25:42.673333,2.85,29.0,78.0
09/01/2018 01:27:02.846666,2.24,29.0,78.0
09/01/2018 01:29:42.616666,2.44,29.0,78.0
09/01/2018 01:31:02.716666,2.71,29.0,78.0
09/01/2018 01:33:42.673333,2.72,30.0,78.0
09/01/2018 01:35:02.616666,2.93,30.0,77.0
09/01/2018 01:37:42.740000,2.12,30.0,78.0
09/01/2018 01:39:02.626666,2.79,30.0,78.0
09/01/2018 01:41:42.686666,2.66,30.0,77.0
09/01/2018 01:43:02.716666,2.05,30.0,77.0
09/01/2018 01:45:42.630000,2.85,30.0,77.0
09/01/2018 01:47:02.580000,3.29,31.0,77.0
09/01/2018 01:49:42.673333,3.9,30.0,78.0
09/01/2018 01:51:02.886666,2.98,30.0,78.0
09/01/2018 01:53:42.713333,4.05,31.0,77.0
09/01/2018 01:55:02.636666,3.28,31.0,78.0
