InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/01/2018 00:00:00.000000,,5.7
10/01/2018 01:00:00.000000,,5.6
10/01/2018 02:00:00.000000,,5.0
10/01/2018 03:00:00.000000,,4.9
10/01/2018 04:00:00.000000,,5.2
10/01/2018 05:00:00.000000,,5.4
10/01/2018 06:00:00.000000,,5.3
10/01/2018 07:00:00.000000,,5.3
10/01/2018 08:00:00.000000,,5.3
10/01/2018 09:00:00.000000,,6.6
10/01/2018 10:00:00.000000,,7.1
10/01/2018 11:00:00.000000,,7.7
10/01/2018 12:00:00.000000,,8.5
10/01/2018 13:00:00.000000,,9.8
10/01/2018 14:00:00.000000,,12.0
10/01/2018 15:00:00.000000,,13.6
10/01/2018 16:00:00.000000,,16.3
10/01/2018 17:00:00.000000,,16.6
10/01/2018 18:00:00.000000,,15.8
10/01/2018 19:00:00.000000,,16.5
10/01/2018 20:00:00.000000,,16.2
10/01/2018 21:00:00.000000,,15.8
10/01/2018 22:00:00.000000,,14.2
10/01/2018 23:00:00.000000,,13.3
10/02/2018 00:00:00.000000,,12.5
10/02/2018 01:00:00.000000,,12.5
10/02/2018 02:00:00.000000,,13.3
10/02/2018 03:00:00.000000,,12.9
10/02/2018 04:00:00.000000,,12.8
10/02/2018 05:00:00.000000,,12.6
10/02/2018 06:00:00.000000,,11.6
10/02/2018 07:00:00.000000,,10.9
10/02/2018 08:00:00.000000,,11.7
10/02/2018 09:00:00.000000,,10.2
10/02/2018 10:00:00.000000,,9.4
10/02/2018 11:00:00.000000,,9.1
10/02/2018 12:00:00.000000,,9.7
10/02/2018 13:00:00.000000,,11.2
10/02/2018 14:00:00.000000,,14.2
10/02/2018 15:00:00.000000,,14.4
10/02/2018 16:00:00.000000,,14.4
10/02/2018 17:00:00.000000,,12.2
10/02/2018 18:00:00.000000,,9.1
10/02/2018 19:00:00.000000,,6.2
10/02/2018 20:00:00.000000,,4.2
10/02/2018 21:00:00.000000,,3.3
10/02/2018 22:00:00.000000,,3.8
10/02/2018 23:00:00.000000,,3.9
10/03/2018 00:00:00.000000,,4.8
10/03/2018 01:00:00.000000,,6.5
10/03/2018 02:00:00.000000,,8.2
10/03/2018 03:00:00.000000,,11.3
10/03/2018 04:00:00.000000,,12.1
10/03/2018 05:00:00.000000,,12.7
10/03/2018 06:00:00.000000,,11.9
10/03/2018 07:00:00.000000,,10.5
10/03/2018 08:00:00.000000,,10.5
10/03/2018 09:00:00.000000,,7.8
10/03/2018 10:00:00.000000,,7.7
10/03/2018 11:00:00.000000,,9.1
10/03/2018 12:00:00.000000,,9.1
10/03/2018 15:00:00.000000,39.0,12.0
10/03/2018 16:00:00.000000,34.0,9.7
10/03/2018 17:00:00.000000,29.0,7.4
10/03/2018 18:00:00.000000,19.0,6.9
10/03/2018 19:00:00.000000,25.0,6.0
10/03/2018 20:00:00.000000,27.0,5.9
10/03/2018 21:00:00.000000,20.0,5.3
10/04/2018 00:00:00.000000,16.0,3.9
10/04/2018 01:00:00.000000,5.0,18.6
10/04/2018 02:00:00.000000,16.0,13.7
10/04/2018 03:00:00.000000,14.0,10.3
10/04/2018 04:00:00.000000,13.0,8.4
10/04/2018 05:00:00.000000,,6.4
10/04/2018 06:00:00.000000,4.0,5.5
10/04/2018 07:00:00.000000,5.0,5.0
10/04/2018 08:00:00.000000,6.0,5.0
10/04/2018 09:00:00.000000,4.0,5.0
10/04/2018 10:00:00.000000,3.0,4.8
10/04/2018 11:00:00.000000,6.0,4.6
10/04/2018 12:00:00.000000,15.0,5.1
10/04/2018 13:00:00.000000,27.0,7.7
10/04/2018 14:00:00.000000,23.0,9.6
10/04/2018 15:00:00.000000,24.0,10.6
10/04/2018 16:00:00.000000,22.0,11.7
10/04/2018 17:00:00.000000,23.0,11.7
10/04/2018 18:00:00.000000,23.0,11.7
10/04/2018 19:00:00.000000,24.0,13.9
10/04/2018 20:00:00.000000,20.0,13.9
10/04/2018 21:00:00.000000,16.0,12.0
10/04/2018 22:00:00.000000,28.0,11.5
10/04/2018 23:00:00.000000,18.0,9.3
10/05/2018 00:00:00.000000,24.0,8.0
10/05/2018 01:00:00.000000,38.0,9.4
10/05/2018 02:00:00.000000,26.0,9.2
10/05/2018 03:00:00.000000,35.0,10.8
10/05/2018 04:00:00.000000,38.0,13.4
10/05/2018 05:00:00.000000,,13.5
10/05/2018 06:00:00.000000,34.0,14.0
10/05/2018 07:00:00.000000,34.0,14.5
10/05/2018 08:00:00.000000,30.0,13.8
10/05/2018 09:00:00.000000,32.0,14.7
10/05/2018 10:00:00.000000,29.0,13.4
10/05/2018 11:00:00.000000,29.0,13.3
10/05/2018 12:00:00.000000,32.0,14.1
10/05/2018 13:00:00.000000,34.0,14.1
10/05/2018 14:00:00.000000,39.0,14.2
10/05/2018 15:00:00.000000,41.0,13.7
10/05/2018 16:00:00.000000,45.0,13.8
10/05/2018 17:00:00.000000,23.0,10.0
10/05/2018 18:00:00.000000,17.0,7.1
10/05/2018 19:00:00.000000,13.0,5.7
10/05/2018 20:00:00.000000,7.0,9.4
10/05/2018 21:00:00.000000,7.0,20.7
