InstrumentName, Boulder-CU/Athens
StartTime, 2018-10-01 00:00:00
EndTime, 2018-10-31 23:59:59
Date,PM2.5
10/01/2018 00:00:00.000000,6.4
10/01/2018 01:00:00.000000,6.1
10/01/2018 02:00:00.000000,8.6
10/01/2018 03:00:00.000000,8.0
10/01/2018 04:00:00.000000,8.7
10/01/2018 05:00:00.000000,10.5
10/01/2018 06:00:00.000000,8.0
10/01/2018 07:00:00.000000,5.6
10/01/2018 08:00:00.000000,5.6
10/01/2018 09:00:00.000000,4.0
10/01/2018 10:00:00.000000,3.7
10/01/2018 11:00:00.000000,6.0
10/01/2018 12:00:00.000000,5.2
10/01/2018 13:00:00.000000,5.3
10/01/2018 14:00:00.000000,8.3
10/01/2018 15:00:00.000000,8.9
10/01/2018 16:00:00.000000,7.9
10/01/2018 17:00:00.000000,6.7
10/01/2018 18:00:00.000000,8.6
10/01/2018 19:00:00.000000,7.8
10/01/2018 20:00:00.000000,4.8
10/01/2018 21:00:00.000000,3.9
10/01/2018 22:00:00.000000,6.9
10/01/2018 23:00:00.000000,9.6
10/02/2018 00:00:00.000000,7.9
10/02/2018 01:00:00.000000,8.0
10/02/2018 02:00:00.000000,8.2
10/02/2018 03:00:00.000000,6.8
10/02/2018 04:00:00.000000,6.8
10/02/2018 05:00:00.000000,6.3
10/02/2018 06:00:00.000000,4.7
10/02/2018 07:00:00.000000,4.0
10/02/2018 08:00:00.000000,4.0
10/02/2018 09:00:00.000000,6.2
10/02/2018 10:00:00.000000,6.4
10/02/2018 11:00:00.000000,5.5
10/02/2018 12:00:00.000000,5.2
10/02/2018 13:00:00.000000,6.0
10/02/2018 14:00:00.000000,7.3
10/02/2018 15:00:00.000000,10.8
10/02/2018 16:00:00.000000,11.6
10/02/2018 17:00:00.000000,10.3
10/02/2018 18:00:00.000000,9.8
10/02/2018 19:00:00.000000,7.4
10/02/2018 20:00:00.000000,7.4
10/03/2018 11:00:00.000000,0.6
10/03/2018 12:00:00.000000,0.6
10/04/2018 02:00:00.000000,7.1
10/04/2018 03:00:00.000000,12.7
10/04/2018 04:00:00.000000,11.2
10/04/2018 05:00:00.000000,11.2
10/04/2018 13:00:00.000000,5.2
10/04/2018 14:00:00.000000,4.4
10/04/2018 15:00:00.000000,4.4
10/04/2018 19:00:00.000000,2.7
10/04/2018 20:00:00.000000,7.1
10/04/2018 21:00:00.000000,5.3
10/04/2018 22:00:00.000000,3.1
10/04/2018 23:00:00.000000,3.0
10/05/2018 00:00:00.000000,3.1
10/05/2018 01:00:00.000000,4.3
10/05/2018 02:00:00.000000,7.2
10/05/2018 03:00:00.000000,6.8
10/05/2018 04:00:00.000000,8.1
10/05/2018 05:00:00.000000,8.2
10/05/2018 06:00:00.000000,9.3
10/05/2018 07:00:00.000000,7.2
10/05/2018 08:00:00.000000,7.2
10/05/2018 11:00:00.000000,8.8
10/05/2018 12:00:00.000000,9.9
10/05/2018 13:00:00.000000,6.9
10/05/2018 14:00:00.000000,9.8
10/05/2018 15:00:00.000000,10.2
10/05/2018 16:00:00.000000,8.7
10/05/2018 17:00:00.000000,8.7
10/05/2018 22:00:00.000000,3.1
10/05/2018 23:00:00.000000,2.2
10/06/2018 00:00:00.000000,2.1
10/06/2018 01:00:00.000000,1.6
10/06/2018 02:00:00.000000,1.4
10/06/2018 03:00:00.000000,1.7
10/06/2018 04:00:00.000000,3.3
10/06/2018 05:00:00.000000,3.3
10/06/2018 08:00:00.000000,1.8
10/06/2018 09:00:00.000000,1.8
10/06/2018 10:00:00.000000,1.5
10/06/2018 11:00:00.000000,3.0
10/06/2018 12:00:00.000000,3.0
10/06/2018 15:00:00.000000,3.6
10/06/2018 16:00:00.000000,5.0
10/06/2018 17:00:00.000000,2.9
10/06/2018 18:00:00.000000,1.9
10/06/2018 19:00:00.000000,1.9
10/06/2018 20:00:00.000000,0.7
10/06/2018 22:00:00.000000,3.4
10/06/2018 23:00:00.000000,2.7
10/07/2018 00:00:00.000000,2.0
10/07/2018 01:00:00.000000,2.4
10/07/2018 02:00:00.000000,3.1
10/07/2018 03:00:00.000000,2.7
10/07/2018 04:00:00.000000,1.8
10/07/2018 05:00:00.000000,1.8
10/07/2018 12:00:00.000000,2.0
10/07/2018 14:00:00.000000,1.1
10/07/2018 15:00:00.000000,0.7
10/07/2018 16:00:00.000000,5.4
10/07/2018 17:00:00.000000,5.9
10/07/2018 18:00:00.000000,2.9
10/07/2018 19:00:00.000000,4.1
10/07/2018 20:00:00.000000,5.2
10/07/2018 21:00:00.000000,3.9
10/07/2018 22:00:00.000000,3.3
10/07/2018 23:00:00.000000,2.8
10/08/2018 00:00:00.000000,3.5
10/08/2018 01:00:00.000000,6.5
10/08/2018 02:00:00.000000,6.9
10/08/2018 03:00:00.000000,6.9
10/08/2018 07:00:00.000000,3.1
10/08/2018 08:00:00.000000,3.2
10/08/2018 09:00:00.000000,3.2
10/08/2018 15:00:00.000000,12.4
10/08/2018 16:00:00.000000,9.3
10/08/2018 17:00:00.000000,6.6
10/08/2018 18:00:00.000000,5.4
10/08/2018 19:00:00.000000,9.8
10/08/2018 20:00:00.000000,8.9
10/08/2018 21:00:00.000000,8.9
10/09/2018 00:00:00.000000,5.1
