InstrumentName, The GrowHaus,,
StartTime, 2018-12-01 00:00:00,,
EndTime, 2018-12-31 23:59:59,,
Date,PM2.5,humidity,temp_f
12/01/2018 00:00:02.350000,19.89,62.0,58.666666666666664
12/01/2018 00:01:21.950000,19.2,62.0,58.666666666666664
12/01/2018 00:04:01.930000,21.45,62.0,57.333333333333336
12/01/2018 00:05:22.320000,20.66,62.0,57.333333333333336
12/01/2018 00:08:01.896666,19.66,63.0,58.666666666666664
12/01/2018 00:09:21.923333,21.58,63.0,58.666666666666664
12/01/2018 00:12:01.990000,19.34,63.0,58.666666666666664
12/01/2018 00:13:22.110000,19.0,63.0,58.666666666666664
12/01/2018 00:16:02.073333,21.08,63.0,58.666666666666664
12/01/2018 00:17:22.126666,22.05,63.0,58.666666666666664
12/01/2018 00:20:01.943333,20.05,63.0,58.666666666666664
12/01/2018 00:21:21.973333,20.68,63.0,58.666666666666664
12/01/2018 00:24:01.926666,20.55,63.0,58.666666666666664
12/01/2018 00:25:21.943333,20.71,63.0,58.666666666666664
12/01/2018 00:28:01.970000,21.65,63.0,58.666666666666664
12/01/2018 00:29:22.243333,22.15,63.0,58.666666666666664
12/01/2018 00:32:01.940000,23.29,62.0,58.666666666666664
12/01/2018 00:33:21.963333,23.74,62.0,58.666666666666664
12/01/2018 00:36:02.136666,23.88,62.0,58.666666666666664
12/01/2018 00:37:21.953333,22.1,62.0,58.666666666666664
12/01/2018 00:40:02.063333,23.93,62.0,58.666666666666664
12/01/2018 00:41:22.046666,23.15,62.0,58.666666666666664
12/01/2018 00:44:01.960000,22.71,62.0,58.666666666666664
12/01/2018 00:45:21.970000,21.13,62.0,58.666666666666664
12/01/2018 00:48:02.193333,23.68,62.0,58.666666666666664
12/01/2018 00:49:21.930000,24.66,62.0,58.666666666666664
12/01/2018 00:52:02.043333,25.41,62.0,58.666666666666664
12/01/2018 00:53:22.010000,30.6,62.0,58.666666666666664
12/01/2018 00:56:01.946666,31.0,62.0,58.666666666666664
12/01/2018 00:57:21.970000,28.95,62.0,58.666666666666664
12/01/2018 01:00:01.943333,26.44,62.0,58.666666666666664
12/01/2018 01:01:21.956666,26.79,62.0,58.666666666666664
12/01/2018 01:04:01.960000,26.14,62.0,58.666666666666664
12/01/2018 01:05:21.953333,24.24,62.0,58.666666666666664
12/01/2018 01:08:01.986666,28.62,62.0,58.666666666666664
12/01/2018 01:09:22.040000,29.24,62.0,58.666666666666664
12/01/2018 01:12:01.963333,30.19,62.0,58.666666666666664
12/01/2018 01:13:22.063333,24.9,62.0,58.666666666666664
12/01/2018 01:16:01.966666,26.82,62.0,58.666666666666664
12/01/2018 01:17:21.956666,28.83,62.0,58.666666666666664
12/01/2018 01:21:21.990000,26.95,62.0,58.666666666666664
12/01/2018 01:24:02.016666,25.52,62.0,58.666666666666664
12/01/2018 01:25:21.966666,23.41,62.0,58.666666666666664
12/01/2018 01:28:01.980000,24.98,63.0,58.666666666666664
12/01/2018 01:29:21.963333,22.85,63.0,58.666666666666664
12/01/2018 01:32:01.993333,23.77,62.0,58.666666666666664
12/01/2018 01:33:22.013333,23.51,62.0,58.666666666666664
12/01/2018 01:36:01.986666,22.93,62.0,58.666666666666664
12/01/2018 01:37:22.066666,19.8,62.0,58.666666666666664
12/01/2018 01:40:02.026666,23.4,62.0,58.666666666666664
12/01/2018 01:41:21.980000,21.41,62.0,58.666666666666664
12/01/2018 01:44:01.983333,23.0,62.0,58.666666666666664
12/01/2018 01:45:22.006666,22.93,62.0,58.666666666666664
12/01/2018 01:48:02.256666,22.17,62.0,58.666666666666664
12/01/2018 01:49:21.990000,23.54,62.0,58.666666666666664
12/01/2018 01:52:01.966666,23.98,61.0,58.666666666666664
12/01/2018 01:53:22.003333,21.78,61.0,58.666666666666664
12/01/2018 01:56:01.980000,25.37,61.0,58.666666666666664
12/01/2018 01:57:21.996666,26.2,61.0,58.666666666666664
12/01/2018 02:00:01.996666,26.41,61.0,58.666666666666664
12/01/2018 02:01:22.266666,24.54,61.0,58.666666666666664
12/01/2018 02:04:02.056666,24.33,61.0,58.666666666666664
12/01/2018 02:05:21.986666,21.9,61.0,58.666666666666664
12/01/2018 02:08:02.080000,25.3,61.0,58.666666666666664
12/01/2018 02:12:02.040000,24.13,61.0,58.666666666666664
12/01/2018 02:13:22.233333,26.37,61.0,58.666666666666664
12/01/2018 02:16:02.990000,23.71,61.0,58.666666666666664
12/01/2018 02:17:22.006666,22.67,61.0,58.666666666666664
12/01/2018 02:20:02.146666,25.07,62.0,58.666666666666664
12/01/2018 02:21:22.083333,24.0,62.0,58.666666666666664
12/01/2018 02:24:02.063333,28.34,62.0,58.666666666666664
12/01/2018 02:25:22.076666,27.44,62.0,58.666666666666664
12/01/2018 02:28:02.090000,28.95,63.0,58.666666666666664
12/01/2018 02:29:22.103333,27.64,62.0,58.666666666666664
12/01/2018 02:32:02.026666,26.58,62.0,58.666666666666664
12/01/2018 02:33:22.040000,27.5,63.0,58.666666666666664
12/01/2018 02:36:02.026666,26.02,63.0,58.666666666666664
12/01/2018 02:37:22.043333,25.25,62.0,58.666666666666664
12/01/2018 02:40:02.033333,25.19,62.0,58.666666666666664
12/01/2018 02:41:22.056666,27.21,62.0,60.0
12/01/2018 02:44:02.040000,26.26,62.0,60.0
12/01/2018 02:45:22.040000,26.61,62.0,60.0
12/01/2018 02:48:02.246666,28.93,62.0,60.0
12/01/2018 02:49:22.026666,27.88,62.0,60.0
12/01/2018 02:52:02.023333,30.73,62.0,58.666666666666664
12/01/2018 02:53:22.080000,27.78,62.0,58.666666666666664
12/01/2018 02:56:02.053333,31.78,62.0,58.666666666666664
12/01/2018 02:57:22.056666,29.41,62.0,58.666666666666664
12/01/2018 03:00:02.233333,28.88,62.0,58.666666666666664
