InstrumentName, CAMP,,,,,
StartTime, 2019-03-01 00:00:00,,,,,
EndTime, 2019-03-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
03/01/2019 00:00:00.000000,0.3,27.0,22.0,49.0,12.4,0.0
03/01/2019 01:00:00.000000,0.5,37.0,20.0,50.0,14.1,0.0
03/01/2019 02:00:00.000000,0.4,33.0,16.0,47.0,15.1,0.0
03/01/2019 03:00:00.000000,0.5,32.0,11.0,48.0,16.1,0.0
03/01/2019 04:00:00.000000,0.6,39.0,7.0,51.0,17.6,0.0
03/01/2019 05:00:00.000000,0.4,,4.0,43.0,16.2,0.0
03/01/2019 06:00:00.000000,0.4,27.0,7.0,35.0,14.2,0.0
03/01/2019 07:00:00.000000,0.6,40.0,0.0,38.0,14.2,1.0
03/01/2019 08:00:00.000000,0.8,43.0,0.0,36.0,15.8,1.0
03/01/2019 09:00:00.000000,0.8,45.0,2.0,34.0,16.9,2.0
03/01/2019 10:00:00.000000,0.6,43.0,2.0,28.0,15.1,1.0
03/01/2019 11:00:00.000000,0.5,42.0,3.0,25.0,12.9,1.0
03/01/2019 12:00:00.000000,0.3,27.0,5.0,19.0,7.9,0.0
03/01/2019 13:00:00.000000,0.5,38.0,5.0,31.0,8.4,1.0
03/01/2019 14:00:00.000000,0.8,46.0,6.0,58.0,11.2,1.0
03/01/2019 15:00:00.000000,1.0,47.0,4.0,82.0,16.0,2.0
03/01/2019 16:00:00.000000,0.4,27.0,21.0,82.0,16.0,1.0
03/01/2019 17:00:00.000000,0.3,21.0,15.0,60.0,13.4,1.0
03/01/2019 18:00:00.000000,0.3,19.0,27.0,47.0,12.8,0.0
03/01/2019 19:00:00.000000,0.2,10.0,31.0,48.0,11.9,0.0
03/01/2019 20:00:00.000000,0.2,9.0,33.0,43.0,10.7,0.0
03/01/2019 21:00:00.000000,0.2,11.0,31.0,39.0,9.3,0.0
03/01/2019 22:00:00.000000,0.2,9.0,34.0,36.0,9.1,0.0
03/01/2019 23:00:00.000000,0.3,12.0,34.0,35.0,9.1,0.0
03/02/2019 00:00:00.000000,0.3,11.0,33.0,31.0,8.6,0.0
03/02/2019 01:00:00.000000,0.3,13.0,33.0,27.0,7.9,0.0
03/02/2019 02:00:00.000000,0.2,10.0,33.0,22.0,7.4,0.0
03/02/2019 03:00:00.000000,0.3,9.0,33.0,19.0,7.2,0.0
03/02/2019 04:00:00.000000,0.2,8.0,33.0,17.0,7.2,0.0
03/02/2019 05:00:00.000000,0.3,,26.0,19.0,7.7,0.0
03/02/2019 06:00:00.000000,0.3,30.0,25.0,20.0,8.4,0.0
03/02/2019 07:00:00.000000,0.2,13.0,19.0,18.0,8.2,0.0
03/02/2019 08:00:00.000000,0.2,10.0,23.0,15.0,8.3,0.0
03/02/2019 09:00:00.000000,0.2,12.0,23.0,14.0,9.0,0.0
03/02/2019 10:00:00.000000,0.1,11.0,21.0,12.0,9.4,0.0
03/02/2019 11:00:00.000000,0.1,12.0,23.0,9.0,7.1,0.0
03/02/2019 12:00:00.000000,0.2,15.0,23.0,7.0,5.5,0.0
03/02/2019 13:00:00.000000,0.2,12.0,25.0,6.0,4.5,0.0
03/02/2019 14:00:00.000000,0.2,10.0,25.0,6.0,4.1,0.0
03/02/2019 15:00:00.000000,,,25.0,6.0,4.1,
03/02/2019 23:00:00.000000,0.2,14.0,32.0,12.0,9.0,0.0
03/03/2019 00:00:00.000000,0.2,17.0,32.0,12.0,10.5,0.0
03/03/2019 01:00:00.000000,0.2,17.0,33.0,12.0,10.3,0.0
03/03/2019 02:00:00.000000,0.2,19.0,35.0,12.0,10.2,0.0
03/03/2019 03:00:00.000000,0.2,13.0,35.0,12.0,10.1,0.0
03/03/2019 04:00:00.000000,0.2,13.0,36.0,11.0,9.5,0.0
03/03/2019 05:00:00.000000,0.2,,36.0,9.0,9.0,0.0
03/03/2019 06:00:00.000000,0.2,12.0,36.0,8.0,7.7,0.0
03/03/2019 07:00:00.000000,0.2,13.0,35.0,7.0,7.7,0.0
03/03/2019 08:00:00.000000,0.1,13.0,34.0,6.0,5.8,0.0
03/03/2019 09:00:00.000000,0.1,9.0,34.0,5.0,4.7,0.0
03/03/2019 10:00:00.000000,0.1,12.0,34.0,4.0,4.2,0.0
