InstrumentName, Gust (CS15),,,,,,,,,,,,,,
StartTime, 2019-06-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2019-06-30 23:59:59,,,,,,,,,,,,,,
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,Sig,Temp,Uncertainty,pm25_r,pm25_r2
06/27/2019 16:11:37.740000,0.0,0.0,0.0,8.45,39.787212,-104.989792,4.23,5.53,2.83,3.93,-61.0,92.46,1144.0,3.88,4.88
06/27/2019 16:12:07.343000,0.0,0.0,0.0,8.58,39.787212,-104.989792,4.33,3.77,3.18,2.55,-61.0,92.71,1144.0,4.28,3.77
06/27/2019 16:13:06.907000,0.0,0.0,0.0,8.33,39.787212,-104.989792,4.47,4.15,2.7,3.15,-61.0,93.15,1144.0,4.2,4.15
06/27/2019 16:14:06.903000,0.0,0.0,0.0,8.22,39.787212,-104.989792,5.5,4.93,4.05,4.08,-61.0,93.58,1144.0,5.5,4.93
06/27/2019 16:15:14.430000,0.0,0.0,0.0,8.08,39.787212,-104.989792,5.48,5.03,3.02,3.53,-61.0,93.88,1144.0,5.12,4.43
06/27/2019 16:16:05.580000,0.0,0.0,0.0,8.39,39.787212,-104.989792,4.08,4.15,3.08,3.35,-61.0,94.17,1144.0,4.03,4.0
06/27/2019 16:17:07.500000,0.0,0.0,0.0,7.87,39.787212,-104.989792,5.27,3.87,3.48,3.12,-61.0,94.53,1144.0,4.97,3.87
06/27/2019 16:18:06.810000,0.0,0.0,0.0,7.63,39.787212,-104.989792,3.87,5.05,2.42,4.25,-61.0,94.75,1144.0,3.27,5.05
06/27/2019 16:20:06.530000,0.0,0.0,0.0,7.49,39.787212,-104.989792,6.15,4.97,3.68,3.52,-61.0,95.36,1144.0,4.6,4.67
06/27/2019 16:21:06.713000,0.0,0.0,0.0,7.18,39.787212,-104.989792,5.05,4.85,3.7,3.2,-61.0,95.67,1144.0,4.67,4.1
06/27/2019 16:22:15.047000,0.0,0.0,0.0,7.36,39.787212,-104.989792,7.58,6.2,3.1,3.38,-61.0,95.86,1144.0,5.05,4.53
06/27/2019 16:23:15.627000,0.0,0.0,0.0,7.42,39.787212,-104.989792,5.95,5.82,3.2,3.17,-61.0,95.99,1144.0,4.4,5.03
06/27/2019 16:24:14.140000,0.0,0.0,0.0,7.52,39.787212,-104.989792,4.22,4.22,3.07,2.98,-61.0,96.17,1144.0,4.02,4.22
06/27/2019 16:25:06.873000,0.0,0.0,0.0,6.88,39.787212,-104.989792,5.5,4.4,3.45,3.33,-61.0,96.33,1144.0,5.0,4.0
06/27/2019 16:26:07.220000,0.0,0.0,0.0,6.89,39.787212,-104.989792,4.42,5.98,3.15,4.05,-61.0,96.48,1144.0,4.42,5.63
06/27/2019 16:27:13.143000,0.0,0.0,0.0,7.02,39.787212,-104.989792,4.3,4.27,2.5,3.53,-61.0,96.66,1144.0,4.3,4.27
06/27/2019 16:28:05.930000,0.0,0.0,0.0,7.0,39.787212,-104.989792,6.32,5.32,3.17,3.65,-61.0,96.85,1144.0,4.95,4.52
06/27/2019 16:29:06.507000,0.0,0.0,0.0,7.06,39.787212,-104.989792,4.48,3.82,3.12,3.05,-61.0,97.14,1144.0,4.48,3.82
06/27/2019 16:30:07.290000,0.0,0.0,0.0,6.73,39.787212,-104.989792,3.65,4.8,3.0,3.65,-61.0,97.38,1144.0,3.65,4.35
06/27/2019 16:31:05.947000,0.0,0.0,0.0,6.28,39.787212,-104.989792,6.57,6.78,3.47,4.58,-61.0,97.38,1144.0,6.12,6.03
06/27/2019 16:32:06.043000,0.0,0.0,0.0,6.47,39.787212,-104.989792,4.72,5.32,3.07,3.02,-61.0,97.41,1144.0,3.72,4.62
06/27/2019 16:33:05.330000,0.0,0.0,0.0,6.38,39.787212,-104.989792,6.75,5.42,4.45,3.93,-61.0,97.47,1144.0,6.05,4.67
06/27/2019 16:34:06.890000,0.0,0.0,0.0,6.65,39.787212,-104.989792,4.55,5.23,3.4,3.73,-61.0,97.56,1144.0,4.55,4.83
06/27/2019 16:35:06.730000,0.0,0.0,0.0,6.66,39.787212,-104.989792,4.23,5.62,3.38,3.47,-61.0,97.65,1144.0,4.18,4.42
06/27/2019 16:36:07.730000,0.0,0.0,0.0,6.73,39.787212,-104.989792,5.48,4.68,2.83,2.82,-61.0,97.65,1144.0,4.4,3.93
06/27/2019 16:37:06.987000,0.0,0.0,0.0,6.77,39.787212,-104.989792,3.7,4.55,2.2,3.35,-61.0,97.77,1144.0,3.15,4.55
06/27/2019 16:38:08.073000,0.0,0.0,0.0,6.65,39.787212,-104.989792,5.73,5.2,4.33,3.03,-61.0,97.79,1144.0,5.73,4.53
06/27/2019 16:39:06.110000,0.0,0.0,0.0,6.86,39.787212,-104.989792,5.13,4.03,3.3,2.95,-61.0,97.92,1144.0,4.48,3.97
06/27/2019 16:40:06.330000,0.0,0.0,0.0,6.3,39.787212,-104.989792,4.0,5.3,2.65,3.95,-61.0,97.88,1144.0,3.85,5.1
06/27/2019 16:41:15.307000,0.0,0.0,0.0,6.53,39.787212,-104.989792,3.83,5.58,2.73,3.75,-61.0,97.81,1144.0,3.83,4.55
06/27/2019 16:42:08.007000,0.0,0.0,0.0,6.77,39.787212,-104.989792,4.28,6.65,2.95,3.45,-61.0,97.9,1144.0,3.7,5.95
06/27/2019 16:43:06.203000,0.0,0.0,0.0,6.24,39.787212,-104.989792,6.33,5.83,3.83,4.23,-61.0,97.93,1144.0,5.5,5.83
