InstrumentName, Wash Park West,,
StartTime, 2019-07-01 00:00:00,,
EndTime, 2019-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2019 00:00:14.888000,9.095959595959597,50.0,80.0
07/01/2019 00:02:14.897000,12.186868686868687,51.0,79.0
07/01/2019 00:04:14.892000,7.065656565656566,53.0,79.0
07/01/2019 00:06:14.890000,6.08080808080808,53.0,79.0
07/01/2019 00:08:14.933000,5.676767676767677,52.0,79.0
07/01/2019 00:10:14.878000,5.96969696969697,52.0,79.0
07/01/2019 00:12:14.900000,6.661616161616162,52.0,79.0
07/01/2019 00:14:14.908000,7.252525252525253,53.0,79.0
07/01/2019 00:16:15.734000,6.767676767676768,54.0,79.0
07/01/2019 00:18:15.003000,6.055555555555555,54.0,79.0
07/01/2019 00:20:14.907000,6.106060606060606,54.0,79.0
07/01/2019 00:22:14.959000,6.156565656565657,54.0,79.0
07/01/2019 00:24:14.889000,5.7020202020202015,53.0,79.0
07/01/2019 00:26:14.947000,5.575757575757575,53.0,79.0
07/01/2019 00:28:14.939000,5.52020202020202,54.0,79.0
07/01/2019 00:30:14.959000,5.141414141414141,54.0,79.0
07/01/2019 00:32:14.916000,4.661616161616162,52.0,79.0
07/01/2019 00:34:14.958000,4.590909090909091,52.0,79.0
07/01/2019 00:36:15.398000,5.358585858585858,52.0,79.0
07/01/2019 00:38:15.275000,5.707070707070708,53.0,79.0
07/01/2019 00:40:14.911000,5.57070707070707,53.0,79.0
07/01/2019 00:42:14.977000,5.111111111111111,52.0,79.0
07/01/2019 00:44:15.239000,5.51010101010101,52.0,79.0
07/01/2019 00:46:14.956000,5.909090909090909,52.0,79.0
07/01/2019 00:48:15.124000,6.277777777777778,53.0,79.0
07/01/2019 00:50:14.949000,5.141414141414141,51.0,79.0
07/01/2019 00:52:14.955000,3.5303030303030303,48.0,79.0
07/01/2019 00:54:14.924000,3.6666666666666665,47.0,79.0
07/01/2019 00:56:15.005000,3.984848484848485,47.0,79.0
07/01/2019 00:58:14.939000,3.6262626262626263,47.0,79.0
07/01/2019 01:00:14.961000,3.7727272727272725,47.0,79.0
07/01/2019 01:02:14.937000,3.8636363636363638,46.0,79.0
07/01/2019 01:04:15.213000,3.8636363636363638,48.0,79.0
07/01/2019 01:06:14.967000,3.7171717171717176,49.0,80.0
07/01/2019 01:08:14.952000,3.7626262626262625,48.0,80.0
07/01/2019 01:10:15.012000,3.808080808080808,47.0,80.0
07/01/2019 01:12:14.944000,3.7222222222222223,46.0,80.0
07/01/2019 01:14:15.094000,3.555555555555556,45.0,80.0
07/01/2019 01:16:14.935000,3.9545454545454546,45.0,80.0
07/01/2019 01:18:15.094000,3.919191919191919,45.0,80.0
07/01/2019 01:20:14.957000,4.070707070707071,46.0,80.0
07/01/2019 01:22:14.980000,4.232323232323233,44.0,80.0
07/01/2019 01:24:15.818000,4.277777777777779,45.0,80.0
07/01/2019 01:26:14.983000,4.166666666666667,46.0,80.0
07/01/2019 01:28:14.976000,4.757575757575758,46.0,80.0
07/01/2019 01:30:14.991000,5.07070707070707,47.0,80.0
07/01/2019 01:32:14.973000,4.929292929292929,45.0,80.0
07/01/2019 01:34:15.029000,4.414141414141414,44.0,80.0
07/01/2019 01:36:15.030000,4.454545454545455,44.0,80.0
07/01/2019 01:38:15.256000,5.505050505050505,45.0,80.0
07/01/2019 01:40:14.990000,5.853535353535354,46.0,80.0
07/01/2019 01:42:15.025000,4.727272727272727,46.0,80.0
07/01/2019 01:44:14.992000,5.080808080808081,45.0,80.0
07/01/2019 01:46:15.335000,4.924242424242424,45.0,80.0
07/01/2019 01:48:15.879000,4.853535353535353,44.0,80.0
07/01/2019 01:50:14.999000,4.656565656565657,44.0,80.0
07/01/2019 01:52:15.002000,4.166666666666667,43.0,80.0
07/01/2019 01:54:15.053000,4.146464646464647,43.0,80.0
07/01/2019 01:56:15.012000,4.146464646464647,42.0,80.0
07/01/2019 02:00:19.156000,3.6313131313131315,41.0,80.0
07/01/2019 02:02:15.033000,4.005050505050505,42.0,80.0
07/01/2019 02:04:15.045000,3.7525252525252526,42.0,80.0
07/01/2019 02:06:15.004000,3.8232323232323235,43.0,80.0
07/01/2019 02:08:15.077000,3.974747474747475,43.0,80.0
07/01/2019 02:10:16.004000,3.98989898989899,43.0,80.0
07/01/2019 02:12:15.095000,4.888888888888888,42.0,80.0
07/01/2019 02:14:15.103000,4.984848484848484,41.0,80.0
07/01/2019 02:16:15.307000,4.222222222222222,41.0,80.0
07/01/2019 02:18:15.935000,4.439393939393939,42.0,80.0
07/01/2019 02:20:15.050000,4.075757575757576,41.0,80.0
07/01/2019 02:22:15.047000,4.005050505050505,41.0,80.0
07/01/2019 02:24:15.023000,4.191919191919192,40.0,80.0
07/01/2019 02:26:15.085000,3.944444444444444,40.0,80.0
07/01/2019 02:28:15.048000,4.545454545454546,40.0,80.0
07/01/2019 02:30:15.042000,4.156565656565657,42.0,80.0
07/01/2019 02:32:15.044000,4.46969696969697,42.0,80.0
07/01/2019 02:34:15.071000,4.373737373737374,42.0,80.0
07/01/2019 02:36:15.060000,3.9393939393939394,42.0,80.0
07/01/2019 02:38:15.851000,3.8636363636363638,42.0,80.0
07/01/2019 02:40:15.127000,4.247474747474747,43.0,80.0
07/01/2019 02:42:15.025000,4.02020202020202,43.0,80.0
07/01/2019 02:44:15.101000,4.217171717171717,44.0,80.0
07/01/2019 02:46:15.232000,3.924242424242424,44.0,80.0
07/01/2019 02:48:15.061000,4.121212121212121,44.0,80.0
07/01/2019 02:50:15.039000,4.262626262626262,45.0,80.0
07/01/2019 02:52:15.101000,4.040404040404041,45.0,80.0
07/01/2019 02:54:15.061000,4.308080808080808,45.0,80.0
07/01/2019 02:56:15.053000,4.272727272727273,45.0,80.0
07/01/2019 02:58:15.112000,4.44949494949495,45.0,80.0
07/01/2019 03:00:15.068000,4.277777777777779,45.0,80.0
07/01/2019 03:02:15.064000,4.838383838383838,44.0,80.0
07/01/2019 03:04:15.123000,4.308080808080808,44.0,80.0
07/01/2019 03:06:15.084000,4.055555555555555,44.0,80.0
07/01/2019 03:08:15.094000,4.171717171717171,43.0,80.0
07/01/2019 03:10:15.095000,4.186868686868687,43.0,80.0
07/01/2019 03:12:15.101000,4.474747474747475,43.0,80.0
07/01/2019 03:14:15.141000,4.712121212121212,43.0,80.0
07/01/2019 03:16:15.095000,4.202020202020202,43.0,80.0
07/01/2019 03:18:15.066000,4.257575757575758,43.0,80.0
07/01/2019 03:20:15.099000,4.46969696969697,44.0,80.0
07/01/2019 03:22:15.139000,4.404040404040404,44.0,80.0
07/01/2019 03:24:15.100000,4.666666666666667,44.0,80.0
07/01/2019 03:26:15.099000,4.792929292929293,44.0,80.0
07/01/2019 03:30:15.090000,4.858585858585858,44.0,80.0
07/01/2019 03:32:15.102000,4.833333333333334,45.0,80.0
07/01/2019 03:34:15.089000,4.666666666666667,45.0,80.0
07/01/2019 03:36:15.129000,4.575757575757576,45.0,80.0
07/01/2019 03:38:15.395000,4.580808080808081,46.0,80.0
07/01/2019 03:40:15.123000,4.717171717171717,46.0,80.0
07/01/2019 03:42:15.157000,4.954545454545455,46.0,80.0
07/01/2019 03:44:15.153000,4.777777777777779,46.0,80.0
07/01/2019 03:46:15.172000,5.166666666666667,45.0,79.0
07/01/2019 03:48:15.092000,4.611111111111112,46.0,79.0
07/01/2019 03:50:15.223000,4.9898989898989905,46.0,79.0
07/01/2019 03:52:15.111000,5.151515151515151,46.0,79.0
07/01/2019 03:54:15.149000,4.853535353535353,46.0,79.0
07/01/2019 03:56:15.102000,4.348484848484849,46.0,80.0
07/01/2019 03:58:15.152000,5.1767676767676765,46.0,80.0
07/01/2019 04:00:15.115000,5.237373737373737,46.0,80.0
07/01/2019 04:02:15.156000,5.1565656565656575,46.0,80.0
07/01/2019 04:04:15.160000,5.282828282828283,46.0,80.0
07/01/2019 04:06:15.121000,5.141414141414141,46.0,79.0
07/01/2019 04:08:15.198000,5.0353535353535355,46.0,79.0
07/01/2019 04:10:15.234000,5.02020202020202,46.0,79.0
07/01/2019 04:12:15.186000,5.267676767676767,46.0,79.0
07/01/2019 04:14:15.823000,5.065656565656566,46.0,79.0
07/01/2019 04:16:15.124000,5.202020202020202,46.0,79.0
07/01/2019 04:18:15.278000,5.267676767676767,46.0,79.0
07/01/2019 04:20:15.137000,5.52020202020202,46.0,79.0
07/01/2019 04:22:15.148000,5.505050505050505,46.0,79.0
07/01/2019 04:24:15.204000,5.404040404040404,47.0,79.0
07/01/2019 04:26:15.128000,5.080808080808081,46.0,79.0
07/01/2019 04:28:15.175000,5.484848484848484,46.0,79.0
07/01/2019 04:30:15.181000,5.9646464646464645,46.0,79.0
07/01/2019 04:32:15.155000,5.626262626262626,47.0,79.0
07/01/2019 04:34:15.162000,5.914141414141414,46.0,79.0
07/01/2019 04:36:15.163000,5.732323232323232,47.0,79.0
07/01/2019 04:38:15.490000,5.575757575757575,47.0,79.0
07/01/2019 04:40:15.184000,5.5353535353535355,47.0,79.0
07/01/2019 04:42:15.198000,5.681818181818182,47.0,79.0
07/01/2019 04:44:15.207000,5.484848484848484,47.0,79.0
07/01/2019 04:46:15.188000,5.525252525252525,47.0,79.0
07/01/2019 04:48:15.167000,5.909090909090909,47.0,79.0
07/01/2019 04:50:15.196000,5.575757575757575,47.0,79.0
07/01/2019 04:52:15.178000,5.358585858585858,47.0,79.0
