InstrumentName, Chatfield Park,
StartTime, 2019-07-01 00:00:00,
EndTime, 2019-07-31 23:59:59,
Date,O3,PM2.5
07/01/2019 00:00:00.000000,51.0,7.0
07/01/2019 01:00:00.000000,47.0,6.0
07/01/2019 02:00:00.000000,44.0,6.6
07/01/2019 03:00:00.000000,41.0,6.0
07/01/2019 04:00:00.000000,37.0,7.0
07/01/2019 05:00:00.000000,33.0,7.1
07/01/2019 06:00:00.000000,27.0,6.3
07/01/2019 07:00:00.000000,24.0,5.9
07/01/2019 08:00:00.000000,23.0,5.9
07/01/2019 09:00:00.000000,21.0,5.8
07/01/2019 10:00:00.000000,19.0,5.7
07/01/2019 11:00:00.000000,17.0,5.8
07/01/2019 12:00:00.000000,16.0,6.0
07/01/2019 13:00:00.000000,13.0,6.2
07/01/2019 14:00:00.000000,14.0,6.2
07/01/2019 15:00:00.000000,27.0,6.1
07/01/2019 16:00:00.000000,37.0,6.1
07/01/2019 17:00:00.000000,42.0,6.0
07/01/2019 18:00:00.000000,53.0,6.1
07/01/2019 19:00:00.000000,51.0,6.9
07/01/2019 20:00:00.000000,65.0,6.8
07/01/2019 21:00:00.000000,57.0,6.4
07/01/2019 22:00:00.000000,53.0,6.0
07/01/2019 23:00:00.000000,54.0,6.1
07/02/2019 00:00:00.000000,44.0,5.6
07/02/2019 01:00:00.000000,35.0,6.0
07/02/2019 02:00:00.000000,35.0,6.3
07/02/2019 03:00:00.000000,33.0,6.7
07/02/2019 04:00:00.000000,34.0,6.9
07/02/2019 05:00:00.000000,31.0,6.6
07/02/2019 06:00:00.000000,31.0,5.9
07/02/2019 07:00:00.000000,33.0,5.6
07/02/2019 08:00:00.000000,33.0,5.6
07/02/2019 09:00:00.000000,27.0,5.5
07/02/2019 10:00:00.000000,25.0,5.6
07/02/2019 11:00:00.000000,16.0,5.8
07/02/2019 12:00:00.000000,17.0,5.8
07/02/2019 13:00:00.000000,16.0,6.1
07/02/2019 14:00:00.000000,22.0,6.1
07/02/2019 15:00:00.000000,34.0,5.9
07/02/2019 16:00:00.000000,33.0,5.7
07/02/2019 17:00:00.000000,41.0,5.6
07/02/2019 18:00:00.000000,60.0,5.6
07/02/2019 19:00:00.000000,62.0,5.6
07/02/2019 20:00:00.000000,56.0,5.0
07/02/2019 21:00:00.000000,58.0,3.9
07/02/2019 22:00:00.000000,58.0,4.2
07/02/2019 23:00:00.000000,56.0,4.5
07/03/2019 00:00:00.000000,56.0,4.1
07/03/2019 01:00:00.000000,57.0,3.9
07/03/2019 02:00:00.000000,53.0,4.0
07/03/2019 03:00:00.000000,50.0,3.8
07/03/2019 04:00:00.000000,46.0,6.2
07/03/2019 05:00:00.000000,41.0,6.0
07/03/2019 06:00:00.000000,33.0,5.2
07/03/2019 07:00:00.000000,26.0,5.0
07/03/2019 08:00:00.000000,27.0,5.0
07/03/2019 09:00:00.000000,28.0,5.0
07/03/2019 10:00:00.000000,26.0,4.9
07/03/2019 11:00:00.000000,26.0,5.0
07/03/2019 12:00:00.000000,26.0,5.4
07/03/2019 13:00:00.000000,25.0,5.9
07/03/2019 14:00:00.000000,30.0,7.6
07/03/2019 15:00:00.000000,35.0,6.8
07/03/2019 16:00:00.000000,35.0,6.1
07/03/2019 17:00:00.000000,40.0,5.0
07/03/2019 18:00:00.000000,46.0,4.2
07/03/2019 19:00:00.000000,47.0,4.2
07/03/2019 20:00:00.000000,51.0,3.7
07/03/2019 21:00:00.000000,51.0,3.6
07/03/2019 22:00:00.000000,53.0,3.7
07/03/2019 23:00:00.000000,54.0,3.7
07/04/2019 00:00:00.000000,53.0,3.8
07/04/2019 01:00:00.000000,52.0,4.8
07/04/2019 02:00:00.000000,52.0,4.7
07/04/2019 03:00:00.000000,52.0,4.3
07/04/2019 04:00:00.000000,48.0,4.7
07/04/2019 05:00:00.000000,46.0,4.4
07/04/2019 06:00:00.000000,43.0,4.2
07/04/2019 07:00:00.000000,40.0,4.3
07/04/2019 08:00:00.000000,40.0,4.3
07/04/2019 09:00:00.000000,34.0,4.3
07/04/2019 10:00:00.000000,31.0,4.5
07/04/2019 11:00:00.000000,28.0,4.6
07/04/2019 12:00:00.000000,29.0,8.2
07/04/2019 13:00:00.000000,30.0,7.2
07/04/2019 14:00:00.000000,34.0,6.9
07/04/2019 15:00:00.000000,36.0,7.0
07/04/2019 16:00:00.000000,41.0,8.2
07/04/2019 17:00:00.000000,50.0,10.0
07/04/2019 18:00:00.000000,55.0,11.1
07/04/2019 19:00:00.000000,62.0,11.1
07/04/2019 20:00:00.000000,59.0,11.1
07/05/2019 17:00:00.000000,46.0,8.8
07/05/2019 18:00:00.000000,52.0,9.2
07/05/2019 19:00:00.000000,57.0,10.3
07/05/2019 20:00:00.000000,64.0,11.4
07/05/2019 21:00:00.000000,66.0,11.2
07/05/2019 22:00:00.000000,70.0,11.7
07/05/2019 23:00:00.000000,69.0,11.5
07/06/2019 00:00:00.000000,69.0,11.5
07/06/2019 01:00:00.000000,65.0,10.8
07/06/2019 02:00:00.000000,55.0,8.6
07/06/2019 03:00:00.000000,47.0,6.6
07/06/2019 04:00:00.000000,47.0,6.6
07/06/2019 05:00:00.000000,37.0,5.9
07/06/2019 06:00:00.000000,37.0,5.9
07/06/2019 07:00:00.000000,37.0,5.3
07/06/2019 09:00:00.000000,37.0,4.5
07/06/2019 10:00:00.000000,34.0,5.2
07/06/2019 11:00:00.000000,31.0,5.6
07/06/2019 12:00:00.000000,26.0,5.4
07/06/2019 13:00:00.000000,25.0,5.4
07/06/2019 14:00:00.000000,25.0,5.5
07/06/2019 16:00:00.000000,35.0,6.3
07/06/2019 17:00:00.000000,47.0,6.7
07/06/2019 18:00:00.000000,49.0,6.5
07/06/2019 19:00:00.000000,50.0,6.4
07/06/2019 20:00:00.000000,50.0,6.1
07/06/2019 21:00:00.000000,49.0,4.7
07/06/2019 22:00:00.000000,50.0,4.1
07/06/2019 23:00:00.000000,50.0,3.6
07/07/2019 00:00:00.000000,49.0,4.1
07/07/2019 01:00:00.000000,49.0,4.6
07/07/2019 02:00:00.000000,47.0,4.1
07/07/2019 03:00:00.000000,47.0,4.1
07/07/2019 04:00:00.000000,45.0,4.4
07/07/2019 05:00:00.000000,45.0,4.1
07/07/2019 06:00:00.000000,41.0,3.9
07/07/2019 07:00:00.000000,37.0,4.1
07/07/2019 08:00:00.000000,36.0,4.1
07/07/2019 09:00:00.000000,32.0,5.8
07/07/2019 10:00:00.000000,28.0,5.7
07/07/2019 11:00:00.000000,24.0,5.9
07/07/2019 12:00:00.000000,25.0,5.9
07/07/2019 13:00:00.000000,23.0,5.8
07/07/2019 14:00:00.000000,25.0,5.7
07/07/2019 15:00:00.000000,28.0,5.5
07/07/2019 16:00:00.000000,34.0,5.5
07/07/2019 17:00:00.000000,37.0,5.4
07/07/2019 18:00:00.000000,43.0,5.5
07/07/2019 19:00:00.000000,55.0,5.6
07/07/2019 20:00:00.000000,51.0,5.5
07/07/2019 21:00:00.000000,53.0,5.5
07/07/2019 22:00:00.000000,52.0,5.5
07/07/2019 23:00:00.000000,52.0,5.3
07/08/2019 00:00:00.000000,50.0,5.0
07/08/2019 01:00:00.000000,48.0,4.9
07/08/2019 02:00:00.000000,48.0,4.9
07/08/2019 03:00:00.000000,48.0,4.3
07/08/2019 04:00:00.000000,45.0,4.4
07/08/2019 05:00:00.000000,44.0,4.6
07/08/2019 06:00:00.000000,41.0,5.0
07/08/2019 07:00:00.000000,39.0,4.6
07/08/2019 08:00:00.000000,38.0,4.3
07/08/2019 09:00:00.000000,38.0,4.3
07/08/2019 11:00:00.000000,24.0,4.3
07/08/2019 12:00:00.000000,25.0,4.5
07/08/2019 13:00:00.000000,20.0,4.7
07/08/2019 14:00:00.000000,22.0,5.3
07/08/2019 15:00:00.000000,30.0,5.1
07/08/2019 16:00:00.000000,30.0,4.8
07/08/2019 17:00:00.000000,39.0,4.8
07/08/2019 18:00:00.000000,49.0,4.5
07/08/2019 19:00:00.000000,45.0,4.5
07/08/2019 20:00:00.000000,44.0,4.0
07/08/2019 21:00:00.000000,45.0,3.3
07/08/2019 22:00:00.000000,46.0,3.6
07/08/2019 23:00:00.000000,47.0,3.9
07/09/2019 00:00:00.000000,45.0,3.6
07/09/2019 01:00:00.000000,45.0,3.6
07/09/2019 02:00:00.000000,44.0,4.2
07/09/2019 03:00:00.000000,41.0,6.6
07/09/2019 04:00:00.000000,36.0,7.1
07/09/2019 05:00:00.000000,30.0,6.3
07/09/2019 06:00:00.000000,31.0,5.6
07/09/2019 07:00:00.000000,27.0,4.9
07/09/2019 08:00:00.000000,26.0,4.9
07/09/2019 09:00:00.000000,24.0,4.4
07/09/2019 10:00:00.000000,23.0,4.5
07/09/2019 11:00:00.000000,23.0,4.5
07/09/2019 12:00:00.000000,22.0,4.6
07/09/2019 13:00:00.000000,23.0,4.8
07/09/2019 14:00:00.000000,27.0,5.2
07/09/2019 15:00:00.000000,33.0,5.1
07/09/2019 16:00:00.000000,35.0,4.7
07/09/2019 17:00:00.000000,43.0,4.6
07/09/2019 18:00:00.000000,43.0,4.6
07/09/2019 19:00:00.000000,47.0,4.6
07/09/2019 20:00:00.000000,51.0,4.5
07/09/2019 21:00:00.000000,53.0,4.5
07/09/2019 22:00:00.000000,56.0,4.6
07/09/2019 23:00:00.000000,60.0,4.7
07/10/2019 00:00:00.000000,61.0,5.0
07/10/2019 01:00:00.000000,59.0,5.0
