InstrumentName, La Casa Collo (Clarity-1),,,,
StartTime, 2019-10-01 00:00:00,,,,
EndTime, 2019-10-31 23:59:59,,,,
Date,PM 1,PM 10,PM 2.5,Temperature,relHumid
10/01/2019 00:03:02.482000,1.428571,5.761905,7.590006,23.656822,38.371861
10/01/2019 00:19:56.413000,1.235294,3.941176,7.611084,22.335014,42.149998
10/01/2019 00:36:50.034000,1.0,3.411765,7.105209,20.914398,45.197224
10/01/2019 00:53:43.738000,1.470588,2.764706,7.105209,19.691383,48.627453
10/01/2019 01:10:37.622000,1.764706,3.882353,7.737553,18.65263,51.427483
10/01/2019 01:27:31.646000,1.764706,4.176471,7.642702,17.824825,53.589684
10/01/2019 01:44:25.906000,1.823529,4.0,7.800788,17.264057,55.35973
10/01/2019 02:01:20.234000,3.705882,7.352941,9.065476,16.601814,57.708096
10/01/2019 02:18:14.713000,2.058824,4.294117,7.705936,15.998322,59.502556
10/01/2019 02:35:09.192000,2.058824,4.764706,8.306663,15.424202,61.086441
10/01/2019 02:52:03.778000,2.058824,5.235294,8.053725,15.01564,62.235447
10/01/2019 03:08:58.481000,2.529412,6.0,8.464749,14.705883,63.266956
10/01/2019 03:25:53.295000,2.0,6.882353,8.717687,14.369419,64.501411
10/01/2019 03:42:47.999000,1.294118,3.941176,7.516233,14.18784,65.174332
10/01/2019 03:59:42.834000,2.058824,5.647059,8.433132,13.963531,65.601585
10/01/2019 04:16:37.633000,2.0,5.588235,8.527984,13.781948,67.1931
10/01/2019 04:33:32.437000,2.0,4.882353,8.275046,13.680477,67.533379
10/01/2019 04:50:27.268000,1.764706,5.941176,8.306663,13.568321,67.779053
10/01/2019 05:07:22.102000,1.823529,6.411765,8.559601,13.469521,67.957581
10/01/2019 05:24:16.883000,2.764706,6.176471,9.097094,13.400093,68.351265
10/01/2019 05:41:11.698000,2.294118,6.058824,8.654453,13.287937,68.668648
10/01/2019 05:58:06.574000,2.058824,6.588235,8.780921,13.189137,69.037918
10/01/2019 06:15:01.497000,2.058824,5.941176,8.844156,13.093002,69.413292
10/01/2019 06:31:56.475000,2.529412,7.705883,9.223562,13.020905,70.366982
10/01/2019 06:48:51.375000,1.529412,5.882353,8.559601,12.938126,71.168076
10/01/2019 07:05:46.442000,1.588235,6.411765,8.591218,12.74052,72.651253
10/01/2019 07:22:41.522000,2.058824,8.235294,9.792672,12.628368,73.047989
10/01/2019 07:39:36.542000,1.294118,4.470588,7.800788,12.58564,73.621727
10/01/2019 07:56:31.624000,2.058824,8.705882,9.666203,12.473488,74.668495
10/01/2019 08:13:26.695000,2.529412,6.764706,9.413266,12.40406,74.953842
10/01/2019 08:30:21.816000,3.294118,7.941176,9.413266,12.334629,75.806824
10/01/2019 08:47:16.858000,2.529412,7.470588,9.539734,12.262531,76.658272
10/01/2019 09:04:11.808000,3.176471,9.176471,9.444883,12.235828,76.844437
10/01/2019 09:21:06.775000,3.470588,9.588235,10.298548,12.206455,77.766083
10/01/2019 09:38:01.767000,2.117647,8.117647,9.255179,12.206455,77.093155
10/01/2019 09:54:56.772000,3.764706,9.941176,10.361782,12.123672,78.242157
10/01/2019 10:11:51.916000,3.058824,8.0,9.824289,11.939423,80.854507
10/01/2019 10:28:47.003000,4.476191,12.047619,10.328659,11.715115,84.869156
10/01/2019 10:45:42.057000,3.058824,9.647058,9.855907,11.546883,84.493782
10/01/2019 11:02:37.206000,6.036144,20.506023,14.309743,11.504158,85.369652
10/01/2019 11:19:32.242000,5.428572,17.952383,12.504225,11.408028,86.439308
10/01/2019 11:36:27.456000,3.294118,9.647058,10.298548,11.365299,87.661552
10/01/2019 11:53:22.580000,2.235294,5.411765,8.306663,11.293201,87.983521
10/01/2019 12:10:17.698000,1.823529,4.470588,7.421381,11.237125,88.403145
10/01/2019 12:27:12.807000,1.588235,6.470588,8.622835,11.194401,88.888382
10/01/2019 12:44:07.934000,1.058824,5.176471,7.927257,11.181049,88.398567
10/01/2019 13:01:03.118000,0.0,1.882353,6.283161,10.914017,87.890442
10/01/2019 13:17:58.365000,0.0,1.941176,6.18831,10.633633,88.624397
10/01/2019 13:34:53.719000,0.0,0.941176,6.156693,10.406654,88.787674
10/01/2019 13:51:49.014000,0.0,1.470588,6.441248,10.281147,89.150833
10/01/2019 14:08:44.285000,0.294118,2.235294,6.725803,10.168995,89.423973
10/01/2019 14:25:39.545000,0.0,2.176471,6.314779,10.185017,89.300377
10/01/2019 14:42:35.199000,0.470588,4.058824,7.32653,10.281147,89.562828
10/01/2019 14:59:30.880000,0.0,0.941176,6.156693,10.676357,84.585335
10/01/2019 15:16:26.464000,1.058824,3.529412,7.168443,10.999466,85.140762
10/01/2019 15:33:21.989000,1.0,4.647059,8.022108,11.138325,85.181961
10/01/2019 15:50:17.183000,2.235294,6.411765,8.90739,11.082245,84.113831
10/01/2019 16:07:12.870000,2.529412,6.705883,8.780921,10.857937,84.509041
10/01/2019 16:24:08.492000,1.764706,8.588235,10.013993,10.775158,83.89563
10/01/2019 16:41:04.209000,1.705882,7.352941,9.350031,10.478752,84.42054
10/01/2019 16:57:59.782000,0.529412,5.941176,8.085343,10.267796,85.459679
10/01/2019 17:14:55.376000,2.0,9.058824,9.223562,10.281147,85.09346
10/01/2019 17:31:51.025000,1.764706,7.176471,9.381648,10.534828,83.994812
10/01/2019 17:48:46.599000,2.294118,9.352942,10.266931,10.788509,82.609291
10/01/2019 18:05:42.114000,2.529412,11.882353,10.772806,11.012817,81.615929
10/01/2019 18:22:37.515000,2.529412,8.235294,10.04561,11.477455,79.92981
10/01/2019 18:39:32.908000,2.571429,10.52381,9.816762,11.771191,77.784393
10/01/2019 18:56:28.066000,2.764706,10.058824,10.266931,12.022202,76.647591
10/01/2019 19:13:23.235000,2.705882,8.117647,9.634586,11.952774,76.894791
10/01/2019 19:30:18.358000,1.352941,7.058824,8.369898,11.982147,76.301216
10/01/2019 19:47:13.528000,2.0,8.823529,8.496366,12.150379,75.13237
10/01/2019 20:04:08.613000,2.0,7.764706,9.191945,12.262531,74.691383
10/01/2019 20:21:03.669000,2.0,8.0,9.160328,12.334629,73.955902
10/01/2019 20:38:00.041000,2.0,6.764706,8.812539,12.179752,74.590675
10/01/2019 20:54:54.896000,2.0,7.294117,8.68607,12.022202,74.734108
10/01/2019 21:11:50.204000,2.0,9.588235,8.812539,11.813915,75.77478
10/01/2019 21:28:45.152000,1.470588,6.705883,8.939008,11.741817,76.125732
10/01/2019 21:45:40.211000,1.529412,7.647059,8.749304,11.52018,77.358665
10/01/2019 22:02:35.254000,2.235294,8.882353,9.666203,11.181049,80.570686
10/01/2019 22:19:30.457000,4.190476,14.619049,10.814962,10.956741,80.943008
10/01/2019 22:36:25.774000,3.705882,12.764706,11.310298,10.831234,82.293434
10/01/2019 22:53:21.083000,4.411765,17.352942,12.448518,10.593575,83.582817
10/01/2019 23:10:16.539000,2.285714,15.476192,12.043517,10.281147,83.340202
10/01/2019 23:27:11.952000,5.285715,19.619049,12.145897,10.099564,85.355919
10/01/2019 23:44:07.391000,4.904762,18.57143,12.325061,9.904633,84.705879
10/02/2019 00:01:03.021000,3.470588,15.705882,11.658088,9.760433,85.345238
10/02/2019 00:17:58.557000,1.294118,7.117647,8.780921,9.565498,85.345238
10/02/2019 00:34:54.075000,2.882353,13.117647,10.867657,9.34119,87.585258
10/02/2019 00:51:49.596000,3.952381,18.047621,11.531619,9.202335,89.127945
10/02/2019 01:08:45.051000,2.058824,9.470589,9.413266,9.060806,89.356834
10/02/2019 01:25:40.515000,0.294118,3.647059,7.200061,9.018082,89.355309
10/02/2019 01:42:36.076000,0.823529,6.882353,7.990491,8.978027,90.620277
10/02/2019 01:59:31.497000,0.0,3.588235,6.883889,8.921951,90.469215
10/02/2019 02:16:26.764000,0.058824,2.0,6.599334,8.85252,89.748985
10/02/2019 02:33:22.340000,1.294118,6.882353,8.939008,8.793774,90.798813
10/02/2019 02:50:17.790000,0.058824,4.529412,6.883889,8.694973,90.171661
10/02/2019 03:07:13.368000,0.0,2.705882,6.725803,8.625546,90.235748
10/02/2019 03:24:08.854000,0.0,1.0,6.156693,8.553444,90.061798
10/02/2019 03:41:04.260000,0.0,1.647059,6.156693,8.345158,90.698097
10/02/2019 03:57:59.708000,0.0,1.529412,6.156693,8.203632,91.059738
10/02/2019 04:14:55.121000,0.0,0.764706,6.18831,8.064774,91.186386
10/02/2019 04:31:50.673000,0.0,0.705882,6.156693,7.93927,91.007858
10/02/2019 04:48:46.307000,0.0,0.941176,6.156693,7.771038,90.780502
10/02/2019 05:05:41.782000,0.0,1.176471,6.156693,7.69894,91.096359
10/02/2019 05:22:37.264000,0.0,1.176471,6.156693,7.573433,91.609062
10/02/2019 05:39:32.851000,0.0,0.705882,6.156693,7.487984,91.375603
10/02/2019 05:56:28.391000,0.0,0.705882,6.156693,7.431908,91.795227
10/02/2019 06:13:23.878000,0.0,0.705882,6.156693,7.3064,90.840012
10/02/2019 06:30:19.414000,0.0,1.647059,6.283161,7.236973,91.680779
10/02/2019 06:47:14.954000,0.0,1.705882,6.283161,7.180897,91.744865
10/02/2019 07:04:10.513000,0.0,0.705882,6.156693,7.068741,91.398491
10/02/2019 07:21:05.934000,0.058824,2.235294,6.441248,6.983292,91.438164
10/02/2019 07:38:01.655000,0.0,2.352941,6.441248,6.927216,91.796753
10/02/2019 07:54:57.149000,0.0,0.705882,6.156693,6.831081,91.595329
10/02/2019 08:11:52.704000,0.0,1.529412,6.18831,6.801708,92.092773
10/02/2019 08:28:48.274000,0.0,1.647059,6.156693,6.718929,91.348137
10/02/2019 08:45:43.838000,0.0,0.705882,6.156693,6.649502,92.06073
10/02/2019 09:02:39.486000,0.0,0.705882,6.156693,6.590752,91.369499
10/02/2019 09:19:35.115000,0.0,0.705882,6.156693,6.518654,91.772339
10/02/2019 09:36:30.701000,0.0,1.235294,6.156693,6.462578,91.699089
10/02/2019 09:53:26.312000,0.0,0.941176,6.156693,6.462578,91.831848
10/02/2019 10:10:21.865000,0.0,0.705882,6.156693,6.449226,91.520561
10/02/2019 10:27:17.526000,0.0,0.705882,6.156693,6.505302,91.064316
10/02/2019 10:44:13.120000,0.0,1.0,6.156693,6.518654,91.602959
10/02/2019 11:01:08.685000,0.0,1.176471,6.156693,6.548027,90.536354
10/02/2019 11:18:04.372000,0.0,0.705882,6.156693,6.561378,91.215378
10/02/2019 11:35:00.139000,0.0,1.882353,6.156693,6.518654,91.366447
10/02/2019 11:51:55.649000,0.058824,1.0,6.314779,6.505302,92.19043
10/02/2019 12:08:51.105000,0.0,1.176471,6.156693,6.505302,92.20874
10/02/2019 12:25:46.605000,0.0,1.470588,6.314779,6.449226,92.204163
10/02/2019 12:42:42.152000,0.0,2.411765,6.567716,6.39315,91.764709
10/02/2019 12:59:37.755000,0.235294,2.411765,6.820654,6.33707,91.618217
10/02/2019 13:16:33.358000,0.294118,3.411765,6.472865,6.280994,91.865417
10/02/2019 13:33:29.037000,0.0,0.705882,6.156693,6.198215,90.930038
10/02/2019 13:50:24.788000,0.470588,2.823529,6.599334,6.323719,91.952393
10/02/2019 14:07:20.871000,0.058824,1.764706,6.346396,6.57473,90.496681
10/02/2019 14:24:30.397000,0.588235,4.470588,6.97874,6.956589,88.953995
10/02/2019 14:41:26.304000,1.470588,4.588235,7.737553,7.236973,87.951477
10/02/2019 14:58:22.133000,3.294118,9.470589,10.203696,7.712292,87.702751
10/02/2019 15:15:17.970000,3.529412,11.529411,10.899275,8.190281,83.904785
10/02/2019 15:32:13.678000,3.058824,9.411765,9.729438,8.259708,82.581825
10/02/2019 15:49:09.501000,3.294118,8.764706,9.950758,9.018082,81.048294
10/02/2019 16:06:04.963000,3.588235,8.411765,10.04561,10.030136,76.670479
10/02/2019 16:23:00.355000,3.411765,8.352942,9.761055,10.663006,74.755478
10/02/2019 16:39:55.736000,4.529412,11.294118,10.583103,11.111618,73.717857
10/02/2019 16:56:50.899000,3.529412,10.058824,9.792672,11.629665,69.770355
10/02/2019 17:13:46.203000,2.823529,8.647058,9.191945,11.685741,67.444878
10/02/2019 17:30:41.356000,3.529412,9.117647,10.172079,12.318607,66.973373
10/02/2019 17:47:36.425000,2.588235,6.058824,8.780921,13.442818,63.060959
10/02/2019 18:04:31.243000,3.705882,8.411765,9.792672,14.353397,59.008163
10/02/2019 18:21:25.977000,2.764706,5.941176,8.591218,15.354771,56.35004
10/02/2019 18:38:20.698000,3.823529,7.235294,9.508117,15.704586,54.784466
10/02/2019 18:55:15.038000,4.0,8.666667,9.867952,17.320133,49.11116
10/02/2019 19:12:09.607000,5.470588,9.882353,10.583103,16.9543,49.495689
10/02/2019 19:29:04.059000,6.476191,15.095239,12.47863,17.755398,48.51606
10/02/2019 19:45:58.393000,6.588235,11.764706,11.594853,17.910278,48.61219
10/02/2019 20:02:52.676000,8.428572,17.523809,14.039918,18.569847,46.652935
10/02/2019 20:19:46.979000,9.571429,19.619049,14.372651,19.258797,44.69978
10/02/2019 20:36:41.250000,7.588235,13.176471,12.733073,20.156021,44.318302
