InstrumentName, College View Elem (A2JCKC55_2.3),,,,,,,,
StartTime, 2019-10-01 00:00:00,,,,,,,,
EndTime, 2019-10-31 23:59:59,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,relHumid,temperature
10/01/2019 00:00:17.673000,-15.862298,2.705882,6.685883,1.294118,6.502354,2.470588,6.674118,36.136417,24.986649
10/01/2019 00:02:54.456000,-17.318214,2.0,6.236471,1.294118,6.135294,2.0,6.229412,36.815441,24.930573
10/01/2019 00:05:31.278000,-15.740972,2.529412,6.236471,1.764706,6.07,2.470588,6.215882,36.08606,24.842453
10/01/2019 00:08:08.056000,-16.221783,2.941176,6.832941,2.0,6.642353,2.941176,6.816471,36.467537,24.743645
10/01/2019 00:10:44.866000,-15.170288,2.529412,6.027647,1.235294,5.914707,2.0,6.012941,36.522469,24.674217
10/01/2019 00:13:21.906000,-13.444757,2.470588,6.59647,1.941176,6.457646,2.470588,6.589412,36.699474,24.60479
10/01/2019 00:15:58.687000,-15.296108,2.529412,6.12,1.294118,5.915294,2.529412,6.090588,37.367817,24.575417
10/01/2019 00:18:35.630000,-16.639685,3.0,6.897059,2.235294,6.74,3.0,6.885294,37.470055,24.492638
10/01/2019 00:21:12.353000,-15.520786,1.764706,5.654118,1.0,5.562942,1.764706,5.648823,38.307774,24.308388
10/01/2019 00:23:49.227000,-7.8952,2.529412,5.305882,1.235294,5.120588,2.0,5.278823,38.889145,24.041351
10/01/2019 00:26:26.086000,-10.89241,2.647059,5.463529,1.0,5.352941,1.470588,5.44,39.256886,23.830399
10/01/2019 00:29:02.578000,-4.300345,2.058824,5.647058,1.294118,5.479412,2.058824,5.63,39.996948,23.531319
10/01/2019 00:31:38.947000,-9.247765,2.588235,5.958235,1.529412,5.781765,2.058824,5.940588,40.340275,23.323036
10/01/2019 00:34:15.273000,-3.12303,2.705882,5.791765,1.0,5.6,2.235294,5.77,40.738537,23.066681
10/01/2019 00:36:52.064000,-6.488713,3.411765,6.56,1.764706,6.372941,2.941176,6.540588,41.165791,22.86908
10/01/2019 00:39:28.473000,-8.85233,2.294118,5.371177,1.0,5.188824,2.235294,5.345294,41.438927,22.687492
10/01/2019 00:42:04.748000,-7.275087,2.235294,6.218823,1.705882,6.098235,2.235294,6.20647,41.997406,22.561989
10/01/2019 00:44:41.149000,-7.805329,2.529412,5.947059,1.294118,5.778235,2.294118,5.92353,42.497902,22.375069
10/01/2019 00:47:17.601000,-5.378802,2.470588,5.753529,1.470588,5.6,2.235294,5.725294,42.771038,22.206833
10/01/2019 00:49:54.024000,-6.93807,2.647059,5.705883,1.176471,5.589412,1.705882,5.688824,43.118942,22.067978
10/01/2019 00:52:30.407000,-9.548834,1.705882,4.291765,0.529412,4.167058,1.470588,4.260588,43.393608,21.955826
10/01/2019 00:55:06.762000,-7.652547,1.764706,4.655882,0.705882,4.540588,1.647059,4.641176,43.935303,21.768906
10/01/2019 00:57:43.121000,-8.479364,2.411765,5.627059,1.176471,5.531765,2.117647,5.607647,44.286259,21.643394
10/01/2019 01:00:19.470000,-9.813954,3.647059,5.790588,1.705882,5.635883,2.470588,5.766471,44.786755,21.461815
10/01/2019 01:02:55.849000,-9.059034,2.647059,6.22,1.705882,6.044117,2.647059,6.201177,45.105667,21.333641
10/01/2019 01:05:32.268000,-8.236712,1.764706,5.685882,1.529412,5.564706,1.764706,5.67647,45.467308,21.122681
10/01/2019 01:08:08.697000,-5.675377,2.235294,5.330588,1.0,5.196471,1.764706,5.304706,46.02121,21.02388
10/01/2019 01:10:45.046000,-5.989927,2.941176,5.827059,1.705882,5.624706,2.705882,5.81,46.215,20.812927
10/01/2019 01:13:21.507000,-4.893497,2.294118,5.622353,1.294118,5.521176,1.823529,5.598824,46.691082,20.72747
10/01/2019 01:15:57.901000,-7.967097,3.470588,5.974117,2.0,5.837059,3.0,5.950588,46.855877,20.62867
10/01/2019 01:18:34.326000,-5.971953,2.882353,5.662354,1.411765,5.548235,2.411765,5.64,47.289234,20.473793
10/01/2019 01:21:10.753000,-3.509477,3.176471,6.285882,1.941176,6.068235,3.176471,6.268824,47.77142,20.361641
10/01/2019 01:23:47.229000,-3.280305,3.941176,6.104705,1.941176,5.944706,2.705882,6.070589,48.046082,20.220108
10/01/2019 01:26:23.669000,-0.656061,3.0,6.045883,1.764706,5.882941,2.764706,6.035882,48.339054,20.081253
10/01/2019 01:29:00.064000,-5.639429,2.764706,5.664706,1.529412,5.482942,2.764706,5.654706,48.584724,19.982452
10/01/2019 01:31:36.544000,-4.250916,3.705882,6.810588,1.941176,6.641177,3.176471,6.785294,49.011978,19.854279
10/01/2019 01:34:12.956000,-2.866897,3.176471,6.949412,2.411765,6.796471,3.176471,6.930588,49.102005,19.768829
10/01/2019 01:36:49.394000,-6.367387,4.117647,6.144706,1.705882,5.904118,3.882353,6.118824,49.062332,19.726097
10/01/2019 01:39:25.766000,-1.235731,3.235294,6.48,2.235294,6.310588,3.0,6.453529,49.372089,19.643318
10/01/2019 01:42:02.188000,-3.882443,4.411765,7.44,2.470588,7.254705,3.941176,7.407647,49.593346,19.557869
10/01/2019 01:44:38.601000,-2.947781,3.705882,6.557647,2.235294,6.400588,3.235294,6.537059,49.678799,19.515144
10/01/2019 01:47:15.099000,-2.54336,3.705882,7.334118,2.705882,7.158823,3.705882,7.324706,49.779507,19.432365
10/01/2019 01:49:51.517000,-1.999638,3.411765,6.617647,2.470588,6.471765,2.941176,6.59647,50.179295,19.362938
10/01/2019 01:52:27.987000,-5.477661,3.176471,6.832941,2.647059,6.671177,3.176471,6.825294,50.632488,19.264137
10/01/2019 01:55:04.415000,-3.208408,3.647059,6.952941,2.411765,6.809412,3.647059,6.938824,50.797283,19.162659
10/01/2019 01:57:40.781000,-3.167966,3.117647,6.05647,1.941176,5.919412,2.882353,6.04,51.038376,19.063858
10/01/2019 02:00:17.224000,-4.318319,4.176471,6.998823,2.0,6.808824,3.941176,6.977648,51.163502,18.994431
10/01/2019 02:02:53.684000,-4.071173,3.941176,7.369411,2.705882,7.227647,3.470588,7.345294,51.671627,18.868923
10/01/2019 02:05:30.132000,-5.998914,3.705882,6.917647,2.705882,6.718823,3.705882,6.908236,51.592278,18.796825
10/01/2019 02:08:06.583000,-3.12303,3.647059,7.041176,2.647059,6.841764,3.647059,7.022353,51.98291,18.65797
10/01/2019 02:13:19.405000,-3.774598,4.117647,6.704706,2.647059,6.514118,3.647059,6.674118,52.608528,18.447014
10/01/2019 02:15:55.794000,-4.659831,4.176471,6.914118,2.705882,6.644706,3.941176,6.904706,52.770275,18.358891
10/01/2019 02:18:32.235000,-5.518102,4.058824,6.925883,2.823529,6.798236,4.058824,6.901765,52.915237,18.206684
10/01/2019 02:21:08.655000,-1.361551,4.470588,6.861176,3.0,6.657059,4.235294,6.853529,53.203632,18.150608
10/01/2019 02:23:45.031000,-1.878312,3.764706,7.45,3.235294,7.332353,3.764706,7.432941,53.661404,18.065155
10/01/2019 02:26:21.500000,-0.817829,4.529412,7.425882,3.058824,7.19353,4.529412,7.401765,54.045929,17.982376
10/01/2019 02:28:57.940000,-2.399566,5.117647,7.722353,3.411765,7.523529,4.176471,7.692941,54.041351,17.854198
10/01/2019 02:31:34.309000,-3.994782,4.235294,6.635294,2.529412,6.410588,4.0,6.59647,54.299229,17.742046
10/01/2019 02:34:10.665000,-2.916326,4.941176,7.734118,3.235294,7.518824,4.235294,7.717058,54.551003,17.629894
10/01/2019 02:36:47.261000,-2.601776,4.058824,7.228236,3.294118,7.065294,4.058824,7.215883,54.862286,17.528419
10/01/2019 02:39:23.650000,-2.323175,4.058824,6.917647,2.823529,6.744117,3.823529,6.889412,55.240711,17.402916
10/01/2019 02:42:00.039000,1.051495,5.235294,9.077647,4.470588,8.895883,5.0,9.065883,55.654232,17.376213
10/01/2019 02:44:36.412000,-0.993079,5.0,8.096471,3.0,7.854706,5.0,8.074118,55.57946,17.264057
10/01/2019 02:47:12.872000,-1.743505,4.764706,7.576471,3.529412,7.435294,4.294117,7.562942,56.238651,17.178608
10/01/2019 02:49:49.360000,-0.50328,4.764706,6.965882,3.0,6.765882,4.0,6.941176,56.501106,17.109177
10/01/2019 02:52:25.775000,-1.20877,5.571429,8.325714,3.809524,8.070477,5.52381,8.259523,56.554512,17.037079
10/01/2019 02:55:02.178000,-1.276173,4.764706,7.792941,3.235294,7.59647,4.705883,7.778235,56.531624,17.023727
10/01/2019 02:57:38.647000,-0.988585,5.411765,7.828236,3.529412,7.562353,5.411765,7.792941,56.852062,16.997025
10/01/2019 03:00:15.112000,-1.262693,5.235294,8.010588,3.294118,7.764118,4.764706,7.994117,56.797131,16.967651
10/01/2019 03:02:51.635000,-0.903207,4.470588,6.868235,2.764706,6.667058,4.235294,6.846471,56.97261,16.911575
10/01/2019 03:05:27.979000,-1.14586,5.0,8.251764,3.764706,8.058824,4.764706,8.237647,57.241169,16.796749
10/01/2019 03:08:04.467000,0.70549,5.764706,9.176471,4.235294,8.892353,5.764706,9.144118,57.782864,16.770046
10/01/2019 03:10:40.851000,-1.352564,5.235294,7.609412,3.294118,7.310588,5.0,7.574117,57.668423,16.740673
10/01/2019 03:13:17.313000,-2.341149,5.941176,8.644707,3.764706,8.374705,5.705883,8.620588,58.028534,16.628521
10/01/2019 03:15:53.716000,-2.700635,4.764706,8.156471,3.529412,7.964118,4.529412,8.139412,58.24979,16.615166
10/01/2019 03:18:30.152000,-0.723465,5.823529,9.16647,4.235294,8.820588,5.529412,9.13706,58.619057,16.585793
10/01/2019 03:21:06.557000,2.462476,4.235294,7.302353,3.529412,7.134118,4.0,7.282941,58.240635,16.55909
10/01/2019 03:23:42.963000,-1.842363,5.470588,8.657646,4.0,8.410588,5.235294,8.634117,58.675518,16.543068
10/01/2019 03:26:19.375000,-3.105056,4.529412,7.217648,3.058824,7.0,4.529412,7.196471,58.263523,16.503014
10/01/2019 03:28:55.843000,-1.909767,5.058824,8.138824,3.529412,7.919412,4.764706,8.121765,58.437477,16.446938
10/01/2019 03:31:32.153000,-2.561334,5.764706,9.130589,4.235294,8.935883,5.529412,9.107647,58.628216,16.430916
10/01/2019 03:34:08.549000,1.433448,5.470588,8.555294,3.764706,8.222941,5.470588,8.534118,58.605324,16.417564
10/01/2019 03:36:44.941000,-0.6291,5.470588,8.348236,3.529412,8.115294,5.0,8.324706,58.751812,16.374836
10/01/2019 03:39:21.364000,-0.539228,6.235294,9.197647,4.470588,8.900001,5.941176,9.182353,58.698406,16.361485
10/01/2019 03:41:57.747000,-2.053561,5.529412,8.714118,3.941176,8.457647,5.235294,8.701177,58.757915,16.278706
10/01/2019 03:44:34.143000,1.455916,5.764706,9.24706,4.294117,8.932941,5.764706,9.225883,58.802166,16.292057
10/01/2019 03:47:10.593000,0.498786,5.235294,8.961176,3.823529,8.718822,5.0,8.944706,58.838787,16.262684
10/01/2019 03:49:59.011000,-1.990651,6.411765,9.578823,4.470588,9.261176,6.176471,9.562354,58.995956,16.235981
10/01/2019 03:52:35.375000,0.067404,6.529412,9.628237,4.529412,9.34,6.294117,9.597058,59.050888,16.206608
10/01/2019 03:55:11.801000,-0.040442,7.470588,10.094118,4.705883,9.718235,6.882353,10.077647,59.101242,16.150532
