InstrumentName, La Casa,,,,
StartTime, 2019-11-01 00:00:00,,,,
EndTime, 2019-11-30 23:59:59,,,,
Date,CO,NO2,O3,PM10,SO2
11/01/2019 00:00:00.000000,0.6,63.0,0.0,53.7,1.0
11/01/2019 01:00:00.000000,0.6,55.0,0.0,46.8,1.0
11/01/2019 02:00:00.000000,0.7,51.0,2.0,38.5,1.0
11/01/2019 03:00:00.000000,0.8,51.0,0.0,39.6,2.0
11/01/2019 04:00:00.000000,0.8,,0.0,41.2,2.0
11/01/2019 05:00:00.000000,1.0,48.0,0.0,43.7,2.0
11/01/2019 06:00:00.000000,1.0,50.0,2.0,43.8,3.0
11/01/2019 07:00:00.000000,1.3,55.0,1.0,47.2,
11/01/2019 08:00:00.000000,1.2,55.0,1.0,45.2,4.0
11/01/2019 09:00:00.000000,0.9,51.0,0.0,38.7,3.0
11/01/2019 10:00:00.000000,0.5,44.0,1.0,24.4,1.0
11/01/2019 11:00:00.000000,0.5,43.0,1.0,19.8,1.0
11/01/2019 12:00:00.000000,1.2,51.0,1.0,33.8,3.0
11/01/2019 13:00:00.000000,1.6,53.0,1.0,38.5,5.0
11/01/2019 14:00:00.000000,1.4,50.0,2.0,38.4,4.0
11/01/2019 15:00:00.000000,0.9,48.0,7.0,46.8,3.0
11/01/2019 16:00:00.000000,0.2,19.0,27.0,21.2,1.0
11/01/2019 17:00:00.000000,0.2,11.0,33.0,14.4,0.0
11/01/2019 18:00:00.000000,0.1,10.0,36.0,,0.0
11/01/2019 19:00:00.000000,0.2,12.0,38.0,19.2,0.0
11/01/2019 20:00:00.000000,0.2,11.0,38.0,15.5,0.0
11/01/2019 21:00:00.000000,0.2,10.0,39.0,12.6,0.0
11/01/2019 22:00:00.000000,0.1,11.0,38.0,13.4,0.0
11/01/2019 23:00:00.000000,0.2,15.0,32.0,12.8,0.0
11/02/2019 00:00:00.000000,0.2,28.0,18.0,13.1,0.0
11/02/2019 01:00:00.000000,0.3,23.0,21.0,14.9,0.0
11/02/2019 02:00:00.000000,0.3,24.0,20.0,16.6,0.0
11/02/2019 03:00:00.000000,0.3,31.0,11.0,19.3,0.0
11/02/2019 04:00:00.000000,0.3,,17.0,18.2,0.0
11/02/2019 05:00:00.000000,0.2,25.0,18.0,16.3,0.0
11/02/2019 06:00:00.000000,0.3,36.0,5.0,17.8,0.0
11/02/2019 07:00:00.000000,0.4,36.0,3.0,19.7,
11/02/2019 08:00:00.000000,0.3,31.0,6.0,16.7,0.0
11/02/2019 09:00:00.000000,0.2,32.0,4.0,16.1,0.0
11/02/2019 10:00:00.000000,0.2,34.0,2.0,16.2,0.0
11/02/2019 11:00:00.000000,0.2,30.0,6.0,15.1,0.0
11/02/2019 12:00:00.000000,0.3,35.0,2.0,14.8,0.0
11/02/2019 13:00:00.000000,0.5,37.0,2.0,15.6,0.0
11/02/2019 14:00:00.000000,0.5,35.0,8.0,19.4,1.0
11/02/2019 15:00:00.000000,0.3,26.0,20.0,29.2,0.0
11/02/2019 16:00:00.000000,0.3,26.0,23.0,37.6,0.0
11/02/2019 17:00:00.000000,0.2,17.0,31.0,27.5,0.0
11/02/2019 18:00:00.000000,0.4,34.0,22.0,46.1,1.0
11/02/2019 19:00:00.000000,0.5,39.0,17.0,59.5,2.0
11/02/2019 20:00:00.000000,0.4,32.0,21.0,44.8,1.0
11/02/2019 21:00:00.000000,0.3,29.0,25.0,40.7,0.0
11/02/2019 22:00:00.000000,0.3,34.0,21.0,42.3,1.0
11/02/2019 23:00:00.000000,0.4,40.0,13.0,46.5,1.0
11/03/2019 00:00:00.000000,0.8,48.0,1.0,54.6,1.0
11/03/2019 01:00:00.000000,1.1,46.0,1.0,59.3,2.0
11/03/2019 02:00:00.000000,1.1,45.0,1.0,61.2,2.0
11/03/2019 03:00:00.000000,1.0,45.0,0.0,53.1,2.0
11/03/2019 04:00:00.000000,1.0,,0.0,50.3,2.0
11/03/2019 05:00:00.000000,1.1,42.0,0.0,52.3,2.0
11/03/2019 08:00:00.000000,0.7,35.0,0.0,31.0,1.0
11/03/2019 09:00:00.000000,0.9,37.0,0.0,40.7,2.0
11/03/2019 10:00:00.000000,1.0,37.0,0.0,39.2,2.0
11/03/2019 11:00:00.000000,0.9,35.0,0.0,34.8,2.0
11/03/2019 12:00:00.000000,1.0,36.0,0.0,35.4,2.0
11/03/2019 13:00:00.000000,0.8,37.0,1.0,29.0,2.0
11/03/2019 14:00:00.000000,0.7,33.0,5.0,21.5,2.0
11/03/2019 15:00:00.000000,0.4,23.0,16.0,19.2,1.0
11/03/2019 16:00:00.000000,0.3,18.0,24.0,20.8,1.0
11/03/2019 17:00:00.000000,0.3,22.0,23.0,25.3,1.0
11/03/2019 18:00:00.000000,0.4,33.0,19.0,39.6,1.0
11/03/2019 19:00:00.000000,0.4,34.0,22.0,42.4,4.0
11/03/2019 20:00:00.000000,0.3,24.0,29.0,25.6,2.0
11/03/2019 21:00:00.000000,0.3,24.0,26.0,29.3,1.0
11/03/2019 22:00:00.000000,0.2,22.0,31.0,23.2,0.0
11/03/2019 23:00:00.000000,0.3,26.0,26.0,18.1,0.0
11/04/2019 00:00:00.000000,0.6,44.0,6.0,34.7,0.0
11/04/2019 01:00:00.000000,0.6,50.0,1.0,37.0,1.0
11/04/2019 02:00:00.000000,0.4,39.0,7.0,28.5,1.0
11/04/2019 03:00:00.000000,0.6,42.0,0.0,26.3,1.0
11/04/2019 04:00:00.000000,0.6,,0.0,30.2,1.0
11/04/2019 05:00:00.000000,0.5,38.0,2.0,27.7,1.0
11/04/2019 06:00:00.000000,0.3,32.0,6.0,24.0,1.0
11/04/2019 07:00:00.000000,0.3,29.0,7.0,18.1,
11/04/2019 08:00:00.000000,0.3,30.0,5.0,17.0,0.0
11/04/2019 09:00:00.000000,0.3,27.0,8.0,14.6,0.0
11/04/2019 10:00:00.000000,0.2,29.0,8.0,13.2,0.0
11/04/2019 11:00:00.000000,0.2,24.0,8.0,13.7,0.0
11/04/2019 12:00:00.000000,0.2,22.0,9.0,13.1,0.0
11/04/2019 13:00:00.000000,0.4,28.0,3.0,14.9,0.0
11/04/2019 14:00:00.000000,0.4,26.0,6.0,17.2,0.0
11/04/2019 15:00:00.000000,,18.0,,19.6,0.0
11/04/2019 16:00:00.000000,0.3,17.0,20.0,21.7,
11/04/2019 17:00:00.000000,0.2,17.0,24.0,29.9,0.0
11/04/2019 18:00:00.000000,0.2,,24.0,29.5,0.0
11/04/2019 19:00:00.000000,0.2,,27.0,30.1,0.0
11/04/2019 20:00:00.000000,0.2,14.0,29.0,23.4,0.0
11/04/2019 21:00:00.000000,0.2,15.0,30.0,24.6,0.0
11/04/2019 22:00:00.000000,0.2,16.0,28.0,26.5,0.0
11/04/2019 23:00:00.000000,0.2,18.0,21.0,29.7,0.0
11/05/2019 00:00:00.000000,0.2,19.0,12.0,25.0,0.0
11/05/2019 01:00:00.000000,0.2,23.0,7.0,22.5,0.0
11/05/2019 02:00:00.000000,0.3,27.0,2.0,22.6,0.0
11/05/2019 03:00:00.000000,0.4,28.0,0.0,22.8,0.0
11/05/2019 04:00:00.000000,0.5,,0.0,24.2,1.0
11/05/2019 05:00:00.000000,0.6,26.0,0.0,26.7,0.0
11/05/2019 06:00:00.000000,0.4,24.0,1.0,28.6,0.0
11/05/2019 07:00:00.000000,0.5,24.0,1.0,29.2,
11/05/2019 08:00:00.000000,0.6,23.0,0.0,30.1,1.0
11/05/2019 09:00:00.000000,0.5,23.0,0.0,30.2,1.0
11/05/2019 10:00:00.000000,0.5,22.0,0.0,29.2,1.0
11/05/2019 11:00:00.000000,0.6,21.0,0.0,29.5,1.0
11/05/2019 12:00:00.000000,0.6,22.0,0.0,30.0,1.0
11/05/2019 13:00:00.000000,0.8,23.0,0.0,30.7,1.0
11/05/2019 14:00:00.000000,1.2,27.0,1.0,36.1,2.0
11/05/2019 15:00:00.000000,0.8,25.0,5.0,44.5,1.0
11/05/2019 16:00:00.000000,0.6,31.0,6.0,65.3,1.0
11/05/2019 17:00:00.000000,0.5,35.0,8.0,96.9,2.0
11/05/2019 18:00:00.000000,0.5,30.0,18.0,78.7,1.0
11/05/2019 19:00:00.000000,0.5,31.0,20.0,87.5,1.0
11/05/2019 20:00:00.000000,0.3,28.0,21.0,69.7,1.0
11/05/2019 21:00:00.000000,0.3,30.0,21.0,69.7,0.0
11/05/2019 22:00:00.000000,0.3,31.0,21.0,64.7,0.0
11/05/2019 23:00:00.000000,0.5,42.0,8.0,80.8,0.0
11/06/2019 00:00:00.000000,1.0,46.0,0.0,110.5,2.0
11/06/2019 01:00:00.000000,1.2,45.0,1.0,120.5,2.0
11/06/2019 02:00:00.000000,1.3,43.0,0.0,78.0,2.0
11/06/2019 03:00:00.000000,0.8,42.0,0.0,58.0,1.0
11/06/2019 04:00:00.000000,0.8,,0.0,52.0,1.0
11/06/2019 05:00:00.000000,1.0,36.0,0.0,54.7,2.0
11/06/2019 06:00:00.000000,1.0,33.0,0.0,41.2,1.0
11/06/2019 07:00:00.000000,0.9,31.0,0.0,32.7,
11/06/2019 08:00:00.000000,0.8,29.0,0.0,27.0,1.0
11/06/2019 09:00:00.000000,0.6,28.0,0.0,22.1,1.0
11/06/2019 10:00:00.000000,0.5,27.0,0.0,19.4,1.0
11/06/2019 11:00:00.000000,0.5,28.0,0.0,18.8,1.0
11/06/2019 12:00:00.000000,0.5,28.0,0.0,17.4,1.0
11/06/2019 13:00:00.000000,0.8,30.0,0.0,18.8,2.0
11/06/2019 14:00:00.000000,1.0,31.0,2.0,24.1,3.0
11/06/2019 15:00:00.000000,0.9,36.0,4.0,44.2,3.0
11/06/2019 16:00:00.000000,0.6,34.0,9.0,56.5,2.0
11/06/2019 17:00:00.000000,0.3,26.0,19.0,39.1,1.0
11/06/2019 18:00:00.000000,0.3,21.0,22.0,48.6,0.0
11/06/2019 19:00:00.000000,0.2,11.0,22.0,32.2,0.0
11/06/2019 20:00:00.000000,0.1,12.0,13.0,19.4,0.0
11/06/2019 21:00:00.000000,0.1,9.0,14.0,17.2,0.0
11/06/2019 22:00:00.000000,0.1,9.0,11.0,17.0,0.0
11/06/2019 23:00:00.000000,0.1,10.0,7.0,6.8,0.0
11/07/2019 00:00:00.000000,0.1,11.0,7.0,5.5,0.0
11/07/2019 01:00:00.000000,0.1,10.0,9.0,5.2,0.0
11/07/2019 02:00:00.000000,0.1,10.0,10.0,6.1,0.0
11/07/2019 03:00:00.000000,0.1,6.0,11.0,5.5,0.0
11/07/2019 04:00:00.000000,0.1,,12.0,5.8,0.0
11/07/2019 05:00:00.000000,0.2,9.0,8.0,5.5,0.0
11/07/2019 06:00:00.000000,0.1,8.0,6.0,4.6,0.0
11/07/2019 07:00:00.000000,0.1,8.0,7.0,3.6,
11/07/2019 08:00:00.000000,0.1,9.0,5.0,3.1,0.0
11/07/2019 09:00:00.000000,0.1,12.0,3.0,5.8,0.0
