InstrumentName, Welch
StartTime, 2019-11-01 00:00:00
EndTime, 2019-11-30 23:59:59
Date,O3
11/01/2019 00:00:00.000000,4.0
11/01/2019 01:00:00.000000,10.0
11/01/2019 02:00:00.000000,2.0
11/01/2019 03:00:00.000000,1.0
11/01/2019 04:00:00.000000,8.0
11/01/2019 05:00:00.000000,14.0
11/01/2019 06:00:00.000000,25.0
11/01/2019 07:00:00.000000,31.0
11/01/2019 08:00:00.000000,1.0
11/01/2019 09:00:00.000000,6.0
11/01/2019 10:00:00.000000,25.0
11/01/2019 11:00:00.000000,20.0
11/01/2019 12:00:00.000000,15.0
11/01/2019 13:00:00.000000,9.0
11/01/2019 14:00:00.000000,12.0
11/01/2019 15:00:00.000000,19.0
11/01/2019 16:00:00.000000,32.0
11/01/2019 17:00:00.000000,38.0
11/01/2019 18:00:00.000000,38.0
11/01/2019 21:00:00.000000,39.0
11/01/2019 22:00:00.000000,39.0
11/01/2019 23:00:00.000000,38.0
11/02/2019 00:00:00.000000,36.0
11/02/2019 01:00:00.000000,25.0
11/02/2019 02:00:00.000000,24.0
11/02/2019 03:00:00.000000,18.0
11/02/2019 04:00:00.000000,29.0
11/02/2019 05:00:00.000000,26.0
11/02/2019 06:00:00.000000,22.0
11/02/2019 07:00:00.000000,32.0
11/02/2019 08:00:00.000000,33.0
11/02/2019 09:00:00.000000,34.0
11/02/2019 10:00:00.000000,37.0
11/02/2019 11:00:00.000000,35.0
11/02/2019 12:00:00.000000,37.0
11/04/2019 19:00:00.000000,31.0
11/04/2019 21:00:00.000000,31.0
11/04/2019 22:00:00.000000,29.0
11/04/2019 23:00:00.000000,26.0
11/05/2019 00:00:00.000000,20.0
11/05/2019 01:00:00.000000,10.0
11/05/2019 02:00:00.000000,6.0
11/05/2019 03:00:00.000000,7.0
11/05/2019 04:00:00.000000,13.0
11/05/2019 05:00:00.000000,15.0
11/05/2019 06:00:00.000000,16.0
11/05/2019 07:00:00.000000,18.0
11/05/2019 08:00:00.000000,21.0
11/05/2019 09:00:00.000000,20.0
11/05/2019 10:00:00.000000,21.0
11/05/2019 11:00:00.000000,16.0
11/05/2019 12:00:00.000000,14.0
11/05/2019 13:00:00.000000,10.0
11/05/2019 14:00:00.000000,12.0
11/05/2019 15:00:00.000000,9.0
11/05/2019 16:00:00.000000,18.0
11/05/2019 17:00:00.000000,22.0
11/05/2019 18:00:00.000000,27.0
11/05/2019 19:00:00.000000,30.0
11/05/2019 20:00:00.000000,30.0
11/05/2019 21:00:00.000000,24.0
11/05/2019 22:00:00.000000,26.0
11/05/2019 23:00:00.000000,12.0
11/06/2019 00:00:00.000000,10.0
11/06/2019 01:00:00.000000,18.0
11/06/2019 02:00:00.000000,23.0
11/06/2019 03:00:00.000000,24.0
11/06/2019 04:00:00.000000,27.0
11/06/2019 05:00:00.000000,29.0
11/06/2019 06:00:00.000000,30.0
11/06/2019 07:00:00.000000,30.0
11/06/2019 09:00:00.000000,35.0
11/06/2019 10:00:00.000000,33.0
11/06/2019 11:00:00.000000,34.0
11/06/2019 12:00:00.000000,30.0
11/06/2019 13:00:00.000000,18.0
11/06/2019 14:00:00.000000,17.0
11/06/2019 15:00:00.000000,28.0
11/06/2019 16:00:00.000000,29.0
11/06/2019 17:00:00.000000,33.0
11/06/2019 18:00:00.000000,35.0
11/06/2019 19:00:00.000000,28.0
11/06/2019 20:00:00.000000,18.0
11/06/2019 21:00:00.000000,13.0
11/06/2019 22:00:00.000000,13.0
11/06/2019 23:00:00.000000,11.0
11/07/2019 00:00:00.000000,8.0
11/07/2019 01:00:00.000000,10.0
11/07/2019 02:00:00.000000,10.0
11/07/2019 03:00:00.000000,12.0
11/07/2019 04:00:00.000000,12.0
11/07/2019 05:00:00.000000,13.0
11/07/2019 06:00:00.000000,11.0
11/07/2019 07:00:00.000000,11.0
11/07/2019 08:00:00.000000,8.0
11/07/2019 09:00:00.000000,12.0
11/07/2019 10:00:00.000000,13.0
11/07/2019 11:00:00.000000,12.0
11/07/2019 12:00:00.000000,13.0
11/07/2019 13:00:00.000000,11.0
11/07/2019 14:00:00.000000,12.0
11/07/2019 15:00:00.000000,14.0
11/07/2019 16:00:00.000000,14.0
11/07/2019 17:00:00.000000,17.0
11/07/2019 18:00:00.000000,23.0
11/07/2019 19:00:00.000000,27.0
11/07/2019 20:00:00.000000,28.0
11/07/2019 21:00:00.000000,23.0
11/07/2019 22:00:00.000000,15.0
11/07/2019 23:00:00.000000,5.0
11/08/2019 00:00:00.000000,1.0
11/08/2019 01:00:00.000000,1.0
11/08/2019 02:00:00.000000,1.0
11/08/2019 03:00:00.000000,6.0
11/08/2019 04:00:00.000000,7.0
11/08/2019 05:00:00.000000,8.0
11/08/2019 06:00:00.000000,8.0
11/08/2019 07:00:00.000000,3.0
11/08/2019 09:00:00.000000,7.0
11/08/2019 10:00:00.000000,8.0
11/08/2019 11:00:00.000000,19.0
11/08/2019 12:00:00.000000,23.0
11/08/2019 13:00:00.000000,17.0
11/08/2019 14:00:00.000000,16.0
11/08/2019 15:00:00.000000,24.0
11/08/2019 16:00:00.000000,31.0
11/08/2019 17:00:00.000000,39.0
11/08/2019 18:00:00.000000,44.0
11/08/2019 19:00:00.000000,45.0
11/08/2019 20:00:00.000000,46.0
11/08/2019 21:00:00.000000,45.0
11/08/2019 22:00:00.000000,43.0
11/08/2019 23:00:00.000000,42.0
11/09/2019 00:00:00.000000,39.0
11/09/2019 01:00:00.000000,42.0
11/09/2019 02:00:00.000000,42.0
11/09/2019 03:00:00.000000,39.0
11/09/2019 04:00:00.000000,38.0
11/09/2019 05:00:00.000000,40.0
11/09/2019 06:00:00.000000,37.0
11/09/2019 07:00:00.000000,36.0
11/09/2019 09:00:00.000000,36.0
11/09/2019 10:00:00.000000,37.0
11/09/2019 13:00:00.000000,29.0
11/09/2019 14:00:00.000000,23.0
11/09/2019 15:00:00.000000,28.0
11/09/2019 16:00:00.000000,31.0
11/09/2019 17:00:00.000000,37.0
11/09/2019 18:00:00.000000,42.0
11/09/2019 19:00:00.000000,44.0
11/09/2019 20:00:00.000000,46.0
11/09/2019 21:00:00.000000,47.0
11/09/2019 22:00:00.000000,47.0
11/09/2019 23:00:00.000000,44.0
11/10/2019 00:00:00.000000,41.0
11/10/2019 01:00:00.000000,37.0
11/10/2019 02:00:00.000000,39.0
11/10/2019 03:00:00.000000,37.0
11/10/2019 04:00:00.000000,36.0
11/10/2019 05:00:00.000000,39.0
11/10/2019 06:00:00.000000,39.0
11/10/2019 07:00:00.000000,39.0
11/10/2019 09:00:00.000000,40.0
11/10/2019 10:00:00.000000,41.0
11/10/2019 11:00:00.000000,39.0
11/10/2019 12:00:00.000000,38.0
11/10/2019 13:00:00.000000,35.0
11/10/2019 14:00:00.000000,35.0
11/10/2019 15:00:00.000000,37.0
11/10/2019 16:00:00.000000,38.0
11/10/2019 17:00:00.000000,36.0
11/10/2019 18:00:00.000000,39.0
11/10/2019 19:00:00.000000,41.0
11/10/2019 20:00:00.000000,42.0
11/10/2019 21:00:00.000000,46.0
11/10/2019 22:00:00.000000,44.0
11/10/2019 23:00:00.000000,38.0
11/11/2019 00:00:00.000000,23.0
11/11/2019 01:00:00.000000,22.0
11/11/2019 02:00:00.000000,24.0
11/11/2019 03:00:00.000000,17.0
11/11/2019 04:00:00.000000,15.0
11/11/2019 05:00:00.000000,13.0
11/11/2019 06:00:00.000000,12.0
11/11/2019 07:00:00.000000,16.0
11/11/2019 09:00:00.000000,21.0
11/11/2019 10:00:00.000000,22.0
11/11/2019 11:00:00.000000,21.0
11/11/2019 12:00:00.000000,19.0
11/11/2019 13:00:00.000000,16.0
11/11/2019 14:00:00.000000,16.0
11/11/2019 15:00:00.000000,16.0
11/11/2019 17:00:00.000000,28.0
11/11/2019 18:00:00.000000,26.0
11/11/2019 19:00:00.000000,22.0
11/11/2019 20:00:00.000000,24.0
11/11/2019 21:00:00.000000,23.0
11/11/2019 22:00:00.000000,20.0
11/11/2019 23:00:00.000000,14.0
11/12/2019 00:00:00.000000,4.0
11/12/2019 01:00:00.000000,4.0
11/12/2019 02:00:00.000000,15.0
11/12/2019 03:00:00.000000,22.0
11/12/2019 05:00:00.000000,23.0
11/12/2019 06:00:00.000000,24.0
11/12/2019 07:00:00.000000,27.0
11/12/2019 09:00:00.000000,31.0
11/12/2019 10:00:00.000000,34.0
11/12/2019 11:00:00.000000,36.0
11/12/2019 12:00:00.000000,34.0
11/12/2019 13:00:00.000000,31.0
11/12/2019 14:00:00.000000,29.0
11/12/2019 15:00:00.000000,30.0
11/12/2019 16:00:00.000000,32.0
11/12/2019 17:00:00.000000,29.0
11/12/2019 18:00:00.000000,34.0
11/12/2019 19:00:00.000000,39.0
11/12/2019 20:00:00.000000,40.0
11/12/2019 21:00:00.000000,39.0
11/12/2019 22:00:00.000000,37.0
11/12/2019 23:00:00.000000,26.0
11/13/2019 00:00:00.000000,15.0
11/13/2019 01:00:00.000000,23.0
11/13/2019 02:00:00.000000,29.0
11/13/2019 03:00:00.000000,32.0
11/13/2019 04:00:00.000000,34.0
11/13/2019 05:00:00.000000,37.0
11/13/2019 06:00:00.000000,35.0
11/13/2019 07:00:00.000000,36.0
11/13/2019 09:00:00.000000,39.0
11/13/2019 10:00:00.000000,40.0
11/13/2019 11:00:00.000000,39.0
11/13/2019 12:00:00.000000,41.0
11/13/2019 13:00:00.000000,33.0
11/13/2019 14:00:00.000000,31.0
11/13/2019 15:00:00.000000,39.0
11/13/2019 16:00:00.000000,40.0
11/13/2019 17:00:00.000000,41.0
11/13/2019 18:00:00.000000,39.0
11/13/2019 19:00:00.000000,37.0
11/13/2019 20:00:00.000000,39.0
11/13/2019 21:00:00.000000,40.0
11/13/2019 22:00:00.000000,37.0
11/13/2019 23:00:00.000000,32.0
11/14/2019 00:00:00.000000,28.0
11/14/2019 01:00:00.000000,14.0
11/14/2019 02:00:00.000000,12.0
11/14/2019 03:00:00.000000,11.0
11/14/2019 04:00:00.000000,14.0
11/14/2019 05:00:00.000000,18.0
11/14/2019 06:00:00.000000,18.0
11/14/2019 07:00:00.000000,18.0
11/14/2019 09:00:00.000000,24.0
11/14/2019 10:00:00.000000,27.0
11/14/2019 11:00:00.000000,26.0
11/14/2019 12:00:00.000000,22.0
11/14/2019 13:00:00.000000,18.0
11/14/2019 14:00:00.000000,15.0
11/14/2019 15:00:00.000000,23.0
11/14/2019 16:00:00.000000,24.0
11/14/2019 17:00:00.000000,27.0
11/14/2019 18:00:00.000000,34.0
11/14/2019 19:00:00.000000,40.0
11/14/2019 20:00:00.000000,39.0
11/14/2019 21:00:00.000000,38.0
11/14/2019 22:00:00.000000,39.0
11/14/2019 23:00:00.000000,28.0
11/15/2019 00:00:00.000000,20.0
11/15/2019 01:00:00.000000,18.0
11/15/2019 02:00:00.000000,20.0
11/15/2019 03:00:00.000000,20.0
11/15/2019 04:00:00.000000,26.0
