InstrumentName, Palmer Elementary (AFL5CTX2_2.1),,,,,,,,
StartTime, 2019-12-01 00:00:00,,,,,,,,
EndTime, 2019-12-31 23:59:59,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,relHumid,temperature
12/01/2019 00:02:01.820000,21.841673,1.235294,2.315294,0.529412,2.202353,1.235294,2.291765,23.718624,6.222248
12/01/2019 00:04:38.163000,22.322184,1.941176,2.332941,0.470588,2.188823,1.705882,2.292353,24.075686,6.096741
12/01/2019 00:07:14.381000,21.349445,0.705882,1.579412,0.0,1.514706,0.470588,1.562941,24.156557,5.941864
12/01/2019 00:09:50.536000,23.748083,1.411765,1.792941,0.0,1.714118,0.470588,1.762353,24.936293,5.84573
12/01/2019 00:12:26.781000,25.33806,1.176471,1.505294,0.0,1.405294,0.705882,1.471765,24.834059,5.690853
12/01/2019 00:15:03.016000,20.708767,0.705882,1.085294,0.0,1.042353,0.235294,1.068824,23.588923,5.621422
12/01/2019 00:17:39.186000,25.474792,1.058824,1.865294,0.0,1.808824,0.764706,1.842353,25.12398,5.493248
12/01/2019 00:20:15.427000,23.201162,0.941176,2.124706,0.0,2.07,0.941176,2.110588,25.087358,5.36507
12/01/2019 00:22:51.658000,21.634626,0.764706,2.304706,0.058824,2.244706,0.764706,2.292941,25.801479,5.325016
12/01/2019 00:25:27.820000,23.38868,1.941176,2.604706,1.0,2.483529,1.235294,2.56647,25.328451,5.252918
12/01/2019 00:28:03.977000,22.802692,1.0,1.528235,0.0,1.444706,0.705882,1.496471,25.062944,5.170139
12/01/2019 00:30:40.643000,23.841841,0.529412,1.711765,0.235294,1.644706,0.529412,1.695294,25.787746,5.100708
12/01/2019 00:33:16.781000,24.63097,1.470588,2.128235,0.058824,2.038824,1.0,2.111176,26.02121,5.044632
12/01/2019 00:35:53.017000,26.271732,1.529412,2.784706,0.764706,2.708235,1.529412,2.772941,26.198215,4.988556
12/01/2019 00:38:29.185000,25.943581,1.941176,2.68,0.529412,2.579412,1.470588,2.668235,26.285191,4.93248
