InstrumentName, West Denver PA-II B
StartTime, 2020-05-01 00:00:00
EndTime, 2020-05-31 23:59:59
Date,PM2.5
05/01/2020 00:01:27.248000,0.38
05/01/2020 00:03:27.222000,0.5
05/01/2020 00:05:27.238000,0.42
05/01/2020 00:07:27.238000,0.09
05/01/2020 00:09:27.257000,0.79
05/01/2020 00:11:27.240000,0.47
05/01/2020 00:13:27.226000,0.08
05/01/2020 00:15:27.250000,0.46
05/01/2020 00:17:27.237000,0.0
05/01/2020 00:19:27.541000,0.29
05/01/2020 00:21:27.260000,0.63
05/01/2020 00:23:27.230000,0.42
05/01/2020 00:25:27.238000,0.23
05/01/2020 00:27:27.237000,0.4
05/01/2020 00:29:27.218000,0.16
05/01/2020 00:31:27.264000,0.61
05/01/2020 00:33:27.273000,0.79
05/01/2020 00:35:27.324000,0.48
05/01/2020 00:37:27.257000,0.6
05/01/2020 00:39:27.226000,0.7
05/01/2020 00:41:27.233000,0.49
05/01/2020 00:43:27.270000,0.47
05/01/2020 00:45:27.270000,0.58
05/01/2020 00:47:27.240000,9.26
05/01/2020 00:49:27.232000,6.63
05/01/2020 00:51:27.237000,3.34
05/01/2020 00:53:27.312000,3.05
05/01/2020 00:55:27.253000,0.92
05/01/2020 00:57:27.262000,0.55
05/01/2020 00:59:27.263000,0.32
05/01/2020 01:01:27.252000,0.38
05/01/2020 01:03:27.290000,0.39
05/01/2020 01:05:27.248000,0.8
05/01/2020 01:07:27.261000,0.76
05/01/2020 01:09:27.260000,0.91
05/01/2020 01:11:27.320000,0.68
05/01/2020 01:13:27.251000,0.71
05/01/2020 01:15:27.246000,0.52
05/01/2020 01:17:27.236000,0.54
05/01/2020 01:19:27.614000,1.16
05/01/2020 01:21:27.249000,1.0
05/01/2020 01:23:27.256000,0.88
05/01/2020 01:25:27.342000,1.07
05/01/2020 01:27:27.249000,1.1
05/01/2020 01:29:27.237000,1.16
05/01/2020 01:31:27.297000,1.78
05/01/2020 01:33:27.257000,1.62
05/01/2020 01:35:27.253000,1.32
05/01/2020 01:37:27.237000,0.73
05/01/2020 01:39:27.302000,1.17
05/01/2020 01:41:27.305000,1.05
05/01/2020 01:43:27.286000,1.05
05/01/2020 01:45:27.255000,0.67
05/01/2020 01:47:27.255000,0.42
05/01/2020 01:49:27.264000,0.4
05/01/2020 01:51:27.262000,0.56
05/01/2020 01:53:27.268000,0.29
05/01/2020 01:55:27.309000,0.41
05/01/2020 01:57:27.360000,0.6
05/01/2020 01:59:27.263000,0.75
05/01/2020 02:03:27.262000,0.86
05/01/2020 02:05:27.255000,0.63
05/01/2020 02:07:27.262000,0.95
05/01/2020 02:09:27.302000,0.82
05/01/2020 02:11:27.325000,0.88
05/01/2020 02:13:27.288000,2.47
05/01/2020 02:15:27.282000,6.61
05/01/2020 02:17:27.278000,0.54
05/01/2020 02:19:27.571000,0.92
05/01/2020 02:21:27.352000,0.72
05/01/2020 02:23:27.266000,0.85
05/01/2020 02:25:27.305000,0.66
05/01/2020 02:27:27.253000,0.6
05/01/2020 02:29:27.308000,0.92
05/01/2020 02:31:27.362000,0.91
05/01/2020 02:33:27.269000,0.79
05/01/2020 02:35:27.327000,1.0
05/01/2020 02:37:27.301000,0.88
05/01/2020 02:39:27.270000,0.37
05/01/2020 02:41:27.320000,0.79
05/01/2020 02:43:27.298000,0.95
05/01/2020 02:45:27.288000,0.64
05/01/2020 02:47:27.256000,0.88
05/01/2020 02:49:27.308000,0.09
05/01/2020 02:51:27.282000,0.3
05/01/2020 02:53:27.321000,0.24
05/01/2020 02:55:27.275000,0.88
05/01/2020 02:57:27.341000,0.96
05/01/2020 02:59:27.261000,0.57
05/01/2020 03:01:27.304000,0.64
05/01/2020 03:03:27.265000,1.17
05/01/2020 03:05:27.315000,0.84
05/01/2020 03:07:27.289000,0.8
05/01/2020 03:09:27.265000,0.5
05/01/2020 03:11:27.285000,1.12
05/01/2020 03:13:27.275000,0.95
05/01/2020 03:15:27.314000,0.62
05/01/2020 03:17:27.298000,0.35
05/01/2020 03:19:27.623000,0.61
05/01/2020 03:21:27.280000,0.95
05/01/2020 03:23:27.276000,0.29
05/01/2020 03:25:27.290000,0.67
05/01/2020 03:27:27.277000,0.57
05/01/2020 03:29:27.287000,0.33
05/01/2020 03:31:27.316000,0.6
05/01/2020 03:33:27.269000,0.7
05/01/2020 03:35:27.365000,0.59
05/01/2020 03:37:27.333000,0.53
05/01/2020 03:39:27.299000,0.83
05/01/2020 03:41:27.271000,0.39
05/01/2020 03:43:27.292000,0.4
