InstrumentName, Adams County Building
StartTime, 2020-06-01 00:00:00
EndTime, 2020-06-30 23:59:59
Date,PM2.5
06/01/2020 00:00:00.000000,1.8
06/01/2020 01:00:00.000000,1.6
06/01/2020 02:00:00.000000,1.7
06/01/2020 03:00:00.000000,3.0
06/01/2020 04:00:00.000000,3.4
06/01/2020 05:00:00.000000,4.6
06/01/2020 06:00:00.000000,5.3
06/01/2020 07:00:00.000000,5.0
06/01/2020 08:00:00.000000,4.0
06/01/2020 09:00:00.000000,5.2
06/01/2020 10:00:00.000000,5.1
06/01/2020 11:00:00.000000,7.6
06/01/2020 12:00:00.000000,14.8
06/01/2020 13:00:00.000000,8.4
06/01/2020 14:00:00.000000,7.6
06/01/2020 15:00:00.000000,5.5
06/01/2020 16:00:00.000000,3.1
06/01/2020 17:00:00.000000,3.5
06/01/2020 18:00:00.000000,3.7
06/01/2020 19:00:00.000000,3.2
06/01/2020 20:00:00.000000,3.8
06/01/2020 21:00:00.000000,4.6
06/01/2020 22:00:00.000000,5.7
06/01/2020 23:00:00.000000,6.0
06/02/2020 00:00:00.000000,6.3
06/02/2020 01:00:00.000000,6.3
06/02/2020 02:00:00.000000,5.2
06/02/2020 03:00:00.000000,6.3
06/02/2020 04:00:00.000000,4.2
06/02/2020 05:00:00.000000,3.3
06/02/2020 06:00:00.000000,5.9
06/02/2020 07:00:00.000000,6.8
06/02/2020 08:00:00.000000,4.0
06/02/2020 09:00:00.000000,3.3
06/02/2020 10:00:00.000000,4.9
06/02/2020 11:00:00.000000,7.8
06/02/2020 12:00:00.000000,20.7
06/02/2020 13:00:00.000000,24.4
06/02/2020 14:00:00.000000,16.9
06/02/2020 15:00:00.000000,8.2
06/02/2020 16:00:00.000000,7.2
06/02/2020 17:00:00.000000,8.8
06/02/2020 18:00:00.000000,5.9
06/02/2020 19:00:00.000000,4.2
06/02/2020 20:00:00.000000,3.4
06/02/2020 21:00:00.000000,3.1
06/02/2020 22:00:00.000000,4.6
06/02/2020 23:00:00.000000,5.0
06/03/2020 00:00:00.000000,3.5
06/03/2020 01:00:00.000000,3.4
06/03/2020 02:00:00.000000,4.8
06/03/2020 03:00:00.000000,6.6
06/03/2020 04:00:00.000000,6.3
06/03/2020 05:00:00.000000,6.4
06/03/2020 06:00:00.000000,6.2
06/03/2020 07:00:00.000000,6.8
06/03/2020 08:00:00.000000,6.8
06/03/2020 09:00:00.000000,7.1
06/03/2020 10:00:00.000000,6.8
06/03/2020 11:00:00.000000,9.9
06/03/2020 12:00:00.000000,18.0
06/03/2020 13:00:00.000000,14.2
06/03/2020 14:00:00.000000,17.3
06/03/2020 15:00:00.000000,16.9
06/03/2020 16:00:00.000000,13.9
06/03/2020 17:00:00.000000,8.4
06/03/2020 19:00:00.000000,6.1
06/03/2020 20:00:00.000000,9.3
06/03/2020 21:00:00.000000,10.7
06/03/2020 22:00:00.000000,5.0
06/04/2020 00:00:00.000000,6.4
06/04/2020 01:00:00.000000,4.9
06/04/2020 02:00:00.000000,5.2
06/04/2020 03:00:00.000000,6.9
06/04/2020 04:00:00.000000,8.2
06/04/2020 05:00:00.000000,6.7
06/04/2020 06:00:00.000000,6.7
06/04/2020 08:00:00.000000,4.5
06/04/2020 09:00:00.000000,7.1
06/04/2020 10:00:00.000000,9.8
06/04/2020 11:00:00.000000,10.1
06/04/2020 12:00:00.000000,13.8
06/04/2020 13:00:00.000000,12.5
06/04/2020 14:00:00.000000,12.8
06/04/2020 15:00:00.000000,9.9
06/04/2020 16:00:00.000000,6.1
06/04/2020 17:00:00.000000,5.3
06/04/2020 18:00:00.000000,6.1
06/04/2020 19:00:00.000000,12.5
06/04/2020 20:00:00.000000,8.1
06/04/2020 21:00:00.000000,16.7
06/04/2020 22:00:00.000000,10.4
06/04/2020 23:00:00.000000,9.2
06/05/2020 00:00:00.000000,5.8
06/05/2020 01:00:00.000000,4.2
06/05/2020 02:00:00.000000,6.2
06/05/2020 03:00:00.000000,4.2
06/05/2020 04:00:00.000000,3.8
06/05/2020 05:00:00.000000,3.6
06/05/2020 06:00:00.000000,5.5
06/05/2020 07:00:00.000000,5.2
06/05/2020 08:00:00.000000,5.5
