InstrumentName, I-25 Denver,,
StartTime, 2020-07-01 00:00:00,,
EndTime, 2020-07-31 23:59:59,,
Date,CO,NO2,PM2.5
07/01/2020 00:00:00.000000,0.2,13.0,3.4
07/01/2020 01:00:00.000000,0.1,7.0,5.7
07/01/2020 02:00:00.000000,0.1,3.0,4.5
07/01/2020 03:00:00.000000,0.1,2.0,3.4
07/01/2020 04:00:00.000000,0.1,,3.7
07/01/2020 05:00:00.000000,0.2,11.0,3.8
07/01/2020 06:00:00.000000,0.1,10.0,4.4
07/01/2020 09:00:00.000000,0.1,13.0,5.7
07/01/2020 10:00:00.000000,0.2,16.0,5.8
07/01/2020 11:00:00.000000,0.2,20.0,5.4
07/01/2020 12:00:00.000000,0.3,25.0,6.5
07/01/2020 13:00:00.000000,0.3,23.0,6.4
07/01/2020 14:00:00.000000,0.3,20.0,6.4
07/01/2020 15:00:00.000000,0.2,11.0,4.9
07/01/2020 16:00:00.000000,0.1,12.0,4.6
07/01/2020 17:00:00.000000,0.1,11.0,3.7
07/01/2020 18:00:00.000000,0.1,5.0,3.8
07/01/2020 19:00:00.000000,0.1,5.0,3.7
07/01/2020 20:00:00.000000,0.1,4.0,4.0
07/01/2020 21:00:00.000000,0.2,11.0,3.4
07/01/2020 22:00:00.000000,0.1,4.0,3.1
07/01/2020 23:00:00.000000,0.1,4.0,3.4
07/02/2020 00:00:00.000000,0.1,3.0,3.7
07/02/2020 01:00:00.000000,0.1,7.0,4.7
07/02/2020 02:00:00.000000,0.2,9.0,5.7
07/02/2020 03:00:00.000000,0.2,10.0,6.2
07/02/2020 04:00:00.000000,0.1,,5.9
07/02/2020 09:00:00.000000,0.3,23.0,9.8
07/02/2020 10:00:00.000000,0.3,22.0,10.1
07/02/2020 11:00:00.000000,0.4,27.0,11.0
07/02/2020 12:00:00.000000,0.5,31.0,10.7
07/02/2020 13:00:00.000000,0.5,26.0,8.6
07/02/2020 14:00:00.000000,0.4,27.0,8.6
07/02/2020 15:00:00.000000,0.3,19.0,7.6
07/02/2020 16:00:00.000000,0.3,23.0,9.2
07/02/2020 17:00:00.000000,0.2,14.0,10.2
07/02/2020 18:00:00.000000,0.1,5.0,7.7
07/02/2020 19:00:00.000000,0.2,11.0,6.0
07/02/2020 20:00:00.000000,0.2,10.0,5.8
07/02/2020 21:00:00.000000,0.1,8.0,7.3
07/02/2020 22:00:00.000000,0.5,29.0,6.8
07/02/2020 23:00:00.000000,0.4,18.0,5.7
07/03/2020 00:00:00.000000,0.1,6.0,9.3
07/03/2020 01:00:00.000000,0.1,3.0,11.3
07/03/2020 02:00:00.000000,0.3,11.0,12.5
07/03/2020 06:00:00.000000,0.1,4.0,6.0
07/03/2020 07:00:00.000000,0.1,5.0,6.3
07/03/2020 09:00:00.000000,0.1,6.0,5.7
07/03/2020 10:00:00.000000,0.1,14.0,6.4
07/03/2020 11:00:00.000000,0.2,14.0,9.6
07/03/2020 12:00:00.000000,0.3,20.0,9.5
07/03/2020 13:00:00.000000,0.3,18.0,7.9
07/03/2020 14:00:00.000000,0.3,16.0,7.5
07/03/2020 15:00:00.000000,0.3,12.0,7.4
07/03/2020 16:00:00.000000,0.3,15.0,7.2
07/03/2020 17:00:00.000000,0.3,13.0,6.7
07/03/2020 18:00:00.000000,0.4,19.0,7.3
07/03/2020 19:00:00.000000,0.4,19.0,7.3
07/03/2020 20:00:00.000000,0.4,20.0,7.0
07/03/2020 21:00:00.000000,0.4,18.0,6.9
07/03/2020 22:00:00.000000,0.4,17.0,5.2
07/03/2020 23:00:00.000000,0.3,11.0,4.5
07/04/2020 00:00:00.000000,0.3,11.0,3.3
07/04/2020 01:00:00.000000,0.4,17.0,3.4
07/04/2020 09:00:00.000000,0.2,7.0,5.2
07/04/2020 10:00:00.000000,0.2,10.0,5.6
07/04/2020 11:00:00.000000,0.2,8.0,4.5
07/04/2020 12:00:00.000000,0.2,12.0,3.7
07/04/2020 13:00:00.000000,0.3,12.0,4.8
07/04/2020 14:00:00.000000,0.2,14.0,5.6
07/04/2020 15:00:00.000000,0.2,11.0,5.3
07/04/2020 16:00:00.000000,0.3,12.0,4.8
07/04/2020 17:00:00.000000,0.2,15.0,4.4
07/04/2020 18:00:00.000000,0.3,14.0,3.6
07/04/2020 19:00:00.000000,0.4,12.0,3.1
07/04/2020 20:00:00.000000,0.4,11.0,3.7
07/04/2020 21:00:00.000000,0.2,7.0,2.5
07/04/2020 22:00:00.000000,0.1,3.0,2.5
07/04/2020 23:00:00.000000,0.1,2.0,3.1
07/05/2020 00:00:00.000000,0.1,4.0,3.4
07/05/2020 06:00:00.000000,0.3,14.0,16.6
07/05/2020 07:00:00.000000,0.3,13.0,15.3
07/05/2020 10:00:00.000000,0.1,7.0,4.0
07/05/2020 11:00:00.000000,0.2,10.0,7.1
07/05/2020 13:00:00.000000,0.3,10.0,12.1
07/05/2020 14:00:00.000000,0.2,7.0,9.3
07/05/2020 15:00:00.000000,0.1,4.0,4.6
07/05/2020 16:00:00.000000,0.1,3.0,2.7
07/05/2020 17:00:00.000000,0.1,4.0,2.1
07/05/2020 18:00:00.000000,0.1,4.0,1.6
07/05/2020 19:00:00.000000,0.1,3.0,1.5
07/05/2020 21:00:00.000000,0.2,6.0,2.1
07/06/2020 09:00:00.000000,0.1,8.0,2.0
07/06/2020 10:00:00.000000,0.1,11.0,2.5
07/06/2020 11:00:00.000000,0.3,15.0,3.9
07/06/2020 12:00:00.000000,0.6,26.0,5.3
07/06/2020 13:00:00.000000,,21.0,4.3
07/06/2020 14:00:00.000000,0.2,16.0,4.5
07/06/2020 15:00:00.000000,0.2,14.0,3.7
07/06/2020 16:00:00.000000,0.2,16.0,3.3
07/06/2020 17:00:00.000000,0.3,14.0,3.1
07/06/2020 18:00:00.000000,0.2,11.0,2.4
07/06/2020 19:00:00.000000,0.3,15.0,2.6
07/06/2020 20:00:00.000000,0.6,29.0,2.9
07/06/2020 21:00:00.000000,0.5,,2.7
07/07/2020 09:00:00.000000,0.1,10.0,3.2
07/07/2020 10:00:00.000000,0.2,15.0,2.9
07/07/2020 11:00:00.000000,0.4,32.0,4.3
07/07/2020 12:00:00.000000,0.6,38.0,4.8
07/07/2020 13:00:00.000000,0.4,30.0,4.6
07/07/2020 14:00:00.000000,0.2,20.0,3.2
07/07/2020 15:00:00.000000,0.2,12.0,2.9
07/07/2020 16:00:00.000000,0.2,14.0,
07/07/2020 17:00:00.000000,0.3,23.0,2.4
07/07/2020 18:00:00.000000,0.3,16.0,2.3
07/07/2020 19:00:00.000000,0.5,25.0,3.1
07/07/2020 20:00:00.000000,0.5,23.0,2.1
07/07/2020 22:00:00.000000,0.3,17.0,2.2
07/07/2020 23:00:00.000000,0.4,19.0,1.8
07/08/2020 09:00:00.000000,0.2,18.0,4.3
07/08/2020 10:00:00.000000,0.3,18.0,4.1
07/08/2020 11:00:00.000000,0.4,26.0,4.2
