InstrumentName, NREL
StartTime, 2020-08-01 00:00:00
EndTime, 2020-08-31 23:59:59
Date,O3
08/15/2020 00:00:00.000000,56.0
08/15/2020 01:00:00.000000,49.0
08/15/2020 02:00:00.000000,47.0
08/15/2020 03:00:00.000000,44.0
08/15/2020 04:00:00.000000,39.0
08/15/2020 05:00:00.000000,39.0
08/15/2020 06:00:00.000000,39.0
08/15/2020 07:00:00.000000,34.0
08/15/2020 08:00:00.000000,40.0
08/15/2020 09:00:00.000000,41.0
08/15/2020 10:00:00.000000,43.0
08/15/2020 11:00:00.000000,42.0
08/15/2020 12:00:00.000000,40.0
08/15/2020 13:00:00.000000,38.0
08/15/2020 14:00:00.000000,36.0
08/15/2020 15:00:00.000000,43.0
08/15/2020 16:00:00.000000,54.0
08/15/2020 17:00:00.000000,60.0
08/15/2020 18:00:00.000000,70.0
08/15/2020 19:00:00.000000,82.0
08/15/2020 20:00:00.000000,80.0
08/15/2020 21:00:00.000000,78.0
08/15/2020 22:00:00.000000,75.0
08/15/2020 23:00:00.000000,68.0
08/16/2020 00:00:00.000000,64.0
08/16/2020 01:00:00.000000,62.0
08/16/2020 02:00:00.000000,55.0
08/16/2020 03:00:00.000000,54.0
08/16/2020 04:00:00.000000,55.0
08/16/2020 05:00:00.000000,56.0
08/16/2020 06:00:00.000000,56.0
08/16/2020 07:00:00.000000,47.0
08/16/2020 08:00:00.000000,55.0
08/16/2020 09:00:00.000000,53.0
08/16/2020 10:00:00.000000,51.0
08/16/2020 11:00:00.000000,46.0
08/16/2020 12:00:00.000000,43.0
08/16/2020 13:00:00.000000,42.0
08/16/2020 14:00:00.000000,39.0
08/16/2020 15:00:00.000000,47.0
08/16/2020 16:00:00.000000,57.0
08/16/2020 17:00:00.000000,64.0
08/16/2020 18:00:00.000000,75.0
08/16/2020 19:00:00.000000,71.0
08/16/2020 20:00:00.000000,72.0
08/16/2020 21:00:00.000000,70.0
08/16/2020 22:00:00.000000,68.0
08/16/2020 23:00:00.000000,70.0
08/17/2020 00:00:00.000000,63.0
08/17/2020 01:00:00.000000,60.0
08/17/2020 02:00:00.000000,61.0
08/17/2020 03:00:00.000000,56.0
08/17/2020 04:00:00.000000,49.0
08/17/2020 05:00:00.000000,47.0
08/17/2020 06:00:00.000000,42.0
08/17/2020 07:00:00.000000,41.0
08/17/2020 08:00:00.000000,50.0
08/17/2020 09:00:00.000000,46.0
08/17/2020 10:00:00.000000,46.0
08/17/2020 11:00:00.000000,42.0
08/17/2020 12:00:00.000000,34.0
08/17/2020 13:00:00.000000,40.0
08/17/2020 14:00:00.000000,41.0
08/17/2020 15:00:00.000000,50.0
08/17/2020 16:00:00.000000,59.0
08/17/2020 17:00:00.000000,69.0
08/17/2020 18:00:00.000000,82.0
08/17/2020 19:00:00.000000,91.0
08/17/2020 20:00:00.000000,97.0
08/17/2020 21:00:00.000000,84.0
08/17/2020 22:00:00.000000,81.0
08/17/2020 23:00:00.000000,77.0
08/18/2020 00:00:00.000000,73.0
08/18/2020 01:00:00.000000,66.0
08/18/2020 02:00:00.000000,67.0
08/18/2020 03:00:00.000000,63.0
08/18/2020 04:00:00.000000,60.0
08/18/2020 05:00:00.000000,62.0
08/18/2020 06:00:00.000000,63.0
08/18/2020 07:00:00.000000,53.0
08/18/2020 08:00:00.000000,63.0
08/18/2020 09:00:00.000000,62.0
08/18/2020 10:00:00.000000,62.0
08/18/2020 11:00:00.000000,61.0
08/18/2020 12:00:00.000000,57.0
08/18/2020 13:00:00.000000,55.0
08/31/2020 00:00:00.000000,56.0
08/31/2020 01:00:00.000000,49.0
08/31/2020 02:00:00.000000,48.0
08/31/2020 03:00:00.000000,52.0
08/31/2020 04:00:00.000000,48.0
08/31/2020 05:00:00.000000,43.0
08/31/2020 06:00:00.000000,43.0
08/31/2020 07:00:00.000000,41.0
08/31/2020 08:00:00.000000,42.0
08/31/2020 09:00:00.000000,39.0
08/31/2020 10:00:00.000000,39.0
08/31/2020 11:00:00.000000,40.0
08/31/2020 12:00:00.000000,25.0
08/31/2020 13:00:00.000000,35.0
08/31/2020 14:00:00.000000,39.0
08/31/2020 15:00:00.000000,42.0
08/31/2020 16:00:00.000000,42.0
08/31/2020 17:00:00.000000,47.0
08/31/2020 18:00:00.000000,50.0
08/31/2020 19:00:00.000000,54.0
08/31/2020 20:00:00.000000,57.0
08/31/2020 21:00:00.000000,60.0
08/31/2020 22:00:00.000000,64.0
08/31/2020 23:00:00.000000,61.0
                
